,answers,original,t5_0,t5_1,t5_2,t5_3
0,alexandra,"[{'token': 'melbourne', 'score': 0.316}, {'token': 'sydney', 'score': 0.265}, {'token': 'perth', 'score': 0.11}, {'token': 'adelaide', 'score': 0.1}, {'token': 'brisbane', 'score': 0.052}, {'token': 'canberra', 'score': 0.022}, {'token': 'victoria', 'score': 0.016}, {'token': 'bathurst', 'score': 0.01}, {'token': 'queensland', 'score': 0.008}, {'token': 'hobart', 'score': 0.008}]","[{'token': 'france', 'score': 0.959}, {'token': 'canada', 'score': 0.015}, {'token': 'america', 'score': 0.003}, {'token': 'australia', 'score': 0.003}, {'token': 'europe', 'score': 0.002}, {'token': 'africa', 'score': 0.002}, {'token': 'world', 'score': 0.001}, {'token': 'spain', 'score': 0.001}, {'token': 'england', 'score': 0.001}, {'token': 'china', 'score': 0.001}]","[{'token': 'france', 'score': 0.932}, {'token': 'canada', 'score': 0.027}, {'token': 'australia', 'score': 0.007}, {'token': 'america', 'score': 0.004}, {'token': 'europe', 'score': 0.002}, {'token': 'world', 'score': 0.002}, {'token': 'africa', 'score': 0.002}, {'token': 'china', 'score': 0.002}, {'token': 'melbourne', 'score': 0.002}, {'token': 'england', 'score': 0.001}]","[{'token': 'france', 'score': 0.951}, {'token': 'canada', 'score': 0.018}, {'token': 'europe', 'score': 0.003}, {'token': 'australia', 'score': 0.003}, {'token': 'america', 'score': 0.003}, {'token': 'world', 'score': 0.002}, {'token': 'africa', 'score': 0.002}, {'token': 'asia', 'score': 0.001}, {'token': 'china', 'score': 0.001}, {'token': 'nations', 'score': 0.001}]","[{'token': 'france', 'score': 0.955}, {'token': 'canada', 'score': 0.017}, {'token': 'europe', 'score': 0.002}, {'token': 'world', 'score': 0.002}, {'token': 'africa', 'score': 0.002}, {'token': 'australia', 'score': 0.002}, {'token': 'america', 'score': 0.001}, {'token': 'asia', 'score': 0.001}, {'token': 'flanders', 'score': 0.001}, {'token': 'england', 'score': 0.001}]"
1,doncaster,"[{'token': 'home', 'score': 0.48}, {'token': 'own', 'score': 0.122}, {'token': 'parliamentary', 'score': 0.022}, {'token': 'conservative', 'score': 0.018}, {'token': 'constituency', 'score': 0.015}, {'token': 'old', 'score': 0.012}, {'token': 'seat', 'score': 0.011}, {'token': 'westminster', 'score': 0.011}, {'token': 'labour', 'score': 0.007}, {'token': 'electoral', 'score': 0.006}]","[{'token': 'home', 'score': 0.527}, {'token': 'own', 'score': 0.103}, {'token': 'parliamentary', 'score': 0.019}, {'token': 'first', 'score': 0.018}, {'token': 'seat', 'score': 0.015}, {'token': 'westminster', 'score': 0.013}, {'token': 'conservative', 'score': 0.012}, {'token': 'electoral', 'score': 0.011}, {'token': 'primary', 'score': 0.01}, {'token': 'constituency', 'score': 0.009}]","[{'token': 'home', 'score': 0.395}, {'token': 'own', 'score': 0.096}, {'token': 'parliamentary', 'score': 0.026}, {'token': 'westminster', 'score': 0.024}, {'token': 'conservative', 'score': 0.023}, {'token': 'seat', 'score': 0.016}, {'token': 'electoral', 'score': 0.012}, {'token': 'first', 'score': 0.012}, {'token': 'primary', 'score': 0.011}, {'token': 'constituency', 'score': 0.01}]","[{'token': 'home', 'score': 0.392}, {'token': 'own', 'score': 0.106}, {'token': 'parliamentary', 'score': 0.034}, {'token': 'westminster', 'score': 0.025}, {'token': 'conservative', 'score': 0.02}, {'token': 'seat', 'score': 0.015}, {'token': 'constituency', 'score': 0.011}, {'token': 'electoral', 'score': 0.011}, {'token': 'belfast', 'score': 0.01}, {'token': 'london', 'score': 0.01}]",
2,scotland,"[{'token': 'american', 'score': 0.221}, {'token': 'australian', 'score': 0.146}, {'token': 'canadian', 'score': 0.069}, {'token': 'german', 'score': 0.046}, {'token': 'british', 'score': 0.044}, {'token': 'dutch', 'score': 0.033}, {'token': 'swedish', 'score': 0.033}, {'token': 'the', 'score': 0.024}, {'token': 'english', 'score': 0.02}, {'token': 'norwegian', 'score': 0.02}]","[{'token': 'chicago', 'score': 0.036}, {'token': 'australia', 'score': 0.028}, {'token': 'toronto', 'score': 0.024}, {'token': 'london', 'score': 0.021}, {'token': 'germany', 'score': 0.018}, {'token': 'california', 'score': 0.016}, {'token': 'houston', 'score': 0.015}, {'token': 'canada', 'score': 0.013}, {'token': 'detroit', 'score': 0.013}, {'token': 'seattle', 'score': 0.013}]",,"[{'token': 'australia', 'score': 0.075}, {'token': 'germany', 'score': 0.042}, {'token': 'canada', 'score': 0.025}, {'token': 'sweden', 'score': 0.023}, {'token': 'england', 'score': 0.02}, {'token': 'london', 'score': 0.019}, {'token': 'poland', 'score': 0.017}, {'token': 'brazil', 'score': 0.017}, {'token': 'california', 'score': 0.016}, {'token': 'chicago', 'score': 0.015}]","[{'token': 'australia', 'score': 0.099}, {'token': 'allmusic', 'score': 0.038}, {'token': 'canada', 'score': 0.033}, {'token': 'uk', 'score': 0.027}, {'token': 'germany', 'score': 0.023}, {'token': 'pitchfork', 'score': 0.022}, {'token': 'mercury', 'score': 0.019}, {'token': 'japan', 'score': 0.016}, {'token': 'emi', 'score': 0.014}, {'token': 'sony', 'score': 0.013}]"
3,toronto,"[{'token': 'america', 'score': 0.158}, {'token': 'chicago', 'score': 0.088}, {'token': 'canada', 'score': 0.073}, {'token': 'detroit', 'score': 0.043}, {'token': 'today', 'score': 0.032}, {'token': 'germany', 'score': 0.03}, {'token': 'history', 'score': 0.023}, {'token': 'hollywood', 'score': 0.02}, {'token': 'europe', 'score': 0.019}, {'token': 'sweden', 'score': 0.015}]","[{'token': 'america', 'score': 0.077}, {'token': 'chicago', 'score': 0.057}, {'token': 'canada', 'score': 0.053}, {'token': 'germany', 'score': 0.027}, {'token': 'detroit', 'score': 0.025}, {'token': 'history', 'score': 0.025}, {'token': 'hollywood', 'score': 0.024}, {'token': 'boston', 'score': 0.022}, {'token': 'nashville', 'score': 0.02}, {'token': 'manhattan', 'score': 0.017}]",,"[{'token': 'canada', 'score': 0.097}, {'token': 'music', 'score': 0.061}, {'token': 'europe', 'score': 0.052}, {'token': 'america', 'score': 0.034}, {'token': 'australia', 'score': 0.031}, {'token': 'germany', 'score': 0.028}, {'token': 'japan', 'score': 0.026}, {'token': 'sweden', 'score': 0.024}, {'token': 'poland', 'score': 0.02}, {'token': 'chicago', 'score': 0.018}]","[{'token': 'chicago', 'score': 0.032}, {'token': 'detroit', 'score': 0.018}, {'token': 'today', 'score': 0.013}, {'token': 'canada', 'score': 0.013}, {'token': 'america', 'score': 0.012}, {'token': 'cornell', 'score': 0.011}, {'token': 'germany', 'score': 0.01}, {'token': 'michigan', 'score': 0.009}, {'token': 'boston', 'score': 0.008}, {'token': 'disney', 'score': 0.008}]"
4,vienna,"[{'token': 'vienna', 'score': 0.672}, {'token': 'austria', 'score': 0.06}, {'token': 'innsbruck', 'score': 0.052}, {'token': 'salzburg', 'score': 0.051}, {'token': 'berlin', 'score': 0.028}, {'token': 'munich', 'score': 0.015}, {'token': 'graz', 'score': 0.012}, {'token': 'tyrol', 'score': 0.009}, {'token': 'frankfurt', 'score': 0.007}, {'token': 'germany', 'score': 0.006}]","[{'token': 'vienna', 'score': 0.542}, {'token': 'berlin', 'score': 0.081}, {'token': 'austria', 'score': 0.053}, {'token': 'salzburg', 'score': 0.04}, {'token': 'innsbruck', 'score': 0.033}, {'token': 'munich', 'score': 0.024}, {'token': 'germany', 'score': 0.015}, {'token': 'frankfurt', 'score': 0.011}, {'token': 'leipzig', 'score': 0.011}, {'token': 'dresden', 'score': 0.009}]","[{'token': 'vienna', 'score': 0.529}, {'token': 'berlin', 'score': 0.095}, {'token': 'austria', 'score': 0.053}, {'token': 'munich', 'score': 0.035}, {'token': 'salzburg', 'score': 0.03}, {'token': 'germany', 'score': 0.02}, {'token': 'innsbruck', 'score': 0.019}, {'token': 'dresden', 'score': 0.011}, {'token': 'prague', 'score': 0.01}, {'token': 'frankfurt', 'score': 0.01}]","[{'token': 'vienna', 'score': 0.61}, {'token': 'berlin', 'score': 0.062}, {'token': 'austria', 'score': 0.058}, {'token': 'salzburg', 'score': 0.038}, {'token': 'innsbruck', 'score': 0.032}, {'token': 'munich', 'score': 0.021}, {'token': 'germany', 'score': 0.011}, {'token': 'frankfurt', 'score': 0.01}, {'token': 'dresden', 'score': 0.01}, {'token': 'bavaria', 'score': 0.008}]","[{'token': 'vienna', 'score': 0.575}, {'token': 'austria', 'score': 0.063}, {'token': 'berlin', 'score': 0.06}, {'token': 'salzburg', 'score': 0.04}, {'token': 'innsbruck', 'score': 0.035}, {'token': 'munich', 'score': 0.02}, {'token': 'germany', 'score': 0.013}, {'token': 'dresden', 'score': 0.011}, {'token': 'frankfurt', 'score': 0.009}, {'token': 'leipzig', 'score': 0.008}]"
5,paris,"[{'token': 'paris', 'score': 0.61}, {'token': 'london', 'score': 0.034}, {'token': 'brussels', 'score': 0.025}, {'token': 'lyon', 'score': 0.019}, {'token': 'vienna', 'score': 0.018}, {'token': 'berlin', 'score': 0.015}, {'token': 'amsterdam', 'score': 0.014}, {'token': 'bordeaux', 'score': 0.012}, {'token': 'rome', 'score': 0.012}, {'token': 'rouen', 'score': 0.011}]","[{'token': 'paris', 'score': 0.45}, {'token': 'france', 'score': 0.071}, {'token': 'bordeaux', 'score': 0.029}, {'token': 'lyon', 'score': 0.022}, {'token': 'london', 'score': 0.022}, {'token': 'vienna', 'score': 0.017}, {'token': 'marseille', 'score': 0.014}, {'token': 'montreal', 'score': 0.014}, {'token': 'rome', 'score': 0.013}, {'token': 'toulouse', 'score': 0.011}]","[{'token': 'paris', 'score': 0.38}, {'token': 'france', 'score': 0.04}, {'token': 'london', 'score': 0.036}, {'token': 'vienna', 'score': 0.035}, {'token': 'rome', 'score': 0.02}, {'token': 'berlin', 'score': 0.017}, {'token': 'bordeaux', 'score': 0.016}, {'token': 'lyon', 'score': 0.015}, {'token': 'madrid', 'score': 0.014}, {'token': 'montreal', 'score': 0.013}]","[{'token': 'french', 'score': 0.257}, {'token': 'the', 'score': 0.152}, {'token': 'paris', 'score': 0.055}, {'token': 'france', 'score': 0.023}, {'token': 'louisiana', 'score': 0.016}, {'token': 'american', 'score': 0.014}, {'token': 'martinique', 'score': 0.013}, {'token': 'quebec', 'score': 0.012}, {'token': 'bordeaux', 'score': 0.011}, {'token': 'loire', 'score': 0.009}]","[{'token': 'paris', 'score': 0.429}, {'token': 'here', 'score': 0.115}, {'token': 'there', 'score': 0.112}, {'token': 'brussels', 'score': 0.023}, {'token': 'toulouse', 'score': 0.017}, {'token': ',', 'score': 0.017}, {'token': 'nantes', 'score': 0.016}, {'token': 'french', 'score': 0.013}, {'token': 'marseille', 'score': 0.009}, {'token': 'lyon', 'score': 0.009}]"
6,yokohama,"[{'token': 'tokyo', 'score': 0.552}, {'token': 'osaka', 'score': 0.126}, {'token': 'kyoto', 'score': 0.051}, {'token': 'japan', 'score': 0.048}, {'token': 'fukuoka', 'score': 0.028}, {'token': 'nagoya', 'score': 0.024}, {'token': 'hiroshima', 'score': 0.024}, {'token': 'yokohama', 'score': 0.019}, {'token': 'hokkaido', 'score': 0.01}, {'token': 'seoul', 'score': 0.007}]","[{'token': 'tokyo', 'score': 0.417}, {'token': 'japan', 'score': 0.158}, {'token': 'osaka', 'score': 0.092}, {'token': 'kyoto', 'score': 0.047}, {'token': 'hiroshima', 'score': 0.027}, {'token': 'nagoya', 'score': 0.026}, {'token': 'fukuoka', 'score': 0.024}, {'token': 'yokohama', 'score': 0.02}, {'token': 'hokkaido', 'score': 0.011}, {'token': 'seoul', 'score': 0.008}]","[{'token': 'tokyo', 'score': 0.226}, {'token': 'japan', 'score': 0.1}, {'token': 'osaka', 'score': 0.064}, {'token': 'seoul', 'score': 0.043}, {'token': 'kyoto', 'score': 0.029}, {'token': 'helsinki', 'score': 0.019}, {'token': 'hawaii', 'score': 0.017}, {'token': 'hokkaido', 'score': 0.016}, {'token': 'fukuoka', 'score': 0.014}, {'token': 'korea', 'score': 0.013}]","[{'token': 'tokyo', 'score': 0.473}, {'token': 'japan', 'score': 0.109}, {'token': 'osaka', 'score': 0.098}, {'token': 'kyoto', 'score': 0.038}, {'token': 'hiroshima', 'score': 0.031}, {'token': 'fukuoka', 'score': 0.026}, {'token': 'nagoya', 'score': 0.024}, {'token': 'yokohama', 'score': 0.023}, {'token': 'seoul', 'score': 0.009}, {'token': 'kobe', 'score': 0.008}]","[{'token': 'tokyo', 'score': 0.468}, {'token': 'osaka', 'score': 0.138}, {'token': 'japan', 'score': 0.107}, {'token': 'kyoto', 'score': 0.077}, {'token': 'fukuoka', 'score': 0.029}, {'token': 'nagoya', 'score': 0.028}, {'token': 'hiroshima', 'score': 0.023}, {'token': 'yokohama', 'score': 0.02}, {'token': 'hokkaido', 'score': 0.018}, {'token': 'chiba', 'score': 0.008}]"
7,antwerp,"[{'token': '14', 'score': 0.021}, {'token': '3', 'score': 0.015}, {'token': '6', 'score': 0.015}, {'token': '4', 'score': 0.013}, {'token': '13', 'score': 0.012}, {'token': '15', 'score': 0.011}, {'token': '1', 'score': 0.011}, {'token': '1300', 'score': 0.011}, {'token': '2', 'score': 0.01}, {'token': '24', 'score': 0.009}]","[{'token': 'england', 'score': 0.449}, {'token': 'france', 'score': 0.096}, {'token': 'holland', 'score': 0.043}, {'token': 'germany', 'score': 0.033}, {'token': 'spain', 'score': 0.03}, {'token': 'rome', 'score': 0.027}, {'token': 'europe', 'score': 0.018}, {'token': 'italy', 'score': 0.018}, {'token': 'scotland', 'score': 0.016}, {'token': 'poland', 'score': 0.016}]","[{'token': 'england', 'score': 0.342}, {'token': 'france', 'score': 0.13}, {'token': 'holland', 'score': 0.065}, {'token': 'flanders', 'score': 0.055}, {'token': 'spain', 'score': 0.045}, {'token': 'germany', 'score': 0.033}, {'token': 'italy', 'score': 0.026}, {'token': 'belgium', 'score': 0.018}, {'token': 'portugal', 'score': 0.016}, {'token': 'bohemia', 'score': 0.015}]","[{'token': 'holland', 'score': 0.034}, {'token': 'flanders', 'score': 0.03}, {'token': 'utrecht', 'score': 0.029}, {'token': 'batavia', 'score': 0.019}, {'token': 'bohemia', 'score': 0.017}, {'token': 'nassau', 'score': 0.013}, {'token': 'amsterdam', 'score': 0.011}, {'token': 'england', 'score': 0.011}, {'token': 'antwerp', 'score': 0.011}, {'token': 'berwick', 'score': 0.01}]",
8,barcelona,"[{'token': 'bombay', 'score': 0.184}, {'token': 'madrid', 'score': 0.092}, {'token': 'calcutta', 'score': 0.083}, {'token': 'goa', 'score': 0.05}, {'token': 'delhi', 'score': 0.042}, {'token': 'spain', 'score': 0.03}, {'token': 'india', 'score': 0.029}, {'token': 'mumbai', 'score': 0.029}, {'token': 'salamanca', 'score': 0.028}, {'token': 'madras', 'score': 0.024}]","[{'token': '1936', 'score': 0.033}, {'token': 'madrid', 'score': 0.019}, {'token': 'barcelona', 'score': 0.019}, {'token': '1937', 'score': 0.016}, {'token': '1911', 'score': 0.015}, {'token': '1929', 'score': 0.015}, {'token': '1910', 'score': 0.012}, {'token': '1913', 'score': 0.012}, {'token': '1938', 'score': 0.012}, {'token': '1935', 'score': 0.012}]","[{'token': 'india', 'score': 0.951}, {'token': 'maharashtra', 'score': 0.021}, {'token': 'england', 'score': 0.004}, {'token': 'bombay', 'score': 0.004}, {'token': 'mumbai', 'score': 0.003}, {'token': 'pakistan', 'score': 0.002}, {'token': 'goa', 'score': 0.001}, {'token': 'rajasthan', 'score': 0.001}, {'token': 'spain', 'score': 0.001}, {'token': 'calcutta', 'score': 0.001}]","[{'token': 'india', 'score': 0.107}, {'token': 'days', 'score': 0.097}, {'token': 'london', 'score': 0.081}, {'token': 'time', 'score': 0.07}, {'token': 'paris', 'score': 0.036}, {'token': 'france', 'score': 0.029}, {'token': 'england', 'score': 0.021}, {'token': 'calcutta', 'score': 0.02}, {'token': 'just', 'score': 0.019}, {'token': 'delhi', 'score': 0.015}]","[{'token': 'spain', 'score': 0.413}, {'token': 'madrid', 'score': 0.141}, {'token': 'france', 'score': 0.031}, {'token': 'rome', 'score': 0.023}, {'token': 'mexico', 'score': 0.022}, {'token': 'paris', 'score': 0.019}, {'token': 'europe', 'score': 0.017}, {'token': 'cuba', 'score': 0.016}, {'token': 'england', 'score': 0.014}, {'token': 'america', 'score': 0.012}]"
9,rome,"[{'token': 'rome', 'score': 0.195}, {'token': 'milan', 'score': 0.13}, {'token': 'bologna', 'score': 0.128}, {'token': 'turin', 'score': 0.056}, {'token': 'florence', 'score': 0.043}, {'token': 'naples', 'score': 0.042}, {'token': 'palermo', 'score': 0.039}, {'token': 'verona', 'score': 0.035}, {'token': 'genoa', 'score': 0.028}, {'token': 'venice', 'score': 0.023}]","[{'token': 'rome', 'score': 0.166}, {'token': 'milan', 'score': 0.102}, {'token': 'bologna', 'score': 0.092}, {'token': 'turin', 'score': 0.05}, {'token': 'palermo', 'score': 0.043}, {'token': 'italy', 'score': 0.04}, {'token': 'florence', 'score': 0.033}, {'token': 'naples', 'score': 0.031}, {'token': 'genoa', 'score': 0.031}, {'token': 'verona', 'score': 0.024}]","[{'token': 'rome', 'score': 0.144}, {'token': 'milan', 'score': 0.088}, {'token': 'bologna', 'score': 0.07}, {'token': 'turin', 'score': 0.042}, {'token': 'italy', 'score': 0.04}, {'token': 'palermo', 'score': 0.039}, {'token': 'naples', 'score': 0.03}, {'token': 'florence', 'score': 0.027}, {'token': 'genoa', 'score': 0.026}, {'token': 'verona', 'score': 0.018}]","[{'token': 'rome', 'score': 0.174}, {'token': 'milan', 'score': 0.115}, {'token': 'bologna', 'score': 0.083}, {'token': 'italy', 'score': 0.053}, {'token': 'turin', 'score': 0.046}, {'token': 'florence', 'score': 0.046}, {'token': 'naples', 'score': 0.043}, {'token': 'palermo', 'score': 0.041}, {'token': 'genoa', 'score': 0.03}, {'token': 'venice', 'score': 0.022}]","[{'token': 'rome', 'score': 0.198}, {'token': 'milan', 'score': 0.126}, {'token': 'bologna', 'score': 0.089}, {'token': 'turin', 'score': 0.05}, {'token': 'italy', 'score': 0.044}, {'token': 'naples', 'score': 0.041}, {'token': 'florence', 'score': 0.041}, {'token': 'palermo', 'score': 0.039}, {'token': 'verona', 'score': 0.031}, {'token': 'venice', 'score': 0.025}]"
