,sub_label,template,obj_label,masked_sentence
0,Azerbaijan,The capital of [X] is [Y] .,Baku,"The capital of Azerbaijan is the ancient city of [MASK], which has the largest and best harbor on the Caspian Sea and has long been the center of the republic's oil industry."
990,Brody Raion,The capital of [X] is [Y] .,Brody,"The Brody Raion Museum of History and Ethnography is a museum in [MASK] city, Ukraine that was founded in 2001."
991,Cook County,The capital of [X] is [Y] .,Chicago,[MASK] is the seat of Cook County.
1225,Fort Bend County,The capital of [X] is [Y] .,Richmond,"Moore's son, John Jr., served as a two-term Mayor of [MASK] and a two-term judge in Fort Bend County, Texas."
1227,Cayuga County,The capital of [X] is [Y] .,Auburn,"Hulbert was elected as a Federalist to the Thirteenth Congress to fill the vacancy caused by the resignation of Daniel Dewey.He was reelected to the Fourteenth Congress and served from September 26, 1814, to March 3, 1817.He was not a candidate for renomination in 1816.He moved to [MASK], in 1817.He represented Cayuga County as Member of the New York State Assembly in 1825."
1233,City of Hawkesbury,The capital of [X] is [Y] .,Windsor,"The Hawkesbury Advocate was an English language broadsheet newspaper published in [MASK], Australia."
1237,Grand Est,The capital of [X] is [Y] .,Strasbourg,"[MASK] (/ˈstræzbɜːrɡ/, [stʁaz.buʁ, stʁas.buʁ]; Alsatian: Strossburi; German: Straßburg, [ˈʃtʁaːsbʊɐ̯k]) is the capital and largest city of the Alsace-Champagne-Ardenne-Lorraine (ACAL) region in eastern France and is the official seat of the European Parliament."
1243,Caddo Parish,The capital of [X] is [Y] .,Shreveport,"(born November 24, 1983 in Caddo Parish [MASK]) is a former American football linebacker."
1250,Nebraska,The capital of [X] is [Y] .,Lincoln,"Urban Search and Rescue Nebraska Task Force 1 or NE-TF1 is a FEMA Urban Search and Rescue Task Force based in [MASK], United States."
1285,Hampshire,The capital of [X] is [Y] .,Winchester,"The county town of Hampshire is [MASK], the former capital city of England."
1542,Alexandria Governorate,The capital of [X] is [Y] .,Alexandria,"Alexandria Governorate (Arabic: محافظة الإسكندرية Muḥāfaẓat [MASK]) is one of the governorates of Egypt.It was previously known as the capital of Egypt , and now it is considered as the second capital after Cairo."
1549,Colombo District,The capital of [X] is [Y] .,Colombo,"Malabe is a suburb of [MASK] city in Colombo District, Sri Lanka."
1550,Kingdom of Italy,The capital of [X] is [Y] .,Florence,"It started in Italy at the end of the 16th century (with Jacopo Peri's lost Dafne, produced in [MASK] in 1598) and soon spread through the rest of Europe: Schütz in Germany, Lully in France, and Purcell in England all helped to establish their national traditions in the 17th century."
1602,Grand Duchy of Finland,The capital of [X] is [Y] .,Helsinki,[MASK] (/hɛlˈsɪŋki/; [ˈhelsiŋki]; Swedish: Helsingfors) is the capital and largest city of Finland.
1684,Telangana,The capital of [X] is [Y] .,Hyderabad,"Alampur is a temple-town situated in Mahbubnagar district, in the state of Telangana, India.It is located at about 90 km from Mahabubnagar, 27 km From Kurnool and 200 km from [MASK]."
1920,Carlisle,The capital of [X] is [Y] .,Carlisle,"The V.I.P.s were a British R&B musical ensemble formed in [MASK], (North West England) in late 1963, out of an earlier outfit known as The Ramrods, who had formed in Carlisle in 1960."
1922,South Australia,The capital of [X] is [Y] .,Adelaide,"As South Australia's seat of government and commercial centre, [MASK] is the site of many governmental and financial institutions."
2521,Kingdom of Scotland,The capital of [X] is [Y] .,Edinburgh,"Set in late 15th-century England, the episode takes a humorous look at rivalries with the Kingdom of Scotland and centres the dramatic tension on the doubts cast over parentage of the lead character, Prince Edmund, Duke of [MASK]."
2566,Second Polish Republic,The capital of [X] is [Y] .,Warsaw,"A child prodigy, he completed his musical education and composed his earlier works in [MASK] before leaving Poland at the age of 20, less than a month before the outbreak of the November 1830 Uprising."
3693,Dhaka District,The capital of [X] is [Y] .,Dhaka,"The Dhaka High Court is one of the most important high courts in Bangladesh, located in the capital of [MASK] with jurisdiction for the Dhaka District."
3700,Reichskommissariat Moskowien,The capital of [X] is [Y] .,Moscow,"Reichskommissariat Moskowien (also rendered as [MASK], abbreviated as RKM; Russian: Рейхскомиссариат Московия), literally ""Reich Commissariat of Muscovy (or Moscow)"", was the civilian occupation regime that Nazi Germany intended to create in central and northern European Russia during World War II, one of several similar Reichskommissariate."
3702,Breathitt County,The capital of [X] is [Y] .,Jackson,Breathitt County High School (aka Breathitt High School) is a public high school located in the city of [MASK] nestled in the Appalachian Mountains of Eastern Kentucky.
3704,Gasconade County,The capital of [X] is [Y] .,Hermann,"The Hermann Bridge was a cantilevered truss bridge over the Missouri River at [MASK] between Gasconade County, Missouri and Montgomery County, Missouri."
3705,Canterbury Region,The capital of [X] is [Y] .,Christchurch,"Cantamath is a mathematics competition competed in [MASK], Canterbury, New Zealand by years 6 to 10 students."
3785,Kingdom of France,The capital of [X] is [Y] .,Paris,"The royal Flight to Varennes (French: Fuite à Varennes) during the night of 20–21 June 1791 was a significant episode in the French Revolution in which King Louis XVI of France, his queen Marie Antoinette, and their immediate family attempted unsuccessfully to escape from [MASK] in order to initiate a counter-revolution at the head of loyal troops under royalist officers concentrated at Montmédy near the frontier."
4034,Bremen-Verden,The capital of [X] is [Y] .,Stade,"The High-Bailiwick of [MASK], being a mere administrative unit of the integrated Kingdom of Hanover, was named after and seated in Stade, Bremen-Verden's former capital, taking over its staff, installations and buildings."
4039,Alberta,The capital of [X] is [Y] .,Edmonton,"Alberta's capital [MASK] is near the geographic centre of the province and is the primary supply and service hub for Canada's crude oil, oil sands (Athabasca oil sands) and other northern resource industries."
4537,Athens County,The capital of [X] is [Y] .,Athens,"The Post is a student-run newspaper in [MASK], that covers Ohio University and Athens County."
4541,La Condamine,The capital of [X] is [Y] .,Monaco,Les Révoires is a north eastern residential and tourist area; part of the traditional Quartier of La Condamine in the Principality of [MASK].
4547,Ouachita County,The capital of [X] is [Y] .,Camden,"The Camden Confederate Monument, also known as the Confederate Women's Memorial, is located on the grounds of the Ouachita County Courthouse in [MASK]."
4550,Germany,The capital of [X] is [Y] .,Berlin,Bonn serves alongside the capital [MASK] as the seat of government of Germany.
5074,First Republic of Armenia,The capital of [X] is [Y] .,Yerevan,"After World War I, [MASK] became the capital of the First Republic of Armenia as thousands of survivors of the Armenian Genocide in the Ottoman Empire settled in the area."
