,sub_label,template,obj_label,masked_sentence
0,Allan Peiper,[X] was born in [Y] .,Alexandra,"Allan Peiper (born 26 April 1960 in [MASK], Australia) is a former Professional cyclist, who competed in five Tour de France cycle races."
1,Allan Peiper,[X] was born in [Y] .,Alexandra,"Allan Peiper (born 26 April 1960 in [MASK], Australia) is a former Professional cyclist, who competed in five Tour de France cycle races."
2,Paul Mounsey,[X] was born in [Y] .,Scotland,NahooToo is the second album by [MASK] musician Paul Mounsey.
3,Paul Mounsey,[X] was born in [Y] .,Scotland,City of Walls is the fourth album by [MASK] musician Paul Mounsey released in 2003 (see 2003 in music).
4,Kurt Schwertsik,[X] was born in [Y] .,Vienna,"Kurt Schwertsik (born 25 June 1935, [MASK]) is an Austrian contemporary composer."
5,Kurt Schwertsik,[X] was born in [Y] .,Vienna,"Kurt Schwertsik (born 25 June 1935, [MASK]) is an Austrian contemporary composer."
6,Claude Arrieu,[X] was born in [Y] .,Paris,"Claude Arrieu (born [MASK], November 30, 1903 - died Paris, March 7, 1990) was a prolific French composer."
7,Claude Arrieu,[X] was born in [Y] .,Paris,"Claude Arrieu (born Paris, November 30, 1903 - died [MASK], March 7, 1990) was a prolific French composer."
8,Ryō Kase,[X] was born in [Y] .,Yokohama,"Ryo Kase (加瀬 亮 Kase Ryō, born November 9, 1974 in [MASK]) is a Japanese actor."
9,Ryō Kase,[X] was born in [Y] .,Yokohama,"Ryo Kase (加瀬 亮 Kase Ryō, born November 9, 1974 in [MASK]) is a Japanese actor."
10,Frans Floris I,[X] was born in [Y] .,Antwerp,"1228 – [MASK], March 26, 1258) ""the guardian""[citation needed] of Holland, son of Floris IV, Count of Holland (1210–1234) and Matilda of Brabant (ca."
11,Frans Floris I,[X] was born in [Y] .,Antwerp,"Floris was killed at a tournament in [MASK], and was buried in Middelburg."
12,Henry Heras,[X] was born in [Y] .,Barcelona,"Henry Heras (11 September 1888, [MASK] - 14 December 1955, Bombay, India) was a Spanish Jesuit priest, archeologist and historian in India."
13,Henry Heras,[X] was born in [Y] .,Barcelona,"Henry Heras (11 September 1888, [MASK] - 14 December 1955, Bombay, India) was a Spanish Jesuit priest, archeologist and historian in India."
14,Daniele Franceschini,[X] was born in [Y] .,Rome,Daniele Franceschini (born 13 January 1976 in [MASK]) is an Italian football midfielder.
15,Daniele Franceschini,[X] was born in [Y] .,Rome,Daniele Franceschini (born 13 January 1976 in [MASK]) is an Italian football midfielder.
16,Yeung Sum,[X] was born in [Y] .,Guangzhou,"Yeung Sum, SBS, JP (simplified Chinese: 杨森; traditional Chinese: 楊森; pinyin: Yáng Sēn; Jyutping: Joeng4 Sam1; born 22 November 1947 in [MASK], Guangdong with family roots in Zengcheng, Guangdong) is a Hong Kong politician and academic."
17,Yeung Sum,[X] was born in [Y] .,Guangzhou,"Yeung Sum, SBS, JP (simplified Chinese: 杨森; traditional Chinese: 楊森; pinyin: Yáng Sēn; Jyutping: Joeng4 Sam1; born 22 November 1947 in [MASK], Guangdong with family roots in Zengcheng, Guangdong) is a Hong Kong politician and academic."
18,Sajjad Ali,[X] was born in [Y] .,Lahore,"Other featuring artists in the fourth season included, Bilal Khan, progressive metal band Mizraab, Balouchi folk singer Akhtar Chanal Zahri, pop rock band Jal from [MASK], Kaavish, qawwal group of Fareed Ayaz & Abu Muhammad, Asif Hussain Samraat, Komal Rizvi, Sajjad Ali, Mole, QB and eastern classical Punjabi singer Attaullah Khan Esakhelvi."
19,Sajjad Ali,[X] was born in [Y] .,Lahore,"Sajjad Ali (born 24 August 1966) is a Pakistani semi-classical, pop and rock singer, poet, actor, director and producer from [MASK], Pakistan."
20,Giovanni Maria Morandi,[X] was born in [Y] .,Florence,"Giovanni Maria Morandi (30 April 1622 – 18 February 1717) was an Italian painter, mainly active in Rome and his natal city of [MASK], but also Venice."
21,Giovanni Maria Morandi,[X] was born in [Y] .,Florence,"Giovanni Maria Morandi (30 April 1622 – 18 February 1717) was an Italian painter, mainly active in Rome and his natal city of [MASK], but also Venice."
22,Brian Boyd,[X] was born in [Y] .,Belfast,"Brian Boyd (born 30 July 1952 in [MASK], Northern Ireland) is known primarily as an expert on the life and works of author Vladimir Nabokov and on literature and evolution."
23,Brian Boyd,[X] was born in [Y] .,Belfast,"Brian Boyd (born 30 July 1952 in [MASK], Northern Ireland) is known primarily as an expert on the life and works of author Vladimir Nabokov and on literature and evolution."
24,Maurice de Vlaminck,[X] was born in [Y] .,Paris,"In 1949 he visited [MASK] and was influenced by Georges Rouault, Maurice de Vlaminck and Maurice Utrillo."
