,answers,original,t5_0,t5_1,t5_2,t5_3
0,alexandra,"[{'token': 'melbourne', 'score': 0.373}, {'token': 'sydney', 'score': 0.347}, {'token': 'adelaide', 'score': 0.063}, {'token': 'perth', 'score': 0.06}, {'token': 'brisbane', 'score': 0.051}, {'token': 'canberra', 'score': 0.032}, {'token': 'geelong', 'score': 0.01}, {'token': 'victoria', 'score': 0.007}, {'token': 'queensland', 'score': 0.004}, {'token': 'newcastle', 'score': 0.003}]","[{'token': 'france', 'score': 0.998}, {'token': 'korea', 'score': 0.0}, {'token': 'taiwan', 'score': 0.0}, {'token': 'yorkshire', 'score': 0.0}, {'token': 'paris', 'score': 0.0}, {'token': 'berlin', 'score': 0.0}, {'token': 'germany', 'score': 0.0}, {'token': 'luxembourg', 'score': 0.0}, {'token': 'california', 'score': 0.0}, {'token': 'europe', 'score': 0.0}]","[{'token': 'france', 'score': 0.998}, {'token': 'korea', 'score': 0.0}, {'token': 'ski', 'score': 0.0}, {'token': 'yorkshire', 'score': 0.0}, {'token': 'europe', 'score': 0.0}, {'token': 'taiwan', 'score': 0.0}, {'token': 'berlin', 'score': 0.0}, {'token': 'germany', 'score': 0.0}, {'token': 'paris', 'score': 0.0}, {'token': 'hokkaido', 'score': 0.0}]","[{'token': 'france', 'score': 0.997}, {'token': 'korea', 'score': 0.0}, {'token': 'paris', 'score': 0.0}, {'token': 'taiwan', 'score': 0.0}, {'token': 'la', 'score': 0.0}, {'token': 'berlin', 'score': 0.0}, {'token': 'hokkaido', 'score': 0.0}, {'token': 'europe', 'score': 0.0}, {'token': 'yorkshire', 'score': 0.0}, {'token': 'california', 'score': 0.0}]","[{'token': 'france', 'score': 0.999}, {'token': 'la', 'score': 0.0}, {'token': 'paris', 'score': 0.0}, {'token': 'yorkshire', 'score': 0.0}, {'token': 'ski', 'score': 0.0}, {'token': 'europe', 'score': 0.0}, {'token': 'korea', 'score': 0.0}, {'token': 'germany', 'score': 0.0}, {'token': 'america', 'score': 0.0}, {'token': 'mer', 'score': 0.0}]"
1,doncaster,"[{'token': 'old', 'score': 0.213}, {'token': 'own', 'score': 0.199}, {'token': 'previous', 'score': 0.186}, {'token': 'former', 'score': 0.123}, {'token': 'home', 'score': 0.107}, {'token': 'original', 'score': 0.034}, {'token': 'local', 'score': 0.014}, {'token': 'earlier', 'score': 0.011}, {'token': 'parliamentary', 'score': 0.009}, {'token': 'constituency', 'score': 0.007}]","[{'token': 'own', 'score': 0.345}, {'token': 'parliamentary', 'score': 0.108}, {'token': 'old', 'score': 0.092}, {'token': 'former', 'score': 0.086}, {'token': 'home', 'score': 0.048}, {'token': 'local', 'score': 0.045}, {'token': 'constituency', 'score': 0.03}, {'token': 'new', 'score': 0.022}, {'token': 'county', 'score': 0.016}, {'token': 'previous', 'score': 0.013}]","[{'token': 'own', 'score': 0.684}, {'token': 'home', 'score': 0.042}, {'token': 'old', 'score': 0.027}, {'token': 'parliamentary', 'score': 0.026}, {'token': 'former', 'score': 0.025}, {'token': 'constituency', 'score': 0.021}, {'token': 'local', 'score': 0.016}, {'token': 'previous', 'score': 0.012}, {'token': 'birmingham', 'score': 0.011}, {'token': 'london', 'score': 0.006}]","[{'token': 'own', 'score': 0.508}, {'token': 'home', 'score': 0.085}, {'token': 'parliamentary', 'score': 0.078}, {'token': 'local', 'score': 0.039}, {'token': 'previous', 'score': 0.038}, {'token': 'constituency', 'score': 0.036}, {'token': 'old', 'score': 0.026}, {'token': 'former', 'score': 0.025}, {'token': 'original', 'score': 0.007}, {'token': 'london', 'score': 0.006}]",
2,scotland,"[{'token': 'british', 'score': 0.254}, {'token': 'australian', 'score': 0.214}, {'token': 'english', 'score': 0.118}, {'token': 'indian', 'score': 0.086}, {'token': 'canadian', 'score': 0.044}, {'token': 'american', 'score': 0.034}, {'token': 'the', 'score': 0.029}, {'token': 'scottish', 'score': 0.019}, {'token': 'irish', 'score': 0.013}, {'token': 'folk', 'score': 0.012}]","[{'token': 'london', 'score': 0.089}, {'token': 'oslo', 'score': 0.029}, {'token': 'england', 'score': 0.025}, {'token': 'manchester', 'score': 0.022}, {'token': 'bristol', 'score': 0.019}, {'token': 'canada', 'score': 0.019}, {'token': 'toronto', 'score': 0.018}, {'token': 'glasgow', 'score': 0.016}, {'token': 'sydney', 'score': 0.015}, {'token': 'australia', 'score': 0.013}]",,"[{'token': 'london', 'score': 0.127}, {'token': 'poland', 'score': 0.059}, {'token': 'england', 'score': 0.05}, {'token': 'australia', 'score': 0.042}, {'token': 'manchester', 'score': 0.027}, {'token': 'france', 'score': 0.026}, {'token': 'canada', 'score': 0.022}, {'token': 'melbourne', 'score': 0.02}, {'token': 'ireland', 'score': 0.019}, {'token': 'toronto', 'score': 0.018}]","[{'token': 'australia', 'score': 0.05}, {'token': 'london', 'score': 0.041}, {'token': 'uk', 'score': 0.032}, {'token': 'greece', 'score': 0.026}, {'token': 'today', 'score': 0.025}, {'token': 'it', 'score': 0.022}, {'token': 'ireland', 'score': 0.012}, {'token': 'england', 'score': 0.012}, {'token': 'boston', 'score': 0.011}, {'token': 'canada', 'score': 0.011}]"
3,toronto,"[{'token': 'jamaica', 'score': 0.393}, {'token': 'america', 'score': 0.215}, {'token': 'canada', 'score': 0.126}, {'token': 'today', 'score': 0.079}, {'token': 'jazz', 'score': 0.076}, {'token': 'reggae', 'score': 0.045}, {'token': 'world', 'score': 0.008}, {'token': 'music', 'score': 0.006}, {'token': 'britain', 'score': 0.006}, {'token': 'country', 'score': 0.006}]","[{'token': 'poland', 'score': 0.812}, {'token': 'warsaw', 'score': 0.09}, {'token': 'europe', 'score': 0.011}, {'token': 'chicago', 'score': 0.009}, {'token': 'jazz', 'score': 0.007}, {'token': 'america', 'score': 0.006}, {'token': 'polish', 'score': 0.005}, {'token': 'nyc', 'score': 0.003}, {'token': 'łodz', 'score': 0.003}, {'token': 'germany', 'score': 0.003}]",,"[{'token': 'uruguay', 'score': 0.37}, {'token': 'jazz', 'score': 0.288}, {'token': 'europe', 'score': 0.116}, {'token': 'montevideo', 'score': 0.056}, {'token': 'music', 'score': 0.033}, {'token': 'america', 'score': 0.023}, {'token': 'uruguayan', 'score': 0.012}, {'token': 'brazil', 'score': 0.008}, {'token': 'history', 'score': 0.007}, {'token': 'spain', 'score': 0.006}]","[{'token': 'greece', 'score': 0.474}, {'token': 'jazz', 'score': 0.172}, {'token': 'athens', 'score': 0.062}, {'token': 'america', 'score': 0.056}, {'token': 'today', 'score': 0.022}, {'token': 'chicago', 'score': 0.013}, {'token': 'music', 'score': 0.013}, {'token': 'nashville', 'score': 0.013}, {'token': 'atlanta', 'score': 0.012}, {'token': 'canada', 'score': 0.011}]"
4,vienna,"[{'token': 'vienna', 'score': 0.806}, {'token': 'graz', 'score': 0.085}, {'token': 'salzburg', 'score': 0.016}, {'token': 'munich', 'score': 0.014}, {'token': 'innsbruck', 'score': 0.012}, {'token': 'austria', 'score': 0.011}, {'token': 'wien', 'score': 0.009}, {'token': 'budapest', 'score': 0.005}, {'token': 'berlin', 'score': 0.004}, {'token': 'prague', 'score': 0.003}]","[{'token': 'kota', 'score': 0.999}, {'token': 'jaipur', 'score': 0.0}, {'token': 'town', 'score': 0.0}, {'token': 'agra', 'score': 0.0}, {'token': 'tata', 'score': 0.0}, {'token': '##kota', 'score': 0.0}, {'token': 'rajasthan', 'score': 0.0}, {'token': 'abu', 'score': 0.0}, {'token': 'here', 'score': 0.0}, {'token': 'it', 'score': 0.0}]","[{'token': 'athens', 'score': 0.91}, {'token': 'vienna', 'score': 0.03}, {'token': 'budapest', 'score': 0.008}, {'token': 'greece', 'score': 0.007}, {'token': 'munich', 'score': 0.006}, {'token': 'thessaloniki', 'score': 0.003}, {'token': 'paris', 'score': 0.003}, {'token': 'cairo', 'score': 0.002}, {'token': 'graz', 'score': 0.002}, {'token': 'austria', 'score': 0.002}]","[{'token': 'warsaw', 'score': 0.605}, {'token': 'vienna', 'score': 0.198}, {'token': 'krakow', 'score': 0.028}, {'token': 'wrocław', 'score': 0.017}, {'token': 'poznan', 'score': 0.012}, {'token': 'berlin', 'score': 0.01}, {'token': 'graz', 'score': 0.009}, {'token': 'łodz', 'score': 0.008}, {'token': 'wien', 'score': 0.006}, {'token': 'budapest', 'score': 0.006}]","[{'token': 'athens', 'score': 0.908}, {'token': 'greece', 'score': 0.012}, {'token': 'vienna', 'score': 0.007}, {'token': 'thessaloniki', 'score': 0.007}, {'token': 'paris', 'score': 0.005}, {'token': 'munich', 'score': 0.004}, {'token': 'budapest', 'score': 0.003}, {'token': 'crete', 'score': 0.002}, {'token': 'cairo', 'score': 0.002}, {'token': 'london', 'score': 0.002}]"
5,paris,"[{'token': 'paris', 'score': 0.453}, {'token': 'sydney', 'score': 0.192}, {'token': 'london', 'score': 0.032}, {'token': 'melbourne', 'score': 0.023}, {'token': 'montreal', 'score': 0.015}, {'token': 'lyon', 'score': 0.012}, {'token': 'bordeaux', 'score': 0.012}, {'token': 'marseille', 'score': 0.008}, {'token': 'france', 'score': 0.008}, {'token': 'brussels', 'score': 0.007}]","[{'token': 'montevideo', 'score': 0.817}, {'token': 'paris', 'score': 0.061}, {'token': 'uruguay', 'score': 0.029}, {'token': 'bordeaux', 'score': 0.009}, {'token': 'france', 'score': 0.006}, {'token': 'marseille', 'score': 0.006}, {'token': 'madrid', 'score': 0.003}, {'token': 'uruguayan', 'score': 0.003}, {'token': 'barcelona', 'score': 0.003}, {'token': 'montreal', 'score': 0.002}]","[{'token': 'clinton', 'score': 0.999}, {'token': 'greenville', 'score': 0.0}, {'token': 'washington', 'score': 0.0}, {'token': 'oxford', 'score': 0.0}, {'token': 'hudson', 'score': 0.0}, {'token': 'town', 'score': 0.0}, {'token': 'lillian', 'score': 0.0}, {'token': 'avon', 'score': 0.0}, {'token': 'greenwood', 'score': 0.0}, {'token': 'sampson', 'score': 0.0}]","[{'token': 'jamaica', 'score': 0.566}, {'token': 'jamaican', 'score': 0.345}, {'token': 'haitian', 'score': 0.012}, {'token': 'kingston', 'score': 0.009}, {'token': 'martinique', 'score': 0.006}, {'token': 'montreal', 'score': 0.005}, {'token': 'louisiana', 'score': 0.002}, {'token': 'french', 'score': 0.002}, {'token': 'toronto', 'score': 0.002}, {'token': 'canadian', 'score': 0.002}]","[{'token': 'clinton', 'score': 0.705}, {'token': 'here', 'score': 0.163}, {'token': 'there', 'score': 0.095}, {'token': 'nearby', 'score': 0.002}, {'token': 'greenville', 'score': 0.002}, {'token': 'in', 'score': 0.001}, {'token': 'washington', 'score': 0.001}, {'token': 'downtown', 'score': 0.001}, {'token': 'elsewhere', 'score': 0.001}, {'token': 'today', 'score': 0.0}]"
6,yokohama,"[{'token': 'tokyo', 'score': 0.738}, {'token': 'osaka', 'score': 0.069}, {'token': 'japan', 'score': 0.054}, {'token': 'yokohama', 'score': 0.017}, {'token': 'kyoto', 'score': 0.014}, {'token': 'kobe', 'score': 0.01}, {'token': 'okinawa', 'score': 0.009}, {'token': 'nagoya', 'score': 0.008}, {'token': 'hokkaido', 'score': 0.007}, {'token': 'fukuoka', 'score': 0.007}]","[{'token': 'tokyo', 'score': 0.599}, {'token': 'japan', 'score': 0.113}, {'token': 'montevideo', 'score': 0.088}, {'token': 'yokohama', 'score': 0.053}, {'token': 'fukuoka', 'score': 0.03}, {'token': 'uruguay', 'score': 0.015}, {'token': 'osaka', 'score': 0.008}, {'token': 'hokkaido', 'score': 0.008}, {'token': 'kyushu', 'score': 0.004}, {'token': 'nagasaki', 'score': 0.003}]","[{'token': 'oldham', 'score': 0.967}, {'token': 'manchester', 'score': 0.006}, {'token': 'rochdale', 'score': 0.005}, {'token': 'edmonton', 'score': 0.002}, {'token': 'huddersfield', 'score': 0.001}, {'token': 'middleton', 'score': 0.001}, {'token': 'croydon', 'score': 0.001}, {'token': 'glasgow', 'score': 0.001}, {'token': 'ashton', 'score': 0.0}, {'token': 'norwood', 'score': 0.0}]","[{'token': 'kota', 'score': 1.0}, {'token': 'jaipur', 'score': 0.0}, {'token': 'fukuoka', 'score': 0.0}, {'token': 'town', 'score': 0.0}, {'token': 'ljubljana', 'score': 0.0}, {'token': 'tata', 'score': 0.0}, {'token': 'here', 'score': 0.0}, {'token': 'lima', 'score': 0.0}, {'token': 'agra', 'score': 0.0}, {'token': 'honda', 'score': 0.0}]","[{'token': 'tokyo', 'score': 0.405}, {'token': 'osaka', 'score': 0.144}, {'token': 'japan', 'score': 0.048}, {'token': 'oldham', 'score': 0.023}, {'token': 'hiroshima', 'score': 0.019}, {'token': 'kobe', 'score': 0.018}, {'token': 'yokohama', 'score': 0.016}, {'token': 'sydney', 'score': 0.014}, {'token': 'seoul', 'score': 0.014}, {'token': 'nagoya', 'score': 0.014}]"
7,antwerp,"[{'token': 'london', 'score': 0.162}, {'token': 'amsterdam', 'score': 0.078}, {'token': 'holland', 'score': 0.04}, {'token': 'died', 'score': 0.036}, {'token': 'hague', 'score': 0.033}, {'token': 'leiden', 'score': 0.032}, {'token': 'england', 'score': 0.025}, {'token': 'baptized', 'score': 0.024}, {'token': 'paris', 'score': 0.023}, {'token': 'english', 'score': 0.018}]","[{'token': 'england', 'score': 0.472}, {'token': 'sydney', 'score': 0.19}, {'token': 'london', 'score': 0.045}, {'token': 'australia', 'score': 0.025}, {'token': 'europe', 'score': 0.017}, {'token': 'britain', 'score': 0.017}, {'token': 'scotland', 'score': 0.013}, {'token': 'ireland', 'score': 0.012}, {'token': 'holland', 'score': 0.012}, {'token': 'wales', 'score': 0.01}]","[{'token': 'england', 'score': 0.405}, {'token': 'holland', 'score': 0.187}, {'token': 'flanders', 'score': 0.071}, {'token': 'france', 'score': 0.041}, {'token': 'europe', 'score': 0.029}, {'token': 'germany', 'score': 0.026}, {'token': 'australia', 'score': 0.02}, {'token': 'normandy', 'score': 0.014}, {'token': 'utrecht', 'score': 0.009}, {'token': 'denmark', 'score': 0.009}]","[{'token': 'amsterdam', 'score': 0.196}, {'token': 'utrecht', 'score': 0.137}, {'token': 'leiden', 'score': 0.086}, {'token': 'antwerp', 'score': 0.084}, {'token': 'holland', 'score': 0.066}, {'token': 'brussels', 'score': 0.032}, {'token': 'hague', 'score': 0.023}, {'token': 'rotterdam', 'score': 0.022}, {'token': 'stockholm', 'score': 0.019}, {'token': 'ghent', 'score': 0.014}]",
8,barcelona,"[{'token': 'spain', 'score': 0.178}, {'token': 'barcelona', 'score': 0.143}, {'token': 'madrid', 'score': 0.077}, {'token': 'london', 'score': 0.028}, {'token': 'paris', 'score': 0.025}, {'token': 'trinidad', 'score': 0.018}, {'token': 'seville', 'score': 0.018}, {'token': 'lisbon', 'score': 0.015}, {'token': 'dublin', 'score': 0.013}, {'token': 'gibraltar', 'score': 0.013}]","[{'token': '1900', 'score': 0.035}, {'token': '1896', 'score': 0.034}, {'token': '1892', 'score': 0.03}, {'token': '1891', 'score': 0.028}, {'token': '1898', 'score': 0.026}, {'token': '1899', 'score': 0.024}, {'token': '1894', 'score': 0.023}, {'token': '1888', 'score': 0.022}, {'token': '1904', 'score': 0.021}, {'token': '1884', 'score': 0.02}]","[{'token': 'india', 'score': 0.998}, {'token': 'bombay', 'score': 0.001}, {'token': 'maharashtra', 'score': 0.001}, {'token': 'mumbai', 'score': 0.0}, {'token': 'gujarat', 'score': 0.0}, {'token': 'pakistan', 'score': 0.0}, {'token': 'indian', 'score': 0.0}, {'token': 'asia', 'score': 0.0}, {'token': 'africa', 'score': 0.0}, {'token': 'goa', 'score': 0.0}]","[{'token': 'barcelona', 'score': 0.195}, {'token': 'paris', 'score': 0.116}, {'token': 'rome', 'score': 0.096}, {'token': 'madrid', 'score': 0.065}, {'token': 'spain', 'score': 0.059}, {'token': 'london', 'score': 0.029}, {'token': 'lisbon', 'score': 0.021}, {'token': 'athens', 'score': 0.016}, {'token': 'goa', 'score': 0.014}, {'token': 'constantinople', 'score': 0.014}]","[{'token': 'jamaica', 'score': 0.534}, {'token': 'spain', 'score': 0.178}, {'token': 'cuba', 'score': 0.051}, {'token': 'europe', 'score': 0.024}, {'token': 'america', 'score': 0.022}, {'token': 'trinidad', 'score': 0.019}, {'token': 'mexico', 'score': 0.015}, {'token': 'honduras', 'score': 0.012}, {'token': 'guatemala', 'score': 0.011}, {'token': 'england', 'score': 0.009}]"
9,rome,"[{'token': 'rome', 'score': 0.3}, {'token': 'milan', 'score': 0.15}, {'token': 'turin', 'score': 0.091}, {'token': 'bologna', 'score': 0.037}, {'token': 'oslo', 'score': 0.036}, {'token': 'genoa', 'score': 0.036}, {'token': 'italy', 'score': 0.031}, {'token': 'verona', 'score': 0.031}, {'token': 'florence', 'score': 0.021}, {'token': 'naples', 'score': 0.018}]","[{'token': 'athens', 'score': 0.969}, {'token': 'greece', 'score': 0.009}, {'token': 'thessaloniki', 'score': 0.002}, {'token': 'rome', 'score': 0.001}, {'token': 'olympia', 'score': 0.001}, {'token': 'alexandria', 'score': 0.001}, {'token': 'crete', 'score': 0.001}, {'token': 'cairo', 'score': 0.001}, {'token': 'sparta', 'score': 0.001}, {'token': 'london', 'score': 0.0}]","[{'token': 'montevideo', 'score': 0.979}, {'token': 'uruguay', 'score': 0.014}, {'token': 'uruguayan', 'score': 0.002}, {'token': 'cerro', 'score': 0.0}, {'token': 'rosario', 'score': 0.0}, {'token': 'rivera', 'score': 0.0}, {'token': 'padua', 'score': 0.0}, {'token': 'amelia', 'score': 0.0}, {'token': 'here', 'score': 0.0}, {'token': 'bogota', 'score': 0.0}]","[{'token': 'milan', 'score': 0.294}, {'token': 'rome', 'score': 0.216}, {'token': 'italy', 'score': 0.151}, {'token': 'florence', 'score': 0.054}, {'token': 'turin', 'score': 0.041}, {'token': 'genoa', 'score': 0.037}, {'token': 'bologna', 'score': 0.033}, {'token': 'naples', 'score': 0.029}, {'token': 'warsaw', 'score': 0.011}, {'token': 'pisa', 'score': 0.01}]","[{'token': 'kota', 'score': 0.999}, {'token': 'jaipur', 'score': 0.0}, {'token': 'town', 'score': 0.0}, {'token': 'agra', 'score': 0.0}, {'token': 'rajasthan', 'score': 0.0}, {'token': 'tata', 'score': 0.0}, {'token': 'odisha', 'score': 0.0}, {'token': 'here', 'score': 0.0}, {'token': '##kota', 'score': 0.0}, {'token': 'kolkata', 'score': 0.0}]"
