obj_label,masked_sentence,masked_sentence_roberta
lebanon,"Khatchig Mouradian is a journalist, writer and translator born in [MASK] .","Khatchig Mouradian is a journalist, writer and translator born in <mask> ."
glasgow,"Born in [MASK], Stephen became a welder's apprentice on leaving school .","Born in <mask>, Stephen became a welder's apprentice on leaving school ."
australia,Georgina Willis is an award winning film director who was born in [MASK] and now lives in London .,Georgina Willis is an award winning film director who was born in <mask> and now lives in London .
philadelphia,"Corrsin was born on 3 April 1920 in [MASK], Pennsylvania .","Corrsin was born on 3 April 1920 in <mask>, Pennsylvania ."
rome,Eduard Ender (3 March 1822 [MASK] -- 28 December 1883 London) was an Austrian painter .,Eduard Ender (3 March 1822 <mask> -- 28 December 1883 London) was an Austrian painter .
boston,"Lucy Toulmin Smith was born at [MASK], Massachusetts, USA, on 21 November 1838, of English parents, Joshua Toulmin Smith and his wife Martha .","Lucy Toulmin Smith was born at <mask>, Massachusetts, USA, on 21 November 1838, of English parents, Joshua Toulmin Smith and his wife Martha ."
rochester,Osborn was born at [MASK] in 1808 .,Osborn was born at <mask> in 1808 .
sheffield,"Born in [MASK], Hofton began his career at Kiveton Park, before moving to Glossop via Worksop Town and Denaby United in April 1908 .","Born in <mask>, Hofton began his career at Kiveton Park, before moving to Glossop via Worksop Town and Denaby United in April 1908 ."
honolulu,"Chiyoki Ikeda (born 3-11-1920 [MASK], Hawaii; died 3-17.1960) was listed in the CIA Memorial Wall on May 14, 1997 .","Chiyoki Ikeda (born 3-11-1920 <mask>, Hawaii; died 3-17.1960) was listed in the CIA Memorial Wall on May 14, 1997 ."
sacramento,"Geoffrey Nutter is an American poet, born in [MASK] and based in New York .","Geoffrey Nutter is an American poet, born in <mask> and based in New York ."
copenhagen,"Born in [MASK], Kleven played as a midfielder for AB from 1927 to 1944 .","Born in <mask>, Kleven played as a midfielder for AB from 1927 to 1944 ."
belgium,"Born in 1953 in [MASK], he studied interior architecture before working as an illustrator and starting to draw graphic novels .","Born in 1953 in <mask>, he studied interior architecture before working as an illustrator and starting to draw graphic novels ."
morocco,"Naïma Azough (born April 1, 1972 in Asdif, [MASK]) is a Dutch politician for GreenLeft .","Naïma Azough (born April 1, 1972 in Asdif, <mask>) is a Dutch politician for GreenLeft ."
bucharest,"Eugenia Popa (born September 10, 1973 in [MASK], Romania) is a retired Romanian artistic gymnast .","Eugenia Popa (born September 10, 1973 in <mask>, Romania) is a retired Romanian artistic gymnast ."
boston,"Douglas P Fry (born 20 September 1953 in [MASK]), is a docent and professor of anthropology, teacher in the Faculty of Social and Caring Sciences at Åbo Akademi University in Finland and adjunct research scientist in the Bureau of Applied Research in Anthropology at the University of Arizona .","Douglas P Fry (born 20 September 1953 in <mask>), is a docent and professor of anthropology, teacher in the Faculty of Social and Caring Sciences at Åbo Akademi University in Finland and adjunct research scientist in the Bureau of Applied Research in Anthropology at the University of Arizona ."
stockholm,Hans Gefors (born 8 December 1952 in [MASK]) is a Swedish composer .,Hans Gefors (born 8 December 1952 in <mask>) is a Swedish composer .
lahore,"Sohail Fazal (born November 11, 1967, [MASK], Punjab) is a former Pakistani cricketer who played two ODIs in 1989 .","Sohail Fazal (born November 11, 1967, <mask>, Punjab) is a former Pakistani cricketer who played two ODIs in 1989 ."
virginia,"Born in [MASK], Johnson completed preparatory studies .","Born in <mask>, Johnson completed preparatory studies ."
oslo,"Håvard Rem (born 7 February 1959 in [MASK]) is a Norwegian author, living in Telemark .","Håvard Rem (born 7 February 1959 in <mask>) is a Norwegian author, living in Telemark ."
germany,"Father Hubert Schiffer, born in [MASK] in 1915, was one of eight Jesuits who survived the bomb dropped on Hiroshima .","Father Hubert Schiffer, born in <mask> in 1915, was one of eight Jesuits who survived the bomb dropped on Hiroshima ."
concord,"Born in [MASK], New South Wales, Petch attended Putney Primary School and Fort Street Boys High School before receiving his tertiary education in electrical engineering and music at Sydney Technical College .","Born in <mask>, New South Wales, Petch attended Putney Primary School and Fort Street Boys High School before receiving his tertiary education in electrical engineering and music at Sydney Technical College ."
venice,"Guido Marzorati (born 1975, [MASK], Italy) is a guitarist, singer, and songwriter .","Guido Marzorati (born 1975, <mask>, Italy) is a guitarist, singer, and songwriter ."
detroit,"Sean Hickey is a composer, born in [MASK], Michigan, in 1970 and currently based in New York .","Sean Hickey is a composer, born in <mask>, Michigan, in 1970 and currently based in New York ."
constantinople,"Born in [MASK], de Castro was educated in Paris and Vienna .","Born in <mask>, de Castro was educated in Paris and Vienna ."
reading,"Lloyd Goffe (born 30 January 1913 in [MASK] - died 1984)was a motorcycle speedway rider who started racing at Custom House for the West Ham Hammers in 1937, transferring to the Harringay Racers that season .","Lloyd Goffe (born 30 January 1913 in <mask> - died 1984)was a motorcycle speedway rider who started racing at Custom House for the West Ham Hammers in 1937, transferring to the Harringay Racers that season ."
prague,"Alois Wachsman (14 May 1898 [MASK] - 16 May 1942 Jičín) was a Czech painter, stage designer and architect .","Alois Wachsman (14 May 1898 <mask> - 16 May 1942 Jičín) was a Czech painter, stage designer and architect ."
trenton,"Born in [MASK], New Jersey, Connor attended parochial schools as a child, graduating first in his class from Notre Dame High School in Lawrenceville .","Born in <mask>, New Jersey, Connor attended parochial schools as a child, graduating first in his class from Notre Dame High School in Lawrenceville ."
tehran,"Mohammad Hossein Barkhah (, born 24 January 1977 in [MASK]) is a retired weightlifting champion in Iran .","Mohammad Hossein Barkhah (, born 24 January 1977 in <mask>) is a retired weightlifting champion in Iran ."
inverness,"James Robert Rhind, architect, was born in [MASK], Scotland in 1854 and trained as an architect in his father's local practice .","James Robert Rhind, architect, was born in <mask>, Scotland in 1854 and trained as an architect in his father's local practice ."
salford,"Danny Seward is a British television actor who was born in [MASK], Greater Manchester, England on 17 May 1976 .","Danny Seward is a British television actor who was born in <mask>, Greater Manchester, England on 17 May 1976 ."
rotterdam,"Stephen Grey (b. 1968 in [MASK], Netherlands) is an award-winning British investigative journalist and author best known for revealing details of the CIA's program of 'extraordinary rendition .","Stephen Grey (b. 1968 in <mask>, Netherlands) is an award-winning British investigative journalist and author best known for revealing details of the CIA's program of 'extraordinary rendition ."
munich,Marcus Junkelmann (* Oct 2 1949 in [MASK]) is a German historian and experimental archeologist .,Marcus Junkelmann (* Oct 2 1949 in <mask>) is a German historian and experimental archeologist .
toronto,"Born in [MASK], he studied singing at The Royal Conservatory of Music with George Lambert from 1965-71 .","Born in <mask>, he studied singing at The Royal Conservatory of Music with George Lambert from 1965-71 ."
philadelphia,"Graham Salisbury (also known as Sandy Salisbury) (born April 11, 1944, [MASK], Pennsylvania) is an American author .","Graham Salisbury (also known as Sandy Salisbury) (born April 11, 1944, <mask>, Pennsylvania) is an American author ."
jamaica,"Bunny Johnson born 10 May 1947 in [MASK] is a retired boxer who was British heavyweight Champion in 1975 beating Danny McAlinden by a knockout, becoming in the process Britain's first Black Heavyweight Boxing Champion .","Bunny Johnson born 10 May 1947 in <mask> is a retired boxer who was British heavyweight Champion in 1975 beating Danny McAlinden by a knockout, becoming in the process Britain's first Black Heavyweight Boxing Champion ."
belgrade,"Miha Brejc was born to a Slovene family in [MASK], Serbia, Yugoslavia .","Miha Brejc was born to a Slovene family in <mask>, Serbia, Yugoslavia ."
england,"Gordon Baldwin born 1932 in Lincoln, [MASK] is an influential British studio potter .","Gordon Baldwin born 1932 in Lincoln, <mask> is an influential British studio potter ."
morocco,"Shlomo Shriki, Israeli painter and artist, born in [MASK] (1949), grew up and was educated in Kibbutz Yifat .","Shlomo Shriki, Israeli painter and artist, born in <mask> (1949), grew up and was educated in Kibbutz Yifat ."
odessa,"Tatiana Belokonenko (, ) is a figurative art painter born in [MASK], Ukraine .","Tatiana Belokonenko (, ) is a figurative art painter born in <mask>, Ukraine ."
derby,"Rob Childs (born 3 November 1950, in [MASK], England) is a British author, who has written over eighty books, mainly aimed at young people .","Rob Childs (born 3 November 1950, in <mask>, England) is a British author, who has written over eighty books, mainly aimed at young people ."
crete,"Andreas Musalus was born to a noble Greek family in 1665, in Candia on the island of [MASK] .","Andreas Musalus was born to a noble Greek family in 1665, in Candia on the island of <mask> ."
naples,"Born in [MASK], Bonini studied singing with Beniamino Carelli at the Conservatory of San Pietro a Majella in his native city .","Born in <mask>, Bonini studied singing with Beniamino Carelli at the Conservatory of San Pietro a Majella in his native city ."
scotland,"Born in [MASK], Carter was educated at Currie High School, Edinburgh .","Born in <mask>, Carter was educated at Currie High School, Edinburgh ."
belfast,"Born in [MASK] to a Protestant family, Macgougan became an active trade unionist at an early age, and joined the Socialist Party of Northern Ireland, a Northern Ireland Labour Party-affiliate split from the Independent Labour Party (NILP) .","Born in <mask> to a Protestant family, Macgougan became an active trade unionist at an early age, and joined the Socialist Party of Northern Ireland, a Northern Ireland Labour Party-affiliate split from the Independent Labour Party (NILP) ."
sydney,"Julia Wilson (born 23 September 1978 in [MASK]) is a rower from Australia, who has won World Rowing Championships gold medals in the Eight and Four for her native country in 2001 and she picked up a silver medal in the Eight at the 2002 World Championship .","Julia Wilson (born 23 September 1978 in <mask>) is a rower from Australia, who has won World Rowing Championships gold medals in the Eight and Four for her native country in 2001 and she picked up a silver medal in the Eight at the 2002 World Championship ."
shanghai,Wang Yong (born 29 January 1979 in [MASK]) is a male Chinese water polo player who was part of the gold medal winning team at the 2006 Asian Games .,Wang Yong (born 29 January 1979 in <mask>) is a male Chinese water polo player who was part of the gold medal winning team at the 2006 Asian Games .
lisbon,"Sofia Ester was born in 1978, in [MASK] .","Sofia Ester was born in 1978, in <mask> ."
australia,Nathan Long born in [MASK] is a former rugby league player .,Nathan Long born in <mask> is a former rugby league player .
tirana,"Ylli Bufi (born 25 May 1948, [MASK]) is an Albanian politician who served briefly as Prime Minister of Albania in 1991 .","Ylli Bufi (born 25 May 1948, <mask>) is an Albanian politician who served briefly as Prime Minister of Albania in 1991 ."
edinburgh,"Born in [MASK], he was the oldest son of Sir Andrew Agnew, 7th Baronet and his wife Madeline Carnegie, daughter of Sir David Carnegie, 4th Baronet .","Born in <mask>, he was the oldest son of Sir Andrew Agnew, 7th Baronet and his wife Madeline Carnegie, daughter of Sir David Carnegie, 4th Baronet ."
