,answers,original,t5_0,t5_1,t5_2,t5_3
0,baku,"[{'token': 'azerbaijan', 'score': 0.304}, {'token': 'bam', 'score': 0.091}, {'token': 'aku', 'score': 0.061}, {'token': 'bor', 'score': 0.051}, {'token': 'tehran', 'score': 0.035}, {'token': 'az', 'score': 0.033}, {'token': 'kut', 'score': 0.033}, {'token': 'bab', 'score': 0.022}, {'token': 'b', 'score': 0.02}, {'token': 'van', 'score': 0.02}]","[{'token': 'many', 'score': 0.517}, {'token': '200', 'score': 0.026}, {'token': '150', 'score': 0.025}, {'token': 'several', 'score': 0.022}, {'token': '100', 'score': 0.021}, {'token': '400', 'score': 0.016}, {'token': '300', 'score': 0.016}, {'token': '500', 'score': 0.015}, {'token': '40', 'score': 0.012}, {'token': '50', 'score': 0.012}]","[{'token': 'many', 'score': 0.763}, {'token': 'several', 'score': 0.034}, {'token': '200', 'score': 0.016}, {'token': '150', 'score': 0.014}, {'token': '100', 'score': 0.012}, {'token': '50', 'score': 0.01}, {'token': '40', 'score': 0.01}, {'token': '30', 'score': 0.01}, {'token': '60', 'score': 0.008}, {'token': '70', 'score': 0.008}]","[{'token': 'many', 'score': 0.498}, {'token': '200', 'score': 0.049}, {'token': '500', 'score': 0.048}, {'token': '400', 'score': 0.039}, {'token': '300', 'score': 0.033}, {'token': '150', 'score': 0.023}, {'token': '250', 'score': 0.016}, {'token': '100', 'score': 0.015}, {'token': '600', 'score': 0.012}, {'token': 'countless', 'score': 0.011}]","[{'token': '25', 'score': 0.049}, {'token': '400', 'score': 0.033}, {'token': '20', 'score': 0.032}, {'token': 'many', 'score': 0.027}, {'token': '100', 'score': 0.025}, {'token': '200', 'score': 0.024}, {'token': '500', 'score': 0.024}, {'token': '250', 'score': 0.02}, {'token': '300', 'score': 0.019}, {'token': '17', 'score': 0.019}]"
1,brody,"[{'token': 'donetsk', 'score': 0.776}, {'token': 'kiev', 'score': 0.195}, {'token': 'the', 'score': 0.004}, {'token': 'osh', 'score': 0.003}, {'token': 'ky', 'score': 0.002}, {'token': 'this', 'score': 0.002}, {'token': 'lv', 'score': 0.002}, {'token': 'a', 'score': 0.002}, {'token': 'moscow', 'score': 0.002}, {'token': 'don', 'score': 0.001}]","[{'token': 'ukrainian', 'score': 0.068}, {'token': 'ivan', 'score': 0.062}, {'token': 'alexander', 'score': 0.028}, {'token': 'kiev', 'score': 0.027}, {'token': 'national', 'score': 0.024}, {'token': 'stefan', 'score': 0.021}, {'token': 'sergei', 'score': 0.018}, {'token': 'new', 'score': 0.017}, {'token': 'anton', 'score': 0.015}, {'token': 'igor', 'score': 0.014}]","[{'token': 'the', 'score': 0.82}, {'token': 'this', 'score': 0.1}, {'token': 'that', 'score': 0.012}, {'token': 'don', 'score': 0.006}, {'token': 'roman', 'score': 0.004}, {'token': 'new', 'score': 0.003}, {'token': 'the', 'score': 0.003}, {'token': 'same', 'score': 0.002}, {'token': 'in', 'score': 0.002}, {'token': 'bro', 'score': 0.001}]","[{'token': 'the', 'score': 0.411}, {'token': 'as', 'score': 0.101}, {'token': 'ukrainian', 'score': 0.057}, {'token': 'ivan', 'score': 0.034}, {'token': 'the', 'score': 0.033}, {'token': 'kiev', 'score': 0.031}, {'token': 'ukraine', 'score': 0.017}, {'token': ',', 'score': 0.013}, {'token': 'crimean', 'score': 0.011}, {'token': ':', 'score': 0.01}]","[{'token': 'kiev', 'score': 0.518}, {'token': 'donetsk', 'score': 0.458}, {'token': 'lv', 'score': 0.007}, {'token': 'osh', 'score': 0.002}, {'token': 'ky', 'score': 0.002}, {'token': 'ukrainian', 'score': 0.001}, {'token': 'moscow', 'score': 0.001}, {'token': 'ukraine', 'score': 0.001}, {'token': 'the', 'score': 0.001}, {'token': 'this', 'score': 0.001}]"
2,chicago,"[{'token': 'chicago', 'score': 0.981}, {'token': 'cook', 'score': 0.01}, {'token': 'it', 'score': 0.008}, {'token': 'this', 'score': 0.0}, {'token': 'chicago', 'score': 0.0}, {'token': 'normal', 'score': 0.0}, {'token': 'jackson', 'score': 0.0}, {'token': 'henry', 'score': 0.0}, {'token': 'gary', 'score': 0.0}, {'token': 'anderson', 'score': 0.0}]","[{'token': 'center', 'score': 0.807}, {'token': 'seat', 'score': 0.119}, {'token': 'centre', 'score': 0.023}, {'token': 'district', 'score': 0.012}, {'token': 'headquarters', 'score': 0.009}, {'token': 'county', 'score': 0.005}, {'token': 'jurisdiction', 'score': 0.003}, {'token': 'office', 'score': 0.002}, {'token': 'region', 'score': 0.002}, {'token': 'hub', 'score': 0.002}]","[{'token': 'chicago', 'score': 0.91}, {'token': 'this', 'score': 0.059}, {'token': 'it', 'score': 0.01}, {'token': 'that', 'score': 0.004}, {'token': 'detroit', 'score': 0.003}, {'token': 'jackson', 'score': 0.002}, {'token': 'cook', 'score': 0.002}, {'token': 'madison', 'score': 0.001}, {'token': 'dallas', 'score': 0.001}, {'token': 'atlanta', 'score': 0.0}]","[{'token': 'illinois', 'score': 0.981}, {'token': 'chicago', 'score': 0.011}, {'token': 'indiana', 'score': 0.006}, {'token': 'missouri', 'score': 0.0}, {'token': 'wisconsin', 'score': 0.0}, {'token': 'america', 'score': 0.0}, {'token': 'minnesota', 'score': 0.0}, {'token': 'michigan', 'score': 0.0}, {'token': 'california', 'score': 0.0}, {'token': 'iowa', 'score': 0.0}]","[{'token': 'chicago', 'score': 0.993}, {'token': 'springfield', 'score': 0.005}, {'token': 'cook', 'score': 0.001}, {'token': 'aurora', 'score': 0.0}, {'token': 'loop', 'score': 0.0}, {'token': 'chicago', 'score': 0.0}, {'token': 'illinois', 'score': 0.0}, {'token': 'harrison', 'score': 0.0}, {'token': 'downtown', 'score': 0.0}, {'token': 'morton', 'score': 0.0}]"
3,richmond,"[{'token': 'dallas', 'score': 0.368}, {'token': 'houston', 'score': 0.344}, {'token': 'austin', 'score': 0.068}, {'token': 'montgomery', 'score': 0.019}, {'token': 'arlington', 'score': 0.016}, {'token': 'victoria', 'score': 0.015}, {'token': 'richmond', 'score': 0.012}, {'token': 'richardson', 'score': 0.008}, {'token': 'garland', 'score': 0.008}, {'token': 'irving', 'score': 0.007}]","[{'token': 'houston', 'score': 0.254}, {'token': 'dallas', 'score': 0.087}, {'token': 'victoria', 'score': 0.073}, {'token': 'austin', 'score': 0.068}, {'token': 'richmond', 'score': 0.065}, {'token': 'rosenberg', 'score': 0.064}, {'token': 'georgetown', 'score': 0.029}, {'token': 'alvin', 'score': 0.026}, {'token': 'richardson', 'score': 0.019}, {'token': 'arlington', 'score': 0.016}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'houston', 'score': 0.419}, {'token': 'dallas', 'score': 0.38}, {'token': 'austin', 'score': 0.07}, {'token': 'montgomery', 'score': 0.016}, {'token': 'arlington', 'score': 0.008}, {'token': 'richmond', 'score': 0.006}, {'token': 'atlanta', 'score': 0.006}, {'token': 'victoria', 'score': 0.005}, {'token': 'richardson', 'score': 0.005}, {'token': 'birmingham', 'score': 0.004}]","[{'token': 'houston', 'score': 0.363}, {'token': 'dallas', 'score': 0.132}, {'token': 'austin', 'score': 0.066}, {'token': 'richmond', 'score': 0.061}, {'token': 'victoria', 'score': 0.06}, {'token': 'rosenberg', 'score': 0.03}, {'token': 'georgetown', 'score': 0.022}, {'token': 'richardson', 'score': 0.018}, {'token': 'alvin', 'score': 0.015}, {'token': 'pasadena', 'score': 0.015}]"
4,auburn,"[{'token': 'albany', 'score': 0.222}, {'token': 'buffalo', 'score': 0.117}, {'token': 'brooklyn', 'score': 0.088}, {'token': 'syracuse', 'score': 0.036}, {'token': 'rochester', 'score': 0.031}, {'token': 'troy', 'score': 0.03}, {'token': 'ohio', 'score': 0.025}, {'token': 'auburn', 'score': 0.024}, {'token': 'rome', 'score': 0.017}, {'token': 'manhattan', 'score': 0.015}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'associate', 'score': 0.102}, {'token': 'ohio', 'score': 0.078}, {'token': 'illinois', 'score': 0.077}, {'token': 'interim', 'score': 0.061}, {'token': 'assistant', 'score': 0.059}, {'token': 'alabama', 'score': 0.058}, {'token': 'alternate', 'score': 0.056}, {'token': 'state', 'score': 0.052}, {'token': 'independent', 'score': 0.043}, {'token': 'iowa', 'score': 0.035}]","[{'token': 'albany', 'score': 0.21}, {'token': 'buffalo', 'score': 0.096}, {'token': 'ohio', 'score': 0.074}, {'token': 'pennsylvania', 'score': 0.04}, {'token': 'connecticut', 'score': 0.033}, {'token': 'brooklyn', 'score': 0.029}, {'token': 'syracuse', 'score': 0.029}, {'token': 'cincinnati', 'score': 0.025}, {'token': 'florida', 'score': 0.024}, {'token': 'rochester', 'score': 0.022}]","[{'token': 'albany', 'score': 0.295}, {'token': 'buffalo', 'score': 0.118}, {'token': 'florida', 'score': 0.041}, {'token': 'ohio', 'score': 0.033}, {'token': 'rochester', 'score': 0.029}, {'token': 'syracuse', 'score': 0.028}, {'token': 'connecticut', 'score': 0.025}, {'token': 'california', 'score': 0.023}, {'token': 'brooklyn', 'score': 0.023}, {'token': 'canada', 'score': 0.02}]"
5,windsor,"[{'token': 'queensland', 'score': 0.218}, {'token': 'sydney', 'score': 0.202}, {'token': 'adelaide', 'score': 0.184}, {'token': 'brisbane', 'score': 0.114}, {'token': 'melbourne', 'score': 0.07}, {'token': 'tasmania', 'score': 0.064}, {'token': 'victoria', 'score': 0.063}, {'token': 'perth', 'score': 0.027}, {'token': 'canberra', 'score': 0.016}, {'token': 'darwin', 'score': 0.007}]","[{'token': 'victoria', 'score': 0.512}, {'token': 'hamilton', 'score': 0.106}, {'token': 'meanwhile', 'score': 0.076}, {'token': 'australia', 'score': 0.026}, {'token': 'however', 'score': 0.019}, {'token': 'earlier', 'score': 0.011}, {'token': 'london', 'score': 0.01}, {'token': 'additionally', 'score': 0.008}, {'token': 'elizabeth', 'score': 0.007}, {'token': 'similarly', 'score': 0.007}]","[{'token': 'adelaide', 'score': 0.245}, {'token': 'sydney', 'score': 0.203}, {'token': 'brisbane', 'score': 0.152}, {'token': 'queensland', 'score': 0.108}, {'token': 'melbourne', 'score': 0.097}, {'token': 'perth', 'score': 0.041}, {'token': 'tasmania', 'score': 0.031}, {'token': 'victoria', 'score': 0.031}, {'token': 'canberra', 'score': 0.028}, {'token': 'darwin', 'score': 0.015}]","[{'token': 'queensland', 'score': 0.266}, {'token': 'adelaide', 'score': 0.185}, {'token': 'sydney', 'score': 0.145}, {'token': 'tasmania', 'score': 0.112}, {'token': 'brisbane', 'score': 0.068}, {'token': 'melbourne', 'score': 0.056}, {'token': 'victoria', 'score': 0.048}, {'token': 'perth', 'score': 0.024}, {'token': 'canberra', 'score': 0.018}, {'token': 'darwin', 'score': 0.014}]","[{'token': 'sydney', 'score': 0.173}, {'token': 'queensland', 'score': 0.164}, {'token': 'adelaide', 'score': 0.152}, {'token': 'brisbane', 'score': 0.109}, {'token': 'tasmania', 'score': 0.067}, {'token': 'melbourne', 'score': 0.051}, {'token': 'victoria', 'score': 0.045}, {'token': 'perth', 'score': 0.038}, {'token': 'darwin', 'score': 0.024}, {'token': 'canberra', 'score': 0.019}]"
6,strasbourg,"[{'token': 'paris', 'score': 0.752}, {'token': 'bourg', 'score': 0.123}, {'token': 'bern', 'score': 0.095}, {'token': ',', 'score': 0.005}, {'token': 'nice', 'score': 0.004}, {'token': '-', 'score': 0.003}, {'token': 'paris', 'score': 0.002}, {'token': '""', 'score': 0.001}, {'token': 'est', 'score': 0.001}, {'token': 'burg', 'score': 0.001}]","[{'token': 'paris', 'score': 0.423}, {'token': 'cologne', 'score': 0.127}, {'token': 'lyon', 'score': 0.085}, {'token': 'stras', 'score': 0.081}, {'token': 'frankfurt', 'score': 0.062}, {'token': 'bern', 'score': 0.044}, {'token': 'nancy', 'score': 0.036}, {'token': 'brussels', 'score': 0.033}, {'token': 'luxembourg', 'score': 0.019}, {'token': 'berlin', 'score': 0.018}]","[{'token': 'bern', 'score': 0.672}, {'token': 'paris', 'score': 0.258}, {'token': 'nice', 'score': 0.022}, {'token': 'main', 'score': 0.004}, {'token': 'it', 'score': 0.003}, {'token': 'est', 'score': 0.003}, {'token': 'sal', 'score': 0.002}, {'token': 'wolf', 'score': 0.002}, {'token': 'bourg', 'score': 0.002}, {'token': 'capital', 'score': 0.002}]","[{'token': 'brussels', 'score': 0.498}, {'token': 'paris', 'score': 0.426}, {'token': 'lyon', 'score': 0.055}, {'token': 'luxembourg', 'score': 0.007}, {'token': 'stras', 'score': 0.003}, {'token': 'prague', 'score': 0.002}, {'token': 'ely', 'score': 0.002}, {'token': 'berlin', 'score': 0.001}, {'token': 'frankfurt', 'score': 0.001}, {'token': 'nice', 'score': 0.001}]","[{'token': 'bern', 'score': 0.821}, {'token': 'paris', 'score': 0.156}, {'token': 'bourg', 'score': 0.004}, {'token': 'bas', 'score': 0.002}, {'token': 'nice', 'score': 0.001}, {'token': 'zig', 'score': 0.001}, {'token': '*', 'score': 0.001}, {'token': 'burg', 'score': 0.001}, {'token': ',', 'score': 0.001}, {'token': '-', 'score': 0.001}]"
7,shreveport,"[{'token': 'louisiana', 'score': 0.747}, {'token': 'la', 'score': 0.137}, {'token': 'la', 'score': 0.068}, {'token': 'texas', 'score': 0.026}, {'token': 'arkansas', 'score': 0.004}, {'token': 'usa', 'score': 0.002}, {'token': 'mississippi', 'score': 0.002}, {'token': 'ar', 'score': 0.001}, {'token': 'parish', 'score': 0.001}, {'token': 'lsu', 'score': 0.001}]","[{'token': 'louisiana', 'score': 0.668}, {'token': 'la', 'score': 0.223}, {'token': 'texas', 'score': 0.043}, {'token': 'usa', 'score': 0.018}, {'token': 'la', 'score': 0.013}, {'token': 'mississippi', 'score': 0.004}, {'token': 'arkansas', 'score': 0.003}, {'token': 'alabama', 'score': 0.002}, {'token': 'california', 'score': 0.002}, {'token': ',', 'score': 0.002}]","[{'token': ',', 'score': 0.641}, {'token': 'louisiana', 'score': 0.088}, {'token': 'back', 'score': 0.02}, {'token': 'texas', 'score': 0.018}, {'token': '.', 'score': 0.017}, {'token': 'in', 'score': 0.014}, {'token': 'usa', 'score': 0.011}, {'token': 'tuesday', 'score': 0.011}, {'token': 'today', 'score': 0.01}, {'token': 'saturday', 'score': 0.008}]","[{'token': ',', 'score': 0.943}, {'token': 'louisiana', 'score': 0.017}, {'token': 'was', 'score': 0.006}, {'token': 'is', 'score': 0.006}, {'token': 'in', 'score': 0.005}, {'token': 'texas', 'score': 0.004}, {'token': ';', 'score': 0.002}, {'token': '.', 'score': 0.001}, {'token': 'parish', 'score': 0.001}, {'token': 'alabama', 'score': 0.001}]","[{'token': ',', 'score': 0.885}, {'token': 'louisiana', 'score': 0.035}, {'token': 'in', 'score': 0.023}, {'token': 'la', 'score': 0.009}, {'token': '.', 'score': 0.008}, {'token': 'texas', 'score': 0.006}, {'token': 'usa', 'score': 0.004}, {'token': 'on', 'score': 0.002}, {'token': ',', 'score': 0.002}, {'token': 'la', 'score': 0.002}]"
8,lincoln,"[{'token': 'lincoln', 'score': 0.501}, {'token': 'nebraska', 'score': 0.365}, {'token': 'omaha', 'score': 0.126}, {'token': 'ne', 'score': 0.001}, {'token': 'norfolk', 'score': 0.0}, {'token': 'kansas', 'score': 0.0}, {'token': 'manhattan', 'score': 0.0}, {'token': 'oklahoma', 'score': 0.0}, {'token': 'denver', 'score': 0.0}, {'token': 'buffalo', 'score': 0.0}]","[{'token': 'nebraska', 'score': 0.382}, {'token': 'omaha', 'score': 0.074}, {'token': 'boston', 'score': 0.063}, {'token': 'lincoln', 'score': 0.031}, {'token': 'portland', 'score': 0.026}, {'token': 'oklahoma', 'score': 0.025}, {'token': 'louisiana', 'score': 0.02}, {'token': 'albuquerque', 'score': 0.019}, {'token': 'massachusetts', 'score': 0.017}, {'token': 'denver', 'score': 0.017}]","[{'token': 'this', 'score': 0.824}, {'token': 'it', 'score': 0.055}, {'token': 'that', 'score': 0.036}, {'token': 'here', 'score': 0.007}, {'token': 'portland', 'score': 0.003}, {'token': 'there', 'score': 0.002}, {'token': 'below', 'score': 0.002}, {'token': 'denver', 'score': 0.002}, {'token': 'houston', 'score': 0.002}, {'token': 'east', 'score': 0.002}]","[{'token': 'nebraska', 'score': 0.983}, {'token': 'lincoln', 'score': 0.005}, {'token': 'omaha', 'score': 0.003}, {'token': 'kansas', 'score': 0.001}, {'token': 'ne', 'score': 0.001}, {'token': 'colorado', 'score': 0.001}, {'token': 'oklahoma', 'score': 0.001}, {'token': 'minnesota', 'score': 0.001}, {'token': 'america', 'score': 0.0}, {'token': 'texas', 'score': 0.0}]","[{'token': 'nebraska', 'score': 0.941}, {'token': 'lincoln', 'score': 0.048}, {'token': 'omaha', 'score': 0.01}, {'token': 'ne', 'score': 0.001}, {'token': 'kansas', 'score': 0.0}, {'token': 'oklahoma', 'score': 0.0}, {'token': 'colorado', 'score': 0.0}, {'token': 'minnesota', 'score': 0.0}, {'token': 'massachusetts', 'score': 0.0}, {'token': 'neb', 'score': 0.0}]"
9,winchester,"[{'token': 'portsmouth', 'score': 0.373}, {'token': 'winchester', 'score': 0.289}, {'token': 'southampton', 'score': 0.191}, {'token': 'london', 'score': 0.104}, {'token': 'canterbury', 'score': 0.007}, {'token': 'oxford', 'score': 0.006}, {'token': 'manchester', 'score': 0.004}, {'token': 'rochester', 'score': 0.004}, {'token': 'bath', 'score': 0.003}, {'token': 'westminster', 'score': 0.002}]","[{'token': 'london', 'score': 0.518}, {'token': 'portsmouth', 'score': 0.115}, {'token': 'southampton', 'score': 0.075}, {'token': 'winchester', 'score': 0.058}, {'token': 'worcester', 'score': 0.031}, {'token': 'westminster', 'score': 0.023}, {'token': 'manchester', 'score': 0.023}, {'token': 'rochester', 'score': 0.013}, {'token': 'canterbury', 'score': 0.012}, {'token': 'oxford', 'score': 0.012}]","[{'token': 'london', 'score': 0.949}, {'token': 'southampton', 'score': 0.011}, {'token': 'england', 'score': 0.006}, {'token': 'manchester', 'score': 0.004}, {'token': 'birmingham', 'score': 0.004}, {'token': 'portsmouth', 'score': 0.003}, {'token': 'oxford', 'score': 0.002}, {'token': 'bristol', 'score': 0.002}, {'token': 'worcester', 'score': 0.001}, {'token': 'bedford', 'score': 0.001}]","[{'token': 'london', 'score': 0.788}, {'token': 'manchester', 'score': 0.198}, {'token': 'liverpool', 'score': 0.005}, {'token': 'boston', 'score': 0.003}, {'token': 'reading', 'score': 0.002}, {'token': 'york', 'score': 0.001}, {'token': 'victoria', 'score': 0.001}, {'token': 'charles', 'score': 0.0}, {'token': 'england', 'score': 0.0}, {'token': 'hamilton', 'score': 0.0}]","[{'token': 'london', 'score': 0.854}, {'token': 'southampton', 'score': 0.022}, {'token': 'birmingham', 'score': 0.013}, {'token': 'oxford', 'score': 0.013}, {'token': 'norwich', 'score': 0.012}, {'token': 'worcester', 'score': 0.012}, {'token': 'portsmouth', 'score': 0.008}, {'token': 'derby', 'score': 0.007}, {'token': 'richmond', 'score': 0.007}, {'token': 'bedford', 'score': 0.007}]"
