Unnamed: 0,sub_label,template,obj_label,masked_sentence,filled_sentence,paraphrase
0,Rubens Barrichello,[X] is [Y] citizen .,Brazil,"It was the final race of the 2004 season, and local fans were delighted when [MASK]'s Rubens Barrichello took pole for his home race.","It was the final race of the 2004 season, and local fans were delighted when Brazil's Rubens Barrichello took pole for his home race.","[(""it was the final race of the 2004 season and local fans were delighted when brazil's rubens barrichello was crowned a polesitter for his home"", 36), (""it was the last race of the season 2004 and local fans were delighted when brazil's rubens barrichello took pole for his home race"", 28), (""it was the final race of the season in 2004 and local fans were delighted when brazil's rubens barrichello took pole for his home race"", 26), (""it was the final race of the season 2004 and local fans were delighted when brazil's rubens barrichello took pole for his home race"", 23), (""it was the last race of the 2004 season and local fans were delighted when brazil's rubens barrichello took pole for his home race"", 18), (""it was the final race of the 2004 season and local fans were delighted when brazil's rubens barrichello took the pole for his home race"", 17), ('it was the final race of the 2004 season and local fans were delighted when brazilian rubens barrichello took pole for his home race', 16), (""it was the final race of the 2004 season and local fans were delighted when brazil's rubens barrichello took pole for his home race"", 13)]"
1,Yves Mirande,[X] is [Y] citizen .,France,"Yves Mirande (Bagneux (Maine-et-Loire), Mai 8, 1876 – Paris, March 17, 1957) was a [MASK] screenwriter, director, actor, and producer.","Yves Mirande (Bagneux (Maine-et-Loire), Mai 8, 1876 – Paris, March 17, 1957) was a France screenwriter, director, actor, and producer.","[('Yves Mirande (Bagneux (Maine-et-Loire), Mai 8, 1876 – Paris, March 17, 1957) was a France screenwriter, director, actor, and producer.', 0)]"
3,August Gailit,[X] is [Y] citizen .,Estonia,Sangaste is also the birthplace of the [MASK] writer August Gailit (1891-1960) and Estonian opera singer Aarne Viisimaa (1898-1989).,Sangaste is also the birthplace of the Estonia writer August Gailit (1891-1960) and Estonian opera singer Aarne Viisimaa (1898-1989).,
5,Princess Elisabeth of Denmark,[X] is [Y] citizen .,Denmark,"Princess Elisabeth of [MASK], RE (Elisabeth Caroline-Mathilde Alexandrine Helena Olga Thyra Feodora Estrid Margrethe Désirée; born 8 May 1935 in Copenhagen) is the daughter of Hereditary Prince Knud and Hereditary Princess Caroline-Mathilde of Denmark, and is a first cousin of the present Danish monarch, Queen Margrethe II.","Princess Elisabeth of Denmark, RE (Elisabeth Caroline-Mathilde Alexandrine Helena Olga Thyra Feodora Estrid Margrethe Désirée; born 8 May 1935 in Copenhagen) is the daughter of Hereditary Prince Knud and Hereditary Princess Caroline-Mathilde of Denmark, and is a first cousin of the present Danish monarch, Queen Margrethe II.",
9,Tue West,[X] is [Y] citizen .,Denmark,Tue West (born 1977) is a [MASK] composer.,Tue West (born 1977) is a Denmark composer.,"[('Tue West (born 1977) is a Denmark composer.', 0)]"
11,Bertil Lindblad,[X] is [Y] citizen .,Sweden,"Bertil Lindblad (Örebro, 26 November 1895 – Saltsjöbaden, outside Stockholm, 25 June 1965) was a [MASK] astronomer.","Bertil Lindblad (Örebro, 26 November 1895 – Saltsjöbaden, outside Stockholm, 25 June 1965) was a Sweden astronomer.","[('Bertil Lindblad (Örebro, 26 November 1895 – Saltsjöbaden, outside Stockholm, 25 June 1965) was a Sweden astronomer.', 0)]"
13,Prafulla Chandra Ghosh,[X] is [Y] citizen .,India,"Prafulla Chandra Ghosh (Bengali: প্রফুল্ল চন্দ্র ঘোষ Prophullo Chôndro Ghosh) (1891–1983) was the first Chief Minister of West Bengal, [MASK].","Prafulla Chandra Ghosh (Bengali: প্রফুল্ল চন্দ্র ঘোষ Prophullo Chôndro Ghosh) (1891–1983) was the first Chief Minister of West Bengal, India.","[('Prafulla Chandra Ghosh (Bengali: প্রফুল্ল চন্দ্র ঘোষ Prophullo Chôndro Ghosh) (1891–1983) was the first Chief Minister of West Bengal, India.', 0)]"
15,Noriyasu Hirata,[X] is [Y] citizen .,Japan,"Noriyasu Hirata (平田 典靖 Hirata Noriyasu, born November 17, 1983) is a badminton player from [MASK].","Noriyasu Hirata (平田 典靖 Hirata Noriyasu, born November 17, 1983) is a badminton player from Japan.","[('noriyasu hirata hirata noriyasu born 17 november 1983 is a japanese badminton player', 41), ('hirata hirata noriyasu born 17 november 1983 is a badminton player from japan', 30), ('hirata hirata hirata noriyasu born 17 november 1983 is a badminton player from japan', 26), ('noriyasu hirata hirata noriyasu born 17 november 1983 is a badminton player from japan', 21)]"
17,Woodrow Lloyd,[X] is [Y] citizen .,Canada,"After Douglas left to lead the federal NDP in 1961, Woodrow Lloyd became premier and the first universal medical care plan in [MASK] was introduced.","After Douglas left to lead the federal NDP in 1961, Woodrow Lloyd became premier and the first universal medical care plan in Canada was introduced.","[('woodrow lloyd became premier after douglas left the federal ndp in 1961 and the first universal medical care plan was introduced in canada', 81), ('woodrow lloyd became premier of canada in 1961 after douglas left to lead the federal ndp and the first universal medical care plan in canada was introduced', 78), ('in 1961 after douglas left to lead the ndp a woodrow lloyd became premier and the first universal medical care plan was introduced in canada', 46), ('after douglas left to lead the federal ndp in 1961 woodrow lloyd became premier and the first universal health care plan was introduced in canada', 38), ('after douglas left to lead the federal ndp in 1961 woodrow lloyd became premier and the first universal medical care plan was introduced in canada', 32), ('after douglas left to lead the federal ndp in 1961 woodrow lloyd became premier and the first universal medical care plan in canada was introduced', 13)]"
19,Namadi Sambo,[X] is [Y] citizen .,Nigeria,Mohammed Namadi Sambo (born 2 August 1954) is a Nigerian politician who was Vice President of [MASK] from 19 May 2010 to 29 May 2015.,Mohammed Namadi Sambo (born 2 August 1954) is a Nigerian politician who was Vice President of Nigeria from 19 May 2010 to 29 May 2015.,"[('Mohammed Namadi Sambo (born 2 August 1954) is a Nigerian politician who was Vice President of Nigeria from 19 May 2010 to 29 May 2015.', 0)]"
24,Leif Sylvester Petersen,[X] is [Y] citizen .,Denmark,"Leif Sylvester Petersen, (born 18 April 1940) in Copenhagen, also known as Leif Sylvester, is a [MASK] painter, graphic artist, musician and actor.","Leif Sylvester Petersen, (born 18 April 1940) in Copenhagen, also known as Leif Sylvester, is a Denmark painter, graphic artist, musician and actor.",
26,John Landy,[X] is [Y] citizen .,Australia,"At the conclusion of the 1956 Melbourne Olympic Games, the Geelong City Council held a dinner on 15 January 1957 to honour the six Geelong Guild athletes (Ron Blackney, John Chittick, Robert James ""Bob"" Joyce, John Landy, Don MacMillan and John Vernon) who had represented Geelong and [MASK] at these games.","At the conclusion of the 1956 Melbourne Olympic Games, the Geelong City Council held a dinner on 15 January 1957 to honour the six Geelong Guild athletes (Ron Blackney, John Chittick, Robert James ""Bob"" Joyce, John Landy, Don MacMillan and John Vernon) who had represented Geelong and Australia at these games.","[('the city council held a dinner on january 15 1957 at the conclusion of the 1956 melbourne olympic games to honor the six geelong guild athletes ron blackney john chittick robert james bob joyce john landy don macmillan and john vernon who represented geelong and australia at these', 105), ('at the conclusion of the 1956 melbourne olympic games the geelong city council held a dinner on january 15 1957 to honour the six geelong guild athletes ron blackney john chittick robert james bob joyce john landy don macmillan and john vernonptsd who had represented gee', 56), ('at the conclusion of the 1956 melbourne olympic games the geelong city council held a dinner in january 1957 to honor the six geelong guild athletes ron blackney john chittick robert james bob joyce john landy don macmillan and john vernon who had represented gee', 51), ('at the conclusion of the 1956 melbourne olympic games the geelong city council held a dinner in january 1957 to honour the six geelong guild athletes ron blackney john chittick robert james bob joyce john landy don macmillan and john vernon who represented geelong', 50), ('at the conclusion of the 1956 melbourne olympics the geelong city council held a dinner on 15 january 1957 to honour the six geelong guild athletes ron blackney john chittick robert james bob joyce john landy don macmillan and john vernon who represented geelong and', 47), ('at the conclusion of the 1956 melbourne olympic games the geelong city council held a dinner on january 15 1957 to honour six geelong guild members ron blackney john chittick robert james bob joyce john landy don macmillan and john vernon who had represented australia at these games', 41), ('at the conclusion of the 1956 melbourne olympic games the geelong city council held a dinner on 15 january 1957 to honour the six geelong guild athletes ron blackney john chittick robert james bob joyce john landy don macmillan and john vernon who had represented geelong and', 38), ('at the conclusion of the 1956 melbourne olympic games the geelong city council held a dinner on january 15 1957 to honour the six geelong guild athletes ron blackney john chittick robert james bob joyce john landy don macmillan and john vernon who represented australia at these games', 35), ('at the conclusion of the 1956 melbourne olympic games the geelong city council held a dinner on 15 january 1957 to honour the six geelong guild athletes ron blackney john chittick robert james bob joyce john landy don macmillan and john vernon who had represented geelong and australia', 28)]"
29,H. V. Evatt,[X] is [Y] citizen .,Australia,"Elizabeth Andreas Evatt, AC (born 11 November 1933), an eminent Australian reformist lawyer and jurist who sat on numerous national and international tribunals and commissions, was the first Chief Judge of the Family Court of [MASK], the first female judge of an Australian federal court, and the first Australian to be elected to the United Nations Human Rights Committee.","Elizabeth Andreas Evatt, AC (born 11 November 1933), an eminent Australian reformist lawyer and jurist who sat on numerous national and international tribunals and commissions, was the first Chief Judge of the Family Court of Australia, the first female judge of an Australian federal court, and the first Australian to be elected to the United Nations Human Rights Committee.",
41,"Humphrey Stafford, 1st Duke of Buckingham",[X] is [Y] citizen .,England,"Humphrey Stafford, 1st Duke of Buckingham (15 August 1402 – 10 July 1460) was an [MASK] nobleman.","Humphrey Stafford, 1st Duke of Buckingham (15 August 1402 – 10 July 1460) was an England nobleman.","[('Humphrey Stafford, 1st Duke of Buckingham (15 August 1402 – 10 July 1460) was an England nobleman.', 0)]"
44,Boris Spassky,[X] is [Y] citizen .,France,The only champion present in Thessaloniki was Boris Spassky who had defected and now represented [MASK].,The only champion present in Thessaloniki was Boris Spassky who had defected and now represented France.,"[('boris spassky who had defected and now represented france was the only champion present in thessaloniki', 89), ('boris spassky was the only champion present in thessaloniki who had defected and now represented france', 33), ('the only champion present in thessaloniki was boris spassky who defected and now represented france', 17), ('the only champion present in thessaloniki was boris spassky who had defected and now represented france', 13)]"
45,Louise-Rosalie Lefebvre,[X] is [Y] citizen .,France,The Dugazon family (after their stage name) or the Gourgaud family was a famous acting dynasty in 18th century [MASK].,The Dugazon family (after their stage name) or the Gourgaud family was a famous acting dynasty in 18th century France.,"[('The Dugazon family (after their stage name) or the Gourgaud family was a famous acting dynasty in 18th century France.', 0)]"
46,Thomas Bo Larsen,[X] is [Y] citizen .,Denmark,"Thomas Bo Larsen (born 27 November 1963) is a [MASK] film actor, born in Gladsaxe, Denmark.","Thomas Bo Larsen (born 27 November 1963) is a Denmark film actor, born in Gladsaxe, Denmark.","[('Thomas Bo Larsen (born 27 November 1963) is a Denmark film actor, born in Gladsaxe, Denmark.', 0)]"
50,Daniela Iraschko-Stolz,[X] is [Y] citizen .,Austria,"[MASK] dominated the ski jumping, winning all five events: Thomas Morgenstern took three golds and one silver, Gregor Schlierenzauer won three golds, and Daniela Iraschko won the women's event.","Austria dominated the ski jumping, winning all five events: Thomas Morgenstern took three golds and one silver, Gregor Schlierenzauer won three golds, and Daniela Iraschko won the women's event.","[(""Austria dominated the ski jumping, winning all five events: Thomas Morgenstern took three golds and one silver, Gregor Schlierenzauer won three golds, and Daniela Iraschko won the women's event."", 0)]"
52,Ada Yonath,[X] is [Y] citizen .,Israel,Schmidt was the founder of X-ray crystallography at the Weizmann Institute and in [MASK] – a field in which Weizmann Institute’s Professor Ada Yonath was awarded the Nobel Prize in Chemistry for 2009.,Schmidt was the founder of X-ray crystallography at the Weizmann Institute and in Israel – a field in which Weizmann Institute’s Professor Ada Yonath was awarded the Nobel Prize in Chemistry for 2009.,"[('schmidt was the founder of x-ray crystallography at weizmann institute and in israel a field for which weizmann institutes professor ada yonath received the nobel prize in chemistry in 2009', 33), ('schmidt was the founder of the x-ray crystallography at weizmann institute and in israel a field in which weizmann institutes professor ada yonath was awarded the nobel prize for chemistry in 2009', 28), ('schmidt was the founder of x-ray crystallography at the weizmann institute and in israel a field in which weizmann institutes professor ada yonath received the nobel prize in chemistry in 2009', 26)]"
