,answers,original,t5_0,t5_1,t5_2,t5_3
0,iraq,"[{'token': 'baghdad', 'score': 0.235}, {'token': 'iraq', 'score': 0.164}, {'token': 'thailand', 'score': 0.048}, {'token': 'london', 'score': 0.037}, {'token': 'istanbul', 'score': 0.024}, {'token': 'jordan', 'score': 0.021}, {'token': 'turkey', 'score': 0.021}, {'token': 'germany', 'score': 0.02}, {'token': 'afghanistan', 'score': 0.019}, {'token': 'japan', 'score': 0.016}]","[{'token': 'london', 'score': 0.082}, {'token': 'iraq', 'score': 0.058}, {'token': 'baghdad', 'score': 0.048}, {'token': 'yemen', 'score': 0.035}, {'token': 'afghanistan', 'score': 0.034}, {'token': 'lebanon', 'score': 0.031}, {'token': 'sudan', 'score': 0.03}, {'token': 'pakistan', 'score': 0.028}, {'token': 'egypt', 'score': 0.026}, {'token': 'syria', 'score': 0.026}]","[{'token': 'france', 'score': 0.119}, {'token': 'paris', 'score': 0.072}, {'token': 'tokyo', 'score': 0.071}, {'token': 'moscow', 'score': 0.052}, {'token': 'japan', 'score': 0.041}, {'token': 'korea', 'score': 0.027}, {'token': 'seoul', 'score': 0.025}, {'token': 'poland', 'score': 0.024}, {'token': 'germany', 'score': 0.02}, {'token': 'russia', 'score': 0.019}]","[{'token': 'iraq', 'score': 0.204}, {'token': 'baghdad', 'score': 0.167}, {'token': 'yemen', 'score': 0.111}, {'token': 'syria', 'score': 0.083}, {'token': 'jordan', 'score': 0.038}, {'token': 'lebanon', 'score': 0.036}, {'token': 'egypt', 'score': 0.021}, {'token': 'damascus', 'score': 0.02}, {'token': 'beirut', 'score': 0.018}, {'token': 'sudan', 'score': 0.018}]","[{'token': 'baghdad', 'score': 0.155}, {'token': 'paris', 'score': 0.074}, {'token': 'tokyo', 'score': 0.041}, {'token': 'tehran', 'score': 0.033}, {'token': 'istanbul', 'score': 0.033}, {'token': 'kuwait', 'score': 0.032}, {'token': 'iraq', 'score': 0.028}, {'token': 'beirut', 'score': 0.028}, {'token': 'thailand', 'score': 0.027}, {'token': 'syria', 'score': 0.027}]"
1,paris,"[{'token': 'paris', 'score': 0.919}, {'token': 'france', 'score': 0.02}, {'token': 'rome', 'score': 0.014}, {'token': 'warsaw', 'score': 0.007}, {'token': 'vienna', 'score': 0.004}, {'token': 'geneva', 'score': 0.004}, {'token': 'lyon', 'score': 0.002}, {'token': 'london', 'score': 0.002}, {'token': 'brussels', 'score': 0.002}, {'token': 'berlin', 'score': 0.002}]","[{'token': 'high', 'score': 0.309}, {'token': 'art', 'score': 0.083}, {'token': 'elementary', 'score': 0.065}, {'token': 'boarding', 'score': 0.05}, {'token': 'music', 'score': 0.047}, {'token': 'secondary', 'score': 0.033}, {'token': 'primary', 'score': 0.033}, {'token': 'private', 'score': 0.032}, {'token': 'grammar', 'score': 0.022}, {'token': 'musical', 'score': 0.016}]","[{'token': 'paris', 'score': 0.927}, {'token': 'france', 'score': 0.023}, {'token': 'rome', 'score': 0.011}, {'token': 'geneva', 'score': 0.004}, {'token': 'vienna', 'score': 0.004}, {'token': 'warsaw', 'score': 0.003}, {'token': 'london', 'score': 0.003}, {'token': 'lyon', 'score': 0.002}, {'token': 'berlin', 'score': 0.002}, {'token': 'italy', 'score': 0.001}]","[{'token': 'chicago', 'score': 0.551}, {'token': 'paris', 'score': 0.052}, {'token': 'detroit', 'score': 0.036}, {'token': 'harlem', 'score': 0.032}, {'token': 'philadelphia', 'score': 0.03}, {'token': 'illinois', 'score': 0.021}, {'token': 'france', 'score': 0.016}, {'token': 'brooklyn', 'score': 0.014}, {'token': 'montreal', 'score': 0.012}, {'token': 'boston', 'score': 0.009}]","[{'token': 'vienna', 'score': 0.505}, {'token': 'paris', 'score': 0.3}, {'token': 'prague', 'score': 0.031}, {'token': 'france', 'score': 0.015}, {'token': 'munich', 'score': 0.012}, {'token': 'berlin', 'score': 0.01}, {'token': 'brussels', 'score': 0.009}, {'token': 'rome', 'score': 0.005}, {'token': 'london', 'score': 0.005}, {'token': 'wien', 'score': 0.005}]"
2,baltimore,"[{'token': 'london', 'score': 0.212}, {'token': 'italy', 'score': 0.092}, {'token': 'california', 'score': 0.081}, {'token': 'usa', 'score': 0.056}, {'token': 'chicago', 'score': 0.054}, {'token': 'paris', 'score': 0.039}, {'token': 'rome', 'score': 0.023}, {'token': 'tokyo', 'score': 0.017}, {'token': 'barcelona', 'score': 0.017}, {'token': 'toronto', 'score': 0.017}]","[{'token': 'london', 'score': 0.26}, {'token': 'usa', 'score': 0.06}, {'token': 'chicago', 'score': 0.049}, {'token': 'paris', 'score': 0.039}, {'token': 'toronto', 'score': 0.032}, {'token': 'canada', 'score': 0.03}, {'token': 'california', 'score': 0.027}, {'token': 'uk', 'score': 0.025}, {'token': 'australia', 'score': 0.019}, {'token': 'montreal', 'score': 0.018}]","[{'token': 'london', 'score': 0.28}, {'token': 'paris', 'score': 0.098}, {'token': 'usa', 'score': 0.096}, {'token': 'chicago', 'score': 0.027}, {'token': 'canada', 'score': 0.023}, {'token': 'inc', 'score': 0.023}, {'token': 'uk', 'score': 0.022}, {'token': 'montreal', 'score': 0.021}, {'token': 'england', 'score': 0.014}, {'token': 'america', 'score': 0.014}]","[{'token': 'london', 'score': 0.294}, {'token': 'published', 'score': 0.043}, {'token': 'chicago', 'score': 0.034}, {'token': 'usa', 'score': 0.029}, {'token': 'oxford', 'score': 0.028}, {'token': 'uk', 'score': 0.021}, {'token': 'ltd', 'score': 0.019}, {'token': 'toronto', 'score': 0.017}, {'token': 'limited', 'score': 0.016}, {'token': 'starting', 'score': 0.015}]","[{'token': 'london', 'score': 0.153}, {'token': 'which', 'score': 0.121}, {'token': 'usa', 'score': 0.086}, {'token': 'chicago', 'score': 0.053}, {'token': 'oxford', 'score': 0.026}, {'token': 'australia', 'score': 0.022}, {'token': 'ltd', 'score': 0.02}, {'token': 'inc', 'score': 0.016}, {'token': 'uk', 'score': 0.015}, {'token': 'toronto', 'score': 0.015}]"
3,leicester,"[{'token': 'chelsea', 'score': 0.343}, {'token': 'london', 'score': 0.322}, {'token': 'vienna', 'score': 0.018}, {'token': 'dublin', 'score': 0.018}, {'token': 'hammersmith', 'score': 0.013}, {'token': 'melbourne', 'score': 0.012}, {'token': 'montreal', 'score': 0.012}, {'token': 'manhattan', 'score': 0.012}, {'token': 'paris', 'score': 0.011}, {'token': 'toronto', 'score': 0.009}]","[{'token': '1998', 'score': 0.047}, {'token': '1997', 'score': 0.041}, {'token': '1993', 'score': 0.037}, {'token': '2004', 'score': 0.036}, {'token': '1996', 'score': 0.035}, {'token': '2005', 'score': 0.034}, {'token': '2006', 'score': 0.033}, {'token': '2003', 'score': 0.032}, {'token': '1994', 'score': 0.031}, {'token': '2001', 'score': 0.03}]","[{'token': '1977', 'score': 0.048}, {'token': '1976', 'score': 0.042}, {'token': '1985', 'score': 0.034}, {'token': '1993', 'score': 0.034}, {'token': '1997', 'score': 0.034}, {'token': '1994', 'score': 0.032}, {'token': '2005', 'score': 0.029}, {'token': '1996', 'score': 0.027}, {'token': '1998', 'score': 0.026}, {'token': '1978', 'score': 0.025}]","[{'token': '2009', 'score': 0.051}, {'token': '2005', 'score': 0.048}, {'token': '2006', 'score': 0.045}, {'token': '1998', 'score': 0.042}, {'token': '2004', 'score': 0.041}, {'token': '1999', 'score': 0.035}, {'token': '1994', 'score': 0.032}, {'token': '1989', 'score': 0.031}, {'token': 'paris', 'score': 0.029}, {'token': '1993', 'score': 0.028}]","[{'token': 'leipzig', 'score': 0.363}, {'token': 'glasgow', 'score': 0.033}, {'token': 'berlin', 'score': 0.025}, {'token': 'holocaust', 'score': 0.024}, {'token': 'nazi', 'score': 0.019}, {'token': 'london', 'score': 0.015}, {'token': 'charity', 'score': 0.012}, {'token': 'lennon', 'score': 0.011}, {'token': 'dresden', 'score': 0.01}, {'token': 'local', 'score': 0.008}]"
4,athens,"[{'token': 'athens', 'score': 0.893}, {'token': 'national', 'score': 0.044}, {'token': 'athenian', 'score': 0.009}, {'token': 'imperial', 'score': 0.008}, {'token': 'greek', 'score': 0.005}, {'token': 'constantinople', 'score': 0.004}, {'token': 'municipal', 'score': 0.003}, {'token': 'byzantine', 'score': 0.003}, {'token': 'paris', 'score': 0.003}, {'token': 'alexandria', 'score': 0.002}]","[{'token': 'athens', 'score': 0.751}, {'token': 'imperial', 'score': 0.046}, {'token': 'athenian', 'score': 0.028}, {'token': 'national', 'score': 0.025}, {'token': 'slade', 'score': 0.023}, {'token': 'royal', 'score': 0.014}, {'token': 'london', 'score': 0.01}, {'token': 'alexandria', 'score': 0.008}, {'token': 'new', 'score': 0.006}, {'token': 'greek', 'score': 0.006}]","[{'token': 'athens', 'score': 0.854}, {'token': 'national', 'score': 0.047}, {'token': 'imperial', 'score': 0.017}, {'token': 'paris', 'score': 0.012}, {'token': 'municipal', 'score': 0.007}, {'token': 'athenian', 'score': 0.006}, {'token': 'greek', 'score': 0.005}, {'token': 'constantinople', 'score': 0.004}, {'token': 'byzantine', 'score': 0.003}, {'token': 'local', 'score': 0.003}]","[{'token': 'athens', 'score': 0.818}, {'token': 'national', 'score': 0.047}, {'token': 'paris', 'score': 0.028}, {'token': 'greek', 'score': 0.016}, {'token': 'imperial', 'score': 0.012}, {'token': 'athenian', 'score': 0.008}, {'token': 'constantinople', 'score': 0.005}, {'token': 'byzantine', 'score': 0.005}, {'token': 'local', 'score': 0.004}, {'token': 'municipal', 'score': 0.004}]",
5,vienna,"[{'token': 'prague', 'score': 0.664}, {'token': 'vienna', 'score': 0.282}, {'token': 'berlin', 'score': 0.011}, {'token': 'frankfurt', 'score': 0.008}, {'token': 'munich', 'score': 0.007}, {'token': 'paris', 'score': 0.004}, {'token': 'cologne', 'score': 0.002}, {'token': 'leipzig', 'score': 0.002}, {'token': 'strasbourg', 'score': 0.002}, {'token': 'pest', 'score': 0.002}]","[{'token': 'vienna', 'score': 0.916}, {'token': 'munich', 'score': 0.012}, {'token': 'berlin', 'score': 0.011}, {'token': 'graz', 'score': 0.008}, {'token': 'prague', 'score': 0.008}, {'token': 'budapest', 'score': 0.005}, {'token': 'warsaw', 'score': 0.004}, {'token': 'wien', 'score': 0.004}, {'token': 'frankfurt', 'score': 0.003}, {'token': 'salzburg', 'score': 0.003}]","[{'token': 'vienna', 'score': 0.915}, {'token': 'paris', 'score': 0.025}, {'token': 'prague', 'score': 0.009}, {'token': 'munich', 'score': 0.007}, {'token': 'berlin', 'score': 0.004}, {'token': 'budapest', 'score': 0.004}, {'token': 'graz', 'score': 0.003}, {'token': 'zurich', 'score': 0.003}, {'token': 'strasbourg', 'score': 0.002}, {'token': 'wien', 'score': 0.002}]","[{'token': 'vienna', 'score': 0.944}, {'token': 'graz', 'score': 0.008}, {'token': 'prague', 'score': 0.007}, {'token': 'munich', 'score': 0.007}, {'token': 'pest', 'score': 0.003}, {'token': 'berlin', 'score': 0.003}, {'token': 'wien', 'score': 0.003}, {'token': 'london', 'score': 0.002}, {'token': 'budapest', 'score': 0.002}, {'token': 'innsbruck', 'score': 0.002}]","[{'token': 'frankfurt', 'score': 0.299}, {'token': 'berlin', 'score': 0.234}, {'token': 'munich', 'score': 0.067}, {'token': 'hamburg', 'score': 0.048}, {'token': 'vienna', 'score': 0.038}, {'token': 'mannheim', 'score': 0.034}, {'token': 'leipzig', 'score': 0.032}, {'token': 'dusseldorf', 'score': 0.03}, {'token': 'nuremberg', 'score': 0.015}, {'token': 'cologne', 'score': 0.015}]"
6,rome,"[{'token': 'rome', 'score': 0.455}, {'token': 'florence', 'score': 0.454}, {'token': 'venice', 'score': 0.031}, {'token': 'paris', 'score': 0.013}, {'token': 'siena', 'score': 0.01}, {'token': 'naples', 'score': 0.007}, {'token': 'bologna', 'score': 0.006}, {'token': 'italy', 'score': 0.004}, {'token': 'pisa', 'score': 0.004}, {'token': 'genoa', 'score': 0.003}]","[{'token': 'naples', 'score': 0.709}, {'token': 'venice', 'score': 0.058}, {'token': 'florence', 'score': 0.03}, {'token': 'ferrara', 'score': 0.026}, {'token': 'parma', 'score': 0.026}, {'token': 'milan', 'score': 0.026}, {'token': 'genoa', 'score': 0.02}, {'token': 'bologna', 'score': 0.018}, {'token': 'turin', 'score': 0.015}, {'token': 'madrid', 'score': 0.01}]","[{'token': 'naples', 'score': 0.665}, {'token': 'florence', 'score': 0.118}, {'token': 'venice', 'score': 0.069}, {'token': 'italy', 'score': 0.033}, {'token': 'milan', 'score': 0.013}, {'token': 'genoa', 'score': 0.009}, {'token': 'athens', 'score': 0.008}, {'token': 'greece', 'score': 0.007}, {'token': 'spain', 'score': 0.006}, {'token': 'ferrara', 'score': 0.006}]","[{'token': 'naples', 'score': 0.672}, {'token': 'venice', 'score': 0.079}, {'token': 'florence', 'score': 0.039}, {'token': 'milan', 'score': 0.029}, {'token': 'ferrara', 'score': 0.028}, {'token': 'genoa', 'score': 0.021}, {'token': 'parma', 'score': 0.02}, {'token': 'bologna', 'score': 0.02}, {'token': 'turin', 'score': 0.018}, {'token': 'madrid', 'score': 0.009}]","[{'token': 'naples', 'score': 0.231}, {'token': 'venice', 'score': 0.101}, {'token': 'italy', 'score': 0.092}, {'token': 'vienna', 'score': 0.085}, {'token': 'milan', 'score': 0.064}, {'token': 'parma', 'score': 0.045}, {'token': 'florence', 'score': 0.039}, {'token': 'bologna', 'score': 0.034}, {'token': 'rome', 'score': 0.032}, {'token': 'ferrara', 'score': 0.031}]"
7,paris,"[{'token': 'paris', 'score': 0.849}, {'token': 'france', 'score': 0.05}, {'token': 'marseille', 'score': 0.024}, {'token': 'nice', 'score': 0.014}, {'token': 'cannes', 'score': 0.007}, {'token': 'montreal', 'score': 0.005}, {'token': 'toulouse', 'score': 0.004}, {'token': 'chicago', 'score': 0.003}, {'token': 'lyon', 'score': 0.002}, {'token': 'london', 'score': 0.002}]",,,,
8,munich,"[{'token': 'berlin', 'score': 0.52}, {'token': 'munich', 'score': 0.12}, {'token': 'hamburg', 'score': 0.069}, {'token': 'cologne', 'score': 0.033}, {'token': 'stuttgart', 'score': 0.022}, {'token': 'frankfurt', 'score': 0.017}, {'token': 'london', 'score': 0.017}, {'token': 'heidelberg', 'score': 0.015}, {'token': 'vienna', 'score': 0.013}, {'token': 'paris', 'score': 0.011}]","[{'token': 'paris', 'score': 0.236}, {'token': 'berlin', 'score': 0.153}, {'token': 'germany', 'score': 0.1}, {'token': 'london', 'score': 0.061}, {'token': 'france', 'score': 0.054}, {'token': 'munich', 'score': 0.034}, {'token': 'vienna', 'score': 0.024}, {'token': 'england', 'score': 0.023}, {'token': 'hamburg', 'score': 0.02}, {'token': 'switzerland', 'score': 0.018}]",,"[{'token': 'munich', 'score': 0.309}, {'token': 'paris', 'score': 0.186}, {'token': 'berlin', 'score': 0.061}, {'token': 'london', 'score': 0.059}, {'token': 'vienna', 'score': 0.044}, {'token': 'cologne', 'score': 0.028}, {'token': 'hamburg', 'score': 0.022}, {'token': 'rome', 'score': 0.014}, {'token': 'milan', 'score': 0.014}, {'token': 'dusseldorf', 'score': 0.014}]","[{'token': 'munich', 'score': 0.174}, {'token': 'london', 'score': 0.165}, {'token': 'berlin', 'score': 0.103}, {'token': 'vienna', 'score': 0.063}, {'token': 'hamburg', 'score': 0.04}, {'token': 'paris', 'score': 0.028}, {'token': 'cologne', 'score': 0.024}, {'token': 'stuttgart', 'score': 0.023}, {'token': 'frankfurt', 'score': 0.021}, {'token': 'darmstadt', 'score': 0.016}]"
9,bonn,"[{'token': 'berlin', 'score': 0.279}, {'token': 'heidelberg', 'score': 0.175}, {'token': 'gottingen', 'score': 0.083}, {'token': 'vienna', 'score': 0.082}, {'token': 'halle', 'score': 0.049}, {'token': 'hamburg', 'score': 0.032}, {'token': 'munich', 'score': 0.029}, {'token': 'kiel', 'score': 0.024}, {'token': 'leipzig', 'score': 0.024}, {'token': 'bonn', 'score': 0.019}]","[{'token': 'germany', 'score': 0.172}, {'token': 'german', 'score': 0.064}, {'token': 'heidelberg', 'score': 0.046}, {'token': 'prussian', 'score': 0.036}, {'token': 'astronomer', 'score': 0.023}, {'token': '1862', 'score': 0.014}, {'token': 'karl', 'score': 0.014}, {'token': '1861', 'score': 0.012}, {'token': 'posthumously', 'score': 0.011}, {'token': 'berlin', 'score': 0.01}]","[{'token': 'germany', 'score': 0.18}, {'token': 'prussian', 'score': 0.05}, {'token': 'heidelberg', 'score': 0.044}, {'token': 'german', 'score': 0.04}, {'token': 'prussia', 'score': 0.024}, {'token': 'berlin', 'score': 0.02}, {'token': 'astronomer', 'score': 0.017}, {'token': '1862', 'score': 0.017}, {'token': '1861', 'score': 0.015}, {'token': '1863', 'score': 0.014}]","[{'token': 'berlin', 'score': 0.289}, {'token': 'heidelberg', 'score': 0.144}, {'token': 'gottingen', 'score': 0.111}, {'token': 'vienna', 'score': 0.082}, {'token': 'halle', 'score': 0.077}, {'token': 'leipzig', 'score': 0.053}, {'token': 'jena', 'score': 0.035}, {'token': 'bonn', 'score': 0.026}, {'token': 'munich', 'score': 0.022}, {'token': 'kiel', 'score': 0.021}]","[{'token': 'berlin', 'score': 0.31}, {'token': 'leipzig', 'score': 0.128}, {'token': 'gottingen', 'score': 0.101}, {'token': 'halle', 'score': 0.087}, {'token': 'heidelberg', 'score': 0.073}, {'token': 'vienna', 'score': 0.061}, {'token': 'munich', 'score': 0.026}, {'token': 'kiel', 'score': 0.025}, {'token': 'jena', 'score': 0.024}, {'token': 'hanover', 'score': 0.021}]"
