,sub_label,template,obj_label,masked_sentence,filled_sentence,Parrot_paraphrased_filled_sentence,Parrot_paraphrased_filled_sentence_0,Parrot_paraphrased_filled_sentence_1,Parrot_paraphrased_filled_sentence_2
0,Rubens Barrichello,[X] is [Y] citizen .,Brazil,"It was the final race of the 2004 season, and local fans were delighted when [MASK]'s Rubens Barrichello took pole for his home race.","It was the final race of the 2004 season, and local fans were delighted when Brazil's Rubens Barrichello took pole for his home race.","['it was the final race of the season 2004 and local fans were delighted when rubens barrichello from brazil took pole for his home race', 'it was the final race of the 2004 season and local fans were delighted when brazilian rubens barrichello took pole for his home race']",it was the final race of the season 2004 and local fans were delighted when rubens barrichello from [MASK] took pole for his home race,it was the final race of the 2004 season and local fans were delighted when brazilian rubens barrichello took pole for his home race,
1,Yves Mirande,[X] is [Y] citizen .,France,"Yves Mirande (Bagneux (Maine-et-Loire), Mai 8, 1876 – Paris, March 17, 1957) was a [MASK] screenwriter, director, actor, and producer.","Yves Mirande (Bagneux (Maine-et-Loire), Mai 8, 1876 – Paris, March 17, 1957) was a France screenwriter, director, actor, and producer.","['Yves Mirande (Bagneux (Maine-et-Loire), Mai 8, 1876 – Paris, March 17, 1957) was a France screenwriter, director, actor, and producer.']","Yves Mirande (Bagneux (Maine-et-Loire), Mai 8, 1876 – Paris, March 17, 1957) was a France screenwriter, director, actor, and producer.",,
2,August Gailit,[X] is [Y] citizen .,Estonia,Sangaste is also the birthplace of the [MASK] writer August Gailit (1891-1960) and Estonian opera singer Aarne Viisimaa (1898-1989).,Sangaste is also the birthplace of the Estonia writer August Gailit (1891-1960) and Estonian opera singer Aarne Viisimaa (1898-1989).,,,,
3,Princess Elisabeth of Denmark,[X] is [Y] citizen .,Denmark,"Princess Elisabeth of [MASK], RE (Elisabeth Caroline-Mathilde Alexandrine Helena Olga Thyra Feodora Estrid Margrethe Désirée; born 8 May 1935 in Copenhagen) is the daughter of Hereditary Prince Knud and Hereditary Princess Caroline-Mathilde of Denmark, and is a first cousin of the present Danish monarch, Queen Margrethe II.","Princess Elisabeth of Denmark, RE (Elisabeth Caroline-Mathilde Alexandrine Helena Olga Thyra Feodora Estrid Margrethe Désirée; born 8 May 1935 in Copenhagen) is the daughter of Hereditary Prince Knud and Hereditary Princess Caroline-Mathilde of Denmark, and is a first cousin of the present Danish monarch, Queen Margrethe II.",,,,
4,Tue West,[X] is [Y] citizen .,Denmark,Tue West (born 1977) is a [MASK] composer.,Tue West (born 1977) is a Denmark composer.,['Tue West (born 1977) is a Denmark composer.'],Tue West (born 1977) is a Denmark composer.,,
5,Bertil Lindblad,[X] is [Y] citizen .,Sweden,"Bertil Lindblad (Örebro, 26 November 1895 – Saltsjöbaden, outside Stockholm, 25 June 1965) was a [MASK] astronomer.","Bertil Lindblad (Örebro, 26 November 1895 – Saltsjöbaden, outside Stockholm, 25 June 1965) was a Sweden astronomer.","['Bertil Lindblad (Örebro, 26 November 1895 – Saltsjöbaden, outside Stockholm, 25 June 1965) was a Sweden astronomer.']","Bertil Lindblad (Örebro, 26 November 1895 – Saltsjöbaden, outside Stockholm, 25 June 1965) was a Sweden astronomer.",,
6,Prafulla Chandra Ghosh,[X] is [Y] citizen .,India,"Prafulla Chandra Ghosh (Bengali: প্রফুল্ল চন্দ্র ঘোষ Prophullo Chôndro Ghosh) (1891–1983) was the first Chief Minister of West Bengal, [MASK].","Prafulla Chandra Ghosh (Bengali: প্রফুল্ল চন্দ্র ঘোষ Prophullo Chôndro Ghosh) (1891–1983) was the first Chief Minister of West Bengal, India.","['Prafulla Chandra Ghosh (Bengali: প্রফুল্ল চন্দ্র ঘোষ Prophullo Chôndro Ghosh) (1891–1983) was the first Chief Minister of West Bengal, India.']","Prafulla Chandra Ghosh (Bengali: প্রফুল্ল চন্দ্র ঘোষ Prophullo Chôndro Ghosh) (1891–1983) was the first Chief Minister of West Bengal, India.",,
7,Noriyasu Hirata,[X] is [Y] citizen .,Japan,"Noriyasu Hirata (平田 典靖 Hirata Noriyasu, born November 17, 1983) is a badminton player from [MASK].","Noriyasu Hirata (平田 典靖 Hirata Noriyasu, born November 17, 1983) is a badminton player from Japan.","['Noriyasu Hirata (平田 典靖 Hirata Noriyasu, born November 17, 1983) is a badminton player from Japan.']","Noriyasu Hirata (平田 典靖 Hirata Noriyasu, born November 17, 1983) is a badminton player from Japan.",,
8,Woodrow Lloyd,[X] is [Y] citizen .,Canada,"After Douglas left to lead the federal NDP in 1961, Woodrow Lloyd became premier and the first universal medical care plan in [MASK] was introduced.","After Douglas left to lead the federal NDP in 1961, Woodrow Lloyd became premier and the first universal medical care plan in Canada was introduced.","['woodrow lloyd became premier in 1961 after douglas left to lead the federal ndp and the first universal medical care plan in canada was introduced', 'after douglas left to lead the federal ndp in 1961 woodrow lloyd became premier and the first universal medical care plan in canada was introduced']",woodrow lloyd became premier in 1961 after douglas left to lead the federal ndp and the first universal medical care plan in [MASK] was introduced,after douglas left to lead the federal ndp in 1961 woodrow lloyd became premier and the first universal medical care plan in [MASK] was introduced,
9,Namadi Sambo,[X] is [Y] citizen .,Nigeria,Mohammed Namadi Sambo (born 2 August 1954) is a Nigerian politician who was Vice President of [MASK] from 19 May 2010 to 29 May 2015.,Mohammed Namadi Sambo (born 2 August 1954) is a Nigerian politician who was Vice President of Nigeria from 19 May 2010 to 29 May 2015.,['Mohammed Namadi Sambo (born 2 August 1954) is a Nigerian politician who was Vice President of Nigeria from 19 May 2010 to 29 May 2015.'],Mohammed Namadi Sambo (born 2 August 1954) is a Nigerian politician who was Vice President of Nigeria from 19 May 2010 to 29 May 2015.,,
10,Leif Sylvester Petersen,[X] is [Y] citizen .,Denmark,"Leif Sylvester Petersen, (born 18 April 1940) in Copenhagen, also known as Leif Sylvester, is a [MASK] painter, graphic artist, musician and actor.","Leif Sylvester Petersen, (born 18 April 1940) in Copenhagen, also known as Leif Sylvester, is a Denmark painter, graphic artist, musician and actor.",,,,
11,John Landy,[X] is [Y] citizen .,Australia,"At the conclusion of the 1956 Melbourne Olympic Games, the Geelong City Council held a dinner on 15 January 1957 to honour the six Geelong Guild athletes (Ron Blackney, John Chittick, Robert James ""Bob"" Joyce, John Landy, Don MacMillan and John Vernon) who had represented Geelong and [MASK] at these games.","At the conclusion of the 1956 Melbourne Olympic Games, the Geelong City Council held a dinner on 15 January 1957 to honour the six Geelong Guild athletes (Ron Blackney, John Chittick, Robert James ""Bob"" Joyce, John Landy, Don MacMillan and John Vernon) who had represented Geelong and Australia at these games.","['at the conclusion of the 1956 melbourne olympic games the geelong city council held a dinner on january 15 1957 to honour the six geelong guild athletes john chittick robert james bob joyce john landy don macmillan and john vernon who had represented gee', 'at the conclusion of the 1956 melbourne olympics the geelong city council held a dinner on 15 january 1957 to honour the six geelong guild athletes ron blackney john chittick robert james bob joyce john landy don macmillan and john vernon who represented', 'at the conclusion of the 1956 melbourne olympic games the geelong city council held a dinner on january 15 1957 to honour the six geelong guild athletes ron blackney john chittick robert james bob joyce john landy don macmillan and john vernon who had represented geelong']",at the conclusion of the 1956 melbourne olympic games the geelong city council held a dinner on january 15 1957 to honour the six geelong guild athletes john chittick robert james bob joyce john landy don macmillan and john vernon who had represented gee,at the conclusion of the 1956 melbourne olympics the geelong city council held a dinner on 15 january 1957 to honour the six geelong guild athletes ron blackney john chittick robert james bob joyce john landy don macmillan and john vernon who represented,at the conclusion of the 1956 melbourne olympic games the geelong city council held a dinner on january 15 1957 to honour the six geelong guild athletes ron blackney john chittick robert james bob joyce john landy don macmillan and john vernon who had represented geelong
12,H. V. Evatt,[X] is [Y] citizen .,Australia,"Elizabeth Andreas Evatt, AC (born 11 November 1933), an eminent Australian reformist lawyer and jurist who sat on numerous national and international tribunals and commissions, was the first Chief Judge of the Family Court of [MASK], the first female judge of an Australian federal court, and the first Australian to be elected to the United Nations Human Rights Committee.","Elizabeth Andreas Evatt, AC (born 11 November 1933), an eminent Australian reformist lawyer and jurist who sat on numerous national and international tribunals and commissions, was the first Chief Judge of the Family Court of Australia, the first female judge of an Australian federal court, and the first Australian to be elected to the United Nations Human Rights Committee.",,,,
13,"Humphrey Stafford, 1st Duke of Buckingham",[X] is [Y] citizen .,England,"Humphrey Stafford, 1st Duke of Buckingham (15 August 1402 – 10 July 1460) was an [MASK] nobleman.","Humphrey Stafford, 1st Duke of Buckingham (15 August 1402 – 10 July 1460) was an England nobleman.","['Humphrey Stafford, 1st Duke of Buckingham (15 August 1402 – 10 July 1460) was an England nobleman.']","Humphrey Stafford, 1st Duke of Buckingham (15 August 1402 – 10 July 1460) was an England nobleman.",,
14,Boris Spassky,[X] is [Y] citizen .,France,The only champion present in Thessaloniki was Boris Spassky who had defected and now represented [MASK].,The only champion present in Thessaloniki was Boris Spassky who had defected and now represented France.,"['the only champion present in thessaloniki was boris spassky who defected and represented france', 'the only champion present in thessaloniki was boris spassky who had defected and represented france']",the only champion present in thessaloniki was boris spassky who defected and represented [MASK],the only champion present in thessaloniki was boris spassky who had defected and represented [MASK],
