,answers,original,t5_0,t5_1,t5_2,t5_3
0,apple,"[{'token': 'it', 'score': 0.278}, {'token': 'apple', 'score': 0.148}, {'token': 'ibm', 'score': 0.032}, {'token': 'microsoft', 'score': 0.025}, {'token': 'intel', 'score': 0.019}, {'token': 'google', 'score': 0.019}, {'token': 'roland', 'score': 0.018}, {'token': 'dec', 'score': 0.018}, {'token': 'hp', 'score': 0.017}, {'token': 'he', 'score': 0.007}]","[{'token': 'ibm', 'score': 0.804}, {'token': 'it', 'score': 0.099}, {'token': 'apple', 'score': 0.024}, {'token': 'he', 'score': 0.013}, {'token': 'hp', 'score': 0.009}, {'token': 'microsoft', 'score': 0.009}, {'token': 'dell', 'score': 0.004}, {'token': 'wang', 'score': 0.002}, {'token': 'intel', 'score': 0.002}, {'token': 'genius', 'score': 0.001}]","[{'token': 'apple', 'score': 0.432}, {'token': 'microsoft', 'score': 0.272}, {'token': 'dell', 'score': 0.077}, {'token': 'hp', 'score': 0.064}, {'token': 'ibm', 'score': 0.017}, {'token': 'pc', 'score': 0.01}, {'token': 'intel', 'score': 0.01}, {'token': 'facebook', 'score': 0.008}, {'token': 'dec', 'score': 0.007}, {'token': 'commodore', 'score': 0.006}]","[{'token': 'apple', 'score': 0.541}, {'token': 'microsoft', 'score': 0.112}, {'token': 'ibm', 'score': 0.107}, {'token': 'atari', 'score': 0.043}, {'token': 'intel', 'score': 0.022}, {'token': 'motorola', 'score': 0.013}, {'token': 'google', 'score': 0.011}, {'token': 'hp', 'score': 0.01}, {'token': 'jobs', 'score': 0.009}, {'token': 'dell', 'score': 0.009}]","[{'token': 'ibm', 'score': 0.425}, {'token': 'apple', 'score': 0.282}, {'token': 'microsoft', 'score': 0.147}, {'token': 'pc', 'score': 0.016}, {'token': 'intel', 'score': 0.01}, {'token': 'canonical', 'score': 0.009}, {'token': 'hp', 'score': 0.009}, {'token': 'atari', 'score': 0.007}, {'token': 'dell', 'score': 0.007}, {'token': 'facebook', 'score': 0.007}]"
1,apple,"[{'token': 'apple', 'score': 0.502}, {'token': 'hp', 'score': 0.086}, {'token': 'ibm', 'score': 0.084}, {'token': 'dell', 'score': 0.083}, {'token': 'it', 'score': 0.077}, {'token': 'intel', 'score': 0.04}, {'token': 'microsoft', 'score': 0.029}, {'token': 'google', 'score': 0.009}, {'token': 'atari', 'score': 0.007}, {'token': 'dec', 'score': 0.005}]","[{'token': 'apple', 'score': 0.542}, {'token': 'it', 'score': 0.104}, {'token': 'ibm', 'score': 0.079}, {'token': 'hp', 'score': 0.062}, {'token': 'dell', 'score': 0.054}, {'token': 'microsoft', 'score': 0.027}, {'token': 'dec', 'score': 0.011}, {'token': 'atari', 'score': 0.01}, {'token': 'intel', 'score': 0.009}, {'token': 'byte', 'score': 0.007}]","[{'token': 'apple', 'score': 0.85}, {'token': 'microsoft', 'score': 0.051}, {'token': 'ibm', 'score': 0.037}, {'token': 'hp', 'score': 0.012}, {'token': 'dec', 'score': 0.009}, {'token': 'intel', 'score': 0.009}, {'token': 'dell', 'score': 0.008}, {'token': 'atari', 'score': 0.008}, {'token': 'motorola', 'score': 0.001}, {'token': 'mit', 'score': 0.001}]","[{'token': 'apple', 'score': 0.5}, {'token': 'microsoft', 'score': 0.187}, {'token': 'ibm', 'score': 0.087}, {'token': 'atari', 'score': 0.06}, {'token': 'motorola', 'score': 0.016}, {'token': 'intel', 'score': 0.015}, {'token': 'google', 'score': 0.009}, {'token': 'computers', 'score': 0.005}, {'token': 'hp', 'score': 0.005}, {'token': 'dell', 'score': 0.005}]","[{'token': 'ibm', 'score': 0.71}, {'token': 'microsoft', 'score': 0.103}, {'token': 'apple', 'score': 0.068}, {'token': 'intel', 'score': 0.024}, {'token': 'hp', 'score': 0.012}, {'token': 'dell', 'score': 0.011}, {'token': 'lotus', 'score': 0.008}, {'token': 'pc', 'score': 0.006}, {'token': 'canonical', 'score': 0.004}, {'token': 'mit', 'score': 0.002}]"
2,microsoft,"[{'token': 'microsoft', 'score': 0.491}, {'token': 'ibm', 'score': 0.086}, {'token': 'atari', 'score': 0.078}, {'token': 'lotus', 'score': 0.032}, {'token': 'apple', 'score': 0.027}, {'token': 'canonical', 'score': 0.027}, {'token': 'commodore', 'score': 0.014}, {'token': 'software', 'score': 0.01}, {'token': 'pc', 'score': 0.01}, {'token': 'parallels', 'score': 0.009}]","[{'token': 'microsoft', 'score': 0.464}, {'token': 'ibm', 'score': 0.228}, {'token': 'apple', 'score': 0.037}, {'token': 'lotus', 'score': 0.025}, {'token': 'pc', 'score': 0.019}, {'token': 'canonical', 'score': 0.019}, {'token': 'dell', 'score': 0.016}, {'token': 'atari', 'score': 0.015}, {'token': 'parallels', 'score': 0.014}, {'token': 'intel', 'score': 0.011}]","[{'token': 'microsoft', 'score': 0.805}, {'token': 'ibm', 'score': 0.031}, {'token': 'apple', 'score': 0.023}, {'token': 'lotus', 'score': 0.015}, {'token': 'canonical', 'score': 0.012}, {'token': 'software', 'score': 0.008}, {'token': 'atari', 'score': 0.006}, {'token': 'nec', 'score': 0.006}, {'token': 'valve', 'score': 0.005}, {'token': 'oracle', 'score': 0.003}]","[{'token': 'microsoft', 'score': 0.791}, {'token': 'ibm', 'score': 0.068}, {'token': 'apple', 'score': 0.032}, {'token': 'canonical', 'score': 0.025}, {'token': 'intel', 'score': 0.014}, {'token': 'valve', 'score': 0.011}, {'token': 'oracle', 'score': 0.007}, {'token': 'atari', 'score': 0.005}, {'token': 'dell', 'score': 0.004}, {'token': 'google', 'score': 0.003}]","[{'token': 'ibm', 'score': 0.389}, {'token': 'microsoft', 'score': 0.272}, {'token': 'atari', 'score': 0.041}, {'token': 'apple', 'score': 0.04}, {'token': 'oracle', 'score': 0.03}, {'token': 'intel', 'score': 0.017}, {'token': 'lotus', 'score': 0.016}, {'token': 'canonical', 'score': 0.015}, {'token': 'parallels', 'score': 0.013}, {'token': 'software', 'score': 0.008}]"
3,microsoft,"[{'token': 'espn', 'score': 0.599}, {'token': 'disney', 'score': 0.086}, {'token': 'google', 'score': 0.044}, {'token': 'microsoft', 'score': 0.025}, {'token': 'facebook', 'score': 0.024}, {'token': 'wwe', 'score': 0.019}, {'token': 'nike', 'score': 0.009}, {'token': 'cbs', 'score': 0.007}, {'token': 'twitter', 'score': 0.007}, {'token': 'sony', 'score': 0.007}]","[{'token': 'victoria', 'score': 0.521}, {'token': 'melbourne', 'score': 0.037}, {'token': 'fairfax', 'score': 0.034}, {'token': 'carlton', 'score': 0.033}, {'token': 'victorian', 'score': 0.011}, {'token': 'microsoft', 'score': 0.01}, {'token': 'aria', 'score': 0.009}, {'token': 'collingwood', 'score': 0.007}, {'token': 'ceo', 'score': 0.006}, {'token': 'company', 'score': 0.005}]","[{'token': 'bbc', 'score': 0.308}, {'token': 'bt', 'score': 0.122}, {'token': 'sky', 'score': 0.045}, {'token': 'google', 'score': 0.039}, {'token': 'company', 'score': 0.028}, {'token': 'itv', 'score': 0.025}, {'token': 'disney', 'score': 0.021}, {'token': 'microsoft', 'score': 0.015}, {'token': 'virgin', 'score': 0.014}, {'token': 'youtube', 'score': 0.013}]","[{'token': 'bbc', 'score': 0.741}, {'token': 'itv', 'score': 0.038}, {'token': 'bafta', 'score': 0.038}, {'token': 'bt', 'score': 0.021}, {'token': 'sky', 'score': 0.009}, {'token': 'rte', 'score': 0.007}, {'token': 'eastenders', 'score': 0.007}, {'token': 'google', 'score': 0.006}, {'token': 'microsoft', 'score': 0.004}, {'token': 'sony', 'score': 0.004}]","[{'token': 'bbc', 'score': 0.081}, {'token': 'bt', 'score': 0.057}, {'token': 'google', 'score': 0.057}, {'token': 'youtube', 'score': 0.049}, {'token': 'facebook', 'score': 0.042}, {'token': 'twitter', 'score': 0.026}, {'token': 'yahoo', 'score': 0.018}, {'token': 'mtv', 'score': 0.016}, {'token': 'apple', 'score': 0.015}, {'token': 'itv', 'score': 0.013}]"
4,bbc,"[{'token': 'bbc', 'score': 0.958}, {'token': 'internet', 'score': 0.024}, {'token': 'television', 'score': 0.002}, {'token': 'abc', 'score': 0.002}, {'token': 'website', 'score': 0.002}, {'token': 'radio', 'score': 0.002}, {'token': 'itv', 'score': 0.001}, {'token': 'channel', 'score': 0.001}, {'token': 'programme', 'score': 0.001}, {'token': 'web', 'score': 0.001}]","[{'token': 'bbc', 'score': 0.914}, {'token': 'internet', 'score': 0.02}, {'token': 'programme', 'score': 0.01}, {'token': 'website', 'score': 0.008}, {'token': 'abc', 'score': 0.006}, {'token': 'radio', 'score': 0.005}, {'token': 'web', 'score': 0.002}, {'token': 'channel', 'score': 0.002}, {'token': 'television', 'score': 0.002}, {'token': 'itv', 'score': 0.002}]","[{'token': 'bbc', 'score': 0.932}, {'token': 'internet', 'score': 0.012}, {'token': 'programme', 'score': 0.008}, {'token': 'abc', 'score': 0.006}, {'token': 'itv', 'score': 0.006}, {'token': 'website', 'score': 0.005}, {'token': 'radio', 'score': 0.003}, {'token': 'television', 'score': 0.003}, {'token': 'channel', 'score': 0.002}, {'token': 'station', 'score': 0.002}]","[{'token': 'bbc', 'score': 0.957}, {'token': 'abc', 'score': 0.006}, {'token': 'station', 'score': 0.005}, {'token': 'channel', 'score': 0.005}, {'token': 'programme', 'score': 0.004}, {'token': 'guardian', 'score': 0.003}, {'token': 'network', 'score': 0.002}, {'token': 'broadcaster', 'score': 0.002}, {'token': 'corporation', 'score': 0.001}, {'token': 'itv', 'score': 0.001}]","[{'token': 'bbc', 'score': 0.826}, {'token': 'abc', 'score': 0.02}, {'token': 'programme', 'score': 0.018}, {'token': 'radio', 'score': 0.015}, {'token': 'internet', 'score': 0.013}, {'token': 'station', 'score': 0.011}, {'token': 'itv', 'score': 0.01}, {'token': 'website', 'score': 0.009}, {'token': 'channel', 'score': 0.006}, {'token': 'network', 'score': 0.004}]"
5,bbc,"[{'token': 'bbc', 'score': 0.958}, {'token': 'internet', 'score': 0.024}, {'token': 'television', 'score': 0.002}, {'token': 'abc', 'score': 0.002}, {'token': 'website', 'score': 0.002}, {'token': 'radio', 'score': 0.002}, {'token': 'itv', 'score': 0.001}, {'token': 'channel', 'score': 0.001}, {'token': 'programme', 'score': 0.001}, {'token': 'web', 'score': 0.001}]","[{'token': 'bbc', 'score': 0.716}, {'token': 'programme', 'score': 0.095}, {'token': 'show', 'score': 0.031}, {'token': 'website', 'score': 0.025}, {'token': 'station', 'score': 0.019}, {'token': 'channel', 'score': 0.018}, {'token': 'internet', 'score': 0.008}, {'token': 'radio', 'score': 0.008}, {'token': 'network', 'score': 0.007}, {'token': 'abc', 'score': 0.003}]","[{'token': 'bbc', 'score': 0.92}, {'token': 'internet', 'score': 0.014}, {'token': 'programme', 'score': 0.01}, {'token': 'itv', 'score': 0.007}, {'token': 'website', 'score': 0.007}, {'token': 'abc', 'score': 0.006}, {'token': 'radio', 'score': 0.004}, {'token': 'television', 'score': 0.003}, {'token': 'channel', 'score': 0.002}, {'token': 'station', 'score': 0.002}]","[{'token': 'bbc', 'score': 0.938}, {'token': 'channel', 'score': 0.012}, {'token': 'programme', 'score': 0.011}, {'token': 'abc', 'score': 0.007}, {'token': 'station', 'score': 0.006}, {'token': 'guardian', 'score': 0.003}, {'token': 'network', 'score': 0.002}, {'token': 'broadcaster', 'score': 0.002}, {'token': 'itv', 'score': 0.001}, {'token': 'website', 'score': 0.001}]","[{'token': 'bbc', 'score': 0.826}, {'token': 'abc', 'score': 0.02}, {'token': 'programme', 'score': 0.018}, {'token': 'radio', 'score': 0.015}, {'token': 'internet', 'score': 0.013}, {'token': 'station', 'score': 0.011}, {'token': 'itv', 'score': 0.01}, {'token': 'website', 'score': 0.009}, {'token': 'channel', 'score': 0.006}, {'token': 'network', 'score': 0.004}]"
6,bbc,"[{'token': 'bbc', 'score': 0.957}, {'token': 'internet', 'score': 0.027}, {'token': 'website', 'score': 0.002}, {'token': 'television', 'score': 0.002}, {'token': 'abc', 'score': 0.002}, {'token': 'radio', 'score': 0.001}, {'token': 'itv', 'score': 0.001}, {'token': 'web', 'score': 0.001}, {'token': 'channel', 'score': 0.001}, {'token': 'programme', 'score': 0.001}]","[{'token': 'bbc', 'score': 0.895}, {'token': 'abc', 'score': 0.016}, {'token': 'programme', 'score': 0.012}, {'token': 'internet', 'score': 0.009}, {'token': 'radio', 'score': 0.007}, {'token': 'itv', 'score': 0.006}, {'token': 'station', 'score': 0.005}, {'token': 'channel', 'score': 0.005}, {'token': 'website', 'score': 0.004}, {'token': 'network', 'score': 0.003}]","[{'token': 'bbc', 'score': 0.932}, {'token': 'internet', 'score': 0.012}, {'token': 'programme', 'score': 0.008}, {'token': 'abc', 'score': 0.006}, {'token': 'itv', 'score': 0.006}, {'token': 'website', 'score': 0.005}, {'token': 'radio', 'score': 0.003}, {'token': 'television', 'score': 0.003}, {'token': 'channel', 'score': 0.002}, {'token': 'station', 'score': 0.002}]","[{'token': 'abc', 'score': 0.784}, {'token': 'bbc', 'score': 0.098}, {'token': 'network', 'score': 0.013}, {'token': 'station', 'score': 0.013}, {'token': 'channel', 'score': 0.013}, {'token': 'day', 'score': 0.005}, {'token': 'show', 'score': 0.004}, {'token': 'program', 'score': 0.003}, {'token': 'guardian', 'score': 0.003}, {'token': 'herald', 'score': 0.003}]","[{'token': 'bbc', 'score': 0.808}, {'token': 'internet', 'score': 0.039}, {'token': 'radio', 'score': 0.023}, {'token': 'programme', 'score': 0.021}, {'token': 'website', 'score': 0.021}, {'token': 'abc', 'score': 0.008}, {'token': 'television', 'score': 0.006}, {'token': 'station', 'score': 0.006}, {'token': 'web', 'score': 0.005}, {'token': 'channel', 'score': 0.004}]"
7,ibm,"[{'token': 'microsoft', 'score': 0.268}, {'token': 'google', 'score': 0.114}, {'token': 'ibm', 'score': 0.088}, {'token': 'oracle', 'score': 0.083}, {'token': 'intel', 'score': 0.035}, {'token': 'apple', 'score': 0.024}, {'token': 'rational', 'score': 0.016}, {'token': 'irrational', 'score': 0.015}, {'token': 'atari', 'score': 0.014}, {'token': 'amazon', 'score': 0.014}]","[{'token': 'microsoft', 'score': 0.351}, {'token': 'ibm', 'score': 0.147}, {'token': 'google', 'score': 0.118}, {'token': 'intel', 'score': 0.047}, {'token': 'adobe', 'score': 0.029}, {'token': 'oracle', 'score': 0.023}, {'token': 'atari', 'score': 0.021}, {'token': 'espn', 'score': 0.02}, {'token': 'disney', 'score': 0.014}, {'token': 'facebook', 'score': 0.014}]","[{'token': 'microsoft', 'score': 0.407}, {'token': 'ibm', 'score': 0.166}, {'token': 'google', 'score': 0.099}, {'token': 'apple', 'score': 0.032}, {'token': 'intel', 'score': 0.028}, {'token': 'oracle', 'score': 0.024}, {'token': 'atari', 'score': 0.016}, {'token': 'adobe', 'score': 0.013}, {'token': 'oclc', 'score': 0.01}, {'token': 'amazon', 'score': 0.01}]","[{'token': 'google', 'score': 0.717}, {'token': 'microsoft', 'score': 0.129}, {'token': 'ibm', 'score': 0.029}, {'token': 'intel', 'score': 0.025}, {'token': 'oracle', 'score': 0.014}, {'token': 'apple', 'score': 0.012}, {'token': 'adobe', 'score': 0.009}, {'token': 'facebook', 'score': 0.007}, {'token': 'dell', 'score': 0.007}, {'token': 'amazon', 'score': 0.005}]","[{'token': 'microsoft', 'score': 0.269}, {'token': 'google', 'score': 0.129}, {'token': 'oracle', 'score': 0.096}, {'token': 'ibm', 'score': 0.094}, {'token': 'intel', 'score': 0.039}, {'token': 'apple', 'score': 0.023}, {'token': 'rational', 'score': 0.015}, {'token': 'irrational', 'score': 0.013}, {'token': 'canonical', 'score': 0.012}, {'token': 'amazon', 'score': 0.011}]"
8,ibm,"[{'token': 'ibm', 'score': 0.445}, {'token': 'mit', 'score': 0.224}, {'token': 'stanford', 'score': 0.025}, {'token': 'google', 'score': 0.024}, {'token': 'siemens', 'score': 0.017}, {'token': 'sri', 'score': 0.013}, {'token': 'ucla', 'score': 0.013}, {'token': 'philips', 'score': 0.01}, {'token': 'intel', 'score': 0.009}, {'token': 'bbc', 'score': 0.009}]","[{'token': 'mit', 'score': 0.226}, {'token': 'stanford', 'score': 0.12}, {'token': 'oxford', 'score': 0.04}, {'token': 'ibm', 'score': 0.038}, {'token': 'cambridge', 'score': 0.029}, {'token': 'ucla', 'score': 0.027}, {'token': 'siemens', 'score': 0.024}, {'token': 'melbourne', 'score': 0.021}, {'token': 'berkeley', 'score': 0.021}, {'token': 'sri', 'score': 0.016}]","[{'token': 'ibm', 'score': 0.269}, {'token': 'mit', 'score': 0.224}, {'token': 'bbc', 'score': 0.038}, {'token': 'siemens', 'score': 0.031}, {'token': 'google', 'score': 0.028}, {'token': 'stanford', 'score': 0.019}, {'token': 'cambridge', 'score': 0.016}, {'token': 'oxford', 'score': 0.014}, {'token': 'philips', 'score': 0.014}, {'token': 'parc', 'score': 0.011}]","[{'token': 'mit', 'score': 0.378}, {'token': 'ibm', 'score': 0.29}, {'token': 'siemens', 'score': 0.059}, {'token': 'stanford', 'score': 0.018}, {'token': 'ucla', 'score': 0.017}, {'token': 'philips', 'score': 0.016}, {'token': 'google', 'score': 0.015}, {'token': 'harvard', 'score': 0.01}, {'token': 'intel', 'score': 0.01}, {'token': 'nasa', 'score': 0.007}]","[{'token': 'he', 'score': 0.368}, {'token': 'they', 'score': 0.28}, {'token': 'it', 'score': 0.033}, {'token': 'google', 'score': 0.014}, {'token': 'ibm', 'score': 0.011}, {'token': 'bbc', 'score': 0.006}, {'token': 'watson', 'score': 0.005}, {'token': 'turing', 'score': 0.005}, {'token': 'researchers', 'score': 0.004}, {'token': 'she', 'score': 0.004}]"
9,ibm,"[{'token': 'air', 'score': 0.065}, {'token': 'automated', 'score': 0.043}, {'token': 'vehicle', 'score': 0.041}, {'token': 'automatic', 'score': 0.028}, {'token': 'advanced', 'score': 0.025}, {'token': 'aircraft', 'score': 0.023}, {'token': 'electronic', 'score': 0.021}, {'token': 'forward', 'score': 0.017}, {'token': 'fire', 'score': 0.017}, {'token': 'marine', 'score': 0.017}]","[{'token': 'data', 'score': 0.186}, {'token': 'remote', 'score': 0.085}, {'token': 'electronic', 'score': 0.058}, {'token': 'automated', 'score': 0.047}, {'token': 'automatic', 'score': 0.041}, {'token': 'air', 'score': 0.034}, {'token': 'digital', 'score': 0.028}, {'token': 'advanced', 'score': 0.015}, {'token': 'manual', 'score': 0.014}, {'token': 'internal', 'score': 0.012}]","[{'token': 'data', 'score': 0.145}, {'token': 'automated', 'score': 0.054}, {'token': 'electronic', 'score': 0.053}, {'token': 'remote', 'score': 0.052}, {'token': 'air', 'score': 0.044}, {'token': 'automatic', 'score': 0.032}, {'token': 'advanced', 'score': 0.023}, {'token': 'digital', 'score': 0.016}, {'token': 'internal', 'score': 0.016}, {'token': 'manual', 'score': 0.011}]","[{'token': 'automated', 'score': 0.116}, {'token': 'automatic', 'score': 0.044}, {'token': 'advanced', 'score': 0.044}, {'token': 'air', 'score': 0.035}, {'token': 'vehicle', 'score': 0.034}, {'token': 'aircraft', 'score': 0.013}, {'token': 'forward', 'score': 0.012}, {'token': 'marine', 'score': 0.012}, {'token': 'central', 'score': 0.011}, {'token': 'remote', 'score': 0.01}]","[{'token': 'data', 'score': 0.112}, {'token': 'remote', 'score': 0.052}, {'token': 'air', 'score': 0.047}, {'token': 'electronic', 'score': 0.045}, {'token': 'automated', 'score': 0.04}, {'token': 'automatic', 'score': 0.04}, {'token': 'digital', 'score': 0.026}, {'token': 'advanced', 'score': 0.015}, {'token': 'bbc', 'score': 0.013}, {'token': 'internal', 'score': 0.011}]"
