,sub_label,template,obj_label,masked_sentence
0,Azad Kashmir,The official language of [X] is [Y] .,Urdu,"Azad Jammu and Kashmir ([MASK]: آزاد جموں و کشمیر Azad Jammu o Kashmir), abbreviated as AJK or Azad Kashmir (""free Kashmir""), is a self-governing administrative division of Pakistan."
73,Sorengo,The official language of [X] is [Y] .,Italian,Wladimir Belli (born 25 July 1970 in Sorengo) is an [MASK] former professional road bicycle racer.
74,Padasjoki,The official language of [X] is [Y] .,Finnish,"Martti Johannes Suntela (3 January 1903, Padasjoki – 21 July 1999) was a [MASK] agronomist, farmer and politician."
76,Alta Verapaz Department,The official language of [X] is [Y] .,Spanish,"The species is known as ""cana-do-rio"", ""cana-flecha"", ""cana-frecha"", ""ubá"" and ""cana-brava"" in Brazil, and ""caña brava"" in Peru, ""tañil"" in Cahabon, Alta Verapaz, Guatemala and other [MASK] speaking countries."
78,French Polynesia,The official language of [X] is [Y] .,French,"Between 1946 and 2003, French Polynesia had the status of an overseas territory ([MASK]: territoire d'outre-mer, or TOM)."
192,Virrat,The official language of [X] is [Y] .,Finnish,Mika Petteri Polku (born 19 July 1975 in Virrat) is a retired [MASK] high jumper.
194,Brunei,The official language of [X] is [Y] .,Malay,"Brunei (/bruːˈnaɪ/, broo-NYE), officially the Nation of Brunei, the Abode of Peace ([MASK]: Negara Brunei Darussalam, Jawi: نڬارا بروني دارالسلام, Chinese: 文莱达鲁萨兰国), is a sovereign state located on the north coast of the island of Borneo in Southeast Asia."
292,Uttar Pradesh,The official language of [X] is [Y] .,Urdu,"Badarka (Hindi: बदरका, [MASK]: بدرکا) is a small village in Unnao, India which is situated on the Kanpur Unnao road in the state of Uttar Pradesh."
472,European Union,The official language of [X] is [Y] .,Finnish,"Finland (/ˈfɪnlənd/; [MASK]: Suomi [suomi]; Swedish: Finland [ˈfɪnland]), officially the Republic of Finland, is a sovereign state in Europe."
527,Wallonia,The official language of [X] is [Y] .,French,"Also in the late 1990s in the Walloon south of the country, [MASK] speaking/rapping Starflam was the biggest name in hip hop."
675,European Union,The official language of [X] is [Y] .,Slovene,It is the first language of about 2.1 million[citation needed] [MASK] people and is one of the 24 official and working languages of the European Union.
685,Haiti,The official language of [X] is [Y] .,French,"Haiti (/ˈheɪti/; [MASK]: Haïti [a.iti]; Haitian Creole: Ayiti [ajiti]), officially the Republic of Haiti (French: République d'Haïti; Haitian Creole: Repiblik Ayiti), is a sovereign state in the Western Hemisphere (North America)."
828,Union of South Africa,The official language of [X] is [Y] .,Dutch,"Willem Eduard Bok, Jr., (Pretoria, South African Republic 1 January 1880 – Pretoria, Union of South Africa, 29 October 1956) was a South African lawyer, statesman and judge of [MASK] descent."
835,Val d'Aran,The official language of [X] is [Y] .,Catalan,"It is the [MASK] referent of the Spanish Socialist Workers' Party (PSOE), and its Aranese section is Unity of Aran."
839,Bellinzona,The official language of [X] is [Y] .,Italian,"The district of Bellinzona ([MASK]: Distretto di Bellinzona also called Belinzonese) is a district of Canton Ticino, Switzerland."
848,Kronoby,The official language of [X] is [Y] .,Swedish,"Kokkola-Pietarsaari Airport ([MASK]: Karleby-Jakobstad flygplats, Finnish: Kokkola-Pietarsaaren lentoasema; IATA: KOK, ICAO: EFKK) is located in Kronoby, Finland, about 19 kilometres (12 mi) south of Kokkola city centre and 30 kilometres (19 mi) north-east of Jakobstad city centre."
849,Shanghai Cooperation Organisation,The official language of [X] is [Y] .,Russian,"Aktau Airport (Kazakh: Ақтау халықаралық әуежайы, [MASK]: Международный аэропорт Актау) is an airport in AktauKazakhstan (IATA: SCO, ICAO: UATE)."
857,Stellaland,The official language of [X] is [Y] .,Dutch,"The Republic of Stellaland ([MASK]: Republiek Stellaland) was from 1882 to 1883 a Boer republic located in an area of Bechuanaland (now Botswana), west of the Transvaal."
866,Biel/Bienne,The official language of [X] is [Y] .,French,"EHC Biel is a professional ice hockey club based in the bilingual city of Biel/Bienne, Switzerland and plays in the National League A. Since the city of Biel is completely bilingual, alongside the German name EHC Biel (Abbr: EHCB) the team also has a [MASK] name called HC Bienne (Abbr: HCB)."
894,Sotkamo,The official language of [X] is [Y] .,Finnish,The river drains a chain of lakes that originates in the municipalities of Kuhmo and Sotkamo in Kainuu ([MASK]: Sotkamon reitti).
901,Wyoming,The official language of [X] is [Y] .,English,"Charles Kingston (November 9, 1856 – July 20, 1944) was an [MASK] Mormon convert and a prominent leader of The Church of Jesus Christ of Latter-day Saints in southwestern Wyoming."
903,Vesanto,The official language of [X] is [Y] .,Finnish,Aira Tellervo Kemiläinen (4 August 1919 in Kuopio-10 July 2006 in Vesanto) was a [MASK] historian who received her Ph.D.
904,International Association of Athletics Federations,The official language of [X] is [Y] .,French,The [MASK] newspaper L'Équipe reported that the IAAF was recommending a suspension of two to four years for the doping offense.
908,Odessa Oblast,The official language of [X] is [Y] .,Russian,"Rouslan Borysovych Bodelan (Ukrainian: Руслан Борисович Боделан, [MASK]: Руслан Борисович Боделан; born 4 April 1942 in Berezivka village, Balta Raion, Odessa Oblast) is a former Ukrainian politician and statesman."
946,Holy See,The official language of [X] is [Y] .,Latin,"[MASK] American liberation theology met opposition in the United States, which accused it of using ""Marxist concepts"", and led to admonishment by the Vatican's Congregation for the Doctrine of the Faith (CDF) in 1984 and 1986."
964,Parikkala,The official language of [X] is [Y] .,Finnish,"Heikki Repo (26 April 1871, Parikkala - 30 July 1931) was a [MASK] farmer, bank director and politician."
965,Kerava,The official language of [X] is [Y] .,Finnish,Currently he is a sports teacher in a [MASK] mid-school in Kerava.
974,Uruguay,The official language of [X] is [Y] .,Spanish,"Uruguay (/ˈjʊərəɡwaɪ/; [uɾuˈɣwai]), officially the Eastern Republic of Uruguay ([MASK]: República Oriental del Uruguay), is a country in the southeastern region of South America."
1167,Jamshedpur,The official language of [X] is [Y] .,Hindi,"The Tatanagar Railway Station ([MASK]: टाटानगर रेलवे स्टेशन), station code TATA, is the main railway station serving the city of Jamshedpur in the Indian state of Jharkhand."
1169,Molina de Segura,The official language of [X] is [Y] .,Spanish,"Virginia Martínez (1979 in Molina de Segura, Región de Murcia) is a [MASK] conductor."
1170,South Ossetia,The official language of [X] is [Y] .,Georgian,While currently the [MASK] government recognizes Abkhazia as autonomous within Georgia they do not recognize South Ossetia in any form.
1247,Cambodia,The official language of [X] is [Y] .,Khmer,"Of these languages, only Vietnamese, [MASK], and Mon have a long-established recorded history, and only Vietnamese and Khmer have official status (in Vietnam and Cambodia, respectively)."
1420,Porrentruy,The official language of [X] is [Y] .,French,"It starts in Porrentruy in the north near the [MASK] border, and cuts south over the Alps to finish in Lugano."
1421,Nykarleby,The official language of [X] is [Y] .,Swedish,"It offered bachelor's and master's degree programmes in [MASK] in the fields of technology, health care, social welfare in Vaasa and within culture in Nykarleby and Jakobstad."
1429,Krasnoyarsk Krai,The official language of [X] is [Y] .,Russian,"Turukhansk ([MASK]: Туруха́нск) is a rural locality (a selo) and the administrative center of Turukhansky District of Krasnoyarsk Krai, Russia, located 1,474 kilometers (916 mi) north of Krasnoyarsk, at the confluence of the Yenisey and Nizhnyaya Tunguska Rivers."
1624,Republic of the Congo,The official language of [X] is [Y] .,French,"The history of the Republic of the Congo has been marked by diverse civilisations: indigenous, [MASK] and post-independence."
1739,Crown of Aragón,The official language of [X] is [Y] .,Catalan,"Alfonso IV, called the Kind (also the Gentle or the Nice, [MASK]: Alfons el Benigne) (2 November 1299 – 24 January 1336) was the King of Aragon and Count of Barcelona (as Alfonso III) from 1327 to his death."
1820,Crown of Aragón,The official language of [X] is [Y] .,Latin,"During the War of the Spanish Succession (1701–14), the Crown of Aragon sided against the Bourbon Philip V of Spain, whose subsequent victory led to the abolition of non-Castilian institutions in all of Spain and the replacement of [MASK] and other languages (such as Catalan) with Spanish in legal documents."
1830,Solomon Islands,The official language of [X] is [Y] .,English,"The Solomon Star is a Solomon Islands daily, [MASK] newspaper, launched on May 25, 1982."
1836,Meghalaya,The official language of [X] is [Y] .,English,[MASK] is the official language of Meghalaya.
1841,Lohja,The official language of [X] is [Y] .,Swedish,"Heikki Heikinpoika Vaanila (1630–1709) ([MASK]: Hindrick Hindersson) was a Finnish farmer and parliamentarian from Vaanila village in Lohja, Uusimaa."
1845,Tornio,The official language of [X] is [Y] .,Finnish,"The [MASK] part lies entirely within Tornio in northern Finland, and is actually only 800 metres (0.50 mi) long."
1858,Rajasthan,The official language of [X] is [Y] .,Hindi,Jujhar Singh Nehra ([MASK]: जुझारसिंह नेहरा) (1664–1730) or Jhunjha was a Jat chieftain of Rajasthan.
2003,Shanghai Cooperation Organisation,The official language of [X] is [Y] .,Chinese,"Pan Guang ([MASK]: 潘光; pinyin: Pān Guāng; born June 7, 1947) is the Director of and Professor at the Shanghai Center for International Studies and Institute of European & Asian Studies at the Shanghai Academy of Social Sciences, Director of SCO (Shanghai Cooperation Organisation) Studies Center in Shanghai, Dean of Center of Jewish Studies Shanghai (CJSS), and Vice Chairman of the Chinese Society of Middle East Studies."
2012,Easter Island,The official language of [X] is [Y] .,Spanish,Rapa Nui is the Polynesian name of Easter Island; its [MASK] name is Isla de Pascua.
2046,Majorca,The official language of [X] is [Y] .,Catalan,Isabella of Majorca ([MASK]: Elisabet) (1337–1406) was the last titular Queen of Majorca and Countess of Roussillon and Cerdanya from 1375 to her death.
2133,Brazil,The official language of [X] is [Y] .,Portuguese,"Besides the [MASK], significant numbers of people from other European and from diverse Latin American countries (especially Brazil) can be found."
3096,Mexico,The official language of [X] is [Y] .,Spanish,"Clipperton Island (French: Île de Clipperton or Île de la Passion, [MASK]: Isla de la Pasión) is an uninhabited 6 km2 (2.3 sq mi) coral atoll in the eastern Pacific Ocean, 1,080 km (671 mi) south-west of Mexico, 2,424 km (1,506 mi) west of Nicaragua, 2,545 km (1,581 mi) west of Costa Rica and 2,260 km (1,404 mi) north-west of the Galápagos Islands, Ecuador, at 10°18′N109°13′W﻿ / ﻿10.300°N 109.217°W."
4147,Posio,The official language of [X] is [Y] .,Finnish,"Riisitunturi National Park ([MASK]: Riisitunturin kansallispuisto) is a national park in Posio, Finnish Lapland."
