,sub_label,template,obj_label,masked_sentence
0,John Cage,[X] plays [Y] music .,opera,"Her performance of John Cage's Six Melodies played an inspirational role in Andriessen's [MASK] ""Writing to Vermeer."""
1,Herbie Mann,[X] plays [Y] music .,jazz,"Herbert Jay Solomon (April 16, 1930 – July 1, 2003), known by his stage name Herbie Mann, was an American [MASK] flautist and important early practitioner of world music."
27,William Bolcom,[X] plays [Y] music .,opera,McTeague is an American [MASK] composed by William Bolcom with a libretto Arnold Weinstein and Robert Altman.
30,Original Dixieland Jass Band,[X] plays [Y] music .,jazz,"Christian was replaced by Nick LaRocca, and thus Frank Christian missed his chance to be in the Original Dixieland Jass Band which made the first [MASK] recordings in 1917."
52,Jean-Michel Pilc,[X] plays [Y] music .,jazz,"Jean-Michel Pilc (born 1960 in Paris, France) is a self-taught [MASK] pianist currently residing in New York."
55,Giulio Caccini,[X] plays [Y] music .,opera,Euridice is an [MASK] in a prologue and one act by the Italian composer Giulio Caccini.
58,Nicolas Dalayrac,[X] plays [Y] music .,opera,L'amant statue is an [MASK] in one act by composer Nicolas Dalayrac with a French libretto by Fouques Desfontaines.
62,Hamish MacCunn,[X] plays [Y] music .,opera,"Jeanie Deans is an [MASK] in four acts by Hamish MacCunn (1868–1916) set to a libretto by Joseph Bennett which is loosely based on Walter Scott's novel, The Heart of Midlothian and is named after its heroine, Jeanie Deans."
63,Frank Teschemacher,[X] plays [Y] music .,jazz,"Frank Teschemacher (March 13, 1906 in Kansas City, Missouri – March 1, 1932 in Chicago) was an American [MASK] clarinetist and alto-saxophonist, associated with the ""Austin High"" gang (along with Jimmy McPartland, Bud Freeman and others)."
65,Georgie Auld,[X] plays [Y] music .,jazz,"Georgie Auld (May 19, 1919 – January 8, 1990) was a [MASK] tenor saxophonist, clarinetist, and bandleader."
74,Chess Records,[X] plays [Y] music .,jazz,"Lafayette Leake (June 1, 1919 – August 14, 1990) was a blues and [MASK] pianist, organist, vocalist and composer who played for Chess Records as a session musician, and as a member of the Big Three Trio, during the formative years of Chicago blues."
76,Natalie Dessay,[X] plays [Y] music .,opera,"He also recorded the small role of Hadji in the same [MASK], opposite Natalie Dessay in 1998."
79,Reynaldo Hahn,[X] plays [Y] music .,opera,"His [MASK] librettos include Massenet's Chérubin (1905), based on his play of the same name, and Reynaldo Hahn's Ciboulette (1923)."
82,Mighty Diamonds,[X] plays [Y] music .,reggae,Right Time is the 1976 studio album debut of influential [MASK] band the Mighty Diamonds.
86,Chick Corea,[X] plays [Y] music .,jazz,"[citation needed]In addition to releasing several albums under his own name or in association with other Hong Kong musicians, Pao has played with Jeremy Monteiro's group Asiana and with many leading international performers in the [MASK] field, including Jimmy Witherspoon, Michael Brecker, Jack DeJohnette, Chick Corea and Herbie Hancock."
141,Benedetto Marcello,[X] plays [Y] music .,opera,Marcello Giordani (birth name Marcello Guagliardo; born 25 January 1963) is an Italian operatic tenor who has sung leading roles in [MASK] houses throughout Europe and the United States.
144,World of Ice and Fire,[X] plays [Y] music .,fantasy,"Game of Thrones: Seven Kingdoms is a [MASK] massively multiplayer online role-playing game (MMORPG), currently under development by video game developers Bigpoint and Artplant, in collaboration with HBO."
145,Naxos Records,[X] plays [Y] music .,jazz,"Through a number of imprints, Naxos also releases genres including Chinese music, [MASK], world music, and early rock & roll."
149,Vinnie Burke,[X] plays [Y] music .,jazz,"Vinnie Burke (born Vincenzo Bucci) (March 15, 1921 – February 1, 2001) was an American [MASK] bassist born in Newark, New Jersey."
151,Bob Enevoldsen,[X] plays [Y] music .,jazz,Steve White was friends with [MASK] musicians Harry Babasin and Bob Enevoldsen from the 1950s onwards.
152,Heath Brothers,[X] plays [Y] music .,jazz,"Percy Heath (April 30, 1923 – April 28, 2005) was an American [MASK] bassist, brother to tenor saxophonist Jimmy Heath and drummer Albert Heath, with whom he formed the Heath Brothers in 1975."
160,Darryl Jones,[X] plays [Y] music .,jazz,"Stone Raiders members are Jean-Paul Bourelly, a Chicago born jazz fusion and blues rock guitarist, Darryl Jones, also a Chicago born [MASK] and rock bass guitarist who also plays with The Rolling Stones, and Will Calhoun, an American drummer and a member of the group Living Colour."
162,Mainstream Records,[X] plays [Y] music .,jazz,"Mainstream Records was an American indie record label, which released [MASK], rock music, and soundtracks during the 1970s."
165,Jonathan Coe,[X] plays [Y] music .,satire,"is a [MASK] novel by Jonathan Coe, published in the UK by Viking Press in April 1994."
166,Jam Session,[X] plays [Y] music .,jazz,"Mickey created the ""Monday Night Jam Session"" at the Sportsman's Lounge, which allowed many young up and coming [MASK] musicians to perform onstage with him."
169,Steve Lacy,[X] plays [Y] music .,jazz,"Steve Lacy (July 23, 1934 – June 4, 2004), born Steven Norman Lackritz in New York City, was a [MASK] saxophonist and composer recognized as one of the important players of soprano saxophone."
183,Einojuhani Rautavaara,[X] plays [Y] music .,opera,"Aleksis Kivi (1995–96) is an [MASK] in two acts by Einojuhani Rautavaara, to a libretto by the composer."
186,Jules Massenet,[X] plays [Y] music .,opera,Le jongleur de Notre-Dame is a three-act [MASK] (labelled in the programme as Miracle in Three Acts) by Jules Massenet to a French libretto by Maurice Léna.
217,Jean-Joseph Mouret,[X] plays [Y] music .,opera,"Les amours de Ragonde (The Loves of Ragonde, original title: Le mariage de Ragonde et de Colin ou La Veillée de Village) is an [MASK] in three acts by Jean-Joseph Mouret with a libretto by Philippe Néricault Destouches."
219,Snub Mosley,[X] plays [Y] music .,jazz,"In May 1975, the venue presented their first US [MASK] star, Bud Freeman, and this subsequently became the club policy with early visitors including Buddy Tate, Bob Wilber, Al Grey, Benny Carter, Ruby Braff, and Snub Mosley, who recorded an album Live At Pizza Express at the club in 1978."
