,answers,original,t5_0,t5_1,t5_2,t5_3
0,alexandra,"[{'token': 'melbourne', 'score': 0.362}, {'token': 'sydney', 'score': 0.268}, {'token': 'brisbane', 'score': 0.136}, {'token': 'adelaide', 'score': 0.073}, {'token': 'perth', 'score': 0.071}, {'token': 'queensland', 'score': 0.021}, {'token': 'victoria', 'score': 0.021}, {'token': 'canberra', 'score': 0.019}, {'token': 'darwin', 'score': 0.006}, {'token': 'tasmania', 'score': 0.005}]","[{'token': 'france', 'score': 0.997}, {'token': 'yorkshire', 'score': 0.0}, {'token': 'california', 'score': 0.0}, {'token': 'canada', 'score': 0.0}, {'token': 'britain', 'score': 0.0}, {'token': 'wales', 'score': 0.0}, {'token': 'paris', 'score': 0.0}, {'token': 'ski', 'score': 0.0}, {'token': 'victoria', 'score': 0.0}, {'token': 'europe', 'score': 0.0}]","[{'token': 'france', 'score': 0.998}, {'token': 'california', 'score': 0.0}, {'token': 'canada', 'score': 0.0}, {'token': 'paris', 'score': 0.0}, {'token': 'yorkshire', 'score': 0.0}, {'token': 'britain', 'score': 0.0}, {'token': 'wales', 'score': 0.0}, {'token': 'europe', 'score': 0.0}, {'token': 'belgium', 'score': 0.0}, {'token': 'ski', 'score': 0.0}]","[{'token': 'france', 'score': 0.997}, {'token': 'california', 'score': 0.0}, {'token': 'canada', 'score': 0.0}, {'token': 'yorkshire', 'score': 0.0}, {'token': 'britain', 'score': 0.0}, {'token': 'paris', 'score': 0.0}, {'token': 'wales', 'score': 0.0}, {'token': 'europe', 'score': 0.0}, {'token': 'belgium', 'score': 0.0}, {'token': 'ski', 'score': 0.0}]","[{'token': 'france', 'score': 0.997}, {'token': 'yorkshire', 'score': 0.0}, {'token': 'canada', 'score': 0.0}, {'token': 'california', 'score': 0.0}, {'token': 'wales', 'score': 0.0}, {'token': 'paris', 'score': 0.0}, {'token': 'ski', 'score': 0.0}, {'token': 'britain', 'score': 0.0}, {'token': 'belgium', 'score': 0.0}, {'token': 'france', 'score': 0.0}]"
1,doncaster,"[{'token': 'previous', 'score': 0.318}, {'token': 'own', 'score': 0.092}, {'token': 'former', 'score': 0.081}, {'token': 'last', 'score': 0.073}, {'token': 'old', 'score': 0.038}, {'token': 'home', 'score': 0.038}, {'token': 'parliamentary', 'score': 0.023}, {'token': 'original', 'score': 0.019}, {'token': 'london', 'score': 0.018}, {'token': 'lancaster', 'score': 0.017}]","[{'token': 'former', 'score': 0.215}, {'token': 'previous', 'score': 0.107}, {'token': 'parliamentary', 'score': 0.085}, {'token': 'own', 'score': 0.081}, {'token': 'old', 'score': 0.068}, {'token': 'home', 'score': 0.022}, {'token': 'local', 'score': 0.014}, {'token': 'parliamentary', 'score': 0.013}, {'token': 'victoria', 'score': 0.011}, {'token': 'original', 'score': 0.01}]","[{'token': 'own', 'score': 0.163}, {'token': 'london', 'score': 0.053}, {'token': 'former', 'score': 0.044}, {'token': 'previous', 'score': 0.036}, {'token': 'westminster', 'score': 0.032}, {'token': 'liverpool', 'score': 0.029}, {'token': 'yorkshire', 'score': 0.026}, {'token': 'old', 'score': 0.026}, {'token': 'home', 'score': 0.024}, {'token': 'derby', 'score': 0.024}]","[{'token': 'own', 'score': 0.172}, {'token': 'previous', 'score': 0.111}, {'token': 'jamaica', 'score': 0.058}, {'token': 'former', 'score': 0.035}, {'token': 'london', 'score': 0.031}, {'token': 'old', 'score': 0.023}, {'token': 'parliamentary', 'score': 0.022}, {'token': 'liverpool', 'score': 0.02}, {'token': 'yorkshire', 'score': 0.019}, {'token': 'plymouth', 'score': 0.018}]",
2,scotland,"[{'token': 'indian', 'score': 0.277}, {'token': 'british', 'score': 0.155}, {'token': 'english', 'score': 0.073}, {'token': 'american', 'score': 0.069}, {'token': 'the', 'score': 0.039}, {'token': 'canadian', 'score': 0.038}, {'token': 'australian', 'score': 0.024}, {'token': 'folk', 'score': 0.024}, {'token': 'pakistani', 'score': 0.018}, {'token': 'irish', 'score': 0.018}]","[{'token': 'london', 'score': 0.152}, {'token': 'australia', 'score': 0.041}, {'token': 'scotland', 'score': 0.039}, {'token': 'england', 'score': 0.035}, {'token': 'glasgow', 'score': 0.032}, {'token': 'brighton', 'score': 0.027}, {'token': 'liverpool', 'score': 0.027}, {'token': 'edinburgh', 'score': 0.022}, {'token': 'manchester', 'score': 0.021}, {'token': 'norway', 'score': 0.02}]",,"[{'token': 'london', 'score': 0.183}, {'token': 'liverpool', 'score': 0.061}, {'token': 'england', 'score': 0.038}, {'token': 'glasgow', 'score': 0.035}, {'token': 'bristol', 'score': 0.034}, {'token': 'manchester', 'score': 0.033}, {'token': 'wales', 'score': 0.032}, {'token': 'nottingham', 'score': 0.027}, {'token': 'scotland', 'score': 0.025}, {'token': 'leeds', 'score': 0.022}]","[{'token': 'london', 'score': 0.09}, {'token': 'uk', 'score': 0.056}, {'token': 'england', 'score': 0.048}, {'token': 'it', 'score': 0.044}, {'token': 'australia', 'score': 0.025}, {'token': 'scotland', 'score': 0.024}, {'token': 'london', 'score': 0.021}, {'token': 'greece', 'score': 0.02}, {'token': 'liverpool', 'score': 0.017}, {'token': 'glasgow', 'score': 0.017}]"
3,toronto,"[{'token': 'jamaica', 'score': 0.201}, {'token': 'america', 'score': 0.167}, {'token': 'jazz', 'score': 0.066}, {'token': 'chicago', 'score': 0.054}, {'token': 'canada', 'score': 0.051}, {'token': 'boston', 'score': 0.033}, {'token': 'music', 'score': 0.03}, {'token': 'today', 'score': 0.024}, {'token': 'brooklyn', 'score': 0.021}, {'token': 'nyc', 'score': 0.017}]","[{'token': 'poland', 'score': 0.683}, {'token': 'warsaw', 'score': 0.22}, {'token': 'israel', 'score': 0.01}, {'token': 'town', 'score': 0.007}, {'token': 'ukraine', 'score': 0.006}, {'token': 'polish', 'score': 0.005}, {'token': 'chicago', 'score': 0.004}, {'token': 'europe', 'score': 0.003}, {'token': 'america', 'score': 0.002}, {'token': 'belarus', 'score': 0.002}]",,"[{'token': 'uruguay', 'score': 0.321}, {'token': 'argentina', 'score': 0.169}, {'token': 'europe', 'score': 0.108}, {'token': 'spain', 'score': 0.058}, {'token': 'chile', 'score': 0.03}, {'token': 'mexico', 'score': 0.03}, {'token': 'venezuela', 'score': 0.027}, {'token': 'america', 'score': 0.018}, {'token': 'music', 'score': 0.013}, {'token': 'cuba', 'score': 0.013}]","[{'token': 'greece', 'score': 0.301}, {'token': 'today', 'score': 0.179}, {'token': 'america', 'score': 0.11}, {'token': 'europe', 'score': 0.051}, {'token': 'chicago', 'score': 0.038}, {'token': 'jazz', 'score': 0.033}, {'token': 'boston', 'score': 0.023}, {'token': 'israel', 'score': 0.021}, {'token': 'canada', 'score': 0.009}, {'token': 'britain', 'score': 0.009}]"
4,vienna,"[{'token': 'vienna', 'score': 0.903}, {'token': 'austria', 'score': 0.048}, {'token': 'munich', 'score': 0.017}, {'token': 'berlin', 'score': 0.01}, {'token': 'prague', 'score': 0.005}, {'token': 'zurich', 'score': 0.002}, {'token': 'budapest', 'score': 0.002}, {'token': 'bern', 'score': 0.001}, {'token': 'cologne', 'score': 0.001}, {'token': 'paris', 'score': 0.001}]","[{'token': 'vienna', 'score': 0.689}, {'token': 'austria', 'score': 0.078}, {'token': 'berlin', 'score': 0.045}, {'token': 'munich', 'score': 0.026}, {'token': 'budapest', 'score': 0.018}, {'token': 'prague', 'score': 0.016}, {'token': 'paris', 'score': 0.012}, {'token': 'zurich', 'score': 0.008}, {'token': 'mumbai', 'score': 0.008}, {'token': 'london', 'score': 0.005}]","[{'token': 'vienna', 'score': 0.535}, {'token': 'munich', 'score': 0.061}, {'token': 'berlin', 'score': 0.056}, {'token': 'budapest', 'score': 0.039}, {'token': 'prague', 'score': 0.035}, {'token': 'athens', 'score': 0.032}, {'token': 'austria', 'score': 0.026}, {'token': 'paris', 'score': 0.02}, {'token': 'zurich', 'score': 0.015}, {'token': 'london', 'score': 0.014}]","[{'token': 'vienna', 'score': 0.888}, {'token': 'austria', 'score': 0.024}, {'token': 'prague', 'score': 0.02}, {'token': 'munich', 'score': 0.013}, {'token': 'berlin', 'score': 0.013}, {'token': 'warsaw', 'score': 0.009}, {'token': 'budapest', 'score': 0.009}, {'token': 'paris', 'score': 0.003}, {'token': 'zurich', 'score': 0.003}, {'token': 'dresden', 'score': 0.001}]","[{'token': 'vienna', 'score': 0.699}, {'token': 'munich', 'score': 0.042}, {'token': 'berlin', 'score': 0.038}, {'token': 'austria', 'score': 0.028}, {'token': 'prague', 'score': 0.025}, {'token': 'budapest', 'score': 0.024}, {'token': 'paris', 'score': 0.016}, {'token': 'zurich', 'score': 0.012}, {'token': 'athens', 'score': 0.012}, {'token': 'rome', 'score': 0.009}]"
5,paris,"[{'token': 'paris', 'score': 0.951}, {'token': 'lyon', 'score': 0.013}, {'token': 'france', 'score': 0.006}, {'token': 'brussels', 'score': 0.004}, {'token': 'nice', 'score': 0.003}, {'token': 'nancy', 'score': 0.002}, {'token': 'cannes', 'score': 0.002}, {'token': 'lyons', 'score': 0.002}, {'token': 'geneva', 'score': 0.002}, {'token': 'london', 'score': 0.001}]","[{'token': 'paris', 'score': 0.72}, {'token': 'france', 'score': 0.052}, {'token': 'lyon', 'score': 0.04}, {'token': 'brussels', 'score': 0.02}, {'token': 'geneva', 'score': 0.02}, {'token': 'barcelona', 'score': 0.017}, {'token': 'nice', 'score': 0.009}, {'token': 'madrid', 'score': 0.009}, {'token': 'london', 'score': 0.008}, {'token': 'rome', 'score': 0.008}]","[{'token': 'paris', 'score': 0.663}, {'token': 'france', 'score': 0.089}, {'token': 'lyon', 'score': 0.042}, {'token': 'geneva', 'score': 0.02}, {'token': 'brussels', 'score': 0.013}, {'token': 'london', 'score': 0.012}, {'token': 'montreal', 'score': 0.009}, {'token': 'nice', 'score': 0.007}, {'token': 'nancy', 'score': 0.006}, {'token': 'rome', 'score': 0.006}]","[{'token': 'quebec', 'score': 0.118}, {'token': 'jamaica', 'score': 0.117}, {'token': 'french', 'score': 0.083}, {'token': 'montreal', 'score': 0.053}, {'token': 'kingston', 'score': 0.047}, {'token': 'paris', 'score': 0.042}, {'token': 'haitian', 'score': 0.041}, {'token': 'haiti', 'score': 0.036}, {'token': 'caribbean', 'score': 0.03}, {'token': 'monaco', 'score': 0.017}]","[{'token': 'paris', 'score': 0.634}, {'token': 'in', 'score': 0.064}, {'token': 'here', 'score': 0.055}, {'token': 'there', 'score': 0.034}, {'token': 'france', 'score': 0.013}, {'token': ',', 'score': 0.012}, {'token': ',', 'score': 0.012}, {'token': 'lyon', 'score': 0.009}, {'token': 'at', 'score': 0.009}, {'token': 'brussels', 'score': 0.007}]"
6,yokohama,"[{'token': 'tokyo', 'score': 0.599}, {'token': 'osaka', 'score': 0.216}, {'token': 'japan', 'score': 0.078}, {'token': 'kyoto', 'score': 0.06}, {'token': 'hiroshima', 'score': 0.019}, {'token': 'kobe', 'score': 0.013}, {'token': 'okinawa', 'score': 0.002}, {'token': 'london', 'score': 0.002}, {'token': 'shanghai', 'score': 0.001}, {'token': 'beijing', 'score': 0.0}]","[{'token': 'tokyo', 'score': 0.675}, {'token': 'osaka', 'score': 0.139}, {'token': 'japan', 'score': 0.072}, {'token': 'kyoto', 'score': 0.038}, {'token': 'hiroshima', 'score': 0.018}, {'token': 'kobe', 'score': 0.011}, {'token': 'okinawa', 'score': 0.003}, {'token': 'london', 'score': 0.003}, {'token': 'shanghai', 'score': 0.002}, {'token': 'manila', 'score': 0.002}]","[{'token': 'tokyo', 'score': 0.317}, {'token': 'japan', 'score': 0.208}, {'token': 'osaka', 'score': 0.085}, {'token': 'london', 'score': 0.037}, {'token': 'kyoto', 'score': 0.024}, {'token': 'hiroshima', 'score': 0.016}, {'token': 'england', 'score': 0.012}, {'token': 'seoul', 'score': 0.011}, {'token': 'toronto', 'score': 0.009}, {'token': 'okinawa', 'score': 0.008}]","[{'token': 'tokyo', 'score': 0.69}, {'token': 'osaka', 'score': 0.143}, {'token': 'kyoto', 'score': 0.047}, {'token': 'japan', 'score': 0.045}, {'token': 'hiroshima', 'score': 0.026}, {'token': 'kobe', 'score': 0.02}, {'token': 'okinawa', 'score': 0.006}, {'token': 'london', 'score': 0.002}, {'token': 'singapore', 'score': 0.002}, {'token': 'fukushima', 'score': 0.001}]","[{'token': 'tokyo', 'score': 0.575}, {'token': 'osaka', 'score': 0.157}, {'token': 'japan', 'score': 0.135}, {'token': 'kyoto', 'score': 0.035}, {'token': 'hiroshima', 'score': 0.023}, {'token': 'kobe', 'score': 0.014}, {'token': 'london', 'score': 0.009}, {'token': 'okinawa', 'score': 0.006}, {'token': 'shanghai', 'score': 0.002}, {'token': 'toronto', 'score': 0.002}]"
7,antwerp,"[{'token': 'amsterdam', 'score': 0.226}, {'token': 'died', 'score': 0.197}, {'token': 'london', 'score': 0.084}, {'token': 'holland', 'score': 0.061}, {'token': 'paris', 'score': 0.024}, {'token': 'thursday', 'score': 0.022}, {'token': 'norwich', 'score': 0.016}, {'token': 'wednesday', 'score': 0.013}, {'token': 'die', 'score': 0.01}, {'token': 'rome', 'score': 0.009}]","[{'token': 'england', 'score': 0.231}, {'token': 'london', 'score': 0.083}, {'token': 'ireland', 'score': 0.074}, {'token': 'scotland', 'score': 0.052}, {'token': 'france', 'score': 0.043}, {'token': 'australia', 'score': 0.042}, {'token': 'holland', 'score': 0.035}, {'token': 'amsterdam', 'score': 0.026}, {'token': 'germany', 'score': 0.025}, {'token': 'britain', 'score': 0.023}]","[{'token': 'england', 'score': 0.244}, {'token': 'holland', 'score': 0.082}, {'token': 'london', 'score': 0.069}, {'token': 'amsterdam', 'score': 0.059}, {'token': 'france', 'score': 0.052}, {'token': 'denmark', 'score': 0.042}, {'token': 'germany', 'score': 0.04}, {'token': 'scotland', 'score': 0.028}, {'token': 'ireland', 'score': 0.023}, {'token': 'sweden', 'score': 0.02}]","[{'token': 'amsterdam', 'score': 0.298}, {'token': 'helsinki', 'score': 0.087}, {'token': 'holland', 'score': 0.047}, {'token': 'brussels', 'score': 0.038}, {'token': 'copenhagen', 'score': 0.037}, {'token': 'venice', 'score': 0.023}, {'token': 'lund', 'score': 0.019}, {'token': 'prague', 'score': 0.018}, {'token': 'denmark', 'score': 0.018}, {'token': 'london', 'score': 0.017}]",
8,barcelona,"[{'token': 'spain', 'score': 0.335}, {'token': 'madrid', 'score': 0.18}, {'token': 'barcelona', 'score': 0.103}, {'token': 'london', 'score': 0.027}, {'token': 'rome', 'score': 0.024}, {'token': 'portugal', 'score': 0.017}, {'token': 'india', 'score': 0.016}, {'token': 'valencia', 'score': 0.016}, {'token': 'paris', 'score': 0.015}, {'token': 'france', 'score': 0.014}]","[{'token': '1888', 'score': 0.042}, {'token': '1890', 'score': 0.04}, {'token': '1880', 'score': 0.035}, {'token': '1889', 'score': 0.034}, {'token': '1870', 'score': 0.033}, {'token': '1900', 'score': 0.032}, {'token': '1898', 'score': 0.029}, {'token': '1899', 'score': 0.028}, {'token': '1850', 'score': 0.026}, {'token': '1904', 'score': 0.026}]","[{'token': 'india', 'score': 0.995}, {'token': 'maharashtra', 'score': 0.002}, {'token': 'bombay', 'score': 0.001}, {'token': 'india', 'score': 0.001}, {'token': 'indian', 'score': 0.0}, {'token': 'gujarat', 'score': 0.0}, {'token': 'england', 'score': 0.0}, {'token': 'mumbai', 'score': 0.0}, {'token': 'indonesia', 'score': 0.0}, {'token': 'california', 'score': 0.0}]","[{'token': 'barcelona', 'score': 0.207}, {'token': 'london', 'score': 0.11}, {'token': 'spain', 'score': 0.084}, {'token': 'paris', 'score': 0.056}, {'token': 'rome', 'score': 0.056}, {'token': 'athens', 'score': 0.051}, {'token': 'madrid', 'score': 0.044}, {'token': 'lisbon', 'score': 0.026}, {'token': 'italy', 'score': 0.015}, {'token': 'naples', 'score': 0.015}]","[{'token': 'jamaica', 'score': 0.575}, {'token': 'spain', 'score': 0.227}, {'token': 'europe', 'score': 0.026}, {'token': 'cuba', 'score': 0.016}, {'token': 'england', 'score': 0.014}, {'token': 'trinidad', 'score': 0.013}, {'token': 'america', 'score': 0.008}, {'token': 'portugal', 'score': 0.008}, {'token': 'haiti', 'score': 0.006}, {'token': 'barcelona', 'score': 0.006}]"
9,rome,"[{'token': 'milan', 'score': 0.6}, {'token': 'rome', 'score': 0.227}, {'token': 'naples', 'score': 0.054}, {'token': 'venice', 'score': 0.032}, {'token': 'florence', 'score': 0.027}, {'token': 'roma', 'score': 0.02}, {'token': 'italy', 'score': 0.008}, {'token': 'sicily', 'score': 0.003}, {'token': 'juventus', 'score': 0.002}, {'token': 'barcelona', 'score': 0.002}]","[{'token': 'rome', 'score': 0.39}, {'token': 'milan', 'score': 0.265}, {'token': 'naples', 'score': 0.07}, {'token': 'florence', 'score': 0.04}, {'token': 'italy', 'score': 0.03}, {'token': 'madrid', 'score': 0.02}, {'token': 'athens', 'score': 0.016}, {'token': 'venice', 'score': 0.015}, {'token': 'barcelona', 'score': 0.014}, {'token': 'london', 'score': 0.012}]","[{'token': 'rome', 'score': 0.318}, {'token': 'milan', 'score': 0.272}, {'token': 'naples', 'score': 0.052}, {'token': 'madrid', 'score': 0.039}, {'token': 'barcelona', 'score': 0.036}, {'token': 'italy', 'score': 0.034}, {'token': 'venice', 'score': 0.025}, {'token': 'florence', 'score': 0.016}, {'token': 'geneva', 'score': 0.011}, {'token': 'uruguay', 'score': 0.01}]","[{'token': 'rome', 'score': 0.421}, {'token': 'milan', 'score': 0.274}, {'token': 'naples', 'score': 0.06}, {'token': 'florence', 'score': 0.044}, {'token': 'italy', 'score': 0.044}, {'token': 'warsaw', 'score': 0.036}, {'token': 'roma', 'score': 0.014}, {'token': 'venice', 'score': 0.011}, {'token': 'madrid', 'score': 0.005}, {'token': 'paris', 'score': 0.004}]","[{'token': 'mumbai', 'score': 0.447}, {'token': 'india', 'score': 0.088}, {'token': 'milan', 'score': 0.051}, {'token': 'chennai', 'score': 0.038}, {'token': 'bangalore', 'score': 0.037}, {'token': 'kerala', 'score': 0.027}, {'token': 'italy', 'score': 0.025}, {'token': 'bombay', 'score': 0.022}, {'token': 'delhi', 'score': 0.021}, {'token': 'rome', 'score': 0.02}]"
