,answers,original,t5_0,t5_1,t5_2,t5_3
0,apple,"[{'token': 'it', 'score': 0.251}, {'token': 'berlin', 'score': 0.168}, {'token': 'brandt', 'score': 0.123}, {'token': 'he', 'score': 0.101}, {'token': 'germany', 'score': 0.097}, {'token': 'hamburg', 'score': 0.018}, {'token': 'ibm', 'score': 0.012}, {'token': 'volkswagen', 'score': 0.012}, {'token': 'microsoft', 'score': 0.011}, {'token': 'bmw', 'score': 0.008}]","[{'token': 'ibm', 'score': 0.955}, {'token': 'it', 'score': 0.017}, {'token': 'he', 'score': 0.008}, {'token': 'microsoft', 'score': 0.003}, {'token': 'hp', 'score': 0.001}, {'token': 'apple', 'score': 0.001}, {'token': 'motorola', 'score': 0.001}, {'token': 'intel', 'score': 0.001}, {'token': 'google', 'score': 0.001}, {'token': 'dell', 'score': 0.0}]","[{'token': 'victoria', 'score': 0.191}, {'token': 'microsoft', 'score': 0.032}, {'token': 'it', 'score': 0.023}, {'token': 'singapore', 'score': 0.02}, {'token': 'google', 'score': 0.017}, {'token': 'india', 'score': 0.017}, {'token': 'ibm', 'score': 0.014}, {'token': 'service', 'score': 0.011}, {'token': 'malaysia', 'score': 0.011}, {'token': 'australia', 'score': 0.01}]","[{'token': 'them', 'score': 0.21}, {'token': 'microsoft', 'score': 0.058}, {'token': 'him', 'score': 0.051}, {'token': 'google', 'score': 0.038}, {'token': 'it', 'score': 0.029}, {'token': 'themselves', 'score': 0.02}, {'token': 'company', 'score': 0.019}, {'token': 'ibm', 'score': 0.017}, {'token': 'himself', 'score': 0.017}, {'token': 'together', 'score': 0.017}]","[{'token': 'pc', 'score': 0.047}, {'token': 'pcs', 'score': 0.046}, {'token': 'them', 'score': 0.031}, {'token': 'us', 'score': 0.03}, {'token': 'microsoft', 'score': 0.029}, {'token': 'america', 'score': 0.02}, {'token': 'him', 'score': 0.019}, {'token': 'jobs', 'score': 0.018}, {'token': 'careers', 'score': 0.016}, {'token': 'google', 'score': 0.014}]"
1,apple,"[{'token': 'google', 'score': 0.812}, {'token': 'it', 'score': 0.103}, {'token': 'he', 'score': 0.017}, {'token': 'microsoft', 'score': 0.015}, {'token': 'youtube', 'score': 0.004}, {'token': 'facebook', 'score': 0.003}, {'token': 'ibm', 'score': 0.003}, {'token': 'india', 'score': 0.003}, {'token': 'apple', 'score': 0.002}, {'token': 'yahoo', 'score': 0.001}]","[{'token': 'it', 'score': 0.274}, {'token': 'bbc', 'score': 0.248}, {'token': 'he', 'score': 0.053}, {'token': 'itv', 'score': 0.031}, {'token': 'ibm', 'score': 0.026}, {'token': 'apple', 'score': 0.016}, {'token': 'microsoft', 'score': 0.011}, {'token': 'bt', 'score': 0.01}, {'token': 'uk', 'score': 0.01}, {'token': 'we', 'score': 0.008}]","[{'token': 'bbc', 'score': 0.526}, {'token': 'itv', 'score': 0.106}, {'token': 'apple', 'score': 0.026}, {'token': 'microsoft', 'score': 0.015}, {'token': 'google', 'score': 0.014}, {'token': 'ibm', 'score': 0.012}, {'token': 'it', 'score': 0.008}, {'token': 'pc', 'score': 0.007}, {'token': 'nbc', 'score': 0.006}, {'token': 'cbs', 'score': 0.006}]","[{'token': 'them', 'score': 0.199}, {'token': 'microsoft', 'score': 0.067}, {'token': 'google', 'score': 0.04}, {'token': 'him', 'score': 0.036}, {'token': 'it', 'score': 0.026}, {'token': 'themselves', 'score': 0.023}, {'token': 'company', 'score': 0.022}, {'token': 'itv', 'score': 0.019}, {'token': 'ibm', 'score': 0.018}, {'token': 'bbc', 'score': 0.017}]","[{'token': 'ibm', 'score': 0.339}, {'token': 'microsoft', 'score': 0.069}, {'token': 'jobs', 'score': 0.056}, {'token': 'pcs', 'score': 0.034}, {'token': 'companies', 'score': 0.032}, {'token': 'america', 'score': 0.028}, {'token': 'him', 'score': 0.019}, {'token': 'them', 'score': 0.018}, {'token': 'company', 'score': 0.018}, {'token': 'intel', 'score': 0.015}]"
2,microsoft,"[{'token': 'microsoft', 'score': 0.095}, {'token': 'pc', 'score': 0.085}, {'token': 'ibm', 'score': 0.079}, {'token': 'apple', 'score': 0.059}, {'token': 'windows', 'score': 0.023}, {'token': 'linux', 'score': 0.02}, {'token': 'intel', 'score': 0.014}, {'token': 'bbc', 'score': 0.013}, {'token': 'google', 'score': 0.011}, {'token': 'dell', 'score': 0.009}]","[{'token': 'microsoft', 'score': 0.127}, {'token': 'ibm', 'score': 0.111}, {'token': 'apple', 'score': 0.074}, {'token': 'pc', 'score': 0.039}, {'token': 'intel', 'score': 0.026}, {'token': 'windows', 'score': 0.024}, {'token': 'linux', 'score': 0.023}, {'token': 'dell', 'score': 0.015}, {'token': 'google', 'score': 0.012}, {'token': 'gateway', 'score': 0.011}]","[{'token': 'bbc', 'score': 0.159}, {'token': 'microsoft', 'score': 0.113}, {'token': 'ibm', 'score': 0.067}, {'token': 'pc', 'score': 0.062}, {'token': 'apple', 'score': 0.042}, {'token': 'it', 'score': 0.031}, {'token': 'itv', 'score': 0.026}, {'token': 'windows', 'score': 0.017}, {'token': 'google', 'score': 0.013}, {'token': 'bt', 'score': 0.013}]","[{'token': 'bbc', 'score': 0.155}, {'token': 'net', 'score': 0.097}, {'token': 'pc', 'score': 0.069}, {'token': 'it', 'score': 0.064}, {'token': 'com', 'score': 0.057}, {'token': 'microsoft', 'score': 0.05}, {'token': 'bt', 'score': 0.02}, {'token': 'ibm', 'score': 0.015}, {'token': 'itv', 'score': 0.013}, {'token': 'google', 'score': 0.012}]","[{'token': 'ibm', 'score': 0.455}, {'token': 'microsoft', 'score': 0.086}, {'token': 'apple', 'score': 0.029}, {'token': 'intel', 'score': 0.027}, {'token': 'dell', 'score': 0.022}, {'token': 'oracle', 'score': 0.016}, {'token': 'linux', 'score': 0.016}, {'token': 'pc', 'score': 0.014}, {'token': 'hp', 'score': 0.012}, {'token': 'windows', 'score': 0.011}]"
3,microsoft,"[{'token': 'espn', 'score': 0.844}, {'token': 'cnn', 'score': 0.015}, {'token': 'cbs', 'score': 0.014}, {'token': 'nbc', 'score': 0.014}, {'token': 'abc', 'score': 0.01}, {'token': 'fox', 'score': 0.009}, {'token': 'sports', 'score': 0.005}, {'token': 'media', 'score': 0.004}, {'token': 'channel', 'score': 0.003}, {'token': 'mtv', 'score': 0.002}]","[{'token': 'victoria', 'score': 0.301}, {'token': 'it', 'score': 0.011}, {'token': 'government', 'score': 0.009}, {'token': 'council', 'score': 0.008}, {'token': 'microsoft', 'score': 0.007}, {'token': 'google', 'score': 0.007}, {'token': 'australia', 'score': 0.006}, {'token': 'management', 'score': 0.006}, {'token': 'parliament', 'score': 0.006}, {'token': 'business', 'score': 0.005}]","[{'token': 'bbc', 'score': 0.831}, {'token': 'itv', 'score': 0.032}, {'token': 'channel', 'score': 0.01}, {'token': 'rte', 'score': 0.01}, {'token': 'abc', 'score': 0.007}, {'token': 'company', 'score': 0.004}, {'token': 'bt', 'score': 0.004}, {'token': 'it', 'score': 0.004}, {'token': 'network', 'score': 0.004}, {'token': 'cbc', 'score': 0.004}]","[{'token': 'bbc', 'score': 0.536}, {'token': 'itv', 'score': 0.098}, {'token': 'rte', 'score': 0.027}, {'token': 'cbs', 'score': 0.016}, {'token': 'abc', 'score': 0.012}, {'token': 'channel', 'score': 0.009}, {'token': 'bt', 'score': 0.007}, {'token': 'cnn', 'score': 0.006}, {'token': 'news', 'score': 0.006}, {'token': 'telecom', 'score': 0.005}]","[{'token': 'bbc', 'score': 0.529}, {'token': 'itv', 'score': 0.088}, {'token': 'rte', 'score': 0.033}, {'token': 'cbs', 'score': 0.01}, {'token': 'cbc', 'score': 0.006}, {'token': 'google', 'score': 0.006}, {'token': 'bt', 'score': 0.005}, {'token': 'news', 'score': 0.005}, {'token': 'cnn', 'score': 0.005}, {'token': 'abc', 'score': 0.005}]"
4,bbc,"[{'token': 'bbc', 'score': 0.458}, {'token': 'internet', 'score': 0.102}, {'token': 'network', 'score': 0.054}, {'token': 'cbc', 'score': 0.036}, {'token': 'radio', 'score': 0.036}, {'token': 'web', 'score': 0.022}, {'token': 'station', 'score': 0.017}, {'token': 'air', 'score': 0.016}, {'token': 'news', 'score': 0.016}, {'token': 'pbs', 'score': 0.014}]","[{'token': 'internet', 'score': 0.369}, {'token': 'web', 'score': 0.102}, {'token': 'bbc', 'score': 0.047}, {'token': 'news', 'score': 0.025}, {'token': 'television', 'score': 0.02}, {'token': 'website', 'score': 0.02}, {'token': 'network', 'score': 0.017}, {'token': 'net', 'score': 0.016}, {'token': 'air', 'score': 0.015}, {'token': 'tv', 'score': 0.015}]","[{'token': 'bbc', 'score': 0.761}, {'token': 'internet', 'score': 0.025}, {'token': 'radio', 'score': 0.024}, {'token': 'network', 'score': 0.023}, {'token': 'channel', 'score': 0.02}, {'token': 'uk', 'score': 0.01}, {'token': 'itv', 'score': 0.01}, {'token': 'television', 'score': 0.009}, {'token': 'show', 'score': 0.007}, {'token': 'news', 'score': 0.006}]","[{'token': 'bbc', 'score': 0.717}, {'token': 'channel', 'score': 0.045}, {'token': 'network', 'score': 0.041}, {'token': 'show', 'score': 0.022}, {'token': 'programme', 'score': 0.02}, {'token': 'station', 'score': 0.017}, {'token': 'evening', 'score': 0.009}, {'token': 'broadcaster', 'score': 0.009}, {'token': 'group', 'score': 0.008}, {'token': 'day', 'score': 0.005}]","[{'token': 'bbc', 'score': 0.465}, {'token': 'internet', 'score': 0.102}, {'token': 'radio', 'score': 0.028}, {'token': 'web', 'score': 0.023}, {'token': 'show', 'score': 0.02}, {'token': 'news', 'score': 0.019}, {'token': 'television', 'score': 0.019}, {'token': 'stage', 'score': 0.018}, {'token': 'network', 'score': 0.018}, {'token': 'website', 'score': 0.016}]"
5,bbc,"[{'token': 'bbc', 'score': 0.458}, {'token': 'internet', 'score': 0.102}, {'token': 'network', 'score': 0.054}, {'token': 'cbc', 'score': 0.036}, {'token': 'radio', 'score': 0.036}, {'token': 'web', 'score': 0.022}, {'token': 'station', 'score': 0.017}, {'token': 'air', 'score': 0.016}, {'token': 'news', 'score': 0.016}, {'token': 'pbs', 'score': 0.014}]","[{'token': 'bbc', 'score': 0.455}, {'token': 'internet', 'score': 0.103}, {'token': 'web', 'score': 0.027}, {'token': 'radio', 'score': 0.025}, {'token': 'show', 'score': 0.024}, {'token': 'news', 'score': 0.017}, {'token': 'website', 'score': 0.017}, {'token': 'stage', 'score': 0.016}, {'token': 'network', 'score': 0.016}, {'token': 'air', 'score': 0.015}]","[{'token': 'bbc', 'score': 0.756}, {'token': 'internet', 'score': 0.027}, {'token': 'network', 'score': 0.024}, {'token': 'radio', 'score': 0.022}, {'token': 'channel', 'score': 0.02}, {'token': 'uk', 'score': 0.01}, {'token': 'itv', 'score': 0.01}, {'token': 'television', 'score': 0.009}, {'token': 'show', 'score': 0.007}, {'token': 'news', 'score': 0.006}]","[{'token': 'bbc', 'score': 0.287}, {'token': 'network', 'score': 0.117}, {'token': 'channel', 'score': 0.111}, {'token': 'station', 'score': 0.047}, {'token': 'show', 'score': 0.041}, {'token': 'abc', 'score': 0.019}, {'token': 'evening', 'score': 0.018}, {'token': 'group', 'score': 0.016}, {'token': 'day', 'score': 0.013}, {'token': 'cbc', 'score': 0.011}]","[{'token': 'bbc', 'score': 0.465}, {'token': 'internet', 'score': 0.102}, {'token': 'radio', 'score': 0.028}, {'token': 'web', 'score': 0.023}, {'token': 'show', 'score': 0.02}, {'token': 'news', 'score': 0.019}, {'token': 'television', 'score': 0.019}, {'token': 'stage', 'score': 0.018}, {'token': 'network', 'score': 0.018}, {'token': 'website', 'score': 0.016}]"
6,bbc,"[{'token': 'bbc', 'score': 0.529}, {'token': 'internet', 'score': 0.097}, {'token': 'network', 'score': 0.042}, {'token': 'channel', 'score': 0.029}, {'token': 'television', 'score': 0.024}, {'token': 'radio', 'score': 0.017}, {'token': 'web', 'score': 0.017}, {'token': 'tv', 'score': 0.014}, {'token': 'news', 'score': 0.013}, {'token': 'website', 'score': 0.012}]","[{'token': 'bbc', 'score': 0.517}, {'token': 'internet', 'score': 0.075}, {'token': 'radio', 'score': 0.03}, {'token': 'show', 'score': 0.026}, {'token': 'stage', 'score': 0.019}, {'token': 'television', 'score': 0.018}, {'token': 'web', 'score': 0.016}, {'token': 'programme', 'score': 0.016}, {'token': 'network', 'score': 0.015}, {'token': 'news', 'score': 0.014}]","[{'token': 'bbc', 'score': 0.761}, {'token': 'internet', 'score': 0.025}, {'token': 'radio', 'score': 0.024}, {'token': 'network', 'score': 0.023}, {'token': 'channel', 'score': 0.02}, {'token': 'uk', 'score': 0.01}, {'token': 'itv', 'score': 0.01}, {'token': 'television', 'score': 0.009}, {'token': 'show', 'score': 0.007}, {'token': 'news', 'score': 0.006}]","[{'token': 'bbc', 'score': 0.349}, {'token': 'channel', 'score': 0.091}, {'token': 'network', 'score': 0.055}, {'token': 'station', 'score': 0.039}, {'token': 'show', 'score': 0.035}, {'token': 'abc', 'score': 0.019}, {'token': 'evening', 'score': 0.017}, {'token': 'group', 'score': 0.015}, {'token': 'nation', 'score': 0.013}, {'token': 'cbc', 'score': 0.012}]","[{'token': 'internet', 'score': 0.338}, {'token': 'bbc', 'score': 0.126}, {'token': 'web', 'score': 0.083}, {'token': 'website', 'score': 0.031}, {'token': 'news', 'score': 0.022}, {'token': 'television', 'score': 0.021}, {'token': 'network', 'score': 0.016}, {'token': 'stage', 'score': 0.012}, {'token': 'radio', 'score': 0.012}, {'token': 'tv', 'score': 0.012}]"
7,ibm,"[{'token': 'bbc', 'score': 0.111}, {'token': 'microsoft', 'score': 0.053}, {'token': 'apple', 'score': 0.028}, {'token': 'itv', 'score': 0.025}, {'token': 'ibm', 'score': 0.023}, {'token': 'google', 'score': 0.022}, {'token': 'fox', 'score': 0.02}, {'token': 'cbs', 'score': 0.017}, {'token': 'sony', 'score': 0.015}, {'token': 'abc', 'score': 0.014}]","[{'token': 'microsoft', 'score': 0.079}, {'token': 'apple', 'score': 0.058}, {'token': 'espn', 'score': 0.051}, {'token': 'cbs', 'score': 0.042}, {'token': 'nbc', 'score': 0.037}, {'token': 'google', 'score': 0.033}, {'token': 'fox', 'score': 0.032}, {'token': 'netflix', 'score': 0.027}, {'token': 'yahoo', 'score': 0.027}, {'token': 'intel', 'score': 0.027}]","[{'token': 'bbc', 'score': 0.22}, {'token': 'microsoft', 'score': 0.047}, {'token': 'itv', 'score': 0.033}, {'token': 'cbs', 'score': 0.029}, {'token': 'apple', 'score': 0.028}, {'token': 'sony', 'score': 0.024}, {'token': 'fox', 'score': 0.018}, {'token': 'ibm', 'score': 0.017}, {'token': 'abc', 'score': 0.017}, {'token': 'google', 'score': 0.013}]","[{'token': 'google', 'score': 0.286}, {'token': 'microsoft', 'score': 0.209}, {'token': 'apple', 'score': 0.061}, {'token': 'amazon', 'score': 0.034}, {'token': 'ibm', 'score': 0.029}, {'token': 'yahoo', 'score': 0.024}, {'token': 'facebook', 'score': 0.018}, {'token': 'sony', 'score': 0.015}, {'token': 'oracle', 'score': 0.014}, {'token': 'intel', 'score': 0.012}]","[{'token': 'bbc', 'score': 0.127}, {'token': 'microsoft', 'score': 0.058}, {'token': 'apple', 'score': 0.034}, {'token': 'ibm', 'score': 0.028}, {'token': 'google', 'score': 0.022}, {'token': 'fox', 'score': 0.02}, {'token': 'itv', 'score': 0.018}, {'token': 'cbs', 'score': 0.016}, {'token': 'sony', 'score': 0.014}, {'token': 'abc', 'score': 0.012}]"
8,ibm,"[{'token': 'mit', 'score': 0.214}, {'token': 'bbc', 'score': 0.128}, {'token': 'nasa', 'score': 0.054}, {'token': 'ibm', 'score': 0.028}, {'token': 'cambridge', 'score': 0.021}, {'token': 'harvard', 'score': 0.02}, {'token': 'google', 'score': 0.014}, {'token': 'microsoft', 'score': 0.013}, {'token': 'oxford', 'score': 0.012}, {'token': 'pearson', 'score': 0.011}]","[{'token': 'victoria', 'score': 0.09}, {'token': 'melbourne', 'score': 0.044}, {'token': 'cambridge', 'score': 0.018}, {'token': 'sydney', 'score': 0.016}, {'token': 'oxford', 'score': 0.015}, {'token': 'london', 'score': 0.013}, {'token': 'nasa', 'score': 0.013}, {'token': 'westminster', 'score': 0.012}, {'token': 'waterloo', 'score': 0.01}, {'token': 'parliament', 'score': 0.01}]","[{'token': 'bbc', 'score': 0.203}, {'token': 'mit', 'score': 0.103}, {'token': 'cambridge', 'score': 0.025}, {'token': 'nasa', 'score': 0.02}, {'token': 'ibm', 'score': 0.016}, {'token': 'oxford', 'score': 0.015}, {'token': 'harvard', 'score': 0.014}, {'token': 'macmillan', 'score': 0.012}, {'token': 'google', 'score': 0.011}, {'token': 'itv', 'score': 0.011}]","[{'token': 'mit', 'score': 0.218}, {'token': 'bbc', 'score': 0.098}, {'token': 'nasa', 'score': 0.061}, {'token': 'ibm', 'score': 0.038}, {'token': 'microsoft', 'score': 0.021}, {'token': 'cambridge', 'score': 0.02}, {'token': 'harvard', 'score': 0.02}, {'token': 'google', 'score': 0.013}, {'token': 'cdc', 'score': 0.013}, {'token': 'ars', 'score': 0.012}]","[{'token': 'it', 'score': 0.239}, {'token': 'they', 'score': 0.128}, {'token': 'he', 'score': 0.071}, {'token': 'bbc', 'score': 0.046}, {'token': 'we', 'score': 0.04}, {'token': 'i', 'score': 0.018}, {'token': 'uk', 'score': 0.017}, {'token': 'davies', 'score': 0.005}, {'token': 'google', 'score': 0.005}, {'token': 'she', 'score': 0.005}]"
9,ibm,"[{'token': 'data', 'score': 0.042}, {'token': 'new', 'score': 0.039}, {'token': 'european', 'score': 0.037}, {'token': 'advanced', 'score': 0.02}, {'token': 'project', 'score': 0.02}, {'token': 'global', 'score': 0.019}, {'token': 'international', 'score': 0.015}, {'token': 'open', 'score': 0.014}, {'token': 'high', 'score': 0.013}, {'token': 'electronic', 'score': 0.013}]","[{'token': 'data', 'score': 0.091}, {'token': 'digital', 'score': 0.044}, {'token': 'new', 'score': 0.039}, {'token': 'global', 'score': 0.02}, {'token': 'advanced', 'score': 0.014}, {'token': 'electronic', 'score': 0.014}, {'token': 'european', 'score': 0.012}, {'token': 'high', 'score': 0.012}, {'token': 'network', 'score': 0.011}, {'token': 'media', 'score': 0.011}]","[{'token': 'data', 'score': 0.108}, {'token': 'digital', 'score': 0.042}, {'token': 'new', 'score': 0.039}, {'token': 'global', 'score': 0.021}, {'token': 'advanced', 'score': 0.014}, {'token': 'electronic', 'score': 0.012}, {'token': 'network', 'score': 0.01}, {'token': 'first', 'score': 0.01}, {'token': 'media', 'score': 0.01}, {'token': 'satellite', 'score': 0.009}]","[{'token': 'new', 'score': 0.08}, {'token': 'data', 'score': 0.043}, {'token': 'fleet', 'score': 0.017}, {'token': 'digital', 'score': 0.014}, {'token': 'business', 'score': 0.012}, {'token': 'first', 'score': 0.012}, {'token': 'global', 'score': 0.011}, {'token': 'high', 'score': 0.011}, {'token': 'european', 'score': 0.01}, {'token': 'project', 'score': 0.009}]","[{'token': 'data', 'score': 0.093}, {'token': 'digital', 'score': 0.059}, {'token': 'new', 'score': 0.031}, {'token': 'global', 'score': 0.024}, {'token': 'advanced', 'score': 0.016}, {'token': 'electronic', 'score': 0.015}, {'token': 'high', 'score': 0.013}, {'token': 'european', 'score': 0.013}, {'token': 'media', 'score': 0.012}, {'token': 'north', 'score': 0.011}]"
