,sub_label,template,obj_label,masked_sentence
0,Azerbaijan,The capital of [X] is [Y] .,Baku,"The capital of Azerbaijan is the ancient city of [MASK], which has the largest and best harbor on the Caspian Sea and has long been the center of the republic's oil industry."
1,Azerbaijan,The capital of [X] is [Y] .,Baku,"The capital of Azerbaijan is the ancient city of [MASK], which has the largest and best harbor on the Caspian Sea and has long been the center of the republic's oil industry."
2,Cook County,The capital of [X] is [Y] .,Chicago,[MASK] is the seat of Cook County.
3,Cook County,The capital of [X] is [Y] .,Chicago,"Candace Kaye Kroslak (born [MASK], Cook County, Illinois, July 22, 1978) is an American actress of Slovak descent, probably best known for her role as Lindy Maddock in the Swedish-American soap opera Ocean Ave."
4,Fort Bend County,The capital of [X] is [Y] .,Richmond,"Moore's son, John Jr., served as a two-term Mayor of [MASK] and a two-term judge in Fort Bend County, Texas."
5,Fort Bend County,The capital of [X] is [Y] .,Richmond,"Arizona Fleming (March 23, 1884 – January 18, 1976) was an African-American small business owner from [MASK] who became part of the Civil Rights Movement by joining a lawsuit against an all-white political club that prevented black voters from participating in the Democratic Party Primary in Fort Bend County."
6,Cayuga County,The capital of [X] is [Y] .,Auburn,"Hulbert was elected as a Federalist to the Thirteenth Congress to fill the vacancy caused by the resignation of Daniel Dewey.He was reelected to the Fourteenth Congress and served from September 26, 1814, to March 3, 1817.He was not a candidate for renomination in 1816.He moved to [MASK], in 1817.He represented Cayuga County as Member of the New York State Assembly in 1825."
7,Cayuga County,The capital of [X] is [Y] .,Auburn,"Born in Barnstable, Massachusetts, Garrow attended the public schools.Followed the sea.He moved to [MASK], in 1796.He was appointed Justice of the Peace in 1809.Sheriff of Cayuga County 1815–1819 and 1821–1825."
8,City of Hawkesbury,The capital of [X] is [Y] .,Windsor,"The Hawkesbury Advocate was an English language broadsheet newspaper published in [MASK], Australia."
9,City of Hawkesbury,The capital of [X] is [Y] .,Windsor,The Hawkesbury Chronicle and Farmers' Advocate was a weekly English language newspaper published in [MASK] between 1881 and 1888.
