,answers,original,t5_0,t5_1,t5_2,t5_3
0,baku,"[{'token': 'azerbaijan', 'score': 0.316}, {'token': 'bam', 'score': 0.093}, {'token': 'bor', 'score': 0.09}, {'token': 'aku', 'score': 0.062}, {'token': 'az', 'score': 0.034}, {'token': 'kut', 'score': 0.029}, {'token': 'b', 'score': 0.026}, {'token': 'bab', 'score': 0.023}, {'token': 'tehran', 'score': 0.022}, {'token': 'van', 'score': 0.019}]","[{'token': 'this', 'score': 0.382}, {'token': 'azerbaijan', 'score': 0.332}, {'token': 'aku', 'score': 0.085}, {'token': 'it', 'score': 0.037}, {'token': 'today', 'score': 0.016}, {'token': 'this', 'score': 0.015}, {'token': 'here', 'score': 0.013}, {'token': 'however', 'score': 0.013}, {'token': 'b', 'score': 0.008}, {'token': 'thus', 'score': 0.007}]","[{'token': 'azerbaijan', 'score': 0.509}, {'token': 'aku', 'score': 0.155}, {'token': 'bam', 'score': 0.039}, {'token': 'b', 'score': 0.029}, {'token': 'bor', 'score': 0.028}, {'token': 'tehran', 'score': 0.021}, {'token': 'az', 'score': 0.011}, {'token': 'kut', 'score': 0.011}, {'token': 'bay', 'score': 0.009}, {'token': 'constantinople', 'score': 0.007}]","[{'token': 'azerbaijan', 'score': 0.761}, {'token': 'aku', 'score': 0.05}, {'token': 'tehran', 'score': 0.044}, {'token': 'bam', 'score': 0.015}, {'token': 'moscow', 'score': 0.013}, {'token': 'mir', 'score': 0.008}, {'token': 'az', 'score': 0.008}, {'token': 'ankara', 'score': 0.006}, {'token': 'sochi', 'score': 0.005}, {'token': 'istanbul', 'score': 0.005}]","[{'token': 'azerbaijan', 'score': 0.526}, {'token': 'this', 'score': 0.268}, {'token': 'aku', 'score': 0.073}, {'token': 'it', 'score': 0.071}, {'token': 'this', 'score': 0.006}, {'token': 'bam', 'score': 0.005}, {'token': 'b', 'score': 0.004}, {'token': 'the', 'score': 0.003}, {'token': 'caucasus', 'score': 0.003}, {'token': 'city', 'score': 0.003}]"
1,brody,"[{'token': 'donetsk', 'score': 0.775}, {'token': 'kiev', 'score': 0.143}, {'token': 'this', 'score': 0.023}, {'token': 'the', 'score': 0.015}, {'token': 'that', 'score': 0.009}, {'token': 'osh', 'score': 0.003}, {'token': 'a', 'score': 0.003}, {'token': 'ky', 'score': 0.003}, {'token': 'moscow', 'score': 0.002}, {'token': 'don', 'score': 0.002}]","[{'token': 'ukrainian', 'score': 0.271}, {'token': 'kiev', 'score': 0.065}, {'token': 'national', 'score': 0.046}, {'token': 'donetsk', 'score': 0.033}, {'token': 'international', 'score': 0.033}, {'token': 'ukraine', 'score': 0.028}, {'token': 'european', 'score': 0.018}, {'token': 'crimean', 'score': 0.012}, {'token': 'russian', 'score': 0.011}, {'token': 'eastern', 'score': 0.011}]","[{'token': 'this', 'score': 0.391}, {'token': 'the', 'score': 0.358}, {'token': 'in', 'score': 0.068}, {'token': 'that', 'score': 0.052}, {'token': 'by', 'score': 0.048}, {'token': 'a', 'score': 0.017}, {'token': 'within', 'score': 0.012}, {'token': 'this', 'score': 0.005}, {'token': 'the', 'score': 0.005}, {'token': 'as', 'score': 0.004}]","[{'token': 'the', 'score': 0.346}, {'token': 'as', 'score': 0.099}, {'token': 'the', 'score': 0.049}, {'token': 'ukrainian', 'score': 0.029}, {'token': 'ivan', 'score': 0.023}, {'token': 'kiev', 'score': 0.022}, {'token': ',', 'score': 0.014}, {'token': 'paul', 'score': 0.013}, {'token': 'ukraine', 'score': 0.012}, {'token': 'sergei', 'score': 0.012}]","[{'token': 'donetsk', 'score': 0.498}, {'token': 'this', 'score': 0.23}, {'token': 'the', 'score': 0.098}, {'token': 'that', 'score': 0.076}, {'token': 'kiev', 'score': 0.038}, {'token': 'my', 'score': 0.005}, {'token': 'their', 'score': 0.003}, {'token': 'its', 'score': 0.002}, {'token': 'osh', 'score': 0.002}, {'token': 'ky', 'score': 0.002}]"
2,chicago,"[{'token': 'it', 'score': 0.736}, {'token': 'chicago', 'score': 0.113}, {'token': 'eagle', 'score': 0.04}, {'token': 'aurora', 'score': 0.022}, {'token': 'this', 'score': 0.012}, {'token': 'it', 'score': 0.006}, {'token': 'it', 'score': 0.005}, {'token': 'and', 'score': 0.005}, {'token': 'chicago', 'score': 0.003}, {'token': 'denver', 'score': 0.002}]","[{'token': 'chicago', 'score': 0.814}, {'token': 'aurora', 'score': 0.171}, {'token': 'cook', 'score': 0.004}, {'token': 'springfield', 'score': 0.004}, {'token': 'porter', 'score': 0.001}, {'token': 'normal', 'score': 0.0}, {'token': 'eagle', 'score': 0.0}, {'token': 'geneva', 'score': 0.0}, {'token': 'illinois', 'score': 0.0}, {'token': 'milwaukee', 'score': 0.0}]","[{'token': 'it', 'score': 0.529}, {'token': 'this', 'score': 0.351}, {'token': 'chicago', 'score': 0.049}, {'token': 'that', 'score': 0.023}, {'token': 'it', 'score': 0.004}, {'token': 'it', 'score': 0.002}, {'token': 'this', 'score': 0.002}, {'token': 'which', 'score': 0.002}, {'token': 'this', 'score': 0.002}, {'token': 'and', 'score': 0.001}]","[{'token': 'it', 'score': 0.136}, {'token': 'germany', 'score': 0.126}, {'token': 'illinois', 'score': 0.089}, {'token': 'chicago', 'score': 0.075}, {'token': 'wisconsin', 'score': 0.062}, {'token': 'berlin', 'score': 0.018}, {'token': 'indiana', 'score': 0.016}, {'token': 'the', 'score': 0.014}, {'token': 'hamburg', 'score': 0.013}, {'token': 'england', 'score': 0.012}]","[{'token': 'chicago', 'score': 0.99}, {'token': 'springfield', 'score': 0.003}, {'token': 'aurora', 'score': 0.002}, {'token': 'cook', 'score': 0.001}, {'token': 'loop', 'score': 0.0}, {'token': 'chicago', 'score': 0.0}, {'token': 'geneva', 'score': 0.0}, {'token': 'austin', 'score': 0.0}, {'token': 'normal', 'score': 0.0}, {'token': 'harrison', 'score': 0.0}]"
3,richmond,"[{'token': 'houston', 'score': 0.469}, {'token': 'dallas', 'score': 0.266}, {'token': 'austin', 'score': 0.135}, {'token': 'chicago', 'score': 0.009}, {'token': 'atlanta', 'score': 0.009}, {'token': 'toronto', 'score': 0.005}, {'token': 'wellington', 'score': 0.004}, {'token': 'albuquerque', 'score': 0.004}, {'token': 'victoria', 'score': 0.004}, {'token': 'melbourne', 'score': 0.004}]","[{'token': 'houston', 'score': 0.577}, {'token': 'dallas', 'score': 0.197}, {'token': 'austin', 'score': 0.12}, {'token': 'victoria', 'score': 0.024}, {'token': 'richmond', 'score': 0.01}, {'token': 'alvin', 'score': 0.005}, {'token': 'richardson', 'score': 0.004}, {'token': 'arlington', 'score': 0.003}, {'token': 'georgetown', 'score': 0.003}, {'token': 'pasadena', 'score': 0.003}]",,"[{'token': 'seattle', 'score': 0.82}, {'token': 'houston', 'score': 0.042}, {'token': 'dallas', 'score': 0.017}, {'token': 'austin', 'score': 0.015}, {'token': 'chicago', 'score': 0.01}, {'token': 'minneapolis', 'score': 0.007}, {'token': 'tacoma', 'score': 0.007}, {'token': 'atlanta', 'score': 0.006}, {'token': 'boston', 'score': 0.006}, {'token': 'portland', 'score': 0.006}]","[{'token': 'eagle', 'score': 0.405}, {'token': 'dallas', 'score': 0.221}, {'token': 'houston', 'score': 0.134}, {'token': 'austin', 'score': 0.027}, {'token': 'atlanta', 'score': 0.013}, {'token': 'georgetown', 'score': 0.012}, {'token': 'victoria', 'score': 0.01}, {'token': 'montgomery', 'score': 0.007}, {'token': 'allen', 'score': 0.006}, {'token': 'arlington', 'score': 0.006}]"
4,auburn,"[{'token': 'albany', 'score': 0.398}, {'token': 'buffalo', 'score': 0.121}, {'token': 'brooklyn', 'score': 0.102}, {'token': 'syracuse', 'score': 0.047}, {'token': 'rochester', 'score': 0.028}, {'token': 'manhattan', 'score': 0.025}, {'token': 'florida', 'score': 0.021}, {'token': 'connecticut', 'score': 0.02}, {'token': 'canada', 'score': 0.017}, {'token': 'ny', 'score': 0.012}]",,"[{'token': 'associate', 'score': 0.112}, {'token': 'illinois', 'score': 0.08}, {'token': 'assistant', 'score': 0.063}, {'token': 'american', 'score': 0.059}, {'token': 'state', 'score': 0.054}, {'token': 'independent', 'score': 0.051}, {'token': 'elected', 'score': 0.045}, {'token': 'acting', 'score': 0.043}, {'token': 'iowa', 'score': 0.036}, {'token': 'alternate', 'score': 0.036}]","[{'token': 'albany', 'score': 0.231}, {'token': 'buffalo', 'score': 0.111}, {'token': 'ohio', 'score': 0.103}, {'token': 'pennsylvania', 'score': 0.036}, {'token': 'cincinnati', 'score': 0.032}, {'token': 'syracuse', 'score': 0.026}, {'token': 'connecticut', 'score': 0.025}, {'token': 'brooklyn', 'score': 0.023}, {'token': 'canada', 'score': 0.023}, {'token': 'rochester', 'score': 0.023}]","[{'token': 'albany', 'score': 0.312}, {'token': 'canada', 'score': 0.1}, {'token': 'florida', 'score': 0.074}, {'token': 'buffalo', 'score': 0.053}, {'token': 'california', 'score': 0.039}, {'token': 'america', 'score': 0.026}, {'token': 'nebraska', 'score': 0.024}, {'token': 'massachusetts', 'score': 0.023}, {'token': 'australia', 'score': 0.021}, {'token': 'connecticut', 'score': 0.019}]"
5,windsor,"[{'token': 'sydney', 'score': 0.297}, {'token': 'adelaide', 'score': 0.221}, {'token': 'melbourne', 'score': 0.132}, {'token': 'brisbane', 'score': 0.095}, {'token': 'perth', 'score': 0.063}, {'token': 'queensland', 'score': 0.059}, {'token': 'canberra', 'score': 0.043}, {'token': 'tasmania', 'score': 0.037}, {'token': 'victoria', 'score': 0.026}, {'token': 'darwin', 'score': 0.007}]","[{'token': 'adelaide', 'score': 0.389}, {'token': 'melbourne', 'score': 0.173}, {'token': 'perth', 'score': 0.09}, {'token': 'canberra', 'score': 0.078}, {'token': 'sydney', 'score': 0.07}, {'token': 'brisbane', 'score': 0.057}, {'token': 'tasmania', 'score': 0.048}, {'token': 'darwin', 'score': 0.016}, {'token': 'newcastle', 'score': 0.01}, {'token': 'queensland', 'score': 0.009}]","[{'token': 'adelaide', 'score': 0.387}, {'token': 'sydney', 'score': 0.212}, {'token': 'melbourne', 'score': 0.104}, {'token': 'brisbane', 'score': 0.07}, {'token': 'perth', 'score': 0.061}, {'token': 'canberra', 'score': 0.047}, {'token': 'darwin', 'score': 0.027}, {'token': 'queensland', 'score': 0.025}, {'token': 'tasmania', 'score': 0.015}, {'token': 'victoria', 'score': 0.014}]","[{'token': 'adelaide', 'score': 0.297}, {'token': 'sydney', 'score': 0.215}, {'token': 'queensland', 'score': 0.109}, {'token': 'perth', 'score': 0.085}, {'token': 'tasmania', 'score': 0.077}, {'token': 'melbourne', 'score': 0.061}, {'token': 'brisbane', 'score': 0.041}, {'token': 'canberra', 'score': 0.03}, {'token': 'victoria', 'score': 0.029}, {'token': 'darwin', 'score': 0.022}]","[{'token': 'sydney', 'score': 0.271}, {'token': 'brisbane', 'score': 0.11}, {'token': 'melbourne', 'score': 0.094}, {'token': 'canberra', 'score': 0.076}, {'token': 'adelaide', 'score': 0.076}, {'token': 'tasmania', 'score': 0.062}, {'token': 'darwin', 'score': 0.05}, {'token': 'perth', 'score': 0.04}, {'token': 'queensland', 'score': 0.034}, {'token': 'newcastle', 'score': 0.02}]"
6,strasbourg,"[{'token': 'paris', 'score': 0.205}, {'token': 'brussels', 'score': 0.158}, {'token': 'luxembourg', 'score': 0.121}, {'token': 'munich', 'score': 0.057}, {'token': 'it', 'score': 0.045}, {'token': 'martinez', 'score': 0.04}, {'token': 'bern', 'score': 0.03}, {'token': 'vienna', 'score': 0.019}, {'token': 'stras', 'score': 0.018}, {'token': 'spa', 'score': 0.017}]","[{'token': 'paris', 'score': 0.418}, {'token': 'lyon', 'score': 0.161}, {'token': 'nancy', 'score': 0.121}, {'token': 'brussels', 'score': 0.062}, {'token': 'stras', 'score': 0.059}, {'token': 'bern', 'score': 0.036}, {'token': 'frankfurt', 'score': 0.027}, {'token': 'cologne', 'score': 0.024}, {'token': 'luxembourg', 'score': 0.013}, {'token': 'sens', 'score': 0.01}]","[{'token': 'eagle', 'score': 0.382}, {'token': 'lyon', 'score': 0.064}, {'token': 'brussels', 'score': 0.039}, {'token': 'it', 'score': 0.03}, {'token': 'paris', 'score': 0.021}, {'token': 'luxembourg', 'score': 0.02}, {'token': 'which', 'score': 0.017}, {'token': 'this', 'score': 0.016}, {'token': 'austria', 'score': 0.014}, {'token': 'el', 'score': 0.013}]","[{'token': 'paris', 'score': 0.712}, {'token': 'brussels', 'score': 0.175}, {'token': 'lyon', 'score': 0.101}, {'token': 'stras', 'score': 0.005}, {'token': 'luxembourg', 'score': 0.002}, {'token': 'prague', 'score': 0.002}, {'token': 'vienna', 'score': 0.001}, {'token': 'nice', 'score': 0.0}, {'token': 'ely', 'score': 0.0}, {'token': 'tours', 'score': 0.0}]","[{'token': 'paris', 'score': 0.169}, {'token': 'brussels', 'score': 0.166}, {'token': 'bern', 'score': 0.111}, {'token': 'stras', 'score': 0.061}, {'token': 'luxembourg', 'score': 0.048}, {'token': 'bern', 'score': 0.04}, {'token': 'nancy', 'score': 0.035}, {'token': 'burg', 'score': 0.029}, {'token': 'munich', 'score': 0.027}, {'token': 'berg', 'score': 0.025}]"
7,shreveport,"[{'token': 'louisiana', 'score': 0.891}, {'token': 'texas', 'score': 0.038}, {'token': 'la', 'score': 0.031}, {'token': 'la', 'score': 0.015}, {'token': 'mississippi', 'score': 0.006}, {'token': 'arkansas', 'score': 0.004}, {'token': 'parish', 'score': 0.004}, {'token': 'missouri', 'score': 0.001}, {'token': 'alabama', 'score': 0.001}, {'token': 'tx', 'score': 0.001}]","[{'token': 'louisiana', 'score': 0.941}, {'token': 'la', 'score': 0.039}, {'token': 'texas', 'score': 0.008}, {'token': 'la', 'score': 0.002}, {'token': 'usa', 'score': 0.002}, {'token': 'mississippi', 'score': 0.001}, {'token': 'oklahoma', 'score': 0.001}, {'token': 'arkansas', 'score': 0.001}, {'token': 'alabama', 'score': 0.0}, {'token': 'missouri', 'score': 0.0}]","[{'token': ',', 'score': 0.475}, {'token': 'louisiana', 'score': 0.26}, {'token': 'texas', 'score': 0.045}, {'token': 'in', 'score': 0.025}, {'token': ',', 'score': 0.022}, {'token': '.', 'score': 0.019}, {'token': 'arkansas', 'score': 0.015}, {'token': 'usa', 'score': 0.013}, {'token': 'la', 'score': 0.01}, {'token': 'alabama', 'score': 0.009}]","[{'token': ',', 'score': 0.561}, {'token': 'louisiana', 'score': 0.361}, {'token': 'in', 'score': 0.013}, {'token': 'texas', 'score': 0.012}, {'token': 'la', 'score': 0.007}, {'token': ',', 'score': 0.005}, {'token': 'usa', 'score': 0.004}, {'token': '.', 'score': 0.002}, {'token': 'la', 'score': 0.002}, {'token': 'oklahoma', 'score': 0.002}]","[{'token': 'louisiana', 'score': 0.438}, {'token': ',', 'score': 0.407}, {'token': 'texas', 'score': 0.031}, {'token': 'la', 'score': 0.023}, {'token': 'in', 'score': 0.016}, {'token': 'usa', 'score': 0.015}, {'token': 'la', 'score': 0.009}, {'token': 'arkansas', 'score': 0.005}, {'token': 'parish', 'score': 0.005}, {'token': 'mississippi', 'score': 0.004}]"
8,lincoln,"[{'token': 'nebraska', 'score': 0.521}, {'token': 'lincoln', 'score': 0.27}, {'token': 'omaha', 'score': 0.198}, {'token': 'ne', 'score': 0.001}, {'token': 'denver', 'score': 0.001}, {'token': 'colorado', 'score': 0.001}, {'token': 'norfolk', 'score': 0.001}, {'token': 'oklahoma', 'score': 0.001}, {'token': 'kansas', 'score': 0.0}, {'token': 'tulsa', 'score': 0.0}]","[{'token': 'boston', 'score': 0.185}, {'token': 'nebraska', 'score': 0.102}, {'token': 'omaha', 'score': 0.093}, {'token': 'denver', 'score': 0.036}, {'token': 'portland', 'score': 0.035}, {'token': 'massachusetts', 'score': 0.029}, {'token': 'norfolk', 'score': 0.024}, {'token': 'atlanta', 'score': 0.024}, {'token': 'philadelphia', 'score': 0.024}, {'token': 'baltimore', 'score': 0.023}]","[{'token': 'it', 'score': 0.547}, {'token': 'seattle', 'score': 0.333}, {'token': 'this', 'score': 0.094}, {'token': 'tacoma', 'score': 0.004}, {'token': 'washington', 'score': 0.002}, {'token': 'that', 'score': 0.002}, {'token': 'seattle', 'score': 0.002}, {'token': 'it', 'score': 0.001}, {'token': 'nebraska', 'score': 0.001}, {'token': 'it', 'score': 0.001}]","[{'token': 'nebraska', 'score': 0.933}, {'token': 'colorado', 'score': 0.022}, {'token': 'america', 'score': 0.007}, {'token': 'omaha', 'score': 0.005}, {'token': 'lincoln', 'score': 0.003}, {'token': 'kansas', 'score': 0.003}, {'token': 'oklahoma', 'score': 0.002}, {'token': 'iowa', 'score': 0.001}, {'token': 'texas', 'score': 0.001}, {'token': 'northeast', 'score': 0.001}]","[{'token': 'nebraska', 'score': 0.96}, {'token': 'lincoln', 'score': 0.021}, {'token': 'omaha', 'score': 0.016}, {'token': 'ne', 'score': 0.002}, {'token': 'minnesota', 'score': 0.0}, {'token': 'massachusetts', 'score': 0.0}, {'token': 'colorado', 'score': 0.0}, {'token': 'kansas', 'score': 0.0}, {'token': 'neb', 'score': 0.0}, {'token': 'iowa', 'score': 0.0}]"
9,winchester,"[{'token': 'winchester', 'score': 0.358}, {'token': 'portsmouth', 'score': 0.34}, {'token': 'southampton', 'score': 0.124}, {'token': 'london', 'score': 0.124}, {'token': 'oxford', 'score': 0.015}, {'token': 'rochester', 'score': 0.005}, {'token': 'bath', 'score': 0.005}, {'token': 'canterbury', 'score': 0.004}, {'token': 'manchester', 'score': 0.004}, {'token': 'bristol', 'score': 0.002}]","[{'token': 'london', 'score': 0.292}, {'token': 'portsmouth', 'score': 0.238}, {'token': 'southampton', 'score': 0.12}, {'token': 'manchester', 'score': 0.057}, {'token': 'winchester', 'score': 0.033}, {'token': 'worcester', 'score': 0.023}, {'token': 'westminster', 'score': 0.018}, {'token': 'bristol', 'score': 0.018}, {'token': 'norwich', 'score': 0.017}, {'token': 'plymouth', 'score': 0.011}]","[{'token': 'london', 'score': 0.738}, {'token': 'southampton', 'score': 0.109}, {'token': 'worcester', 'score': 0.014}, {'token': 'oxford', 'score': 0.013}, {'token': 'portsmouth', 'score': 0.013}, {'token': 'birmingham', 'score': 0.012}, {'token': 'norwich', 'score': 0.009}, {'token': 'manchester', 'score': 0.009}, {'token': 'derby', 'score': 0.007}, {'token': 'leicester', 'score': 0.006}]","[{'token': 'london', 'score': 0.511}, {'token': 'portsmouth', 'score': 0.22}, {'token': 'winchester', 'score': 0.07}, {'token': 'southampton', 'score': 0.032}, {'token': 'canterbury', 'score': 0.031}, {'token': 'rochester', 'score': 0.022}, {'token': 'manchester', 'score': 0.01}, {'token': 'bristol', 'score': 0.01}, {'token': 'reading', 'score': 0.009}, {'token': 'richmond', 'score': 0.008}]","[{'token': 'london', 'score': 0.69}, {'token': 'birmingham', 'score': 0.04}, {'token': 'norwich', 'score': 0.038}, {'token': 'bristol', 'score': 0.029}, {'token': 'derby', 'score': 0.026}, {'token': 'oxford', 'score': 0.024}, {'token': 'worcester', 'score': 0.021}, {'token': 'southampton', 'score': 0.013}, {'token': 'leicester', 'score': 0.012}, {'token': 'cardiff', 'score': 0.011}]"
