,answers,original,t5_0,t5_1,t5_2,t5_3
0,iraq,"[{'token': 'tokyo', 'score': 0.313}, {'token': 'baghdad', 'score': 0.238}, {'token': 'japan', 'score': 0.106}, {'token': 'iraq', 'score': 0.059}, {'token': 'london', 'score': 0.026}, {'token': 'paris', 'score': 0.02}, {'token': 'kuwait', 'score': 0.012}, {'token': 'bangkok', 'score': 0.012}, {'token': 'mosul', 'score': 0.009}, {'token': 'osaka', 'score': 0.008}]","[{'token': 'baghdad', 'score': 0.176}, {'token': 'iraq', 'score': 0.128}, {'token': 'afghanistan', 'score': 0.087}, {'token': 'kuwait', 'score': 0.045}, {'token': 'pakistan', 'score': 0.034}, {'token': 'london', 'score': 0.028}, {'token': 'syria', 'score': 0.027}, {'token': 'jordan', 'score': 0.025}, {'token': 'somalia', 'score': 0.023}, {'token': 'kabul', 'score': 0.021}]","[{'token': 'japan', 'score': 0.596}, {'token': 'tokyo', 'score': 0.172}, {'token': 'osaka', 'score': 0.023}, {'token': 'kyoto', 'score': 0.019}, {'token': 'okinawa', 'score': 0.015}, {'token': 'hiroshima', 'score': 0.015}, {'token': 'china', 'score': 0.013}, {'token': 'taiwan', 'score': 0.013}, {'token': 'italy', 'score': 0.011}, {'token': 'finland', 'score': 0.011}]","[{'token': 'baghdad', 'score': 0.226}, {'token': 'iraq', 'score': 0.158}, {'token': 'afghanistan', 'score': 0.074}, {'token': 'paris', 'score': 0.051}, {'token': 'kuwait', 'score': 0.041}, {'token': 'syria', 'score': 0.025}, {'token': 'kabul', 'score': 0.024}, {'token': 'tunisia', 'score': 0.022}, {'token': 'pakistan', 'score': 0.021}, {'token': 'mosul', 'score': 0.019}]","[{'token': 'baghdad', 'score': 0.514}, {'token': 'iraq', 'score': 0.075}, {'token': 'kuwait', 'score': 0.037}, {'token': 'london', 'score': 0.034}, {'token': 'japan', 'score': 0.032}, {'token': 'mosul', 'score': 0.018}, {'token': 'tokyo', 'score': 0.015}, {'token': 'germany', 'score': 0.014}, {'token': 'jordan', 'score': 0.01}, {'token': 'prison', 'score': 0.01}]"
1,paris,"[{'token': 'paris', 'score': 0.752}, {'token': 'france', 'score': 0.046}, {'token': 'rome', 'score': 0.033}, {'token': 'berlin', 'score': 0.013}, {'token': 'italy', 'score': 0.012}, {'token': 'brussels', 'score': 0.009}, {'token': 'vienna', 'score': 0.007}, {'token': 'geneva', 'score': 0.007}, {'token': 'london', 'score': 0.006}, {'token': 'switzerland', 'score': 0.006}]","[{'token': 'boarding', 'score': 0.239}, {'token': 'high', 'score': 0.205}, {'token': 'art', 'score': 0.055}, {'token': 'french', 'score': 0.041}, {'token': 'elementary', 'score': 0.039}, {'token': 'private', 'score': 0.023}, {'token': 'military', 'score': 0.019}, {'token': 'medical', 'score': 0.019}, {'token': 'music', 'score': 0.017}, {'token': 'secondary', 'score': 0.015}]","[{'token': 'paris', 'score': 0.616}, {'token': 'vienna', 'score': 0.057}, {'token': 'france', 'score': 0.053}, {'token': 'rome', 'score': 0.034}, {'token': 'italy', 'score': 0.02}, {'token': 'switzerland', 'score': 0.015}, {'token': 'brussels', 'score': 0.015}, {'token': 'berlin', 'score': 0.013}, {'token': 'geneva', 'score': 0.012}, {'token': 'london', 'score': 0.011}]","[{'token': 'chicago', 'score': 0.174}, {'token': 'paris', 'score': 0.161}, {'token': 'warsaw', 'score': 0.071}, {'token': 'france', 'score': 0.039}, {'token': 'berlin', 'score': 0.035}, {'token': 'london', 'score': 0.032}, {'token': 'poland', 'score': 0.028}, {'token': 'germany', 'score': 0.027}, {'token': 'montreal', 'score': 0.02}, {'token': 'philadelphia', 'score': 0.02}]","[{'token': 'paris', 'score': 0.281}, {'token': 'vienna', 'score': 0.273}, {'token': 'warsaw', 'score': 0.101}, {'token': 'prague', 'score': 0.043}, {'token': 'london', 'score': 0.04}, {'token': 'brussels', 'score': 0.034}, {'token': 'berlin', 'score': 0.025}, {'token': 'france', 'score': 0.022}, {'token': 'geneva', 'score': 0.018}, {'token': 'rome', 'score': 0.012}]"
2,baltimore,"[{'token': 'london', 'score': 0.396}, {'token': 'inc', 'score': 0.054}, {'token': 'paris', 'score': 0.042}, {'token': 'chicago', 'score': 0.03}, {'token': 'oxford', 'score': 0.03}, {'token': 'philadelphia', 'score': 0.029}, {'token': 'toronto', 'score': 0.025}, {'token': 'boston', 'score': 0.02}, {'token': 'usa', 'score': 0.02}, {'token': 'cambridge', 'score': 0.017}]","[{'token': 'london', 'score': 0.479}, {'token': 'chicago', 'score': 0.042}, {'token': 'boston', 'score': 0.032}, {'token': 'oxford', 'score': 0.03}, {'token': 'toronto', 'score': 0.027}, {'token': 'philadelphia', 'score': 0.026}, {'token': 'uk', 'score': 0.024}, {'token': 'cambridge', 'score': 0.022}, {'token': 'paris', 'score': 0.019}, {'token': 'ny', 'score': 0.019}]","[{'token': 'paris', 'score': 0.32}, {'token': 'london', 'score': 0.236}, {'token': 'chicago', 'score': 0.025}, {'token': 'france', 'score': 0.018}, {'token': 'amsterdam', 'score': 0.016}, {'token': 'toronto', 'score': 0.015}, {'token': 'philadelphia', 'score': 0.015}, {'token': 'berlin', 'score': 0.015}, {'token': 'montreal', 'score': 0.011}, {'token': 'dublin', 'score': 0.01}]","[{'token': 'london', 'score': 0.285}, {'token': 'chicago', 'score': 0.062}, {'token': 'llc', 'score': 0.05}, {'token': 'philadelphia', 'score': 0.049}, {'token': 'usa', 'score': 0.049}, {'token': 'paris', 'score': 0.032}, {'token': 'ny', 'score': 0.029}, {'token': 'canada', 'score': 0.029}, {'token': 'california', 'score': 0.019}, {'token': 'boston', 'score': 0.019}]","[{'token': 'london', 'score': 0.477}, {'token': 'paris', 'score': 0.027}, {'token': 'chicago', 'score': 0.027}, {'token': 'boston', 'score': 0.022}, {'token': 'oxford', 'score': 0.021}, {'token': 'cambridge', 'score': 0.02}, {'token': 'llc', 'score': 0.019}, {'token': 'uk', 'score': 0.018}, {'token': 'toronto', 'score': 0.018}, {'token': 'ny', 'score': 0.017}]"
3,leicester,"[{'token': 'london', 'score': 0.188}, {'token': 'boston', 'score': 0.094}, {'token': 'chicago', 'score': 0.09}, {'token': 'philadelphia', 'score': 0.054}, {'token': 'toronto', 'score': 0.03}, {'token': 'montreal', 'score': 0.028}, {'token': 'manhattan', 'score': 0.027}, {'token': 'brooklyn', 'score': 0.026}, {'token': 'paris', 'score': 0.023}, {'token': 'cincinnati', 'score': 0.018}]","[{'token': 'london', 'score': 0.121}, {'token': 'order', 'score': 0.026}, {'token': '2006', 'score': 0.022}, {'token': '2005', 'score': 0.022}, {'token': '1990', 'score': 0.018}, {'token': '1992', 'score': 0.018}, {'token': '2012', 'score': 0.018}, {'token': '2002', 'score': 0.018}, {'token': '1993', 'score': 0.017}, {'token': '1991', 'score': 0.016}]","[{'token': '1999', 'score': 0.048}, {'token': '2006', 'score': 0.042}, {'token': '2003', 'score': 0.038}, {'token': '2004', 'score': 0.027}, {'token': '1995', 'score': 0.027}, {'token': 'london', 'score': 0.024}, {'token': '2009', 'score': 0.023}, {'token': 'recent', 'score': 0.023}, {'token': '2007', 'score': 0.022}, {'token': '2014', 'score': 0.022}]","[{'token': 'london', 'score': 0.079}, {'token': 'special', 'score': 0.07}, {'token': 'recent', 'score': 0.05}, {'token': 'private', 'score': 0.033}, {'token': '2006', 'score': 0.031}, {'token': '2012', 'score': 0.027}, {'token': 'surprise', 'score': 0.023}, {'token': '1999', 'score': 0.022}, {'token': 'tribute', 'score': 0.016}, {'token': '2007', 'score': 0.015}]","[{'token': 'special', 'score': 0.173}, {'token': 'private', 'score': 0.11}, {'token': 'small', 'score': 0.09}, {'token': 'london', 'score': 0.044}, {'token': 'tribute', 'score': 0.019}, {'token': 'brief', 'score': 0.018}, {'token': 'short', 'score': 0.018}, {'token': 'memorial', 'score': 0.017}, {'token': 'paris', 'score': 0.016}, {'token': 'live', 'score': 0.016}]"
4,athens,"[{'token': 'paris', 'score': 0.369}, {'token': 'athens', 'score': 0.19}, {'token': 'central', 'score': 0.089}, {'token': 'london', 'score': 0.084}, {'token': 'national', 'score': 0.044}, {'token': 'kiev', 'score': 0.035}, {'token': 'berlin', 'score': 0.025}, {'token': 'royal', 'score': 0.017}, {'token': 'high', 'score': 0.013}, {'token': 'brussels', 'score': 0.009}]","[{'token': 'athens', 'score': 0.398}, {'token': 'paris', 'score': 0.181}, {'token': 'central', 'score': 0.072}, {'token': 'berlin', 'score': 0.059}, {'token': 'national', 'score': 0.059}, {'token': 'kiev', 'score': 0.041}, {'token': 'london', 'score': 0.024}, {'token': 'high', 'score': 0.014}, {'token': 'vienna', 'score': 0.008}, {'token': 'royal', 'score': 0.008}]","[{'token': 'athens', 'score': 0.469}, {'token': 'london', 'score': 0.164}, {'token': 'kiev', 'score': 0.119}, {'token': 'central', 'score': 0.063}, {'token': 'berlin', 'score': 0.041}, {'token': 'paris', 'score': 0.021}, {'token': 'national', 'score': 0.011}, {'token': 'moscow', 'score': 0.008}, {'token': 'royal', 'score': 0.008}, {'token': 'dublin', 'score': 0.004}]","[{'token': 'london', 'score': 0.448}, {'token': 'athens', 'score': 0.094}, {'token': 'berlin', 'score': 0.076}, {'token': 'central', 'score': 0.07}, {'token': 'paris', 'score': 0.041}, {'token': 'kiev', 'score': 0.029}, {'token': 'royal', 'score': 0.016}, {'token': 'vienna', 'score': 0.013}, {'token': 'munich', 'score': 0.011}, {'token': 'glasgow', 'score': 0.009}]",
5,vienna,"[{'token': 'vienna', 'score': 0.953}, {'token': 'prague', 'score': 0.032}, {'token': 'munich', 'score': 0.004}, {'token': 'berlin', 'score': 0.004}, {'token': 'budapest', 'score': 0.002}, {'token': 'zurich', 'score': 0.001}, {'token': 'bern', 'score': 0.001}, {'token': 'dresden', 'score': 0.001}, {'token': 'frankfurt', 'score': 0.001}, {'token': 'paris', 'score': 0.0}]","[{'token': 'vienna', 'score': 0.903}, {'token': 'berlin', 'score': 0.024}, {'token': 'prague', 'score': 0.019}, {'token': 'munich', 'score': 0.013}, {'token': 'budapest', 'score': 0.008}, {'token': 'jerusalem', 'score': 0.006}, {'token': 'paris', 'score': 0.003}, {'token': 'frankfurt', 'score': 0.002}, {'token': 'zurich', 'score': 0.002}, {'token': 'warsaw', 'score': 0.002}]","[{'token': 'vienna', 'score': 0.719}, {'token': 'berlin', 'score': 0.047}, {'token': 'warsaw', 'score': 0.04}, {'token': 'prague', 'score': 0.038}, {'token': 'paris', 'score': 0.028}, {'token': 'munich', 'score': 0.018}, {'token': 'budapest', 'score': 0.018}, {'token': 'jerusalem', 'score': 0.016}, {'token': 'london', 'score': 0.008}, {'token': 'rome', 'score': 0.005}]","[{'token': 'vienna', 'score': 0.923}, {'token': 'berlin', 'score': 0.02}, {'token': 'prague', 'score': 0.011}, {'token': 'munich', 'score': 0.01}, {'token': 'frankfurt', 'score': 0.007}, {'token': 'which', 'score': 0.003}, {'token': 'dresden', 'score': 0.002}, {'token': 'budapest', 'score': 0.002}, {'token': 'zurich', 'score': 0.002}, {'token': 'warsaw', 'score': 0.001}]","[{'token': 'berlin', 'score': 0.486}, {'token': 'vienna', 'score': 0.099}, {'token': 'munich', 'score': 0.083}, {'token': 'frankfurt', 'score': 0.072}, {'token': 'hamburg', 'score': 0.066}, {'token': 'cologne', 'score': 0.03}, {'token': 'dresden', 'score': 0.027}, {'token': 'london', 'score': 0.021}, {'token': 'prague', 'score': 0.017}, {'token': 'zurich', 'score': 0.016}]"
6,rome,"[{'token': 'florence', 'score': 0.398}, {'token': 'rome', 'score': 0.357}, {'token': 'naples', 'score': 0.11}, {'token': 'venice', 'score': 0.069}, {'token': 'italy', 'score': 0.029}, {'token': 'sicily', 'score': 0.009}, {'token': 'paris', 'score': 0.006}, {'token': 'milan', 'score': 0.003}, {'token': 'spain', 'score': 0.002}, {'token': 'london', 'score': 0.002}]","[{'token': 'naples', 'score': 0.249}, {'token': 'venice', 'score': 0.221}, {'token': 'florence', 'score': 0.129}, {'token': 'milan', 'score': 0.064}, {'token': 'sicily', 'score': 0.063}, {'token': 'spain', 'score': 0.038}, {'token': 'italy', 'score': 0.022}, {'token': 'madrid', 'score': 0.018}, {'token': 'london', 'score': 0.018}, {'token': 'paris', 'score': 0.017}]","[{'token': 'florence', 'score': 0.29}, {'token': 'naples', 'score': 0.289}, {'token': 'venice', 'score': 0.165}, {'token': 'milan', 'score': 0.049}, {'token': 'italy', 'score': 0.027}, {'token': 'sicily', 'score': 0.025}, {'token': 'paris', 'score': 0.019}, {'token': 'constantinople', 'score': 0.012}, {'token': 'malta', 'score': 0.011}, {'token': 'jerusalem', 'score': 0.011}]","[{'token': 'florence', 'score': 0.342}, {'token': 'venice', 'score': 0.248}, {'token': 'naples', 'score': 0.171}, {'token': 'milan', 'score': 0.043}, {'token': 'paris', 'score': 0.034}, {'token': 'sicily', 'score': 0.018}, {'token': 'rome', 'score': 0.017}, {'token': 'italy', 'score': 0.015}, {'token': 'athens', 'score': 0.008}, {'token': 'spain', 'score': 0.007}]","[{'token': 'florence', 'score': 0.344}, {'token': 'italy', 'score': 0.154}, {'token': 'rome', 'score': 0.086}, {'token': 'venice', 'score': 0.069}, {'token': 'naples', 'score': 0.061}, {'token': 'milan', 'score': 0.036}, {'token': 'paris', 'score': 0.015}, {'token': 'spain', 'score': 0.01}, {'token': 'europe', 'score': 0.006}, {'token': 'london', 'score': 0.006}]"
7,paris,"[{'token': 'paris', 'score': 0.769}, {'token': 'france', 'score': 0.097}, {'token': 'lyon', 'score': 0.016}, {'token': 'london', 'score': 0.015}, {'token': 'nice', 'score': 0.008}, {'token': 'brussels', 'score': 0.008}, {'token': 'rome', 'score': 0.007}, {'token': 'monaco', 'score': 0.006}, {'token': 'madrid', 'score': 0.003}, {'token': 'vienna', 'score': 0.003}]",,,,
8,munich,"[{'token': 'berlin', 'score': 0.659}, {'token': 'munich', 'score': 0.065}, {'token': 'vienna', 'score': 0.059}, {'token': 'hamburg', 'score': 0.038}, {'token': 'paris', 'score': 0.03}, {'token': 'london', 'score': 0.019}, {'token': 'cologne', 'score': 0.013}, {'token': 'frankfurt', 'score': 0.012}, {'token': 'dresden', 'score': 0.01}, {'token': 'chicago', 'score': 0.008}]","[{'token': 'london', 'score': 0.263}, {'token': 'paris', 'score': 0.073}, {'token': 'berlin', 'score': 0.062}, {'token': 'england', 'score': 0.058}, {'token': 'vienna', 'score': 0.037}, {'token': 'switzerland', 'score': 0.026}, {'token': 'britain', 'score': 0.02}, {'token': 'france', 'score': 0.018}, {'token': 'america', 'score': 0.017}, {'token': 'chicago', 'score': 0.016}]",,"[{'token': 'paris', 'score': 0.261}, {'token': 'berlin', 'score': 0.095}, {'token': 'london', 'score': 0.086}, {'token': 'vienna', 'score': 0.074}, {'token': 'munich', 'score': 0.055}, {'token': 'hamburg', 'score': 0.023}, {'token': 'rome', 'score': 0.023}, {'token': 'amsterdam', 'score': 0.022}, {'token': 'zurich', 'score': 0.021}, {'token': 'warsaw', 'score': 0.017}]","[{'token': 'munich', 'score': 0.323}, {'token': 'berlin', 'score': 0.179}, {'token': 'vienna', 'score': 0.119}, {'token': 'london', 'score': 0.047}, {'token': 'hamburg', 'score': 0.044}, {'token': 'paris', 'score': 0.026}, {'token': 'zurich', 'score': 0.022}, {'token': 'dresden', 'score': 0.018}, {'token': 'frankfurt', 'score': 0.018}, {'token': 'cologne', 'score': 0.016}]"
9,bonn,"[{'token': 'germany', 'score': 0.891}, {'token': 'france', 'score': 0.023}, {'token': 'paris', 'score': 0.012}, {'token': 'london', 'score': 0.012}, {'token': 'england', 'score': 0.007}, {'token': 'german', 'score': 0.007}, {'token': 'italy', 'score': 0.006}, {'token': 'usa', 'score': 0.003}, {'token': 'bern', 'score': 0.003}, {'token': 'indiana', 'score': 0.002}]","[{'token': 'germany', 'score': 0.231}, {'token': 'german', 'score': 0.084}, {'token': 'pictured', 'score': 0.044}, {'token': 'usa', 'score': 0.024}, {'token': 'right', 'score': 0.018}, {'token': 'below', 'score': 0.014}, {'token': 'dr', 'score': 0.011}, {'token': 'ger', 'score': 0.01}, {'token': 'above', 'score': 0.009}, {'token': 'eth', 'score': 0.008}]","[{'token': 'germany', 'score': 0.208}, {'token': 'german', 'score': 0.088}, {'token': 'pictured', 'score': 0.035}, {'token': 'usa', 'score': 0.022}, {'token': 'right', 'score': 0.018}, {'token': 'iii', 'score': 0.008}, {'token': '18', 'score': 0.008}, {'token': 'ii', 'score': 0.008}, {'token': 'below', 'score': 0.007}, {'token': 'ss', 'score': 0.007}]","[{'token': 'germany', 'score': 0.324}, {'token': 'london', 'score': 0.164}, {'token': 'paris', 'score': 0.139}, {'token': 'bern', 'score': 0.104}, {'token': 'moscow', 'score': 0.022}, {'token': 'chicago', 'score': 0.022}, {'token': 'boston', 'score': 0.015}, {'token': 'france', 'score': 0.013}, {'token': 'york', 'score': 0.011}, {'token': 'berlin', 'score': 0.01}]","[{'token': 'germany', 'score': 0.434}, {'token': 'paris', 'score': 0.165}, {'token': 'london', 'score': 0.124}, {'token': 'bern', 'score': 0.067}, {'token': 'france', 'score': 0.02}, {'token': 'chicago', 'score': 0.016}, {'token': 'moscow', 'score': 0.014}, {'token': 'york', 'score': 0.008}, {'token': 'boston', 'score': 0.007}, {'token': 'berlin', 'score': 0.006}]"
