,answers,original,t5_0,t5_1,t5_2,t5_3
0,iraq,"[{'token': 'baghdad', 'score': 0.511}, {'token': 'iraq', 'score': 0.182}, {'token': 'japan', 'score': 0.062}, {'token': 'tokyo', 'score': 0.057}, {'token': 'mosul', 'score': 0.024}, {'token': 'kuwait', 'score': 0.012}, {'token': 'prison', 'score': 0.009}, {'token': 'london', 'score': 0.008}, {'token': 'hospital', 'score': 0.008}, {'token': 'thailand', 'score': 0.006}]","[{'token': 'baghdad', 'score': 0.298}, {'token': 'iraq', 'score': 0.256}, {'token': 'afghanistan', 'score': 0.053}, {'token': 'mosul', 'score': 0.05}, {'token': 'kuwait', 'score': 0.034}, {'token': 'syria', 'score': 0.029}, {'token': 'pakistan', 'score': 0.027}, {'token': 'yemen', 'score': 0.02}, {'token': 'somalia', 'score': 0.018}, {'token': 'jordan', 'score': 0.017}]","[{'token': 'japan', 'score': 0.718}, {'token': 'tokyo', 'score': 0.142}, {'token': 'okinawa', 'score': 0.032}, {'token': 'hiroshima', 'score': 0.018}, {'token': 'osaka', 'score': 0.018}, {'token': 'kyoto', 'score': 0.015}, {'token': 'china', 'score': 0.006}, {'token': 'taiwan', 'score': 0.005}, {'token': 'kobe', 'score': 0.003}, {'token': 'finland', 'score': 0.003}]","[{'token': 'baghdad', 'score': 0.342}, {'token': 'iraq', 'score': 0.311}, {'token': 'afghanistan', 'score': 0.056}, {'token': 'mosul', 'score': 0.041}, {'token': 'pakistan', 'score': 0.033}, {'token': 'kuwait', 'score': 0.026}, {'token': 'syria', 'score': 0.022}, {'token': 'karachi', 'score': 0.012}, {'token': 'jordan', 'score': 0.009}, {'token': 'somalia', 'score': 0.008}]","[{'token': 'baghdad', 'score': 0.319}, {'token': 'iraq', 'score': 0.11}, {'token': 'captivity', 'score': 0.096}, {'token': 'prison', 'score': 0.088}, {'token': 'japan', 'score': 0.062}, {'token': 'hospital', 'score': 0.046}, {'token': 'kuwait', 'score': 0.029}, {'token': 'london', 'score': 0.016}, {'token': 'jordan', 'score': 0.014}, {'token': 'thailand', 'score': 0.013}]"
1,paris,"[{'token': 'paris', 'score': 0.682}, {'token': 'france', 'score': 0.087}, {'token': 'rome', 'score': 0.035}, {'token': 'geneva', 'score': 0.022}, {'token': 'brussels', 'score': 0.013}, {'token': 'switzerland', 'score': 0.012}, {'token': 'italy', 'score': 0.009}, {'token': 'lyon', 'score': 0.008}, {'token': 'london', 'score': 0.007}, {'token': 'berlin', 'score': 0.005}]","[{'token': 'high', 'score': 0.272}, {'token': 'boarding', 'score': 0.138}, {'token': 'elementary', 'score': 0.105}, {'token': 'catholic', 'score': 0.098}, {'token': 'private', 'score': 0.072}, {'token': 'public', 'score': 0.031}, {'token': 'prep', 'score': 0.02}, {'token': 'primary', 'score': 0.017}, {'token': 'grammar', 'score': 0.016}, {'token': 'secondary', 'score': 0.013}]","[{'token': 'paris', 'score': 0.595}, {'token': 'france', 'score': 0.123}, {'token': 'rome', 'score': 0.027}, {'token': 'switzerland', 'score': 0.023}, {'token': 'geneva', 'score': 0.019}, {'token': 'italy', 'score': 0.014}, {'token': 'london', 'score': 0.013}, {'token': 'brussels', 'score': 0.011}, {'token': 'germany', 'score': 0.008}, {'token': 'england', 'score': 0.008}]","[{'token': 'paris', 'score': 0.461}, {'token': 'normandy', 'score': 0.093}, {'token': 'france', 'score': 0.074}, {'token': 'brussels', 'score': 0.041}, {'token': 'geneva', 'score': 0.036}, {'token': 'switzerland', 'score': 0.02}, {'token': 'brittany', 'score': 0.018}, {'token': 'rome', 'score': 0.014}, {'token': 'london', 'score': 0.013}, {'token': 'nice', 'score': 0.011}]","[{'token': 'paris', 'score': 0.067}, {'token': 'london', 'score': 0.037}, {'token': 'boston', 'score': 0.032}, {'token': 'montreal', 'score': 0.026}, {'token': 'france', 'score': 0.025}, {'token': 'england', 'score': 0.024}, {'token': 'maine', 'score': 0.02}, {'token': 'massachusetts', 'score': 0.02}, {'token': 'philadelphia', 'score': 0.017}, {'token': 'pennsylvania', 'score': 0.017}]"
2,baltimore,"[{'token': 'inc', 'score': 0.23}, {'token': 'london', 'score': 0.226}, {'token': 'uk', 'score': 0.034}, {'token': 'ltd', 'score': 0.032}, {'token': 'usa', 'score': 0.03}, {'token': 'paris', 'score': 0.024}, {'token': 'philadelphia', 'score': 0.02}, {'token': 'llc', 'score': 0.018}, {'token': 'chicago', 'score': 0.017}, {'token': 'canada', 'score': 0.017}]","[{'token': 'london', 'score': 0.41}, {'token': 'uk', 'score': 0.094}, {'token': 'usa', 'score': 0.028}, {'token': 'england', 'score': 0.025}, {'token': 'canada', 'score': 0.023}, {'token': 'oxford', 'score': 0.022}, {'token': 'inc', 'score': 0.022}, {'token': 'ny', 'score': 0.018}, {'token': 'chicago', 'score': 0.017}, {'token': 'philadelphia', 'score': 0.016}]","[{'token': 'london', 'score': 0.267}, {'token': 'llc', 'score': 0.052}, {'token': 'uk', 'score': 0.049}, {'token': 'usa', 'score': 0.037}, {'token': 'philadelphia', 'score': 0.031}, {'token': 'canada', 'score': 0.026}, {'token': 'toronto', 'score': 0.024}, {'token': 'boston', 'score': 0.022}, {'token': 'chicago', 'score': 0.022}, {'token': 'paris', 'score': 0.022}]","[{'token': 'london', 'score': 0.219}, {'token': 'llc', 'score': 0.095}, {'token': 'usa', 'score': 0.089}, {'token': 'canada', 'score': 0.077}, {'token': 'uk', 'score': 0.059}, {'token': 'australia', 'score': 0.03}, {'token': 'england', 'score': 0.028}, {'token': 'california', 'score': 0.022}, {'token': 'chicago', 'score': 0.016}, {'token': 'philadelphia', 'score': 0.015}]","[{'token': 'london', 'score': 0.309}, {'token': 'uk', 'score': 0.062}, {'token': 'also', 'score': 0.06}, {'token': 'which', 'score': 0.035}, {'token': 'canada', 'score': 0.022}, {'token': 'usa', 'score': 0.021}, {'token': 'england', 'score': 0.021}, {'token': 'originally', 'score': 0.021}, {'token': 'inc', 'score': 0.019}, {'token': 'llc', 'score': 0.018}]"
3,leicester,"[{'token': 'london', 'score': 0.118}, {'token': 'boston', 'score': 0.103}, {'token': 'manhattan', 'score': 0.063}, {'token': 'brooklyn', 'score': 0.056}, {'token': 'chicago', 'score': 0.05}, {'token': 'philadelphia', 'score': 0.044}, {'token': 'toronto', 'score': 0.029}, {'token': 'nyc', 'score': 0.022}, {'token': 'seattle', 'score': 0.02}, {'token': 'houston', 'score': 0.019}]","[{'token': '2013', 'score': 0.092}, {'token': '2012', 'score': 0.088}, {'token': '2014', 'score': 0.08}, {'token': '2015', 'score': 0.069}, {'token': '2016', 'score': 0.062}, {'token': '2011', 'score': 0.057}, {'token': '2009', 'score': 0.049}, {'token': '2008', 'score': 0.045}, {'token': '2010', 'score': 0.043}, {'token': '2006', 'score': 0.043}]","[{'token': 'recent', 'score': 0.237}, {'token': '2014', 'score': 0.088}, {'token': '2016', 'score': 0.069}, {'token': '2015', 'score': 0.068}, {'token': 'special', 'score': 0.044}, {'token': '2012', 'score': 0.039}, {'token': '2013', 'score': 0.037}, {'token': '2006', 'score': 0.034}, {'token': '2011', 'score': 0.029}, {'token': '2009', 'score': 0.028}]","[{'token': 'special', 'score': 0.24}, {'token': 'recent', 'score': 0.216}, {'token': 'private', 'score': 0.06}, {'token': '2016', 'score': 0.019}, {'token': 'surprise', 'score': 0.019}, {'token': '2015', 'score': 0.016}, {'token': '2014', 'score': 0.015}, {'token': 'free', 'score': 0.015}, {'token': '2012', 'score': 0.013}, {'token': '2017', 'score': 0.012}]","[{'token': 'special', 'score': 0.257}, {'token': 'private', 'score': 0.175}, {'token': 'small', 'score': 0.067}, {'token': 'free', 'score': 0.032}, {'token': 'tribute', 'score': 0.027}, {'token': 'surprise', 'score': 0.026}, {'token': 'joint', 'score': 0.015}, {'token': 'short', 'score': 0.012}, {'token': 'brief', 'score': 0.012}, {'token': 'live', 'score': 0.011}]"
4,athens,"[{'token': 'athens', 'score': 0.831}, {'token': 'national', 'score': 0.072}, {'token': 'central', 'score': 0.021}, {'token': 'kiev', 'score': 0.02}, {'token': 'london', 'score': 0.005}, {'token': 'high', 'score': 0.004}, {'token': 'superior', 'score': 0.003}, {'token': 'greek', 'score': 0.003}, {'token': 'royal', 'score': 0.002}, {'token': 'istanbul', 'score': 0.002}]","[{'token': 'athens', 'score': 0.818}, {'token': 'national', 'score': 0.089}, {'token': 'central', 'score': 0.024}, {'token': 'kiev', 'score': 0.012}, {'token': 'high', 'score': 0.005}, {'token': 'superior', 'score': 0.004}, {'token': 'greek', 'score': 0.004}, {'token': 'london', 'score': 0.003}, {'token': 'royal', 'score': 0.002}, {'token': 'new', 'score': 0.002}]","[{'token': 'athens', 'score': 0.845}, {'token': 'national', 'score': 0.059}, {'token': 'central', 'score': 0.022}, {'token': 'kiev', 'score': 0.016}, {'token': 'london', 'score': 0.006}, {'token': 'high', 'score': 0.005}, {'token': 'superior', 'score': 0.004}, {'token': 'greek', 'score': 0.003}, {'token': 'royal', 'score': 0.002}, {'token': 'new', 'score': 0.002}]","[{'token': 'athens', 'score': 0.774}, {'token': 'national', 'score': 0.114}, {'token': 'central', 'score': 0.025}, {'token': 'kiev', 'score': 0.013}, {'token': 'high', 'score': 0.011}, {'token': 'greek', 'score': 0.005}, {'token': 'royal', 'score': 0.004}, {'token': 'superior', 'score': 0.004}, {'token': 'new', 'score': 0.003}, {'token': 'london', 'score': 0.003}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
5,vienna,"[{'token': 'vienna', 'score': 0.799}, {'token': 'prague', 'score': 0.161}, {'token': 'berlin', 'score': 0.011}, {'token': 'munich', 'score': 0.01}, {'token': 'budapest', 'score': 0.004}, {'token': 'zurich', 'score': 0.003}, {'token': 'bern', 'score': 0.003}, {'token': 'frankfurt', 'score': 0.002}, {'token': 'dresden', 'score': 0.002}, {'token': 'cologne', 'score': 0.001}]","[{'token': 'vienna', 'score': 0.94}, {'token': 'prague', 'score': 0.014}, {'token': 'berlin', 'score': 0.011}, {'token': 'munich', 'score': 0.011}, {'token': 'budapest', 'score': 0.004}, {'token': 'zurich', 'score': 0.002}, {'token': 'austria', 'score': 0.002}, {'token': 'jerusalem', 'score': 0.002}, {'token': 'dresden', 'score': 0.002}, {'token': 'frankfurt', 'score': 0.001}]","[{'token': 'vienna', 'score': 0.943}, {'token': 'prague', 'score': 0.015}, {'token': 'berlin', 'score': 0.011}, {'token': 'munich', 'score': 0.01}, {'token': 'budapest', 'score': 0.005}, {'token': 'jerusalem', 'score': 0.002}, {'token': 'dresden', 'score': 0.001}, {'token': 'zurich', 'score': 0.001}, {'token': 'austria', 'score': 0.001}, {'token': 'paris', 'score': 0.001}]","[{'token': 'vienna', 'score': 0.913}, {'token': 'which', 'score': 0.013}, {'token': 'berlin', 'score': 0.011}, {'token': 'prague', 'score': 0.011}, {'token': 'munich', 'score': 0.006}, {'token': 'frankfurt', 'score': 0.004}, {'token': 'dresden', 'score': 0.003}, {'token': 'bern', 'score': 0.002}, {'token': 'austria', 'score': 0.002}, {'token': 'zurich', 'score': 0.002}]","[{'token': 'berlin', 'score': 0.476}, {'token': 'munich', 'score': 0.119}, {'token': 'vienna', 'score': 0.099}, {'token': 'hamburg', 'score': 0.065}, {'token': 'dresden', 'score': 0.062}, {'token': 'frankfurt', 'score': 0.052}, {'token': 'cologne', 'score': 0.036}, {'token': 'zurich', 'score': 0.027}, {'token': 'prague', 'score': 0.019}, {'token': 'dortmund', 'score': 0.006}]"
6,rome,"[{'token': 'florence', 'score': 0.586}, {'token': 'rome', 'score': 0.23}, {'token': 'naples', 'score': 0.075}, {'token': 'venice', 'score': 0.054}, {'token': 'italy', 'score': 0.019}, {'token': 'sicily', 'score': 0.011}, {'token': 'paris', 'score': 0.004}, {'token': 'milan', 'score': 0.003}, {'token': 'jerusalem', 'score': 0.002}, {'token': 'spain', 'score': 0.002}]","[{'token': 'venice', 'score': 0.26}, {'token': 'florence', 'score': 0.224}, {'token': 'naples', 'score': 0.15}, {'token': 'milan', 'score': 0.06}, {'token': 'spain', 'score': 0.04}, {'token': 'sicily', 'score': 0.038}, {'token': 'paris', 'score': 0.029}, {'token': 'madrid', 'score': 0.019}, {'token': 'italy', 'score': 0.017}, {'token': 'constantinople', 'score': 0.012}]","[{'token': 'florence', 'score': 0.353}, {'token': 'naples', 'score': 0.219}, {'token': 'venice', 'score': 0.195}, {'token': 'milan', 'score': 0.042}, {'token': 'sicily', 'score': 0.026}, {'token': 'italy', 'score': 0.023}, {'token': 'malta', 'score': 0.016}, {'token': 'constantinople', 'score': 0.015}, {'token': 'paris', 'score': 0.012}, {'token': 'jerusalem', 'score': 0.01}]","[{'token': 'florence', 'score': 0.459}, {'token': 'venice', 'score': 0.258}, {'token': 'naples', 'score': 0.099}, {'token': 'milan', 'score': 0.039}, {'token': 'paris', 'score': 0.022}, {'token': 'sicily', 'score': 0.014}, {'token': 'rome', 'score': 0.011}, {'token': 'italy', 'score': 0.01}, {'token': 'spain', 'score': 0.006}, {'token': 'athens', 'score': 0.005}]","[{'token': 'florence', 'score': 0.471}, {'token': 'italy', 'score': 0.104}, {'token': 'naples', 'score': 0.077}, {'token': 'rome', 'score': 0.064}, {'token': 'venice', 'score': 0.053}, {'token': 'milan', 'score': 0.021}, {'token': 'sicily', 'score': 0.019}, {'token': 'spain', 'score': 0.015}, {'token': 'egypt', 'score': 0.009}, {'token': 'malta', 'score': 0.006}]"
7,paris,"[{'token': 'paris', 'score': 0.792}, {'token': 'france', 'score': 0.11}, {'token': 'lyon', 'score': 0.027}, {'token': 'nice', 'score': 0.01}, {'token': 'london', 'score': 0.007}, {'token': 'monaco', 'score': 0.004}, {'token': 'brussels', 'score': 0.004}, {'token': 'rome', 'score': 0.003}, {'token': 'cannes', 'score': 0.003}, {'token': 'nancy', 'score': 0.003}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
8,munich,"[{'token': 'berlin', 'score': 0.814}, {'token': 'munich', 'score': 0.051}, {'token': 'hamburg', 'score': 0.036}, {'token': 'vienna', 'score': 0.015}, {'token': 'dresden', 'score': 0.015}, {'token': 'cologne', 'score': 0.011}, {'token': 'frankfurt', 'score': 0.009}, {'token': 'london', 'score': 0.008}, {'token': 'paris', 'score': 0.005}, {'token': 'germany', 'score': 0.004}]","[{'token': 'berlin', 'score': 0.066}, {'token': 'london', 'score': 0.065}, {'token': 'vienna', 'score': 0.059}, {'token': 'switzerland', 'score': 0.056}, {'token': 'israel', 'score': 0.041}, {'token': 'england', 'score': 0.038}, {'token': 'germany', 'score': 0.033}, {'token': 'america', 'score': 0.028}, {'token': 'paris', 'score': 0.025}, {'token': 'prague', 'score': 0.021}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'london', 'score': 0.177}, {'token': 'berlin', 'score': 0.091}, {'token': 'vienna', 'score': 0.085}, {'token': 'paris', 'score': 0.069}, {'token': 'hamburg', 'score': 0.055}, {'token': 'munich', 'score': 0.05}, {'token': 'switzerland', 'score': 0.03}, {'token': 'amsterdam', 'score': 0.022}, {'token': 'rome', 'score': 0.018}, {'token': 'zurich', 'score': 0.017}]","[{'token': 'munich', 'score': 0.373}, {'token': 'berlin', 'score': 0.152}, {'token': 'vienna', 'score': 0.117}, {'token': 'hamburg', 'score': 0.078}, {'token': 'cologne', 'score': 0.022}, {'token': 'zurich', 'score': 0.021}, {'token': 'dresden', 'score': 0.02}, {'token': 'germany', 'score': 0.02}, {'token': 'frankfurt', 'score': 0.019}, {'token': 'london', 'score': 0.017}]"
9,bonn,"[{'token': 'germany', 'score': 0.96}, {'token': 'france', 'score': 0.017}, {'token': 'german', 'score': 0.007}, {'token': 'italy', 'score': 0.002}, {'token': 'paris', 'score': 0.001}, {'token': 'indiana', 'score': 0.001}, {'token': 'england', 'score': 0.001}, {'token': 'usa', 'score': 0.001}, {'token': 'russia', 'score': 0.001}, {'token': 'spain', 'score': 0.001}]","[{'token': 'pictured', 'score': 0.104}, {'token': 'germany', 'score': 0.078}, {'token': 'german', 'score': 0.051}, {'token': 'right', 'score': 0.036}, {'token': 'below', 'score': 0.033}, {'token': 'usa', 'score': 0.026}, {'token': 'photo', 'score': 0.018}, {'token': 'above', 'score': 0.018}, {'token': 'iii', 'score': 0.011}, {'token': 'west', 'score': 0.01}]","[{'token': 'germany', 'score': 0.082}, {'token': 'pictured', 'score': 0.075}, {'token': 'german', 'score': 0.045}, {'token': 'below', 'score': 0.032}, {'token': 'right', 'score': 0.025}, {'token': 'photo', 'score': 0.023}, {'token': 'above', 'score': 0.021}, {'token': 'usa', 'score': 0.015}, {'token': 'iii', 'score': 0.011}, {'token': 'ra', 'score': 0.009}]","[{'token': 'germany', 'score': 0.364}, {'token': 'bern', 'score': 0.146}, {'token': 'london', 'score': 0.13}, {'token': 'paris', 'score': 0.123}, {'token': 'chicago', 'score': 0.02}, {'token': 'france', 'score': 0.016}, {'token': 'moscow', 'score': 0.013}, {'token': 'boston', 'score': 0.011}, {'token': 'york', 'score': 0.01}, {'token': 'main', 'score': 0.007}]","[{'token': 'germany', 'score': 0.452}, {'token': 'paris', 'score': 0.128}, {'token': 'bern', 'score': 0.108}, {'token': 'london', 'score': 0.106}, {'token': 'france', 'score': 0.026}, {'token': 'chicago', 'score': 0.014}, {'token': 'moscow', 'score': 0.013}, {'token': 'york', 'score': 0.009}, {'token': 'boston', 'score': 0.006}, {'token': 'weiss', 'score': 0.005}]"
