,answers,original,t5_0,t5_1,t5_2,t5_3
0,opera,"[{'token': 'book', 'score': 0.285}, {'token': 'novel', 'score': 0.243}, {'token': 'film', 'score': 0.092}, {'token': 'song', 'score': 0.055}, {'token': 'poem', 'score': 0.043}, {'token': 'play', 'score': 0.026}, {'token': 'essay', 'score': 0.023}, {'token': 'classic', 'score': 0.018}, {'token': 'autobiography', 'score': 0.015}, {'token': 'work', 'score': 0.012}]","[{'token': 'book', 'score': 0.193}, {'token': 'novel', 'score': 0.171}, {'token': 'song', 'score': 0.165}, {'token': 'poem', 'score': 0.078}, {'token': 'play', 'score': 0.041}, {'token': 'film', 'score': 0.04}, {'token': 'classic', 'score': 0.027}, {'token': 'work', 'score': 0.026}, {'token': 'album', 'score': 0.023}, {'token': 'piece', 'score': 0.021}]","[{'token': 'book', 'score': 0.369}, {'token': 'novel', 'score': 0.097}, {'token': 'song', 'score': 0.06}, {'token': 'play', 'score': 0.053}, {'token': 'film', 'score': 0.038}, {'token': 'poem', 'score': 0.037}, {'token': 'piece', 'score': 0.033}, {'token': 'work', 'score': 0.029}, {'token': 'essay', 'score': 0.027}, {'token': 'autobiography', 'score': 0.026}]","[{'token': 'book', 'score': 0.201}, {'token': 'novel', 'score': 0.155}, {'token': 'film', 'score': 0.141}, {'token': 'play', 'score': 0.048}, {'token': 'song', 'score': 0.03}, {'token': 'poem', 'score': 0.026}, {'token': 'autobiography', 'score': 0.023}, {'token': 'piece', 'score': 0.022}, {'token': 'essay', 'score': 0.019}, {'token': 'work', 'score': 0.018}]","[{'token': 'song', 'score': 0.115}, {'token': 'play', 'score': 0.109}, {'token': 'book', 'score': 0.096}, {'token': 'novel', 'score': 0.088}, {'token': 'album', 'score': 0.075}, {'token': 'piece', 'score': 0.068}, {'token': 'poem', 'score': 0.047}, {'token': 'film', 'score': 0.047}, {'token': 'work', 'score': 0.037}, {'token': 'opera', 'score': 0.031}]"
1,jazz,"[{'token': 'music', 'score': 0.118}, {'token': 'musical', 'score': 0.095}, {'token': 'jazz', 'score': 0.075}, {'token': 'born', 'score': 0.051}, {'token': 'folk', 'score': 0.027}, {'token': 'vocal', 'score': 0.022}, {'token': 'renaissance', 'score': 0.021}, {'token': ',', 'score': 0.021}, {'token': 'classical', 'score': 0.019}, {'token': 'pop', 'score': 0.017}]","[{'token': 'music', 'score': 0.234}, {'token': 'jazz', 'score': 0.103}, {'token': 'musical', 'score': 0.073}, {'token': 'folk', 'score': 0.044}, {'token': 'radio', 'score': 0.027}, {'token': 'art', 'score': 0.026}, {'token': 'rock', 'score': 0.025}, {'token': 'country', 'score': 0.02}, {'token': 'pop', 'score': 0.017}, {'token': 'political', 'score': 0.013}]","[{'token': 'jazz', 'score': 0.106}, {'token': 'music', 'score': 0.056}, {'token': 'english', 'score': 0.037}, {'token': 'noted', 'score': 0.033}, {'token': 'musical', 'score': 0.03}, {'token': 'american', 'score': 0.029}, {'token': 'classical', 'score': 0.023}, {'token': 'vocal', 'score': 0.023}, {'token': 'folk', 'score': 0.021}, {'token': 'violin', 'score': 0.018}]","[{'token': 'jazz', 'score': 0.577}, {'token': 'blues', 'score': 0.055}, {'token': 'classical', 'score': 0.041}, {'token': 'country', 'score': 0.031}, {'token': 'folk', 'score': 0.027}, {'token': 'pop', 'score': 0.027}, {'token': 'rock', 'score': 0.026}, {'token': 'american', 'score': 0.018}, {'token': 'professional', 'score': 0.014}, {'token': 'session', 'score': 0.012}]","[{'token': 'jazz', 'score': 0.13}, {'token': 'music', 'score': 0.059}, {'token': 'noted', 'score': 0.049}, {'token': 'pop', 'score': 0.038}, {'token': 'english', 'score': 0.028}, {'token': 'folk', 'score': 0.027}, {'token': 'musical', 'score': 0.024}, {'token': 'vocal', 'score': 0.022}, {'token': 'rock', 'score': 0.021}, {'token': 'violin', 'score': 0.02}]"
2,opera,"[{'token': 'opera', 'score': 0.634}, {'token': 'play', 'score': 0.079}, {'token': 'song', 'score': 0.06}, {'token': 'musical', 'score': 0.037}, {'token': 'score', 'score': 0.022}, {'token': 'film', 'score': 0.02}, {'token': 'epic', 'score': 0.017}, {'token': 'novel', 'score': 0.014}, {'token': 'music', 'score': 0.011}, {'token': 'symphony', 'score': 0.009}]","[{'token': 'opera', 'score': 0.633}, {'token': 'play', 'score': 0.097}, {'token': 'film', 'score': 0.036}, {'token': 'musical', 'score': 0.031}, {'token': 'ballet', 'score': 0.017}, {'token': 'song', 'score': 0.013}, {'token': 'novel', 'score': 0.013}, {'token': 'comedy', 'score': 0.011}, {'token': 'version', 'score': 0.008}, {'token': 'drama', 'score': 0.008}]","[{'token': 'composer', 'score': 0.26}, {'token': 'musical', 'score': 0.022}, {'token': 'libretto', 'score': 0.021}, {'token': 'version', 'score': 0.019}, {'token': 'translator', 'score': 0.018}, {'token': 'director', 'score': 0.017}, {'token': 'playwright', 'score': 0.016}, {'token': 'conductor', 'score': 0.014}, {'token': 'production', 'score': 0.014}, {'token': 'recording', 'score': 0.013}]","[{'token': 'play', 'score': 0.174}, {'token': 'opera', 'score': 0.173}, {'token': 'musical', 'score': 0.134}, {'token': 'film', 'score': 0.066}, {'token': 'comedy', 'score': 0.044}, {'token': 'novel', 'score': 0.042}, {'token': 'song', 'score': 0.034}, {'token': 'drama', 'score': 0.026}, {'token': 'version', 'score': 0.022}, {'token': 'libretto', 'score': 0.017}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
3,jazz,"[{'token': 'live', 'score': 0.198}, {'token': 'recorded', 'score': 0.047}, {'token': 'commercial', 'score': 0.037}, {'token': 'radio', 'score': 0.034}, {'token': 'solo', 'score': 0.028}, {'token': 'studio', 'score': 0.026}, {'token': 'english', 'score': 0.016}, {'token': 'official', 'score': 0.016}, {'token': 'album', 'score': 0.016}, {'token': 'rock', 'score': 0.016}]","[{'token': 'live', 'score': 0.13}, {'token': 'gospel', 'score': 0.037}, {'token': 'radio', 'score': 0.037}, {'token': 'commercial', 'score': 0.031}, {'token': 'studio', 'score': 0.031}, {'token': 'recorded', 'score': 0.03}, {'token': 'rock', 'score': 0.029}, {'token': 'beatles', 'score': 0.024}, {'token': 'demo', 'score': 0.016}, {'token': 'album', 'score': 0.015}]","[{'token': 'live', 'score': 0.27}, {'token': 'it', 'score': 0.052}, {'token': 'music', 'score': 0.049}, {'token': 'together', 'score': 0.035}, {'token': 'there', 'score': 0.035}, {'token': 'songs', 'score': 0.034}, {'token': 'him', 'score': 0.027}, {'token': 'drums', 'score': 0.027}, {'token': 'records', 'score': 0.022}, {'token': 'here', 'score': 0.022}]","[{'token': 'live', 'score': 0.139}, {'token': 'gospel', 'score': 0.072}, {'token': 'commercial', 'score': 0.044}, {'token': 'recorded', 'score': 0.036}, {'token': 'rock', 'score': 0.03}, {'token': 'studio', 'score': 0.029}, {'token': 'christian', 'score': 0.024}, {'token': 'radio', 'score': 0.023}, {'token': 'beatles', 'score': 0.019}, {'token': 'demo', 'score': 0.016}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
4,jazz,"[{'token': 'jazz', 'score': 0.535}, {'token': 'concert', 'score': 0.187}, {'token': 'classical', 'score': 0.16}, {'token': 'french', 'score': 0.022}, {'token': 'professional', 'score': 0.007}, {'token': 'german', 'score': 0.005}, {'token': 'master', 'score': 0.005}, {'token': 'american', 'score': 0.004}, {'token': 'piano', 'score': 0.004}, {'token': 'school', 'score': 0.003}]","[{'token': 'jazz', 'score': 0.438}, {'token': 'concert', 'score': 0.204}, {'token': 'classical', 'score': 0.138}, {'token': 'french', 'score': 0.086}, {'token': 'professional', 'score': 0.007}, {'token': 'german', 'score': 0.006}, {'token': 'swiss', 'score': 0.006}, {'token': 'master', 'score': 0.005}, {'token': 'school', 'score': 0.004}, {'token': 'amateur', 'score': 0.004}]","[{'token': 'french', 'score': 0.353}, {'token': 'young', 'score': 0.133}, {'token': 'talented', 'score': 0.063}, {'token': 'famous', 'score': 0.042}, {'token': 'jazz', 'score': 0.038}, {'token': 'swiss', 'score': 0.029}, {'token': 'renowned', 'score': 0.025}, {'token': 'former', 'score': 0.021}, {'token': 'german', 'score': 0.018}, {'token': 'fellow', 'score': 0.011}]","[{'token': 'jazz', 'score': 0.726}, {'token': 'concert', 'score': 0.094}, {'token': 'classical', 'score': 0.051}, {'token': 'french', 'score': 0.036}, {'token': 'professional', 'score': 0.005}, {'token': 'young', 'score': 0.005}, {'token': 'student', 'score': 0.004}, {'token': 'chamber', 'score': 0.004}, {'token': 'swiss', 'score': 0.004}, {'token': 'american', 'score': 0.003}]","[{'token': 'famous', 'score': 0.285}, {'token': 'french', 'score': 0.1}, {'token': 'young', 'score': 0.068}, {'token': 'jazz', 'score': 0.066}, {'token': 'talented', 'score': 0.061}, {'token': 'renowned', 'score': 0.046}, {'token': 'great', 'score': 0.032}, {'token': 'celebrated', 'score': 0.032}, {'token': 'popular', 'score': 0.026}, {'token': 'noted', 'score': 0.018}]"
5,opera,"[{'token': 'opera', 'score': 0.832}, {'token': 'epic', 'score': 0.035}, {'token': 'act', 'score': 0.022}, {'token': 'overture', 'score': 0.02}, {'token': 'interlude', 'score': 0.011}, {'token': 'aria', 'score': 0.009}, {'token': 'adaptation', 'score': 0.008}, {'token': 'essay', 'score': 0.005}, {'token': 'entry', 'score': 0.004}, {'token': 'ode', 'score': 0.003}]","[{'token': 'opera', 'score': 0.116}, {'token': 'novel', 'score': 0.06}, {'token': 'first', 'score': 0.044}, {'token': 'epic', 'score': 0.039}, {'token': 'cantata', 'score': 0.038}, {'token': 'italian', 'score': 0.027}, {'token': 'poem', 'score': 0.027}, {'token': 'second', 'score': 0.025}, {'token': 'play', 'score': 0.018}, {'token': 'prose', 'score': 0.015}]","[{'token': 'first', 'score': 0.152}, {'token': 'second', 'score': 0.147}, {'token': 'third', 'score': 0.054}, {'token': 'italian', 'score': 0.03}, {'token': 'entire', 'score': 0.029}, {'token': 'whole', 'score': 0.028}, {'token': 'original', 'score': 0.028}, {'token': 'final', 'score': 0.023}, {'token': 'complete', 'score': 0.019}, {'token': 'following', 'score': 0.014}]","[{'token': 'opera', 'score': 0.626}, {'token': 'act', 'score': 0.084}, {'token': 'epic', 'score': 0.06}, {'token': 'ep', 'score': 0.017}, {'token': 'episode', 'score': 0.016}, {'token': 'album', 'score': 0.014}, {'token': 'adaptation', 'score': 0.013}, {'token': 'interlude', 'score': 0.013}, {'token': 'anthology', 'score': 0.012}, {'token': 'event', 'score': 0.01}]","[{'token': 'first', 'score': 0.08}, {'token': 'second', 'score': 0.07}, {'token': 'italian', 'score': 0.051}, {'token': 'opera', 'score': 0.042}, {'token': 'third', 'score': 0.034}, {'token': 'novel', 'score': 0.026}, {'token': 'complete', 'score': 0.025}, {'token': 'whole', 'score': 0.022}, {'token': 'entire', 'score': 0.02}, {'token': 'original', 'score': 0.018}]"
6,opera,"[{'token': 'opera', 'score': 0.787}, {'token': 'overture', 'score': 0.033}, {'token': 'epic', 'score': 0.029}, {'token': 'act', 'score': 0.02}, {'token': 'adaptation', 'score': 0.017}, {'token': 'aria', 'score': 0.016}, {'token': 'instrumental', 'score': 0.013}, {'token': 'album', 'score': 0.011}, {'token': 'original', 'score': 0.004}, {'token': 'essay', 'score': 0.004}]","[{'token': 'opera', 'score': 0.773}, {'token': 'act', 'score': 0.037}, {'token': 'adaptation', 'score': 0.023}, {'token': 'instrumental', 'score': 0.022}, {'token': 'overture', 'score': 0.017}, {'token': 'epic', 'score': 0.015}, {'token': 'aria', 'score': 0.011}, {'token': 'orchestra', 'score': 0.005}, {'token': 'ode', 'score': 0.004}, {'token': 'original', 'score': 0.004}]","[{'token': 'opera', 'score': 0.166}, {'token': 'orchestra', 'score': 0.095}, {'token': 'act', 'score': 0.067}, {'token': 'encore', 'score': 0.058}, {'token': 'instrumental', 'score': 0.056}, {'token': 'overture', 'score': 0.051}, {'token': 'accompaniment', 'score': 0.042}, {'token': 'aria', 'score': 0.041}, {'token': 'anthem', 'score': 0.04}, {'token': 'introduction', 'score': 0.027}]","[{'token': 'score', 'score': 0.117}, {'token': 'play', 'score': 0.093}, {'token': 'composition', 'score': 0.07}, {'token': 'piece', 'score': 0.049}, {'token': 'opera', 'score': 0.047}, {'token': 'movement', 'score': 0.034}, {'token': 'film', 'score': 0.029}, {'token': 'suite', 'score': 0.027}, {'token': 'libretto', 'score': 0.027}, {'token': 'ballet', 'score': 0.026}]","[{'token': 'piece', 'score': 0.092}, {'token': 'ballet', 'score': 0.08}, {'token': 'play', 'score': 0.066}, {'token': 'opera', 'score': 0.055}, {'token': 'cantata', 'score': 0.042}, {'token': 'composition', 'score': 0.039}, {'token': 'movement', 'score': 0.033}, {'token': 'work', 'score': 0.023}, {'token': 'film', 'score': 0.023}, {'token': 'poem', 'score': 0.02}]"
7,opera,"[{'token': 'opera', 'score': 0.896}, {'token': 'act', 'score': 0.032}, {'token': 'epic', 'score': 0.032}, {'token': 'aria', 'score': 0.009}, {'token': 'adaptation', 'score': 0.005}, {'token': 'adventure', 'score': 0.005}, {'token': 'play', 'score': 0.004}, {'token': 'offering', 'score': 0.003}, {'token': 'novel', 'score': 0.002}, {'token': 'entry', 'score': 0.002}]","[{'token': 'play', 'score': 0.293}, {'token': 'opera', 'score': 0.191}, {'token': 'novel', 'score': 0.105}, {'token': 'film', 'score': 0.088}, {'token': 'musical', 'score': 0.056}, {'token': 'song', 'score': 0.021}, {'token': 'story', 'score': 0.015}, {'token': 'novella', 'score': 0.012}, {'token': 'book', 'score': 0.011}, {'token': 'drama', 'score': 0.008}]","[{'token': 'play', 'score': 0.47}, {'token': 'novel', 'score': 0.104}, {'token': 'book', 'score': 0.041}, {'token': 'film', 'score': 0.038}, {'token': 'musical', 'score': 0.027}, {'token': 'production', 'score': 0.026}, {'token': 'comedy', 'score': 0.023}, {'token': 'series', 'score': 0.021}, {'token': 'story', 'score': 0.018}, {'token': 'drama', 'score': 0.016}]","[{'token': 'play', 'score': 0.346}, {'token': 'musical', 'score': 0.188}, {'token': 'novel', 'score': 0.17}, {'token': 'film', 'score': 0.038}, {'token': 'story', 'score': 0.023}, {'token': 'production', 'score': 0.023}, {'token': 'opera', 'score': 0.018}, {'token': 'comedy', 'score': 0.016}, {'token': 'song', 'score': 0.015}, {'token': 'novella', 'score': 0.012}]","[{'token': 'heroine', 'score': 0.146}, {'token': 'play', 'score': 0.141}, {'token': 'novel', 'score': 0.124}, {'token': 'character', 'score': 0.075}, {'token': 'daughter', 'score': 0.052}, {'token': 'debut', 'score': 0.037}, {'token': 'wife', 'score': 0.036}, {'token': 'protagonist', 'score': 0.036}, {'token': 'story', 'score': 0.026}, {'token': 'sequel', 'score': 0.014}]"
8,jazz,"[{'token': 'jazz', 'score': 0.559}, {'token': 'bass', 'score': 0.094}, {'token': 'alto', 'score': 0.065}, {'token': 'tenor', 'score': 0.041}, {'token': 'baritone', 'score': 0.036}, {'token': 'college', 'score': 0.024}, {'token': 'classical', 'score': 0.013}, {'token': 'school', 'score': 0.013}, {'token': 'blues', 'score': 0.008}, {'token': 'professional', 'score': 0.008}]","[{'token': 'jazz', 'score': 0.452}, {'token': 'bass', 'score': 0.074}, {'token': 'alto', 'score': 0.066}, {'token': 'college', 'score': 0.052}, {'token': 'tenor', 'score': 0.039}, {'token': 'school', 'score': 0.026}, {'token': 'baritone', 'score': 0.025}, {'token': 'blues', 'score': 0.015}, {'token': 'classical', 'score': 0.012}, {'token': 'electric', 'score': 0.01}]","[{'token': 'former', 'score': 0.18}, {'token': 'jazz', 'score': 0.16}, {'token': 'bass', 'score': 0.086}, {'token': 'professional', 'score': 0.036}, {'token': 'baritone', 'score': 0.034}, {'token': 'young', 'score': 0.031}, {'token': 'tenor', 'score': 0.026}, {'token': 'black', 'score': 0.025}, {'token': 'college', 'score': 0.021}, {'token': 'noted', 'score': 0.021}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'jazz', 'score': 0.251}, {'token': 'bass', 'score': 0.119}, {'token': 'alto', 'score': 0.079}, {'token': 'baritone', 'score': 0.054}, {'token': 'college', 'score': 0.049}, {'token': 'tenor', 'score': 0.036}, {'token': 'school', 'score': 0.033}, {'token': 'classical', 'score': 0.032}, {'token': 'born', 'score': 0.021}, {'token': 'professional', 'score': 0.019}]"
9,jazz,"[{'token': 'canadian', 'score': 0.342}, {'token': 'swedish', 'score': 0.123}, {'token': 'scottish', 'score': 0.109}, {'token': 'british', 'score': 0.088}, {'token': 'american', 'score': 0.029}, {'token': 'welsh', 'score': 0.019}, {'token': 'former', 'score': 0.013}, {'token': 'minnesota', 'score': 0.011}, {'token': 'professional', 'score': 0.01}, {'token': 'boston', 'score': 0.008}]","[{'token': 'notable', 'score': 0.098}, {'token': 'noted', 'score': 0.08}, {'token': 'famous', 'score': 0.074}, {'token': 'former', 'score': 0.066}, {'token': 'prominent', 'score': 0.063}, {'token': 'later', 'score': 0.037}, {'token': 'celebrated', 'score': 0.036}, {'token': 'renowned', 'score': 0.03}, {'token': 'future', 'score': 0.029}, {'token': 'popular', 'score': 0.029}]","[{'token': 'former', 'score': 0.067}, {'token': 'canadian', 'score': 0.048}, {'token': 'young', 'score': 0.042}, {'token': 'professional', 'score': 0.036}, {'token': 'jazz', 'score': 0.034}, {'token': 'boston', 'score': 0.028}, {'token': 'british', 'score': 0.025}, {'token': 'scottish', 'score': 0.025}, {'token': 'welsh', 'score': 0.019}, {'token': 'prominent', 'score': 0.019}]","[{'token': 'canadian', 'score': 0.366}, {'token': 'swedish', 'score': 0.187}, {'token': 'scottish', 'score': 0.104}, {'token': 'british', 'score': 0.086}, {'token': 'american', 'score': 0.024}, {'token': 'welsh', 'score': 0.02}, {'token': 'former', 'score': 0.013}, {'token': 'professional', 'score': 0.008}, {'token': 'retired', 'score': 0.007}, {'token': 'finnish', 'score': 0.006}]","[{'token': 'former', 'score': 0.094}, {'token': 'noted', 'score': 0.068}, {'token': 'professional', 'score': 0.049}, {'token': 'talented', 'score': 0.032}, {'token': 'renowned', 'score': 0.031}, {'token': 'prominent', 'score': 0.029}, {'token': 'jazz', 'score': 0.029}, {'token': 'popular', 'score': 0.028}, {'token': 'trained', 'score': 0.025}, {'token': 'canadian', 'score': 0.025}]"
