,answers,original,t5_0,t5_1,t5_2,t5_3
0,apple,"[{'token': 'it', 'score': 0.557}, {'token': 'apple', 'score': 0.148}, {'token': 'dell', 'score': 0.059}, {'token': 'ibm', 'score': 0.052}, {'token': 'hp', 'score': 0.052}, {'token': 'microsoft', 'score': 0.028}, {'token': 'dec', 'score': 0.013}, {'token': 'atari', 'score': 0.011}, {'token': 'intel', 'score': 0.01}, {'token': 'nec', 'score': 0.004}]","[{'token': 'it', 'score': 0.451}, {'token': 'apple', 'score': 0.157}, {'token': 'hp', 'score': 0.095}, {'token': 'dell', 'score': 0.09}, {'token': 'ibm', 'score': 0.051}, {'token': 'microsoft', 'score': 0.037}, {'token': 'dec', 'score': 0.016}, {'token': 'intel', 'score': 0.015}, {'token': 'atari', 'score': 0.014}, {'token': 'sharp', 'score': 0.004}]","[{'token': 'apple', 'score': 0.759}, {'token': 'microsoft', 'score': 0.057}, {'token': 'ibm', 'score': 0.044}, {'token': 'hp', 'score': 0.033}, {'token': 'dec', 'score': 0.023}, {'token': 'dell', 'score': 0.023}, {'token': 'intel', 'score': 0.02}, {'token': 'atari', 'score': 0.016}, {'token': 'motorola', 'score': 0.002}, {'token': 'commodore', 'score': 0.001}]","[{'token': 'apple', 'score': 0.329}, {'token': 'microsoft', 'score': 0.167}, {'token': 'ibm', 'score': 0.12}, {'token': 'atari', 'score': 0.073}, {'token': 'intel', 'score': 0.036}, {'token': 'dell', 'score': 0.022}, {'token': 'dec', 'score': 0.019}, {'token': 'motorola', 'score': 0.019}, {'token': 'hp', 'score': 0.012}, {'token': 'software', 'score': 0.007}]","[{'token': 'ibm', 'score': 0.537}, {'token': 'microsoft', 'score': 0.198}, {'token': 'apple', 'score': 0.139}, {'token': 'intel', 'score': 0.027}, {'token': 'dell', 'score': 0.017}, {'token': 'hp', 'score': 0.014}, {'token': 'atari', 'score': 0.006}, {'token': 'pc', 'score': 0.005}, {'token': 'lotus', 'score': 0.005}, {'token': 'dec', 'score': 0.004}]"
1,apple,"[{'token': 'it', 'score': 0.557}, {'token': 'apple', 'score': 0.148}, {'token': 'dell', 'score': 0.059}, {'token': 'ibm', 'score': 0.052}, {'token': 'hp', 'score': 0.052}, {'token': 'microsoft', 'score': 0.028}, {'token': 'dec', 'score': 0.013}, {'token': 'atari', 'score': 0.011}, {'token': 'intel', 'score': 0.01}, {'token': 'nec', 'score': 0.004}]","[{'token': 'it', 'score': 0.451}, {'token': 'apple', 'score': 0.157}, {'token': 'hp', 'score': 0.095}, {'token': 'dell', 'score': 0.09}, {'token': 'ibm', 'score': 0.051}, {'token': 'microsoft', 'score': 0.037}, {'token': 'dec', 'score': 0.016}, {'token': 'intel', 'score': 0.015}, {'token': 'atari', 'score': 0.014}, {'token': 'sharp', 'score': 0.004}]","[{'token': 'apple', 'score': 0.759}, {'token': 'microsoft', 'score': 0.057}, {'token': 'ibm', 'score': 0.044}, {'token': 'hp', 'score': 0.033}, {'token': 'dec', 'score': 0.023}, {'token': 'dell', 'score': 0.023}, {'token': 'intel', 'score': 0.02}, {'token': 'atari', 'score': 0.016}, {'token': 'motorola', 'score': 0.002}, {'token': 'commodore', 'score': 0.001}]","[{'token': 'apple', 'score': 0.329}, {'token': 'microsoft', 'score': 0.167}, {'token': 'ibm', 'score': 0.12}, {'token': 'atari', 'score': 0.073}, {'token': 'intel', 'score': 0.036}, {'token': 'dell', 'score': 0.022}, {'token': 'dec', 'score': 0.019}, {'token': 'motorola', 'score': 0.019}, {'token': 'hp', 'score': 0.012}, {'token': 'software', 'score': 0.007}]","[{'token': 'ibm', 'score': 0.537}, {'token': 'microsoft', 'score': 0.198}, {'token': 'apple', 'score': 0.139}, {'token': 'intel', 'score': 0.027}, {'token': 'dell', 'score': 0.017}, {'token': 'hp', 'score': 0.014}, {'token': 'atari', 'score': 0.006}, {'token': 'pc', 'score': 0.005}, {'token': 'lotus', 'score': 0.005}, {'token': 'dec', 'score': 0.004}]"
2,microsoft,"[{'token': 'microsoft', 'score': 0.454}, {'token': 'ibm', 'score': 0.37}, {'token': 'atari', 'score': 0.05}, {'token': 'apple', 'score': 0.027}, {'token': 'canonical', 'score': 0.01}, {'token': 'intel', 'score': 0.009}, {'token': 'oracle', 'score': 0.009}, {'token': 'dell', 'score': 0.007}, {'token': 'oclc', 'score': 0.004}, {'token': 'sri', 'score': 0.004}]","[{'token': 'microsoft', 'score': 0.433}, {'token': 'ibm', 'score': 0.392}, {'token': 'apple', 'score': 0.02}, {'token': 'dell', 'score': 0.018}, {'token': 'intel', 'score': 0.016}, {'token': 'canonical', 'score': 0.012}, {'token': 'oracle', 'score': 0.009}, {'token': 'atari', 'score': 0.008}, {'token': 'lotus', 'score': 0.008}, {'token': 'parallels', 'score': 0.008}]","[{'token': 'microsoft', 'score': 0.812}, {'token': 'ibm', 'score': 0.098}, {'token': 'apple', 'score': 0.022}, {'token': 'atari', 'score': 0.009}, {'token': 'canonical', 'score': 0.007}, {'token': 'intel', 'score': 0.005}, {'token': 'sri', 'score': 0.003}, {'token': 'software', 'score': 0.003}, {'token': 'lotus', 'score': 0.002}, {'token': 'oclc', 'score': 0.002}]","[{'token': 'microsoft', 'score': 0.776}, {'token': 'ibm', 'score': 0.122}, {'token': 'apple', 'score': 0.021}, {'token': 'oracle', 'score': 0.018}, {'token': 'intel', 'score': 0.017}, {'token': 'canonical', 'score': 0.006}, {'token': 'atari', 'score': 0.005}, {'token': 'dell', 'score': 0.005}, {'token': 'google', 'score': 0.004}, {'token': 'hp', 'score': 0.003}]","[{'token': 'microsoft', 'score': 0.379}, {'token': 'ibm', 'score': 0.366}, {'token': 'atari', 'score': 0.039}, {'token': 'apple', 'score': 0.036}, {'token': 'oracle', 'score': 0.02}, {'token': 'canonical', 'score': 0.019}, {'token': 'intel', 'score': 0.017}, {'token': 'dell', 'score': 0.007}, {'token': 'lotus', 'score': 0.006}, {'token': 'parallels', 'score': 0.006}]"
3,microsoft,"[{'token': 'google', 'score': 0.232}, {'token': 'microsoft', 'score': 0.124}, {'token': 'facebook', 'score': 0.07}, {'token': 'nokia', 'score': 0.025}, {'token': 'oracle', 'score': 0.019}, {'token': 'yahoo', 'score': 0.017}, {'token': 'forbes', 'score': 0.016}, {'token': 'boeing', 'score': 0.015}, {'token': 'twitter', 'score': 0.015}, {'token': 'intel', 'score': 0.014}]","[{'token': 'google', 'score': 0.272}, {'token': 'facebook', 'score': 0.105}, {'token': 'microsoft', 'score': 0.098}, {'token': 'twitter', 'score': 0.022}, {'token': 'nokia', 'score': 0.019}, {'token': 'intel', 'score': 0.019}, {'token': 'disney', 'score': 0.017}, {'token': 'amazon', 'score': 0.017}, {'token': 'boeing', 'score': 0.017}, {'token': 'hp', 'score': 0.014}]","[{'token': 'google', 'score': 0.508}, {'token': 'microsoft', 'score': 0.072}, {'token': 'facebook', 'score': 0.039}, {'token': 'nokia', 'score': 0.036}, {'token': 'company', 'score': 0.015}, {'token': 'intel', 'score': 0.014}, {'token': 'twitter', 'score': 0.012}, {'token': 'disney', 'score': 0.011}, {'token': 'yahoo', 'score': 0.009}, {'token': 'amazon', 'score': 0.009}]","[{'token': 'microsoft', 'score': 0.135}, {'token': 'google', 'score': 0.129}, {'token': 'nokia', 'score': 0.032}, {'token': 'sri', 'score': 0.015}, {'token': 'intel', 'score': 0.015}, {'token': 'facebook', 'score': 0.015}, {'token': 'ibm', 'score': 0.013}, {'token': 'rbi', 'score': 0.012}, {'token': 'congress', 'score': 0.009}, {'token': 'india', 'score': 0.008}]","[{'token': 'microsoft', 'score': 0.069}, {'token': 'google', 'score': 0.067}, {'token': 'nokia', 'score': 0.027}, {'token': 'facebook', 'score': 0.025}, {'token': 'intel', 'score': 0.015}, {'token': 'ceo', 'score': 0.015}, {'token': 'boeing', 'score': 0.01}, {'token': 'yahoo', 'score': 0.01}, {'token': 'oracle', 'score': 0.01}, {'token': 'hp', 'score': 0.009}]"
4,bbc,"[{'token': 'bbc', 'score': 0.987}, {'token': 'internet', 'score': 0.004}, {'token': 'abc', 'score': 0.002}, {'token': 'itv', 'score': 0.002}, {'token': 'website', 'score': 0.001}, {'token': 'programme', 'score': 0.001}, {'token': 'television', 'score': 0.001}, {'token': 'channel', 'score': 0.001}, {'token': 'network', 'score': 0.0}, {'token': 'radio', 'score': 0.0}]","[{'token': 'bbc', 'score': 0.939}, {'token': 'programme', 'score': 0.011}, {'token': 'internet', 'score': 0.006}, {'token': 'abc', 'score': 0.006}, {'token': 'radio', 'score': 0.004}, {'token': 'website', 'score': 0.004}, {'token': 'itv', 'score': 0.004}, {'token': 'channel', 'score': 0.002}, {'token': 'television', 'score': 0.002}, {'token': 'station', 'score': 0.002}]","[{'token': 'bbc', 'score': 0.966}, {'token': 'programme', 'score': 0.006}, {'token': 'internet', 'score': 0.005}, {'token': 'abc', 'score': 0.004}, {'token': 'itv', 'score': 0.003}, {'token': 'website', 'score': 0.002}, {'token': 'television', 'score': 0.001}, {'token': 'channel', 'score': 0.001}, {'token': 'radio', 'score': 0.001}, {'token': 'network', 'score': 0.001}]","[{'token': 'bbc', 'score': 0.877}, {'token': 'channel', 'score': 0.04}, {'token': 'programme', 'score': 0.027}, {'token': 'station', 'score': 0.015}, {'token': 'abc', 'score': 0.01}, {'token': 'network', 'score': 0.007}, {'token': 'itv', 'score': 0.003}, {'token': 'broadcaster', 'score': 0.002}, {'token': 'show', 'score': 0.001}, {'token': 'website', 'score': 0.001}]","[{'token': 'bbc', 'score': 0.786}, {'token': 'radio', 'score': 0.034}, {'token': 'programme', 'score': 0.034}, {'token': 'internet', 'score': 0.02}, {'token': 'website', 'score': 0.014}, {'token': 'station', 'score': 0.012}, {'token': 'abc', 'score': 0.011}, {'token': 'television', 'score': 0.008}, {'token': 'channel', 'score': 0.007}, {'token': 'itv', 'score': 0.005}]"
5,bbc,"[{'token': 'bbc', 'score': 0.987}, {'token': 'internet', 'score': 0.004}, {'token': 'abc', 'score': 0.002}, {'token': 'itv', 'score': 0.002}, {'token': 'website', 'score': 0.001}, {'token': 'programme', 'score': 0.001}, {'token': 'television', 'score': 0.001}, {'token': 'channel', 'score': 0.001}, {'token': 'network', 'score': 0.0}, {'token': 'radio', 'score': 0.0}]","[{'token': 'bbc', 'score': 0.939}, {'token': 'programme', 'score': 0.011}, {'token': 'internet', 'score': 0.006}, {'token': 'abc', 'score': 0.006}, {'token': 'radio', 'score': 0.004}, {'token': 'website', 'score': 0.004}, {'token': 'itv', 'score': 0.004}, {'token': 'channel', 'score': 0.002}, {'token': 'television', 'score': 0.002}, {'token': 'station', 'score': 0.002}]","[{'token': 'bbc', 'score': 0.966}, {'token': 'programme', 'score': 0.006}, {'token': 'internet', 'score': 0.005}, {'token': 'abc', 'score': 0.004}, {'token': 'itv', 'score': 0.003}, {'token': 'website', 'score': 0.002}, {'token': 'television', 'score': 0.001}, {'token': 'channel', 'score': 0.001}, {'token': 'radio', 'score': 0.001}, {'token': 'network', 'score': 0.001}]","[{'token': 'bbc', 'score': 0.877}, {'token': 'channel', 'score': 0.04}, {'token': 'programme', 'score': 0.027}, {'token': 'station', 'score': 0.015}, {'token': 'abc', 'score': 0.01}, {'token': 'network', 'score': 0.007}, {'token': 'itv', 'score': 0.003}, {'token': 'broadcaster', 'score': 0.002}, {'token': 'show', 'score': 0.001}, {'token': 'website', 'score': 0.001}]","[{'token': 'bbc', 'score': 0.786}, {'token': 'radio', 'score': 0.034}, {'token': 'programme', 'score': 0.034}, {'token': 'internet', 'score': 0.02}, {'token': 'website', 'score': 0.014}, {'token': 'station', 'score': 0.012}, {'token': 'abc', 'score': 0.011}, {'token': 'television', 'score': 0.008}, {'token': 'channel', 'score': 0.007}, {'token': 'itv', 'score': 0.005}]"
6,bbc,"[{'token': 'bbc', 'score': 0.987}, {'token': 'internet', 'score': 0.004}, {'token': 'abc', 'score': 0.002}, {'token': 'itv', 'score': 0.002}, {'token': 'website', 'score': 0.001}, {'token': 'programme', 'score': 0.001}, {'token': 'television', 'score': 0.001}, {'token': 'channel', 'score': 0.001}, {'token': 'network', 'score': 0.0}, {'token': 'radio', 'score': 0.0}]","[{'token': 'bbc', 'score': 0.939}, {'token': 'programme', 'score': 0.011}, {'token': 'internet', 'score': 0.006}, {'token': 'abc', 'score': 0.006}, {'token': 'radio', 'score': 0.004}, {'token': 'website', 'score': 0.004}, {'token': 'itv', 'score': 0.004}, {'token': 'channel', 'score': 0.002}, {'token': 'television', 'score': 0.002}, {'token': 'station', 'score': 0.002}]","[{'token': 'bbc', 'score': 0.966}, {'token': 'programme', 'score': 0.006}, {'token': 'internet', 'score': 0.005}, {'token': 'abc', 'score': 0.004}, {'token': 'itv', 'score': 0.003}, {'token': 'website', 'score': 0.002}, {'token': 'television', 'score': 0.001}, {'token': 'channel', 'score': 0.001}, {'token': 'radio', 'score': 0.001}, {'token': 'network', 'score': 0.001}]","[{'token': 'bbc', 'score': 0.877}, {'token': 'channel', 'score': 0.04}, {'token': 'programme', 'score': 0.027}, {'token': 'station', 'score': 0.015}, {'token': 'abc', 'score': 0.01}, {'token': 'network', 'score': 0.007}, {'token': 'itv', 'score': 0.003}, {'token': 'broadcaster', 'score': 0.002}, {'token': 'show', 'score': 0.001}, {'token': 'website', 'score': 0.001}]","[{'token': 'bbc', 'score': 0.786}, {'token': 'radio', 'score': 0.034}, {'token': 'programme', 'score': 0.034}, {'token': 'internet', 'score': 0.02}, {'token': 'website', 'score': 0.014}, {'token': 'station', 'score': 0.012}, {'token': 'abc', 'score': 0.011}, {'token': 'television', 'score': 0.008}, {'token': 'channel', 'score': 0.007}, {'token': 'itv', 'score': 0.005}]"
7,ibm,"[{'token': 'google', 'score': 0.284}, {'token': 'microsoft', 'score': 0.253}, {'token': 'oracle', 'score': 0.173}, {'token': 'ibm', 'score': 0.065}, {'token': 'intel', 'score': 0.058}, {'token': 'facebook', 'score': 0.012}, {'token': 'amazon', 'score': 0.011}, {'token': 'apple', 'score': 0.011}, {'token': 'canonical', 'score': 0.008}, {'token': 'epic', 'score': 0.007}]","[{'token': 'microsoft', 'score': 0.492}, {'token': 'google', 'score': 0.142}, {'token': 'ibm', 'score': 0.14}, {'token': 'intel', 'score': 0.051}, {'token': 'oracle', 'score': 0.034}, {'token': 'adobe', 'score': 0.013}, {'token': 'apple', 'score': 0.013}, {'token': 'amazon', 'score': 0.011}, {'token': 'atari', 'score': 0.009}, {'token': 'facebook', 'score': 0.007}]","[{'token': 'microsoft', 'score': 0.485}, {'token': 'ibm', 'score': 0.178}, {'token': 'google', 'score': 0.129}, {'token': 'intel', 'score': 0.057}, {'token': 'oracle', 'score': 0.032}, {'token': 'dell', 'score': 0.012}, {'token': 'apple', 'score': 0.009}, {'token': 'oclc', 'score': 0.008}, {'token': 'adobe', 'score': 0.007}, {'token': 'amazon', 'score': 0.007}]","[{'token': 'microsoft', 'score': 0.472}, {'token': 'ibm', 'score': 0.174}, {'token': 'google', 'score': 0.146}, {'token': 'intel', 'score': 0.057}, {'token': 'oracle', 'score': 0.029}, {'token': 'dell', 'score': 0.013}, {'token': 'apple', 'score': 0.011}, {'token': 'amazon', 'score': 0.008}, {'token': 'adobe', 'score': 0.007}, {'token': 'oclc', 'score': 0.007}]","[{'token': 'google', 'score': 0.274}, {'token': 'microsoft', 'score': 0.232}, {'token': 'oracle', 'score': 0.186}, {'token': 'ibm', 'score': 0.064}, {'token': 'intel', 'score': 0.051}, {'token': 'facebook', 'score': 0.014}, {'token': 'amazon', 'score': 0.014}, {'token': 'apple', 'score': 0.013}, {'token': 'canonical', 'score': 0.01}, {'token': 'epic', 'score': 0.007}]"
8,ibm,"[{'token': 'ibm', 'score': 0.48}, {'token': 'mit', 'score': 0.3}, {'token': 'stanford', 'score': 0.023}, {'token': 'intel', 'score': 0.018}, {'token': 'ucla', 'score': 0.016}, {'token': 'nasa', 'score': 0.013}, {'token': 'sri', 'score': 0.012}, {'token': 'siemens', 'score': 0.011}, {'token': 'google', 'score': 0.008}, {'token': 'motorola', 'score': 0.008}]","[{'token': 'mit', 'score': 0.551}, {'token': 'ibm', 'score': 0.176}, {'token': 'siemens', 'score': 0.021}, {'token': 'stanford', 'score': 0.017}, {'token': 'ucla', 'score': 0.014}, {'token': 'harvard', 'score': 0.012}, {'token': 'google', 'score': 0.01}, {'token': 'berkeley', 'score': 0.007}, {'token': 'nasa', 'score': 0.007}, {'token': 'intel', 'score': 0.006}]","[{'token': 'mit', 'score': 0.342}, {'token': 'ibm', 'score': 0.341}, {'token': 'siemens', 'score': 0.045}, {'token': 'google', 'score': 0.014}, {'token': 'stanford', 'score': 0.014}, {'token': 'intel', 'score': 0.013}, {'token': 'ucla', 'score': 0.009}, {'token': 'nasa', 'score': 0.008}, {'token': 'parc', 'score': 0.007}, {'token': 'harvard', 'score': 0.006}]","[{'token': 'mit', 'score': 0.468}, {'token': 'ibm', 'score': 0.283}, {'token': 'siemens', 'score': 0.042}, {'token': 'ucla', 'score': 0.018}, {'token': 'stanford', 'score': 0.017}, {'token': 'intel', 'score': 0.011}, {'token': 'nasa', 'score': 0.011}, {'token': 'google', 'score': 0.01}, {'token': 'harvard', 'score': 0.01}, {'token': 'microsoft', 'score': 0.007}]","[{'token': 'he', 'score': 0.449}, {'token': 'they', 'score': 0.273}, {'token': 'it', 'score': 0.069}, {'token': 'ibm', 'score': 0.011}, {'token': 'she', 'score': 0.007}, {'token': 'siemens', 'score': 0.004}, {'token': 'google', 'score': 0.003}, {'token': 'wang', 'score': 0.003}, {'token': 'researchers', 'score': 0.003}, {'token': 'watson', 'score': 0.002}]"
9,ibm,"[{'token': 'automated', 'score': 0.092}, {'token': 'advanced', 'score': 0.06}, {'token': 'air', 'score': 0.05}, {'token': 'forward', 'score': 0.033}, {'token': 'aircraft', 'score': 0.022}, {'token': 'port', 'score': 0.021}, {'token': 'vehicle', 'score': 0.021}, {'token': 'automatic', 'score': 0.02}, {'token': 'electronic', 'score': 0.019}, {'token': 'ship', 'score': 0.017}]","[{'token': 'automated', 'score': 0.068}, {'token': 'advanced', 'score': 0.044}, {'token': 'air', 'score': 0.042}, {'token': 'aircraft', 'score': 0.026}, {'token': 'marine', 'score': 0.024}, {'token': 'vehicle', 'score': 0.024}, {'token': 'automatic', 'score': 0.022}, {'token': 'forward', 'score': 0.021}, {'token': 'port', 'score': 0.021}, {'token': 'electronic', 'score': 0.019}]","[{'token': 'automated', 'score': 0.063}, {'token': 'advanced', 'score': 0.043}, {'token': 'air', 'score': 0.041}, {'token': 'vehicle', 'score': 0.033}, {'token': 'aircraft', 'score': 0.031}, {'token': 'marine', 'score': 0.028}, {'token': 'electronic', 'score': 0.02}, {'token': 'automatic', 'score': 0.017}, {'token': 'forward', 'score': 0.017}, {'token': 'special', 'score': 0.013}]","[{'token': 'advanced', 'score': 0.146}, {'token': 'automated', 'score': 0.087}, {'token': 'vehicle', 'score': 0.028}, {'token': 'naval', 'score': 0.026}, {'token': 'aircraft', 'score': 0.022}, {'token': 'forward', 'score': 0.022}, {'token': 'special', 'score': 0.021}, {'token': 'combat', 'score': 0.021}, {'token': 'air', 'score': 0.018}, {'token': 'automatic', 'score': 0.016}]","[{'token': 'automated', 'score': 0.099}, {'token': 'advanced', 'score': 0.044}, {'token': 'vehicle', 'score': 0.037}, {'token': 'aircraft', 'score': 0.03}, {'token': 'electronic', 'score': 0.028}, {'token': 'automatic', 'score': 0.027}, {'token': 'federal', 'score': 0.02}, {'token': 'defense', 'score': 0.017}, {'token': 'internal', 'score': 0.017}, {'token': 'marine', 'score': 0.017}]"
