obj_label,masked_sentence,masked_sentence_roberta
apple,"[MASK] was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne on April 1, 1976, to develop and sell personal computers.","<mask> was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne on April 1, 1976, to develop and sell personal computers."
apple,"The Apple II (stylized as [MASK] ][) is an 8-bit home computer, one of the first highly successful mass-produced microcomputer products, designed primarily by Steve Wozniak (Steve Jobs oversaw the development of the Apple II's unusual case and Rod Holt developed the unique power supply).","The Apple II (stylized as <mask> ][) is an 8-bit home computer, one of the first highly successful mass-produced microcomputer products, designed primarily by Steve Wozniak (Steve Jobs oversaw the development of the Apple II's unusual case and Rod Holt developed the unique power supply)."
apple,"NeXT was founded in 1985 by [MASK] co-founder Steve Jobs, after he resigned from Apple, along with his coworkers.","NeXT was founded in 1985 by <mask> co-founder Steve Jobs, after he resigned from Apple, along with his coworkers."
apple,"NeXT was founded in 1985 by Apple Computer co-founder Steve Jobs, after he resigned from [MASK], along with his coworkers.","NeXT was founded in 1985 by Apple Computer co-founder Steve Jobs, after he resigned from <mask>, along with his coworkers."
apple,"As part of the agreement, Steve Jobs, Chairman and CEO of NeXT Software, returned to [MASK], the company he had co-founded in 1976.","As part of the agreement, Steve Jobs, Chairman and CEO of NeXT Software, returned to <mask>, the company he had co-founded in 1976."
apple,"In August 2006, the Power Mac's retirement was announced at [MASK]'s Worldwide Developers Conference by Steve Jobs and Phil Schiller, making way for its Intel-based replacement, the Mac Pro.","In August 2006, the Power Mac's retirement was announced at <mask>'s Worldwide Developers Conference by Steve Jobs and Phil Schiller, making way for its Intel-based replacement, the Mac Pro."
apple,"Stephen (or Stephan) Gary ""Steve"" Wozniak:18 (/ˈwɒzniæk/, born August 11, 1950), known as ""Woz"", is an American pioneer of the personal computer revolution of the 1970s (along with [MASK] co-founder, Steve Jobs).","Stephen (or Stephan) Gary ""Steve"" Wozniak:18 (/ˈwɒzniæk/, born August 11, 1950), known as ""Woz"", is an American pioneer of the personal computer revolution of the 1970s (along with <mask> co-founder, Steve Jobs)."
apple,Previous to joining [MASK] full-time he had worked as an Apple campus rep (at Texas A&M) and had the opportunity to meet Steve Jobs after his 1999 MacWorld keynote.,Previous to joining <mask> full-time he had worked as an Apple campus rep (at Texas A&M) and had the opportunity to meet Steve Jobs after his 1999 MacWorld keynote.
apple,"Originally titled “Ardmore”, it was renamed to New York before its initial release as part of the ""World Class Cities"" naming scheme by [MASK] cofounder Steve Jobs.","Originally titled “Ardmore”, it was renamed to New York before its initial release as part of the ""World Class Cities"" naming scheme by <mask> cofounder Steve Jobs."
apple,"He was an [MASK] at Apple Computer in the 1980s, and later joined Steve Jobs at NeXT.","He was an <mask> at Apple Computer in the 1980s, and later joined Steve Jobs at NeXT."
apple,"He was an Apple Fellow at [MASK] in the 1980s, and later joined Steve Jobs at NeXT.","He was an Apple Fellow at <mask> in the 1980s, and later joined Steve Jobs at NeXT."
apple,"When Steve Jobs left [MASK] in 1985, she joined Jobs and other Apple managers to cofound NeXT Computer, Inc.","When Steve Jobs left <mask> in 1985, she joined Jobs and other Apple managers to cofound NeXT Computer, Inc."
apple,"When Steve Jobs left Apple Computer in 1985, she joined Jobs and other [MASK] managers to cofound NeXT Computer, Inc.","When Steve Jobs left Apple Computer in 1985, she joined Jobs and other <mask> managers to cofound NeXT Computer, Inc."
apple,"At [MASK], he was the primary figure in the development of Mac OS X. He was a long-standing friend of Steve Jobs.","At <mask>, he was the primary figure in the development of Mac OS X. He was a long-standing friend of Steve Jobs."
apple,"Tevanian was an important figure in the development of the Mach kernel while at Carnegie Mellon; he later worked for NeXT Computer and later at [MASK], both times brought over by Steve Jobs.","Tevanian was an important figure in the development of the Mach kernel while at Carnegie Mellon; he later worked for NeXT Computer and later at <mask>, both times brought over by Steve Jobs."
apple,"Moritz reissued an updated version of the book in 2009 as Return to the Little Kingdom: Steve Jobs, the Creation of [MASK], and How It Changed the World.","Moritz reissued an updated version of the book in 2009 as Return to the Little Kingdom: Steve Jobs, the Creation of <mask>, and How It Changed the World."
apple,Steve Jobs contracted Moritz in the early 1980s to document the development of the Macintosh for a book he was writing about [MASK].,Steve Jobs contracted Moritz in the early 1980s to document the development of the Macintosh for a book he was writing about <mask>.
apple,"In the Prologue to Return to the Little Kingdom: Steve Jobs, the Creation of [MASK], and How It Changed the World (the 2009 updated reissue of The Little Kingdom) Moritz states that he was as incensed as Jobs was about the Time Magazine special issue: ""Steve rightly took umbrage over his portrayal and what he saw as a grotesque betrayal of confidences, while I was equally distraught by the way in which material I had arduously gathered for a book about Apple was siphoned, filtered, and poisoned with a gossipy benzene by an editor in New York whose regular task was to chronicle the wayward world of rock-and-roll music.","In the Prologue to Return to the Little Kingdom: Steve Jobs, the Creation of <mask>, and How It Changed the World (the 2009 updated reissue of The Little Kingdom) Moritz states that he was as incensed as Jobs was about the Time Magazine special issue: ""Steve rightly took umbrage over his portrayal and what he saw as a grotesque betrayal of confidences, while I was equally distraught by the way in which material I had arduously gathered for a book about Apple was siphoned, filtered, and poisoned with a gossipy benzene by an editor in New York whose regular task was to chronicle the wayward world of rock-and-roll music."
