,answers,original,t5_0,t5_1,t5_2,t5_3
0,apple,"[{'token': 'apple', 'score': 0.595}, {'token': 'dell', 'score': 0.14}, {'token': 'microsoft', 'score': 0.089}, {'token': 'ibm', 'score': 0.077}, {'token': 'hp', 'score': 0.043}, {'token': 'intel', 'score': 0.015}, {'token': 'atari', 'score': 0.007}, {'token': 'it', 'score': 0.004}, {'token': 'dec', 'score': 0.003}, {'token': 'commodore', 'score': 0.003}]","[{'token': 'apple', 'score': 0.685}, {'token': 'ibm', 'score': 0.101}, {'token': 'dell', 'score': 0.079}, {'token': 'microsoft', 'score': 0.05}, {'token': 'hp', 'score': 0.035}, {'token': 'intel', 'score': 0.021}, {'token': 'dec', 'score': 0.008}, {'token': 'atari', 'score': 0.004}, {'token': 'it', 'score': 0.001}, {'token': 'motorola', 'score': 0.001}]","[{'token': 'apple', 'score': 0.845}, {'token': 'microsoft', 'score': 0.088}, {'token': 'ibm', 'score': 0.026}, {'token': 'intel', 'score': 0.007}, {'token': 'dell', 'score': 0.007}, {'token': 'dec', 'score': 0.006}, {'token': 'hp', 'score': 0.005}, {'token': 'atari', 'score': 0.004}, {'token': 'facebook', 'score': 0.002}, {'token': 'mit', 'score': 0.001}]","[{'token': 'apple', 'score': 0.152}, {'token': 'microsoft', 'score': 0.152}, {'token': 'atari', 'score': 0.11}, {'token': 'themselves', 'score': 0.096}, {'token': 'ibm', 'score': 0.053}, {'token': 'motorola', 'score': 0.04}, {'token': 'companies', 'score': 0.034}, {'token': 'google', 'score': 0.024}, {'token': 'computers', 'score': 0.02}, {'token': 'intel', 'score': 0.016}]","[{'token': 'ibm', 'score': 0.342}, {'token': 'apple', 'score': 0.294}, {'token': 'microsoft', 'score': 0.185}, {'token': 'pc', 'score': 0.044}, {'token': 'facebook', 'score': 0.025}, {'token': 'hp', 'score': 0.016}, {'token': 'intel', 'score': 0.011}, {'token': 'google', 'score': 0.007}, {'token': 'dell', 'score': 0.007}, {'token': 'nintendo', 'score': 0.004}]"
1,apple,"[{'token': 'apple', 'score': 0.556}, {'token': 'dell', 'score': 0.126}, {'token': 'ibm', 'score': 0.094}, {'token': 'microsoft', 'score': 0.084}, {'token': 'hp', 'score': 0.046}, {'token': 'intel', 'score': 0.016}, {'token': 'atari', 'score': 0.011}, {'token': 'dec', 'score': 0.008}, {'token': 'it', 'score': 0.008}, {'token': 'canonical', 'score': 0.003}]","[{'token': 'apple', 'score': 0.701}, {'token': 'ibm', 'score': 0.062}, {'token': 'dell', 'score': 0.056}, {'token': 'microsoft', 'score': 0.05}, {'token': 'hp', 'score': 0.03}, {'token': 'intel', 'score': 0.015}, {'token': 'it', 'score': 0.011}, {'token': 'dec', 'score': 0.007}, {'token': 'atari', 'score': 0.006}, {'token': 'commodore', 'score': 0.004}]","[{'token': 'apple', 'score': 0.839}, {'token': 'microsoft', 'score': 0.087}, {'token': 'ibm', 'score': 0.02}, {'token': 'dec', 'score': 0.01}, {'token': 'dell', 'score': 0.007}, {'token': 'atari', 'score': 0.005}, {'token': 'hp', 'score': 0.004}, {'token': 'intel', 'score': 0.004}, {'token': 'commodore', 'score': 0.002}, {'token': 'facebook', 'score': 0.001}]","[{'token': 'apple', 'score': 0.236}, {'token': 'microsoft', 'score': 0.155}, {'token': 'themselves', 'score': 0.101}, {'token': 'atari', 'score': 0.058}, {'token': 'ibm', 'score': 0.035}, {'token': 'computers', 'score': 0.031}, {'token': 'motorola', 'score': 0.027}, {'token': 'companies', 'score': 0.023}, {'token': 'google', 'score': 0.018}, {'token': 'software', 'score': 0.011}]","[{'token': 'ibm', 'score': 0.275}, {'token': 'apple', 'score': 0.249}, {'token': 'microsoft', 'score': 0.247}, {'token': 'facebook', 'score': 0.046}, {'token': 'pc', 'score': 0.036}, {'token': 'google', 'score': 0.019}, {'token': 'hp', 'score': 0.014}, {'token': 'intel', 'score': 0.01}, {'token': 'dell', 'score': 0.006}, {'token': 'yahoo', 'score': 0.003}]"
2,microsoft,"[{'token': 'microsoft', 'score': 0.461}, {'token': 'ibm', 'score': 0.215}, {'token': 'atari', 'score': 0.097}, {'token': 'apple', 'score': 0.06}, {'token': 'intel', 'score': 0.016}, {'token': 'oracle', 'score': 0.015}, {'token': 'canonical', 'score': 0.012}, {'token': 'lotus', 'score': 0.009}, {'token': 'parallels', 'score': 0.006}, {'token': 'dell', 'score': 0.005}]","[{'token': 'microsoft', 'score': 0.443}, {'token': 'ibm', 'score': 0.168}, {'token': 'apple', 'score': 0.041}, {'token': 'lotus', 'score': 0.038}, {'token': 'parallels', 'score': 0.028}, {'token': 'canonical', 'score': 0.024}, {'token': 'pc', 'score': 0.021}, {'token': 'windows', 'score': 0.018}, {'token': 'oracle', 'score': 0.012}, {'token': 'dell', 'score': 0.012}]","[{'token': 'microsoft', 'score': 0.614}, {'token': 'lotus', 'score': 0.06}, {'token': 'ibm', 'score': 0.05}, {'token': 'apple', 'score': 0.038}, {'token': 'software', 'score': 0.011}, {'token': 'parallels', 'score': 0.011}, {'token': 'chess', 'score': 0.009}, {'token': 'canonical', 'score': 0.008}, {'token': 'alias', 'score': 0.007}, {'token': 'atari', 'score': 0.007}]","[{'token': 'microsoft', 'score': 0.692}, {'token': 'ibm', 'score': 0.133}, {'token': 'apple', 'score': 0.068}, {'token': 'intel', 'score': 0.037}, {'token': 'dell', 'score': 0.025}, {'token': 'atari', 'score': 0.008}, {'token': 'oracle', 'score': 0.007}, {'token': 'hp', 'score': 0.005}, {'token': 'canonical', 'score': 0.003}, {'token': 'google', 'score': 0.002}]","[{'token': 'microsoft', 'score': 0.465}, {'token': 'atari', 'score': 0.16}, {'token': 'ibm', 'score': 0.072}, {'token': 'canonical', 'score': 0.031}, {'token': 'apple', 'score': 0.023}, {'token': 'parallels', 'score': 0.014}, {'token': 'lotus', 'score': 0.014}, {'token': 'software', 'score': 0.007}, {'token': 'oracle', 'score': 0.007}, {'token': 'commodore', 'score': 0.006}]"
3,microsoft,"[{'token': 'google', 'score': 0.193}, {'token': 'espn', 'score': 0.102}, {'token': 'microsoft', 'score': 0.08}, {'token': 'disney', 'score': 0.072}, {'token': 'facebook', 'score': 0.053}, {'token': 'twitter', 'score': 0.044}, {'token': 'apple', 'score': 0.039}, {'token': 'bbc', 'score': 0.033}, {'token': 'bt', 'score': 0.028}, {'token': 'cbs', 'score': 0.014}]","[{'token': 'google', 'score': 0.406}, {'token': 'bbc', 'score': 0.141}, {'token': 'microsoft', 'score': 0.047}, {'token': 'bt', 'score': 0.043}, {'token': 'disney', 'score': 0.033}, {'token': 'facebook', 'score': 0.027}, {'token': 'twitter', 'score': 0.018}, {'token': 'apple', 'score': 0.013}, {'token': 'nokia', 'score': 0.011}, {'token': 'youtube', 'score': 0.011}]","[{'token': 'bbc', 'score': 0.063}, {'token': 'carlton', 'score': 0.053}, {'token': 'company', 'score': 0.033}, {'token': 'itv', 'score': 0.03}, {'token': 'microsoft', 'score': 0.026}, {'token': 'sony', 'score': 0.021}, {'token': 'bt', 'score': 0.02}, {'token': 'channel', 'score': 0.018}, {'token': 'victoria', 'score': 0.017}, {'token': 'sky', 'score': 0.016}]","[{'token': 'microsoft', 'score': 0.072}, {'token': 'board', 'score': 0.038}, {'token': 'bbc', 'score': 0.028}, {'token': 'google', 'score': 0.023}, {'token': 'sri', 'score': 0.022}, {'token': 'abc', 'score': 0.017}, {'token': 'sony', 'score': 0.015}, {'token': 'bafta', 'score': 0.013}, {'token': 'directors', 'score': 0.012}, {'token': 'rte', 'score': 0.011}]","[{'token': 'bt', 'score': 0.091}, {'token': 'bbc', 'score': 0.066}, {'token': 'microsoft', 'score': 0.05}, {'token': 'google', 'score': 0.042}, {'token': 'apple', 'score': 0.016}, {'token': 'bp', 'score': 0.014}, {'token': 'facebook', 'score': 0.012}, {'token': 'disney', 'score': 0.011}, {'token': 'nokia', 'score': 0.01}, {'token': 'ibm', 'score': 0.01}]"
4,bbc,"[{'token': 'bbc', 'score': 0.937}, {'token': 'internet', 'score': 0.03}, {'token': 'radio', 'score': 0.006}, {'token': 'television', 'score': 0.005}, {'token': 'abc', 'score': 0.004}, {'token': 'itv', 'score': 0.002}, {'token': 'website', 'score': 0.002}, {'token': 'channel', 'score': 0.001}, {'token': 'programme', 'score': 0.001}, {'token': 'network', 'score': 0.001}]","[{'token': 'bbc', 'score': 0.966}, {'token': 'programme', 'score': 0.006}, {'token': 'abc', 'score': 0.004}, {'token': 'internet', 'score': 0.003}, {'token': 'website', 'score': 0.002}, {'token': 'radio', 'score': 0.002}, {'token': 'itv', 'score': 0.001}, {'token': 'channel', 'score': 0.001}, {'token': 'station', 'score': 0.001}, {'token': 'television', 'score': 0.001}]","[{'token': 'bbc', 'score': 0.963}, {'token': 'internet', 'score': 0.014}, {'token': 'website', 'score': 0.003}, {'token': 'programme', 'score': 0.003}, {'token': 'abc', 'score': 0.002}, {'token': 'radio', 'score': 0.002}, {'token': 'itv', 'score': 0.002}, {'token': 'television', 'score': 0.001}, {'token': 'channel', 'score': 0.001}, {'token': 'web', 'score': 0.001}]","[{'token': 'bbc', 'score': 0.973}, {'token': 'abc', 'score': 0.006}, {'token': 'guardian', 'score': 0.003}, {'token': 'channel', 'score': 0.002}, {'token': 'programme', 'score': 0.002}, {'token': 'station', 'score': 0.001}, {'token': 'uk', 'score': 0.001}, {'token': 'network', 'score': 0.001}, {'token': 'broadcaster', 'score': 0.001}, {'token': 'itv', 'score': 0.001}]","[{'token': 'bbc', 'score': 0.857}, {'token': 'abc', 'score': 0.021}, {'token': 'programme', 'score': 0.016}, {'token': 'internet', 'score': 0.013}, {'token': 'radio', 'score': 0.009}, {'token': 'website', 'score': 0.007}, {'token': 'itv', 'score': 0.006}, {'token': 'station', 'score': 0.006}, {'token': 'channel', 'score': 0.005}, {'token': 'television', 'score': 0.003}]"
5,bbc,"[{'token': 'bbc', 'score': 0.978}, {'token': 'internet', 'score': 0.013}, {'token': 'abc', 'score': 0.001}, {'token': 'television', 'score': 0.001}, {'token': 'website', 'score': 0.001}, {'token': 'channel', 'score': 0.001}, {'token': 'itv', 'score': 0.001}, {'token': 'radio', 'score': 0.0}, {'token': 'network', 'score': 0.0}, {'token': 'web', 'score': 0.0}]","[{'token': 'bbc', 'score': 0.947}, {'token': 'programme', 'score': 0.016}, {'token': 'abc', 'score': 0.003}, {'token': 'channel', 'score': 0.003}, {'token': 'website', 'score': 0.003}, {'token': 'station', 'score': 0.002}, {'token': 'internet', 'score': 0.002}, {'token': 'radio', 'score': 0.002}, {'token': 'network', 'score': 0.001}, {'token': 'itv', 'score': 0.001}]","[{'token': 'bbc', 'score': 0.911}, {'token': 'internet', 'score': 0.032}, {'token': 'abc', 'score': 0.009}, {'token': 'website', 'score': 0.007}, {'token': 'itv', 'score': 0.006}, {'token': 'programme', 'score': 0.004}, {'token': 'television', 'score': 0.003}, {'token': 'channel', 'score': 0.003}, {'token': 'rt', 'score': 0.002}, {'token': 'radio', 'score': 0.002}]","[{'token': 'bbc', 'score': 0.98}, {'token': 'abc', 'score': 0.003}, {'token': 'programme', 'score': 0.003}, {'token': 'channel', 'score': 0.002}, {'token': 'guardian', 'score': 0.002}, {'token': 'station', 'score': 0.001}, {'token': 'network', 'score': 0.001}, {'token': 'broadcaster', 'score': 0.001}, {'token': 'uk', 'score': 0.001}, {'token': 'corporation', 'score': 0.0}]","[{'token': 'bbc', 'score': 0.838}, {'token': 'internet', 'score': 0.022}, {'token': 'programme', 'score': 0.02}, {'token': 'radio', 'score': 0.015}, {'token': 'abc', 'score': 0.014}, {'token': 'website', 'score': 0.01}, {'token': 'television', 'score': 0.006}, {'token': 'station', 'score': 0.006}, {'token': 'channel', 'score': 0.005}, {'token': 'itv', 'score': 0.004}]"
6,bbc,"[{'token': 'bbc', 'score': 0.963}, {'token': 'internet', 'score': 0.016}, {'token': 'radio', 'score': 0.004}, {'token': 'television', 'score': 0.003}, {'token': 'abc', 'score': 0.002}, {'token': 'itv', 'score': 0.001}, {'token': 'website', 'score': 0.001}, {'token': 'programme', 'score': 0.001}, {'token': 'channel', 'score': 0.001}, {'token': 'network', 'score': 0.001}]","[{'token': 'bbc', 'score': 0.96}, {'token': 'internet', 'score': 0.006}, {'token': 'abc', 'score': 0.005}, {'token': 'programme', 'score': 0.004}, {'token': 'website', 'score': 0.003}, {'token': 'radio', 'score': 0.002}, {'token': 'itv', 'score': 0.002}, {'token': 'channel', 'score': 0.002}, {'token': 'station', 'score': 0.001}, {'token': 'television', 'score': 0.001}]","[{'token': 'bbc', 'score': 0.956}, {'token': 'internet', 'score': 0.011}, {'token': 'programme', 'score': 0.004}, {'token': 'abc', 'score': 0.003}, {'token': 'radio', 'score': 0.003}, {'token': 'website', 'score': 0.003}, {'token': 'itv', 'score': 0.003}, {'token': 'television', 'score': 0.002}, {'token': 'channel', 'score': 0.001}, {'token': 'network', 'score': 0.001}]","[{'token': 'bbc', 'score': 0.956}, {'token': 'abc', 'score': 0.009}, {'token': 'channel', 'score': 0.004}, {'token': 'guardian', 'score': 0.003}, {'token': 'programme', 'score': 0.003}, {'token': 'station', 'score': 0.003}, {'token': 'network', 'score': 0.002}, {'token': 'uk', 'score': 0.001}, {'token': 'corporation', 'score': 0.001}, {'token': 'broadcaster', 'score': 0.001}]","[{'token': 'bbc', 'score': 0.926}, {'token': 'programme', 'score': 0.012}, {'token': 'radio', 'score': 0.007}, {'token': 'internet', 'score': 0.007}, {'token': 'abc', 'score': 0.006}, {'token': 'website', 'score': 0.004}, {'token': 'station', 'score': 0.003}, {'token': 'itv', 'score': 0.003}, {'token': 'television', 'score': 0.003}, {'token': 'channel', 'score': 0.002}]"
7,ibm,"[{'token': 'microsoft', 'score': 0.323}, {'token': 'oracle', 'score': 0.129}, {'token': 'ibm', 'score': 0.112}, {'token': 'google', 'score': 0.098}, {'token': 'intel', 'score': 0.066}, {'token': 'atari', 'score': 0.019}, {'token': 'oclc', 'score': 0.018}, {'token': 'apple', 'score': 0.018}, {'token': 'canonical', 'score': 0.01}, {'token': 'dell', 'score': 0.009}]","[{'token': 'microsoft', 'score': 0.491}, {'token': 'ibm', 'score': 0.213}, {'token': 'google', 'score': 0.057}, {'token': 'intel', 'score': 0.028}, {'token': 'oracle', 'score': 0.024}, {'token': 'adobe', 'score': 0.018}, {'token': 'apple', 'score': 0.012}, {'token': 'dell', 'score': 0.009}, {'token': 'amazon', 'score': 0.009}, {'token': 'hp', 'score': 0.008}]","[{'token': 'microsoft', 'score': 0.452}, {'token': 'google', 'score': 0.325}, {'token': 'ibm', 'score': 0.051}, {'token': 'intel', 'score': 0.028}, {'token': 'apple', 'score': 0.014}, {'token': 'oracle', 'score': 0.009}, {'token': 'facebook', 'score': 0.009}, {'token': 'adobe', 'score': 0.008}, {'token': 'dell', 'score': 0.008}, {'token': 'amazon', 'score': 0.008}]","[{'token': 'microsoft', 'score': 0.514}, {'token': 'ibm', 'score': 0.2}, {'token': 'google', 'score': 0.057}, {'token': 'intel', 'score': 0.043}, {'token': 'oracle', 'score': 0.026}, {'token': 'apple', 'score': 0.017}, {'token': 'dell', 'score': 0.014}, {'token': 'atari', 'score': 0.01}, {'token': 'adobe', 'score': 0.01}, {'token': 'oclc', 'score': 0.008}]","[{'token': 'microsoft', 'score': 0.267}, {'token': 'ibm', 'score': 0.152}, {'token': 'oracle', 'score': 0.15}, {'token': 'google', 'score': 0.089}, {'token': 'intel', 'score': 0.072}, {'token': 'apple', 'score': 0.014}, {'token': 'atari', 'score': 0.013}, {'token': 'oclc', 'score': 0.012}, {'token': 'canonical', 'score': 0.011}, {'token': 'facebook', 'score': 0.009}]"
8,ibm,"[{'token': 'ibm', 'score': 0.581}, {'token': 'mit', 'score': 0.195}, {'token': 'stanford', 'score': 0.018}, {'token': 'sri', 'score': 0.016}, {'token': 'nasa', 'score': 0.015}, {'token': 'intel', 'score': 0.014}, {'token': 'siemens', 'score': 0.014}, {'token': 'google', 'score': 0.012}, {'token': 'ucla', 'score': 0.011}, {'token': 'philips', 'score': 0.007}]","[{'token': 'mit', 'score': 0.66}, {'token': 'ibm', 'score': 0.102}, {'token': 'stanford', 'score': 0.029}, {'token': 'google', 'score': 0.023}, {'token': 'harvard', 'score': 0.014}, {'token': 'ucla', 'score': 0.013}, {'token': 'berkeley', 'score': 0.01}, {'token': 'oxford', 'score': 0.008}, {'token': 'siemens', 'score': 0.008}, {'token': 'cambridge', 'score': 0.008}]","[{'token': 'mit', 'score': 0.382}, {'token': 'ibm', 'score': 0.285}, {'token': 'siemens', 'score': 0.033}, {'token': 'stanford', 'score': 0.024}, {'token': 'nasa', 'score': 0.018}, {'token': 'google', 'score': 0.013}, {'token': 'ucla', 'score': 0.013}, {'token': 'harvard', 'score': 0.012}, {'token': 'intel', 'score': 0.012}, {'token': 'berkeley', 'score': 0.006}]","[{'token': 'ibm', 'score': 0.347}, {'token': 'mit', 'score': 0.29}, {'token': 'siemens', 'score': 0.064}, {'token': 'stanford', 'score': 0.03}, {'token': 'ucla', 'score': 0.024}, {'token': 'google', 'score': 0.015}, {'token': 'intel', 'score': 0.014}, {'token': 'microsoft', 'score': 0.014}, {'token': 'nasa', 'score': 0.012}, {'token': 'harvard', 'score': 0.012}]","[{'token': 'he', 'score': 0.203}, {'token': 'ibm', 'score': 0.106}, {'token': 'they', 'score': 0.101}, {'token': 'google', 'score': 0.013}, {'token': 'turing', 'score': 0.012}, {'token': 'researchers', 'score': 0.011}, {'token': 'nsa', 'score': 0.009}, {'token': 'microsoft', 'score': 0.009}, {'token': 'siemens', 'score': 0.008}, {'token': 'sri', 'score': 0.008}]"
9,ibm,"[{'token': 'automated', 'score': 0.081}, {'token': 'electronic', 'score': 0.073}, {'token': 'data', 'score': 0.054}, {'token': 'automatic', 'score': 0.04}, {'token': 'gate', 'score': 0.026}, {'token': 'advanced', 'score': 0.024}, {'token': 'air', 'score': 0.023}, {'token': 'internal', 'score': 0.021}, {'token': 'controlled', 'score': 0.02}, {'token': 'manual', 'score': 0.018}]","[{'token': 'data', 'score': 0.182}, {'token': 'automated', 'score': 0.066}, {'token': 'electronic', 'score': 0.064}, {'token': 'advanced', 'score': 0.037}, {'token': 'remote', 'score': 0.034}, {'token': 'automatic', 'score': 0.03}, {'token': 'internal', 'score': 0.023}, {'token': 'manual', 'score': 0.023}, {'token': 'early', 'score': 0.019}, {'token': 'controlled', 'score': 0.016}]","[{'token': 'data', 'score': 0.215}, {'token': 'automated', 'score': 0.043}, {'token': 'electronic', 'score': 0.038}, {'token': 'early', 'score': 0.03}, {'token': 'manual', 'score': 0.027}, {'token': 'advanced', 'score': 0.026}, {'token': 'internal', 'score': 0.026}, {'token': 'automatic', 'score': 0.021}, {'token': 'remote', 'score': 0.019}, {'token': 'gate', 'score': 0.017}]","[{'token': 'data', 'score': 0.304}, {'token': 'advanced', 'score': 0.051}, {'token': 'early', 'score': 0.046}, {'token': 'automated', 'score': 0.04}, {'token': 'electronic', 'score': 0.028}, {'token': 'remote', 'score': 0.027}, {'token': 'automatic', 'score': 0.025}, {'token': 'fast', 'score': 0.023}, {'token': 'internal', 'score': 0.021}, {'token': 'digital', 'score': 0.014}]","[{'token': 'data', 'score': 0.154}, {'token': 'automated', 'score': 0.06}, {'token': 'advanced', 'score': 0.039}, {'token': 'remote', 'score': 0.029}, {'token': 'internal', 'score': 0.026}, {'token': 'electronic', 'score': 0.026}, {'token': 'automatic', 'score': 0.018}, {'token': 'early', 'score': 0.016}, {'token': 'gate', 'score': 0.016}, {'token': 'deep', 'score': 0.014}]"
