,answers,original,t5_0,t5_1,t5_2,t5_3
0,apple,"[{'token': 'it', 'score': 0.086}, {'token': 'apple', 'score': 0.076}, {'token': 'microsoft', 'score': 0.067}, {'token': 'google', 'score': 0.066}, {'token': 'ibm', 'score': 0.05}, {'token': 'victoria', 'score': 0.016}, {'token': 'youtube', 'score': 0.013}, {'token': 'netflix', 'score': 0.012}, {'token': 'motorola', 'score': 0.01}, {'token': 'he', 'score': 0.01}]","[{'token': 'apple', 'score': 0.195}, {'token': 'ibm', 'score': 0.136}, {'token': 'microsoft', 'score': 0.117}, {'token': 'google', 'score': 0.103}, {'token': 'it', 'score': 0.078}, {'token': 'motorola', 'score': 0.015}, {'token': 'dell', 'score': 0.012}, {'token': 'hp', 'score': 0.012}, {'token': 'facebook', 'score': 0.009}, {'token': 'amazon', 'score': 0.008}]","[{'token': 'google', 'score': 0.218}, {'token': 'microsoft', 'score': 0.135}, {'token': 'apple', 'score': 0.134}, {'token': 'ibm', 'score': 0.055}, {'token': 'bbc', 'score': 0.039}, {'token': 'itv', 'score': 0.019}, {'token': 'facebook', 'score': 0.014}, {'token': 'amazon', 'score': 0.012}, {'token': 'motorola', 'score': 0.009}, {'token': 'youtube', 'score': 0.008}]","[{'token': 'them', 'score': 0.132}, {'token': 'microsoft', 'score': 0.115}, {'token': 'google', 'score': 0.075}, {'token': 'themselves', 'score': 0.053}, {'token': 'myspace', 'score': 0.041}, {'token': 'together', 'score': 0.039}, {'token': 'facebook', 'score': 0.027}, {'token': 'companies', 'score': 0.019}, {'token': 'company', 'score': 0.015}, {'token': 'it', 'score': 0.013}]","[{'token': 'pc', 'score': 0.102}, {'token': 'pcs', 'score': 0.08}, {'token': 'microsoft', 'score': 0.065}, {'token': 'america', 'score': 0.034}, {'token': 'us', 'score': 0.032}, {'token': 'google', 'score': 0.03}, {'token': 'jobs', 'score': 0.022}, {'token': 'them', 'score': 0.019}, {'token': 'ibm', 'score': 0.019}, {'token': 'careers', 'score': 0.014}]"
1,apple,"[{'token': 'ibm', 'score': 0.212}, {'token': 'it', 'score': 0.159}, {'token': 'apple', 'score': 0.061}, {'token': 'microsoft', 'score': 0.059}, {'token': 'google', 'score': 0.04}, {'token': 'motorola', 'score': 0.015}, {'token': 'he', 'score': 0.015}, {'token': 'amazon', 'score': 0.007}, {'token': 'india', 'score': 0.007}, {'token': 'hp', 'score': 0.006}]","[{'token': 'it', 'score': 0.19}, {'token': 'ibm', 'score': 0.064}, {'token': 'microsoft', 'score': 0.058}, {'token': 'google', 'score': 0.042}, {'token': 'apple', 'score': 0.021}, {'token': 'motorola', 'score': 0.018}, {'token': 'he', 'score': 0.014}, {'token': 'volkswagen', 'score': 0.013}, {'token': 'siemens', 'score': 0.011}, {'token': 'we', 'score': 0.01}]","[{'token': 'bbc', 'score': 0.158}, {'token': 'google', 'score': 0.052}, {'token': 'microsoft', 'score': 0.052}, {'token': 'itv', 'score': 0.05}, {'token': 'apple', 'score': 0.045}, {'token': 'ibm', 'score': 0.02}, {'token': 'pc', 'score': 0.011}, {'token': 'nbc', 'score': 0.009}, {'token': 'youtube', 'score': 0.008}, {'token': 'netflix', 'score': 0.007}]","[{'token': 'them', 'score': 0.15}, {'token': 'microsoft', 'score': 0.079}, {'token': 'themselves', 'score': 0.074}, {'token': 'google', 'score': 0.06}, {'token': 'together', 'score': 0.024}, {'token': 'company', 'score': 0.018}, {'token': 'it', 'score': 0.018}, {'token': 'companies', 'score': 0.017}, {'token': 'facebook', 'score': 0.012}, {'token': 'jobs', 'score': 0.011}]","[{'token': 'microsoft', 'score': 0.09}, {'token': 'australia', 'score': 0.034}, {'token': 'pcs', 'score': 0.032}, {'token': 'lotus', 'score': 0.03}, {'token': 'ibm', 'score': 0.029}, {'token': 'us', 'score': 0.028}, {'token': 'google', 'score': 0.026}, {'token': 'jobs', 'score': 0.025}, {'token': 'america', 'score': 0.023}, {'token': 'them', 'score': 0.023}]"
2,microsoft,"[{'token': 'microsoft', 'score': 0.18}, {'token': 'ibm', 'score': 0.177}, {'token': 'apple', 'score': 0.094}, {'token': 'pc', 'score': 0.044}, {'token': 'linux', 'score': 0.031}, {'token': 'intel', 'score': 0.03}, {'token': 'dell', 'score': 0.028}, {'token': 'windows', 'score': 0.022}, {'token': 'google', 'score': 0.015}, {'token': 'adobe', 'score': 0.012}]","[{'token': 'microsoft', 'score': 0.146}, {'token': 'ibm', 'score': 0.126}, {'token': 'apple', 'score': 0.086}, {'token': 'pc', 'score': 0.049}, {'token': 'windows', 'score': 0.03}, {'token': 'intel', 'score': 0.025}, {'token': 'linux', 'score': 0.023}, {'token': 'dell', 'score': 0.016}, {'token': 'google', 'score': 0.013}, {'token': 'gateway', 'score': 0.012}]","[{'token': 'microsoft', 'score': 0.253}, {'token': 'ibm', 'score': 0.19}, {'token': 'apple', 'score': 0.063}, {'token': 'pc', 'score': 0.038}, {'token': 'windows', 'score': 0.033}, {'token': 'linux', 'score': 0.019}, {'token': 'google', 'score': 0.018}, {'token': 'intel', 'score': 0.016}, {'token': 'it', 'score': 0.011}, {'token': 'motorola', 'score': 0.009}]","[{'token': 'microsoft', 'score': 0.335}, {'token': 'ibm', 'score': 0.174}, {'token': 'apple', 'score': 0.156}, {'token': 'intel', 'score': 0.058}, {'token': 'dell', 'score': 0.022}, {'token': 'google', 'score': 0.02}, {'token': 'hp', 'score': 0.017}, {'token': 'adobe', 'score': 0.015}, {'token': 'oracle', 'score': 0.015}, {'token': 'pc', 'score': 0.014}]","[{'token': 'microsoft', 'score': 0.115}, {'token': 'ibm', 'score': 0.103}, {'token': 'apple', 'score': 0.062}, {'token': 'pc', 'score': 0.051}, {'token': 'linux', 'score': 0.032}, {'token': 'windows', 'score': 0.025}, {'token': 'dell', 'score': 0.021}, {'token': 'intel', 'score': 0.021}, {'token': 'google', 'score': 0.014}, {'token': 'adobe', 'score': 0.012}]"
3,microsoft,"[{'token': 'bbc', 'score': 0.409}, {'token': 'itv', 'score': 0.15}, {'token': 'abc', 'score': 0.031}, {'token': 'cbs', 'score': 0.024}, {'token': 'rte', 'score': 0.023}, {'token': 'google', 'score': 0.021}, {'token': 'cnn', 'score': 0.014}, {'token': 'bt', 'score': 0.013}, {'token': 'fox', 'score': 0.011}, {'token': 'channel', 'score': 0.01}]","[{'token': 'bbc', 'score': 0.686}, {'token': 'itv', 'score': 0.102}, {'token': 'google', 'score': 0.02}, {'token': 'rte', 'score': 0.012}, {'token': 'abc', 'score': 0.012}, {'token': 'cbs', 'score': 0.011}, {'token': 'cnn', 'score': 0.007}, {'token': 'channel', 'score': 0.006}, {'token': 'microsoft', 'score': 0.006}, {'token': 'bt', 'score': 0.005}]","[{'token': 'bbc', 'score': 0.593}, {'token': 'itv', 'score': 0.046}, {'token': 'channel', 'score': 0.021}, {'token': 'abc', 'score': 0.018}, {'token': 'government', 'score': 0.012}, {'token': 'mca', 'score': 0.008}, {'token': 'telecom', 'score': 0.008}, {'token': 'tv', 'score': 0.008}, {'token': 'company', 'score': 0.008}, {'token': 'rte', 'score': 0.007}]","[{'token': 'ibm', 'score': 0.232}, {'token': 'microsoft', 'score': 0.064}, {'token': 'google', 'score': 0.053}, {'token': 'bbc', 'score': 0.035}, {'token': 'intel', 'score': 0.02}, {'token': 'siemens', 'score': 0.019}, {'token': 'government', 'score': 0.018}, {'token': 'itv', 'score': 0.012}, {'token': 'telecom', 'score': 0.012}, {'token': 'motorola', 'score': 0.01}]","[{'token': 'ibm', 'score': 0.246}, {'token': 'bbc', 'score': 0.114}, {'token': 'google', 'score': 0.049}, {'token': 'microsoft', 'score': 0.043}, {'token': 'itv', 'score': 0.024}, {'token': 'oracle', 'score': 0.021}, {'token': 'intel', 'score': 0.02}, {'token': 'apple', 'score': 0.02}, {'token': 'hp', 'score': 0.015}, {'token': 'telecom', 'score': 0.013}]"
4,bbc,"[{'token': 'bbc', 'score': 0.801}, {'token': 'internet', 'score': 0.033}, {'token': 'radio', 'score': 0.026}, {'token': 'network', 'score': 0.011}, {'token': 'cbc', 'score': 0.008}, {'token': 'television', 'score': 0.007}, {'token': 'news', 'score': 0.006}, {'token': 'web', 'score': 0.006}, {'token': 'channel', 'score': 0.006}, {'token': 'show', 'score': 0.004}]","[{'token': 'bbc', 'score': 0.281}, {'token': 'internet', 'score': 0.194}, {'token': 'radio', 'score': 0.043}, {'token': 'web', 'score': 0.042}, {'token': 'television', 'score': 0.031}, {'token': 'stage', 'score': 0.028}, {'token': 'air', 'score': 0.022}, {'token': 'news', 'score': 0.02}, {'token': 'network', 'score': 0.017}, {'token': 'show', 'score': 0.016}]","[{'token': 'bbc', 'score': 0.608}, {'token': 'internet', 'score': 0.061}, {'token': 'network', 'score': 0.035}, {'token': 'channel', 'score': 0.032}, {'token': 'radio', 'score': 0.032}, {'token': 'television', 'score': 0.018}, {'token': 'itv', 'score': 0.017}, {'token': 'web', 'score': 0.009}, {'token': 'uk', 'score': 0.009}, {'token': 'tube', 'score': 0.009}]","[{'token': 'bbc', 'score': 0.658}, {'token': 'network', 'score': 0.071}, {'token': 'channel', 'score': 0.038}, {'token': 'show', 'score': 0.027}, {'token': 'station', 'score': 0.021}, {'token': 'cbc', 'score': 0.016}, {'token': 'abc', 'score': 0.011}, {'token': 'group', 'score': 0.009}, {'token': 'evening', 'score': 0.007}, {'token': 'day', 'score': 0.005}]","[{'token': 'internet', 'score': 0.232}, {'token': 'bbc', 'score': 0.217}, {'token': 'web', 'score': 0.063}, {'token': 'radio', 'score': 0.042}, {'token': 'stage', 'score': 0.031}, {'token': 'television', 'score': 0.03}, {'token': 'news', 'score': 0.026}, {'token': 'network', 'score': 0.024}, {'token': 'air', 'score': 0.022}, {'token': 'show', 'score': 0.015}]"
5,bbc,"[{'token': 'bbc', 'score': 0.327}, {'token': 'internet', 'score': 0.124}, {'token': 'network', 'score': 0.065}, {'token': 'radio', 'score': 0.051}, {'token': 'cbc', 'score': 0.037}, {'token': 'web', 'score': 0.036}, {'token': 'pbs', 'score': 0.029}, {'token': 'air', 'score': 0.024}, {'token': 'networks', 'score': 0.022}, {'token': 'news', 'score': 0.02}]","[{'token': 'bbc', 'score': 0.409}, {'token': 'internet', 'score': 0.127}, {'token': 'radio', 'score': 0.047}, {'token': 'web', 'score': 0.032}, {'token': 'stage', 'score': 0.027}, {'token': 'television', 'score': 0.021}, {'token': 'show', 'score': 0.02}, {'token': 'air', 'score': 0.019}, {'token': 'news', 'score': 0.016}, {'token': 'network', 'score': 0.013}]","[{'token': 'bbc', 'score': 0.573}, {'token': 'internet', 'score': 0.075}, {'token': 'network', 'score': 0.05}, {'token': 'channel', 'score': 0.037}, {'token': 'radio', 'score': 0.023}, {'token': 'television', 'score': 0.018}, {'token': 'web', 'score': 0.014}, {'token': 'itv', 'score': 0.013}, {'token': 'uk', 'score': 0.01}, {'token': 'cw', 'score': 0.009}]","[{'token': 'bbc', 'score': 0.806}, {'token': 'channel', 'score': 0.029}, {'token': 'network', 'score': 0.025}, {'token': 'show', 'score': 0.012}, {'token': 'programme', 'score': 0.009}, {'token': 'station', 'score': 0.009}, {'token': 'broadcaster', 'score': 0.006}, {'token': 'evening', 'score': 0.005}, {'token': 'cbc', 'score': 0.005}, {'token': 'abc', 'score': 0.005}]","[{'token': 'internet', 'score': 0.28}, {'token': 'bbc', 'score': 0.155}, {'token': 'web', 'score': 0.066}, {'token': 'radio', 'score': 0.036}, {'token': 'television', 'score': 0.032}, {'token': 'stage', 'score': 0.03}, {'token': 'news', 'score': 0.023}, {'token': 'website', 'score': 0.018}, {'token': 'air', 'score': 0.015}, {'token': 'tv', 'score': 0.01}]"
6,bbc,"[{'token': 'bbc', 'score': 0.828}, {'token': 'internet', 'score': 0.032}, {'token': 'radio', 'score': 0.021}, {'token': 'network', 'score': 0.009}, {'token': 'cbc', 'score': 0.007}, {'token': 'television', 'score': 0.007}, {'token': 'web', 'score': 0.006}, {'token': 'news', 'score': 0.005}, {'token': 'channel', 'score': 0.004}, {'token': 'itv', 'score': 0.004}]","[{'token': 'internet', 'score': 0.276}, {'token': 'bbc', 'score': 0.17}, {'token': 'web', 'score': 0.062}, {'token': 'radio', 'score': 0.044}, {'token': 'television', 'score': 0.031}, {'token': 'stage', 'score': 0.029}, {'token': 'air', 'score': 0.025}, {'token': 'news', 'score': 0.024}, {'token': 'network', 'score': 0.014}, {'token': 'tv', 'score': 0.013}]","[{'token': 'bbc', 'score': 0.751}, {'token': 'internet', 'score': 0.035}, {'token': 'radio', 'score': 0.027}, {'token': 'network', 'score': 0.019}, {'token': 'channel', 'score': 0.015}, {'token': 'itv', 'score': 0.011}, {'token': 'television', 'score': 0.009}, {'token': 'show', 'score': 0.008}, {'token': 'air', 'score': 0.008}, {'token': 'uk', 'score': 0.007}]","[{'token': 'bbc', 'score': 0.734}, {'token': 'channel', 'score': 0.047}, {'token': 'network', 'score': 0.029}, {'token': 'show', 'score': 0.016}, {'token': 'station', 'score': 0.012}, {'token': 'programme', 'score': 0.008}, {'token': 'cbc', 'score': 0.007}, {'token': 'group', 'score': 0.007}, {'token': 'abc', 'score': 0.006}, {'token': 'uk', 'score': 0.006}]","[{'token': 'bbc', 'score': 0.373}, {'token': 'internet', 'score': 0.174}, {'token': 'radio', 'score': 0.038}, {'token': 'web', 'score': 0.038}, {'token': 'stage', 'score': 0.028}, {'token': 'television', 'score': 0.024}, {'token': 'news', 'score': 0.018}, {'token': 'website', 'score': 0.014}, {'token': 'network', 'score': 0.012}, {'token': 'show', 'score': 0.012}]"
7,ibm,"[{'token': 'microsoft', 'score': 0.136}, {'token': 'ibm', 'score': 0.107}, {'token': 'apple', 'score': 0.055}, {'token': 'google', 'score': 0.04}, {'token': 'oracle', 'score': 0.029}, {'token': 'intel', 'score': 0.025}, {'token': 'sony', 'score': 0.016}, {'token': 'cbs', 'score': 0.015}, {'token': 'nbc', 'score': 0.015}, {'token': 'adobe', 'score': 0.014}]","[{'token': 'ibm', 'score': 0.167}, {'token': 'microsoft', 'score': 0.155}, {'token': 'apple', 'score': 0.049}, {'token': 'google', 'score': 0.046}, {'token': 'intel', 'score': 0.045}, {'token': 'amazon', 'score': 0.022}, {'token': 'cisco', 'score': 0.021}, {'token': 'oracle', 'score': 0.02}, {'token': 'dell', 'score': 0.019}, {'token': 'netflix', 'score': 0.015}]","[{'token': 'microsoft', 'score': 0.202}, {'token': 'google', 'score': 0.071}, {'token': 'ibm', 'score': 0.07}, {'token': 'apple', 'score': 0.046}, {'token': 'amazon', 'score': 0.027}, {'token': 'intel', 'score': 0.024}, {'token': 'sony', 'score': 0.023}, {'token': 'oracle', 'score': 0.016}, {'token': 'adobe', 'score': 0.014}, {'token': 'yahoo', 'score': 0.013}]","[{'token': 'microsoft', 'score': 0.173}, {'token': 'ibm', 'score': 0.137}, {'token': 'apple', 'score': 0.08}, {'token': 'google', 'score': 0.041}, {'token': 'intel', 'score': 0.039}, {'token': 'oracle', 'score': 0.025}, {'token': 'sony', 'score': 0.022}, {'token': 'dell', 'score': 0.019}, {'token': 'nbc', 'score': 0.016}, {'token': 'adobe', 'score': 0.016}]","[{'token': 'microsoft', 'score': 0.134}, {'token': 'ibm', 'score': 0.126}, {'token': 'apple', 'score': 0.063}, {'token': 'google', 'score': 0.037}, {'token': 'oracle', 'score': 0.022}, {'token': 'intel', 'score': 0.02}, {'token': 'cbs', 'score': 0.018}, {'token': 'sony', 'score': 0.016}, {'token': 'nbc', 'score': 0.016}, {'token': 'fox', 'score': 0.013}]"
8,ibm,"[{'token': 'mit', 'score': 0.389}, {'token': 'nasa', 'score': 0.095}, {'token': 'bbc', 'score': 0.031}, {'token': 'ibm', 'score': 0.025}, {'token': 'harvard', 'score': 0.024}, {'token': 'stanford', 'score': 0.02}, {'token': 'google', 'score': 0.016}, {'token': 'microsoft', 'score': 0.014}, {'token': 'berkeley', 'score': 0.013}, {'token': 'boeing', 'score': 0.01}]","[{'token': 'mit', 'score': 0.145}, {'token': 'google', 'score': 0.124}, {'token': 'nasa', 'score': 0.054}, {'token': 'microsoft', 'score': 0.038}, {'token': 'ibm', 'score': 0.034}, {'token': 'stanford', 'score': 0.026}, {'token': 'harvard', 'score': 0.025}, {'token': 'oxford', 'score': 0.022}, {'token': 'cambridge', 'score': 0.016}, {'token': 'berkeley', 'score': 0.014}]","[{'token': 'mit', 'score': 0.274}, {'token': 'nasa', 'score': 0.101}, {'token': 'ibm', 'score': 0.034}, {'token': 'harvard', 'score': 0.031}, {'token': 'stanford', 'score': 0.024}, {'token': 'microsoft', 'score': 0.021}, {'token': 'google', 'score': 0.017}, {'token': 'ucla', 'score': 0.015}, {'token': 'boeing', 'score': 0.014}, {'token': 'intel', 'score': 0.012}]","[{'token': 'mit', 'score': 0.195}, {'token': 'nasa', 'score': 0.108}, {'token': 'stanford', 'score': 0.034}, {'token': 'harvard', 'score': 0.03}, {'token': 'ibm', 'score': 0.029}, {'token': 'microsoft', 'score': 0.028}, {'token': 'cdc', 'score': 0.021}, {'token': 'ucla', 'score': 0.02}, {'token': 'google', 'score': 0.017}, {'token': 'cambridge', 'score': 0.012}]","[{'token': 'he', 'score': 0.195}, {'token': 'ibm', 'score': 0.074}, {'token': 'they', 'score': 0.053}, {'token': 'we', 'score': 0.036}, {'token': 'microsoft', 'score': 0.022}, {'token': 'it', 'score': 0.016}, {'token': 'i', 'score': 0.013}, {'token': 'google', 'score': 0.011}, {'token': 'apple', 'score': 0.009}, {'token': 'siemens', 'score': 0.007}]"
9,ibm,"[{'token': 'data', 'score': 0.117}, {'token': 'new', 'score': 0.033}, {'token': 'global', 'score': 0.026}, {'token': 'advanced', 'score': 0.021}, {'token': 'electronic', 'score': 0.019}, {'token': 'european', 'score': 0.015}, {'token': 'open', 'score': 0.013}, {'token': 'high', 'score': 0.012}, {'token': 'business', 'score': 0.012}, {'token': 'network', 'score': 0.012}]","[{'token': 'data', 'score': 0.11}, {'token': 'new', 'score': 0.04}, {'token': 'global', 'score': 0.028}, {'token': 'advanced', 'score': 0.021}, {'token': 'electronic', 'score': 0.017}, {'token': 'open', 'score': 0.015}, {'token': 'high', 'score': 0.014}, {'token': 'european', 'score': 0.013}, {'token': 'network', 'score': 0.013}, {'token': 'digital', 'score': 0.012}]","[{'token': 'data', 'score': 0.111}, {'token': 'new', 'score': 0.041}, {'token': 'global', 'score': 0.024}, {'token': 'electronic', 'score': 0.016}, {'token': 'advanced', 'score': 0.014}, {'token': 'digital', 'score': 0.011}, {'token': 'open', 'score': 0.01}, {'token': 'network', 'score': 0.01}, {'token': 'fast', 'score': 0.01}, {'token': 'high', 'score': 0.009}]","[{'token': 'data', 'score': 0.119}, {'token': 'new', 'score': 0.07}, {'token': 'global', 'score': 0.022}, {'token': 'digital', 'score': 0.02}, {'token': 'european', 'score': 0.019}, {'token': 'advanced', 'score': 0.013}, {'token': 'open', 'score': 0.013}, {'token': 'north', 'score': 0.012}, {'token': 'high', 'score': 0.011}, {'token': 'electronic', 'score': 0.011}]","[{'token': 'data', 'score': 0.103}, {'token': 'new', 'score': 0.031}, {'token': 'global', 'score': 0.022}, {'token': 'electronic', 'score': 0.02}, {'token': 'advanced', 'score': 0.018}, {'token': 'digital', 'score': 0.017}, {'token': 'fast', 'score': 0.016}, {'token': 'high', 'score': 0.014}, {'token': 'open', 'score': 0.012}, {'token': 'north', 'score': 0.01}]"
