,sub_label,template,obj_label,masked_sentence,filled_sentence,T5_paraphrased_filled_sentence,T5_paraphrased_filled_sentence_0,T5_paraphrased_filled_sentence_1,T5_paraphrased_filled_sentence_2,T5_paraphrased_filled_sentence_3
0,John Cage,[X] plays [Y] music .,opera,"Her performance of John Cage's Six Melodies played an inspirational role in Andriessen's [MASK] ""Writing to Vermeer.""","Her performance of John Cage's Six Melodies played an inspirational role in Andriessen's opera ""Writing to Vermeer.""","['Her performance of Six Melodies by John Cage inspired Andriessen\'s opera ""Writing to Vermeer.""', 'In her opera ""Writing to Vermeer"" Andriessen\'s performance of the Six Melodies by John Cage provided inspiration.', 'Andriessen\'s opera ""Writing to Vermeer"" featured her inspiring the performance of John Cage\' s Six Melodies.', 'She provided an inspiration for her opera ""Writing to Vermeer"", in which she performed parts of the Six Melodies by John Cage.']","Her performance of Six Melodies by John Cage inspired Andriessen's [MASK] ""Writing to Vermeer.""","In her [MASK] ""Writing to Vermeer"" Andriessen's performance of the Six Melodies by John Cage provided inspiration.","Andriessen's [MASK] ""Writing to Vermeer"" featured her inspiring the performance of John Cage' s Six Melodies.","She provided an inspiration for her [MASK] ""Writing to Vermeer"", in which she performed parts of the Six Melodies by John Cage."
1,Herbie Mann,[X] plays [Y] music .,jazz,"Herbert Jay Solomon (April 16, 1930 – July 1, 2003), known by his stage name Herbie Mann, was an American [MASK] flautist and important early practitioner of world music.","Herbert Jay Solomon (April 16, 1930 – July 1, 2003), known by his stage name Herbie Mann, was an American jazz flautist and important early practitioner of world music.","['Herbie Mann, also known as Herbert Jay Solomon, was an important early American jazz flautist and world music pioneer.', 'An American jazz flautist, Herbie Mann, was an important pioneer in world music and was known as Herbert Jay Solomon from April 16, 1930 until July 1, 2003.', 'Herbert Jay Solomon (born April 16, 1930, pictured right) was an American jazz musician who played the bass and performed under the stage name Herbie Mann. He is also known as ""The Big Apple"" because of his contributions to world music during this time.', 'The American jazz flautist Herbie Mann (born April 16, 1930, to July 1, 2003) was an important figure in the development of world music.']","Herbie Mann, also known as Herbert Jay Solomon, was an important early American [MASK] flautist and world music pioneer.","An American [MASK] flautist, Herbie Mann, was an important pioneer in world music and was known as Herbert Jay Solomon from April 16, 1930 until July 1, 2003.","Herbert Jay Solomon (born April 16, 1930, pictured right) was an American [MASK] musician who played the bass and performed under the stage name Herbie Mann. He is also known as ""The Big Apple"" because of his contributions to world music during this time.","The American [MASK] flautist Herbie Mann (born April 16, 1930, to July 1, 2003) was an important figure in the development of world music."
2,William Bolcom,[X] plays [Y] music .,opera,McTeague is an American [MASK] composed by William Bolcom with a libretto Arnold Weinstein and Robert Altman.,McTeague is an American opera composed by William Bolcom with a libretto Arnold Weinstein and Robert Altman.,"['William Bolcom wrote the libretto for McTeague, an American opera created by Arnold Weinstein and Robert Altman.', 'The libretto of McTeague, authored by Arnold Weinstein and Robert Altman, was written by William Bolcom as an American opera.', 'McTeague, an American opera, was written by William Bolcom and released under the librettowriting of Arnold Weinstein and Robert Altman.', 'An American version of McTeague, a libretto by Arnold Weinstein and Robert Altman, was written by William Bolcom.']","William Bolcom wrote the libretto for McTeague, an American [MASK] created by Arnold Weinstein and Robert Altman.","The libretto of McTeague, authored by Arnold Weinstein and Robert Altman, was written by William Bolcom as an American [MASK].","McTeague, an American [MASK], was written by William Bolcom and released under the librettowriting of Arnold Weinstein and Robert Altman.","An American version of McTeague, a libretto by Arnold Weinstein and Robert Altman, was written by William Bolcom."
3,Original Dixieland Jass Band,[X] plays [Y] music .,jazz,"Christian was replaced by Nick LaRocca, and thus Frank Christian missed his chance to be in the Original Dixieland Jass Band which made the first [MASK] recordings in 1917.","Christian was replaced by Nick LaRocca, and thus Frank Christian missed his chance to be in the Original Dixieland Jass Band which made the first jazz recordings in 1917.","['Frank Christian was unable to join the Original Dixieland Jass Band, which produced the first jazz recordings in 1917, after Nick LaRocca replaced Christian.', 'Nick LaRocca took over from Christian, causing Frank Christian to miss out on the chance to be part of the Original Dixieland Jass Band, which recorded jazz for the first time in 1917.', ""The replacement of Christian with Nick LaRocca resulted in Frank Christian's exclusion from the Original Dixieland Jass Band, which produced the first jazz recordings in 1917."", ""Frank Christian's appointment as a member of the Original Dixieland Jass Band in 1917 was not possible due to Nick LaRocca taking over for Christian.""]","Frank Christian was unable to join the Original Dixieland Jass Band, which produced the first [MASK] recordings in 1917, after Nick LaRocca replaced Christian.","Nick LaRocca took over from Christian, causing Frank Christian to miss out on the chance to be part of the Original Dixieland Jass Band, which recorded [MASK] for the first time in 1917.","The replacement of Christian with Nick LaRocca resulted in Frank Christian's exclusion from the Original Dixieland Jass Band, which produced the first [MASK] recordings in 1917.",Frank Christian's appointment as a member of the Original Dixieland Jass Band in 1917 was not possible due to Nick LaRocca taking over for Christian.
4,Jean-Michel Pilc,[X] plays [Y] music .,jazz,"Jean-Michel Pilc (born 1960 in Paris, France) is a self-taught [MASK] pianist currently residing in New York.","Jean-Michel Pilc (born 1960 in Paris, France) is a self-taught jazz pianist currently residing in New York.","['Jean-Michel Pilc, who was born in Paris in 1960 and is now living in New York, is a self-taught jazz pianist.', 'A jazz pianist named Jean-Michel Pilc, who was born in Paris in 1960, is currently residing in New York and has been teaching himself.', 'Currently living in New York, Jean-Michel Pilc, who was born in Paris in 1960 and studied jazz piano privately, is an accomplished jazz pianist.', 'In New York, there is a jazz pianist named Jean-Michel Pilc, who was born in Paris 1960 and later became famous.']","Jean-Michel Pilc, who was born in Paris in 1960 and is now living in New York, is a self-taught [MASK] pianist.","A [MASK] pianist named Jean-Michel Pilc, who was born in Paris in 1960, is currently residing in New York and has been teaching himself.","Currently living in New York, Jean-Michel Pilc, who was born in Paris in 1960 and studied jazz piano privately, is an accomplished [MASK] pianist.","In New York, there is a [MASK] pianist named Jean-Michel Pilc, who was born in Paris 1960 and later became famous."
5,Giulio Caccini,[X] plays [Y] music .,opera,Euridice is an [MASK] in a prologue and one act by the Italian composer Giulio Caccini.,Euridice is an opera in a prologue and one act by the Italian composer Giulio Caccini.,"['Giulio Caccini, an Italian composer, wrote the opera Euridice, which includes a prologue and one act.', 'The opera Euridice is composed by Giulio Caccini, and it includes a prologue in one act.', 'An opera called Euridice, featuring a prologue and one act by Giulio Caccini, is an example of this.', 'Giulio Caccini composed the opera Euridice, which includes a prologue and one act.']","Giulio Caccini, an Italian composer, wrote the [MASK] Euridice, which includes a prologue and one act.","The [MASK] Euridice is composed by Giulio Caccini, and it includes a prologue in one act.","An [MASK] called Euridice, featuring a prologue and one act by Giulio Caccini, is an example of this.","Giulio Caccini composed the [MASK] Euridice, which includes a prologue and one act."
6,Nicolas Dalayrac,[X] plays [Y] music .,opera,L'amant statue is an [MASK] in one act by composer Nicolas Dalayrac with a French libretto by Fouques Desfontaines.,L'amant statue is an opera in one act by composer Nicolas Dalayrac with a French libretto by Fouques Desfontaines.,"[""The composer Nicolas Dalayrac composed L'amant statue, which is also an opera in one act with a French libretto by Fouques Desfontaines."", ""Nicolas Dalayrac composed L'amant statue as an opera in one act, using a French libretto by Fouques Desfontaines."", ""A one-act opera by composer Nicolas Dalayrac, based on the French libretto written by Fouques Desfontaines, is the setting for L'amant statue."", ""L'amant statue is a one-act opera created by composer Nicolas Dalayrac, with alterations to the French libretto written by Fouques Desfontaines.""]","The composer Nicolas Dalayrac composed L'amant statue, which is also an [MASK] in one act with a French libretto by Fouques Desfontaines.","Nicolas Dalayrac composed L'amant statue as an [MASK] in one act, using a French libretto by Fouques Desfontaines.","A one-act [MASK] by composer Nicolas Dalayrac, based on the French libretto written by Fouques Desfontaines, is the setting for L'amant statue.","L'amant statue is a one-act [MASK] created by composer Nicolas Dalayrac, with alterations to the French libretto written by Fouques Desfontaines."
7,Hamish MacCunn,[X] plays [Y] music .,opera,"Jeanie Deans is an [MASK] in four acts by Hamish MacCunn (1868–1916) set to a libretto by Joseph Bennett which is loosely based on Walter Scott's novel, The Heart of Midlothian and is named after its heroine, Jeanie Deans.","Jeanie Deans is an opera in four acts by Hamish MacCunn (1868–1916) set to a libretto by Joseph Bennett which is loosely based on Walter Scott's novel, The Heart of Midlothian and is named after its heroine, Jeanie Deans.","[""The opera Jeanie Deans, written by Hamish MacCunn and performed in four acts, is based on Walter Scott's novel The Heart of Midlothian with a libretto by Joseph Bennett."", ""A four-act opera by Hamish MacCunn, written by Bennett and loosely based on Walter Scott's novel The Heart of Midlothian, is called Jeanie Deans."", 'Jeanie Deans, a four-act opera by Hamish MacCunn, is loosely inspired by The Heart of Midlothian by Walter Scott and named after the heroine, with accompanied music by Joseph Bennett.', ""Hamish MacCunn's opera, Jeanie Deans, is a four-act play that draws inspiration from Walter Scott'S Heart of Midlothian and takes its name from the heroine. It was written by Bennett in libellus.""]","The [MASK] Jeanie Deans, written by Hamish MacCunn and performed in four acts, is based on Walter Scott's novel The Heart of Midlothian with a libretto by Joseph Bennett.","A four-act [MASK] by Hamish MacCunn, written by Bennett and loosely based on Walter Scott's novel The Heart of Midlothian, is called Jeanie Deans.","Jeanie Deans, a four-act [MASK] by Hamish MacCunn, is loosely inspired by The Heart of Midlothian by Walter Scott and named after the heroine, with accompanied music by Joseph Bennett.","Hamish MacCunn's [MASK], Jeanie Deans, is a four-act play that draws inspiration from Walter Scott'S Heart of Midlothian and takes its name from the heroine. It was written by Bennett in libellus."
8,Frank Teschemacher,[X] plays [Y] music .,jazz,"Frank Teschemacher (March 13, 1906 in Kansas City, Missouri – March 1, 1932 in Chicago) was an American [MASK] clarinetist and alto-saxophonist, associated with the ""Austin High"" gang (along with Jimmy McPartland, Bud Freeman and others).","Frank Teschemacher (March 13, 1906 in Kansas City, Missouri – March 1, 1932 in Chicago) was an American jazz clarinetist and alto-saxophonist, associated with the ""Austin High"" gang (along with Jimmy McPartland, Bud Freeman and others).","['The ""Austin High"" gang, which included Frank Teschemacher, Jimmy McPartland, Bud Freeman, and others, was an American jazz clarinetist and alto-saxophonist who lived in Kansas City, Missouri, until his death in Chicago on March 13, 1906.', 'Frank Teschemacher, a jazz clarinetist and alto-saxophonist from Kansas City, Missouri, was associated with the ""Austin High"" gang. He later became famous after meeting fellow musicians Jimmy McPartland, Bud Freeman, and others in the band.', 'During his time as an associate of the ""Austin High"" gang, Frank Teschemacher (born March 13, 1906 in Kansas City, Missouri) and later Bud Freeman was recruited to play alto-saxophonic.', 'An American jazz clarinetist and alto-sax player, Frank Teschemacher was a member of the ""Austin High"" band that included Jimmy McPartland, Bud Freeman, and other notable individuals. He was born in Kansas City, Missouri on March 13, 1906, until his death in Chicago on January 1, 1932.']","The ""Austin High"" gang, which included Frank Teschemacher, Jimmy McPartland, Bud Freeman, and others, was an American [MASK] clarinetist and alto-saxophonist who lived in Kansas City, Missouri, until his death in Chicago on March 13, 1906.","Frank Teschemacher, a [MASK] clarinetist and alto-saxophonist from Kansas City, Missouri, was associated with the ""Austin High"" gang. He later became famous after meeting fellow musicians Jimmy McPartland, Bud Freeman, and others in the band.","During his time as an associate of the ""Austin High"" gang, Frank Teschemacher (born March 13, 1906 in Kansas City, Missouri) and later Bud Freeman was recruited to play alto-saxophonic.","An American [MASK] clarinetist and alto-sax player, Frank Teschemacher was a member of the ""Austin High"" band that included Jimmy McPartland, Bud Freeman, and other notable individuals. He was born in Kansas City, Missouri on March 13, 1906, until his death in Chicago on January 1, 1932."
9,Georgie Auld,[X] plays [Y] music .,jazz,"Georgie Auld (May 19, 1919 – January 8, 1990) was a [MASK] tenor saxophonist, clarinetist, and bandleader.","Georgie Auld (May 19, 1919 – January 8, 1990) was a jazz tenor saxophonist, clarinetist, and bandleader.","['A jazz tenor saxophonist, clarinetist and bandleader was Georgie Auld (May 19, 1919 – January 8, 1990).', 'The career of Georgie Auld, a jazz tenor saxophonist, clarinetist and bandleader from May 19, 1919 to January 8, 1990, is well-known.', 'Georgie Auld (born May 19, 1919 – January 8, 1990) was a jazz tenor saxophonist, clarinetist and bandleader.', 'Georgie Auld, who was born May 19, 1919 and passed away on January 8, 1990, was a jazz tenor saxophonist, clarinetist (Booper Krummer was the first female leader in her class), and accompanied by his wife Lola Sahr.']","A [MASK] tenor saxophonist, clarinetist and bandleader was Georgie Auld (May 19, 1919 – January 8, 1990).","The career of Georgie Auld, a [MASK] tenor saxophonist, clarinetist and bandleader from May 19, 1919 to January 8, 1990, is well-known.","Georgie Auld (born May 19, 1919 – January 8, 1990) was a [MASK] tenor saxophonist, clarinetist and bandleader.","Georgie Auld, who was born May 19, 1919 and passed away on January 8, 1990, was a [MASK] tenor saxophonist, clarinetist (Booper Krummer was the first female leader in her class), and accompanied by his wife Lola Sahr."
