,sub_label,template,obj_label,masked_sentence
0,Rubens Barrichello,[X] is [Y] citizen .,Brazil,"It was the final race of the 2004 season, and local fans were delighted when [MASK]'s Rubens Barrichello took pole for his home race."
1,Yves Mirande,[X] is [Y] citizen .,France,"Yves Mirande (Bagneux (Maine-et-Loire), Mai 8, 1876 – Paris, March 17, 1957) was a [MASK] screenwriter, director, actor, and producer."
3,August Gailit,[X] is [Y] citizen .,Estonia,Sangaste is also the birthplace of the [MASK] writer August Gailit (1891-1960) and Estonian opera singer Aarne Viisimaa (1898-1989).
5,Princess Elisabeth of Denmark,[X] is [Y] citizen .,Denmark,"Princess Elisabeth of [MASK], RE (Elisabeth Caroline-Mathilde Alexandrine Helena Olga Thyra Feodora Estrid Margrethe Désirée; born 8 May 1935 in Copenhagen) is the daughter of Hereditary Prince Knud and Hereditary Princess Caroline-Mathilde of Denmark, and is a first cousin of the present Danish monarch, Queen Margrethe II."
9,Tue West,[X] is [Y] citizen .,Denmark,Tue West (born 1977) is a [MASK] composer.
11,Bertil Lindblad,[X] is [Y] citizen .,Sweden,"Bertil Lindblad (Örebro, 26 November 1895 – Saltsjöbaden, outside Stockholm, 25 June 1965) was a [MASK] astronomer."
13,Prafulla Chandra Ghosh,[X] is [Y] citizen .,India,"Prafulla Chandra Ghosh (Bengali: প্রফুল্ল চন্দ্র ঘোষ Prophullo Chôndro Ghosh) (1891–1983) was the first Chief Minister of West Bengal, [MASK]."
15,Noriyasu Hirata,[X] is [Y] citizen .,Japan,"Noriyasu Hirata (平田 典靖 Hirata Noriyasu, born November 17, 1983) is a badminton player from [MASK]."
17,Woodrow Lloyd,[X] is [Y] citizen .,Canada,"After Douglas left to lead the federal NDP in 1961, Woodrow Lloyd became premier and the first universal medical care plan in [MASK] was introduced."
19,Namadi Sambo,[X] is [Y] citizen .,Nigeria,Mohammed Namadi Sambo (born 2 August 1954) is a Nigerian politician who was Vice President of [MASK] from 19 May 2010 to 29 May 2015.
24,Leif Sylvester Petersen,[X] is [Y] citizen .,Denmark,"Leif Sylvester Petersen, (born 18 April 1940) in Copenhagen, also known as Leif Sylvester, is a [MASK] painter, graphic artist, musician and actor."
26,John Landy,[X] is [Y] citizen .,Australia,"At the conclusion of the 1956 Melbourne Olympic Games, the Geelong City Council held a dinner on 15 January 1957 to honour the six Geelong Guild athletes (Ron Blackney, John Chittick, Robert James ""Bob"" Joyce, John Landy, Don MacMillan and John Vernon) who had represented Geelong and [MASK] at these games."
29,H. V. Evatt,[X] is [Y] citizen .,Australia,"Elizabeth Andreas Evatt, AC (born 11 November 1933), an eminent Australian reformist lawyer and jurist who sat on numerous national and international tribunals and commissions, was the first Chief Judge of the Family Court of [MASK], the first female judge of an Australian federal court, and the first Australian to be elected to the United Nations Human Rights Committee."
41,"Humphrey Stafford, 1st Duke of Buckingham",[X] is [Y] citizen .,England,"Humphrey Stafford, 1st Duke of Buckingham (15 August 1402 – 10 July 1460) was an [MASK] nobleman."
44,Boris Spassky,[X] is [Y] citizen .,France,The only champion present in Thessaloniki was Boris Spassky who had defected and now represented [MASK].
45,Louise-Rosalie Lefebvre,[X] is [Y] citizen .,France,The Dugazon family (after their stage name) or the Gourgaud family was a famous acting dynasty in 18th century [MASK].
46,Thomas Bo Larsen,[X] is [Y] citizen .,Denmark,"Thomas Bo Larsen (born 27 November 1963) is a [MASK] film actor, born in Gladsaxe, Denmark."
50,Daniela Iraschko-Stolz,[X] is [Y] citizen .,Austria,"[MASK] dominated the ski jumping, winning all five events: Thomas Morgenstern took three golds and one silver, Gregor Schlierenzauer won three golds, and Daniela Iraschko won the women's event."
52,Ada Yonath,[X] is [Y] citizen .,Israel,Schmidt was the founder of X-ray crystallography at the Weizmann Institute and in [MASK] – a field in which Weizmann Institute’s Professor Ada Yonath was awarded the Nobel Prize in Chemistry for 2009.
53,Mari Hamada,[X] is [Y] citizen .,Japan,"Mari Hamada (濱田マリ Hamada Mari, born December 27, 1968 at Kobe, Hyogo, [MASK]) is a Japanese singer and actress who starred in numerous movies and drama in Japan and released two solo albums and solo singles in the 1990s, after being part of the Japanese band ""Modern Choki Chokies""."
57,Jeet Ganguly,[X] is [Y] citizen .,India,"In the past Jeet was a member of the Board of Directors of Transocean Ltd, Larsen & Toubro ([MASK]) Limited."
58,Arturo Rodas,[X] is [Y] citizen .,Ecuador,Arturo Rodas (3 March 1954 in Quito) is an [MASK] French-citizen composer.
60,Enrique Llanes,[X] is [Y] citizen .,Mexico,"Enrique Juan Yañez González (August 24, 1919 – September 18, 2004), best known under the ring name Enrique Llanes, was one of the premier Hispanic professional wrestlers in the early days of Lucha Libre when most wrestlers were imported from outside of [MASK]."
62,Lionel Messi,[X] is [Y] citizen .,Argentina,"Eduardo Messi, president of Nucleoeléctrica [MASK] S.A."
65,Diosdado Cabello,[X] is [Y] citizen .,Venezuela,"Diosdado Cabello Rondón (born 15 April 1963) is a Venezuelan politician, member of the National Assembly of [MASK] and a former Speaker of the country's legislature, and active member of the Venezuelan armed forces."
