,answers,original,t5_0,t5_1,t5_2,t5_3
0,baku,"[{'token': 'baku', 'score': 0.999}, {'token': 'tbilisi', 'score': 0.001}, {'token': 'azerbaijan', 'score': 0.0}, {'token': 'van', 'score': 0.0}, {'token': 'caspian', 'score': 0.0}, {'token': 'yerevan', 'score': 0.0}, {'token': 'ur', 'score': 0.0}, {'token': 'mug', 'score': 0.0}, {'token': 'caucasian', 'score': 0.0}, {'token': 'constantinople', 'score': 0.0}]","[{'token': 'many', 'score': 0.377}, {'token': '300', 'score': 0.055}, {'token': '200', 'score': 0.04}, {'token': '150', 'score': 0.04}, {'token': '400', 'score': 0.039}, {'token': '500', 'score': 0.025}, {'token': '100', 'score': 0.023}, {'token': 'thousands', 'score': 0.019}, {'token': '800', 'score': 0.016}, {'token': '250', 'score': 0.015}]","[{'token': 'many', 'score': 0.405}, {'token': '300', 'score': 0.065}, {'token': '200', 'score': 0.045}, {'token': 'thousands', 'score': 0.04}, {'token': '150', 'score': 0.036}, {'token': '400', 'score': 0.034}, {'token': '500', 'score': 0.034}, {'token': 'centuries', 'score': 0.019}, {'token': '100', 'score': 0.016}, {'token': '800', 'score': 0.015}]","[{'token': 'many', 'score': 0.196}, {'token': '500', 'score': 0.086}, {'token': '300', 'score': 0.085}, {'token': 'thousands', 'score': 0.068}, {'token': '400', 'score': 0.048}, {'token': '800', 'score': 0.044}, {'token': '200', 'score': 0.041}, {'token': '1500', 'score': 0.032}, {'token': '700', 'score': 0.029}, {'token': '3000', 'score': 0.028}]","[{'token': '800', 'score': 0.111}, {'token': '500', 'score': 0.102}, {'token': '300', 'score': 0.068}, {'token': '700', 'score': 0.051}, {'token': '400', 'score': 0.045}, {'token': '900', 'score': 0.039}, {'token': 'thousands', 'score': 0.036}, {'token': '1500', 'score': 0.034}, {'token': '200', 'score': 0.033}, {'token': 'thousand', 'score': 0.029}]"
1,brody,"[{'token': 'brody', 'score': 0.999}, {'token': 'lviv', 'score': 0.0}, {'token': 'the', 'score': 0.0}, {'token': 'donetsk', 'score': 0.0}, {'token': 'bar', 'score': 0.0}, {'token': 'kiev', 'score': 0.0}, {'token': 'odessa', 'score': 0.0}, {'token': 'tor', 'score': 0.0}, {'token': 'triangle', 'score': 0.0}, {'token': 'aba', 'score': 0.0}]","[{'token': 'brody', 'score': 0.122}, {'token': 'donetsk', 'score': 0.098}, {'token': 'kiev', 'score': 0.096}, {'token': 'brest', 'score': 0.092}, {'token': 'odessa', 'score': 0.069}, {'token': 'lviv', 'score': 0.068}, {'token': 'minsk', 'score': 0.034}, {'token': 'kyiv', 'score': 0.02}, {'token': 'carpathian', 'score': 0.009}, {'token': 'central', 'score': 0.007}]","[{'token': 'the', 'score': 0.445}, {'token': 'donetsk', 'score': 0.164}, {'token': 'kiev', 'score': 0.106}, {'token': 'lviv', 'score': 0.088}, {'token': 'odessa', 'score': 0.028}, {'token': 'capital', 'score': 0.015}, {'token': 'brody', 'score': 0.01}, {'token': 'ukrainian', 'score': 0.006}, {'token': 'bender', 'score': 0.005}, {'token': 'bar', 'score': 0.004}]","[{'token': 'the', 'score': 0.389}, {'token': 'lviv', 'score': 0.104}, {'token': 'kiev', 'score': 0.061}, {'token': 'brest', 'score': 0.043}, {'token': 'donetsk', 'score': 0.043}, {'token': 'odessa', 'score': 0.04}, {'token': 'brody', 'score': 0.034}, {'token': 'minsk', 'score': 0.018}, {'token': 'as', 'score': 0.016}, {'token': 'carpathian', 'score': 0.016}]","[{'token': 'kiev', 'score': 0.377}, {'token': 'donetsk', 'score': 0.24}, {'token': 'lviv', 'score': 0.193}, {'token': 'odessa', 'score': 0.045}, {'token': 'the', 'score': 0.018}, {'token': 'kyiv', 'score': 0.011}, {'token': 'brody', 'score': 0.01}, {'token': 'bender', 'score': 0.007}, {'token': 'ukrainian', 'score': 0.006}, {'token': 'capital', 'score': 0.005}]"
2,chicago,"[{'token': 'it', 'score': 0.634}, {'token': 'chicago', 'score': 0.353}, {'token': 'decatur', 'score': 0.002}, {'token': 'cicero', 'score': 0.001}, {'token': 'aurora', 'score': 0.001}, {'token': 'harvey', 'score': 0.0}, {'token': 'downtown', 'score': 0.0}, {'token': 'milwaukee', 'score': 0.0}, {'token': 'batavia', 'score': 0.0}, {'token': 'and', 'score': 0.0}]","[{'token': 'seat', 'score': 0.553}, {'token': 'center', 'score': 0.412}, {'token': 'headquarters', 'score': 0.016}, {'token': 'centre', 'score': 0.012}, {'token': 'capital', 'score': 0.002}, {'token': 'hub', 'score': 0.002}, {'token': 'head', 'score': 0.0}, {'token': 'base', 'score': 0.0}, {'token': 'centers', 'score': 0.0}, {'token': 'heart', 'score': 0.0}]","[{'token': 'chicago', 'score': 0.973}, {'token': 'it', 'score': 0.02}, {'token': 'decatur', 'score': 0.001}, {'token': 'which', 'score': 0.0}, {'token': 'downtown', 'score': 0.0}, {'token': 'seattle', 'score': 0.0}, {'token': 'helsinki', 'score': 0.0}, {'token': 'booth', 'score': 0.0}, {'token': 'illinois', 'score': 0.0}, {'token': 'loop', 'score': 0.0}]","[{'token': 'illinois', 'score': 0.919}, {'token': 'chicago', 'score': 0.027}, {'token': 'wisconsin', 'score': 0.007}, {'token': 'iowa', 'score': 0.003}, {'token': 'between', 'score': 0.003}, {'token': 'finland', 'score': 0.002}, {'token': 'minnesota', 'score': 0.002}, {'token': 'elgin', 'score': 0.001}, {'token': 'michigan', 'score': 0.001}, {'token': 'kansas', 'score': 0.001}]","[{'token': 'chicago', 'score': 0.997}, {'token': 'decatur', 'score': 0.001}, {'token': 'illinois', 'score': 0.0}, {'token': 'elgin', 'score': 0.0}, {'token': 'cicero', 'score': 0.0}, {'token': 'austin', 'score': 0.0}, {'token': 'normal', 'score': 0.0}, {'token': 'seattle', 'score': 0.0}, {'token': 'aurora', 'score': 0.0}, {'token': 'champaign', 'score': 0.0}]"
3,richmond,"[{'token': 'dallas', 'score': 0.332}, {'token': 'houston', 'score': 0.183}, {'token': 'austin', 'score': 0.088}, {'token': 'galveston', 'score': 0.042}, {'token': 'beaumont', 'score': 0.025}, {'token': 'tyler', 'score': 0.013}, {'token': 'midland', 'score': 0.01}, {'token': 'odessa', 'score': 0.009}, {'token': 'victoria', 'score': 0.008}, {'token': 'arlington', 'score': 0.005}]","[{'token': 'dallas', 'score': 0.161}, {'token': 'houston', 'score': 0.111}, {'token': 'austin', 'score': 0.109}, {'token': 'galveston', 'score': 0.027}, {'token': 'tyler', 'score': 0.024}, {'token': 'victoria', 'score': 0.016}, {'token': 'beaumont', 'score': 0.014}, {'token': 'marshall', 'score': 0.007}, {'token': 'midland', 'score': 0.007}, {'token': 'odessa', 'score': 0.007}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'dallas', 'score': 0.357}, {'token': 'houston', 'score': 0.188}, {'token': 'austin', 'score': 0.132}, {'token': 'galveston', 'score': 0.069}, {'token': 'beaumont', 'score': 0.019}, {'token': 'tyler', 'score': 0.01}, {'token': 'midland', 'score': 0.006}, {'token': 'odessa', 'score': 0.005}, {'token': 'victoria', 'score': 0.005}, {'token': 'texas', 'score': 0.004}]","[{'token': 'dallas', 'score': 0.169}, {'token': 'austin', 'score': 0.134}, {'token': 'houston', 'score': 0.106}, {'token': 'galveston', 'score': 0.038}, {'token': 'beaumont', 'score': 0.013}, {'token': 'tyler', 'score': 0.013}, {'token': 'victoria', 'score': 0.01}, {'token': 'odessa', 'score': 0.007}, {'token': 'marshall', 'score': 0.007}, {'token': 'midland', 'score': 0.007}]"
4,auburn,"[{'token': 'albany', 'score': 0.616}, {'token': 'syracuse', 'score': 0.143}, {'token': 'buffalo', 'score': 0.044}, {'token': 'auburn', 'score': 0.038}, {'token': 'rochester', 'score': 0.014}, {'token': 'brooklyn', 'score': 0.013}, {'token': 'ithaca', 'score': 0.009}, {'token': 'rome', 'score': 0.007}, {'token': 'geneva', 'score': 0.005}, {'token': 'saratoga', 'score': 0.005}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'elected', 'score': 0.172}, {'token': 'acting', 'score': 0.148}, {'token': 'additional', 'score': 0.078}, {'token': 'interim', 'score': 0.054}, {'token': 'independent', 'score': 0.046}, {'token': 'alternate', 'score': 0.028}, {'token': 'old', 'score': 0.026}, {'token': 'associate', 'score': 0.026}, {'token': 'illinois', 'score': 0.02}, {'token': 'active', 'score': 0.02}]","[{'token': 'albany', 'score': 0.654}, {'token': 'syracuse', 'score': 0.083}, {'token': 'buffalo', 'score': 0.035}, {'token': 'rochester', 'score': 0.016}, {'token': 'auburn', 'score': 0.014}, {'token': 'brooklyn', 'score': 0.014}, {'token': 'rome', 'score': 0.01}, {'token': 'troy', 'score': 0.01}, {'token': 'saratoga', 'score': 0.006}, {'token': 'geneva', 'score': 0.006}]","[{'token': 'albany', 'score': 0.222}, {'token': 'syracuse', 'score': 0.1}, {'token': 'buffalo', 'score': 0.08}, {'token': 'rochester', 'score': 0.07}, {'token': 'brooklyn', 'score': 0.043}, {'token': 'vermont', 'score': 0.024}, {'token': 'florida', 'score': 0.021}, {'token': 'pennsylvania', 'score': 0.02}, {'token': 'california', 'score': 0.016}, {'token': 'philadelphia', 'score': 0.015}]"
5,windsor,"[{'token': 'sydney', 'score': 0.716}, {'token': 'nsw', 'score': 0.148}, {'token': 'victoria', 'score': 0.085}, {'token': 'queensland', 'score': 0.02}, {'token': 'melbourne', 'score': 0.003}, {'token': 'newcastle', 'score': 0.003}, {'token': 'hawke', 'score': 0.002}, {'token': 'nelson', 'score': 0.002}, {'token': 'parramatta', 'score': 0.002}, {'token': 'tasmania', 'score': 0.001}]","[{'token': 'sydney', 'score': 0.92}, {'token': 'nsw', 'score': 0.028}, {'token': 'queensland', 'score': 0.01}, {'token': 'melbourne', 'score': 0.006}, {'token': 'victoria', 'score': 0.005}, {'token': 'newcastle', 'score': 0.005}, {'token': 'brisbane', 'score': 0.003}, {'token': 'nelson', 'score': 0.002}, {'token': 'grafton', 'score': 0.002}, {'token': 'australia', 'score': 0.001}]","[{'token': 'sydney', 'score': 0.755}, {'token': 'nsw', 'score': 0.135}, {'token': 'victoria', 'score': 0.048}, {'token': 'queensland', 'score': 0.023}, {'token': 'nelson', 'score': 0.003}, {'token': 'melbourne', 'score': 0.003}, {'token': 'hawke', 'score': 0.002}, {'token': 'newcastle', 'score': 0.002}, {'token': 'parramatta', 'score': 0.002}, {'token': 'liverpool', 'score': 0.002}]","[{'token': 'sydney', 'score': 0.461}, {'token': 'nsw', 'score': 0.393}, {'token': 'queensland', 'score': 0.096}, {'token': 'victoria', 'score': 0.039}, {'token': 'australia', 'score': 0.004}, {'token': 'tasmania', 'score': 0.001}, {'token': 'wa', 'score': 0.001}, {'token': 'hawke', 'score': 0.001}, {'token': 'england', 'score': 0.001}, {'token': 'nelson', 'score': 0.0}]","[{'token': 'sydney', 'score': 0.613}, {'token': 'nsw', 'score': 0.22}, {'token': 'victoria', 'score': 0.052}, {'token': 'queensland', 'score': 0.034}, {'token': 'newcastle', 'score': 0.006}, {'token': 'liverpool', 'score': 0.005}, {'token': 'melbourne', 'score': 0.005}, {'token': 'grafton', 'score': 0.004}, {'token': 'parramatta', 'score': 0.004}, {'token': 'nelson', 'score': 0.003}]"
6,strasbourg,"[{'token': 'strasbourg', 'score': 0.944}, {'token': 'paris', 'score': 0.017}, {'token': 'metz', 'score': 0.016}, {'token': 'alsace', 'score': 0.01}, {'token': 'nancy', 'score': 0.009}, {'token': 'lyon', 'score': 0.0}, {'token': 'luxembourg', 'score': 0.0}, {'token': 'versailles', 'score': 0.0}, {'token': 'aachen', 'score': 0.0}, {'token': 'aix', 'score': 0.0}]","[{'token': 'strasbourg', 'score': 0.549}, {'token': 'metz', 'score': 0.342}, {'token': 'nancy', 'score': 0.05}, {'token': 'alsace', 'score': 0.022}, {'token': 'paris', 'score': 0.011}, {'token': 'sedan', 'score': 0.008}, {'token': 'versailles', 'score': 0.003}, {'token': 'luxembourg', 'score': 0.003}, {'token': 'aachen', 'score': 0.002}, {'token': 'dax', 'score': 0.001}]","[{'token': 'strasbourg', 'score': 0.83}, {'token': 'alsace', 'score': 0.138}, {'token': 'metz', 'score': 0.008}, {'token': 'paris', 'score': 0.004}, {'token': 'nancy', 'score': 0.004}, {'token': 'geneva', 'score': 0.002}, {'token': 'lyon', 'score': 0.002}, {'token': 'dax', 'score': 0.002}, {'token': 'lens', 'score': 0.002}, {'token': 'toulouse', 'score': 0.001}]","[{'token': 'strasbourg', 'score': 0.571}, {'token': 'paris', 'score': 0.408}, {'token': 'lyon', 'score': 0.014}, {'token': 'brussels', 'score': 0.002}, {'token': 'marseille', 'score': 0.001}, {'token': 'versailles', 'score': 0.0}, {'token': 'france', 'score': 0.0}, {'token': 'nancy', 'score': 0.0}, {'token': 'toulouse', 'score': 0.0}, {'token': 'luxembourg', 'score': 0.0}]","[{'token': 'strasbourg', 'score': 0.881}, {'token': 'alsace', 'score': 0.098}, {'token': 'metz', 'score': 0.006}, {'token': 'paris', 'score': 0.005}, {'token': 'lyon', 'score': 0.002}, {'token': 'dax', 'score': 0.002}, {'token': 'nancy', 'score': 0.001}, {'token': 'lens', 'score': 0.001}, {'token': 'toulouse', 'score': 0.0}, {'token': 'geneva', 'score': 0.0}]"
7,shreveport,"[{'token': 'louisiana', 'score': 0.301}, {'token': '.', 'score': 0.165}, {'token': ',', 'score': 0.129}, {'token': ']', 'score': 0.1}, {'token': '...', 'score': 0.048}, {'token': 'usa', 'score': 0.048}, {'token': 'la', 'score': 0.04}, {'token': '-', 'score': 0.032}, {'token': 'texas', 'score': 0.014}, {'token': ')', 'score': 0.01}]","[{'token': 'louisiana', 'score': 0.461}, {'token': 'texas', 'score': 0.167}, {'token': 'usa', 'score': 0.145}, {'token': ',', 'score': 0.04}, {'token': 'la', 'score': 0.018}, {'token': ']', 'score': 0.015}, {'token': 'arkansas', 'score': 0.013}, {'token': '.', 'score': 0.013}, {'token': 'mississippi', 'score': 0.011}, {'token': 'shreveport', 'score': 0.009}]","[{'token': ',', 'score': 0.771}, {'token': 'usa', 'score': 0.056}, {'token': 'louisiana', 'score': 0.039}, {'token': 'texas', 'score': 0.028}, {'token': '.', 'score': 0.015}, {'token': 'mississippi', 'score': 0.006}, {'token': 'in', 'score': 0.005}, {'token': 'alabama', 'score': 0.005}, {'token': 'on', 'score': 0.004}, {'token': 'arkansas', 'score': 0.004}]","[{'token': ',', 'score': 0.957}, {'token': ';', 'score': 0.018}, {'token': '.', 'score': 0.011}, {'token': 'louisiana', 'score': 0.002}, {'token': '-', 'score': 0.001}, {'token': 'texas', 'score': 0.001}, {'token': 'arkansas', 'score': 0.001}, {'token': ')', 'score': 0.001}, {'token': '...', 'score': 0.0}, {'token': 'mississippi', 'score': 0.0}]","[{'token': ',', 'score': 0.912}, {'token': '.', 'score': 0.057}, {'token': 'usa', 'score': 0.006}, {'token': ';', 'score': 0.003}, {'token': 'on', 'score': 0.002}, {'token': 'louisiana', 'score': 0.002}, {'token': 'and', 'score': 0.002}, {'token': 'texas', 'score': 0.001}, {'token': '...', 'score': 0.001}, {'token': 'in', 'score': 0.001}]"
8,lincoln,"[{'token': 'nebraska', 'score': 0.965}, {'token': 'omaha', 'score': 0.006}, {'token': 'ohio', 'score': 0.003}, {'token': 'iowa', 'score': 0.003}, {'token': 'oklahoma', 'score': 0.003}, {'token': 'california', 'score': 0.002}, {'token': 'colorado', 'score': 0.002}, {'token': 'kansas', 'score': 0.002}, {'token': 'illinois', 'score': 0.001}, {'token': 'texas', 'score': 0.001}]","[{'token': 'chicago', 'score': 0.133}, {'token': 'houston', 'score': 0.099}, {'token': 'atlanta', 'score': 0.082}, {'token': 'texas', 'score': 0.078}, {'token': 'florida', 'score': 0.065}, {'token': 'orlando', 'score': 0.039}, {'token': 'california', 'score': 0.035}, {'token': 'louisiana', 'score': 0.033}, {'token': 'illinois', 'score': 0.023}, {'token': 'alabama', 'score': 0.021}]","[{'token': 'it', 'score': 0.485}, {'token': 'omaha', 'score': 0.156}, {'token': 'nebraska', 'score': 0.098}, {'token': 'this', 'score': 0.049}, {'token': 'lincoln', 'score': 0.021}, {'token': 'crete', 'score': 0.01}, {'token': 'midway', 'score': 0.004}, {'token': 'bellevue', 'score': 0.003}, {'token': 'blaine', 'score': 0.003}, {'token': 'lexington', 'score': 0.003}]","[{'token': 'florida', 'score': 0.11}, {'token': 'chicago', 'score': 0.102}, {'token': 'houston', 'score': 0.097}, {'token': 'california', 'score': 0.097}, {'token': 'texas', 'score': 0.088}, {'token': 'atlanta', 'score': 0.06}, {'token': 'louisiana', 'score': 0.056}, {'token': 'orlando', 'score': 0.038}, {'token': 'colorado', 'score': 0.03}, {'token': 'illinois', 'score': 0.026}]","[{'token': 'nebraska', 'score': 0.921}, {'token': 'omaha', 'score': 0.049}, {'token': 'iowa', 'score': 0.005}, {'token': 'ohio', 'score': 0.002}, {'token': 'oklahoma', 'score': 0.002}, {'token': 'lincoln', 'score': 0.002}, {'token': 'kansas', 'score': 0.002}, {'token': 'california', 'score': 0.001}, {'token': 'colorado', 'score': 0.001}, {'token': 'illinois', 'score': 0.001}]"
9,winchester,"[{'token': 'london', 'score': 0.704}, {'token': 'winchester', 'score': 0.11}, {'token': 'southampton', 'score': 0.055}, {'token': 'portsmouth', 'score': 0.039}, {'token': 'whitehall', 'score': 0.014}, {'token': 'westminster', 'score': 0.01}, {'token': 'melbourne', 'score': 0.01}, {'token': 'manchester', 'score': 0.009}, {'token': 'oxford', 'score': 0.007}, {'token': 'richmond', 'score': 0.005}]","[{'token': 'winchester', 'score': 0.379}, {'token': 'hampshire', 'score': 0.162}, {'token': 'southampton', 'score': 0.152}, {'token': 'london', 'score': 0.151}, {'token': 'portsmouth', 'score': 0.034}, {'token': 'oxford', 'score': 0.023}, {'token': 'england', 'score': 0.015}, {'token': 'cambridge', 'score': 0.014}, {'token': 'durham', 'score': 0.013}, {'token': 'salisbury', 'score': 0.007}]","[{'token': 'england', 'score': 0.673}, {'token': 'london', 'score': 0.197}, {'token': 'hampshire', 'score': 0.099}, {'token': 'winchester', 'score': 0.015}, {'token': 'southampton', 'score': 0.003}, {'token': 'britain', 'score': 0.003}, {'token': 'portsmouth', 'score': 0.002}, {'token': 'cambridge', 'score': 0.001}, {'token': 'manchester', 'score': 0.001}, {'token': 'oxford', 'score': 0.001}]","[{'token': 'london', 'score': 0.355}, {'token': 'winchester', 'score': 0.269}, {'token': 'portsmouth', 'score': 0.162}, {'token': 'southampton', 'score': 0.08}, {'token': 'westminster', 'score': 0.012}, {'token': 'exeter', 'score': 0.011}, {'token': 'manchester', 'score': 0.01}, {'token': 'whitehall', 'score': 0.01}, {'token': 'oxford', 'score': 0.009}, {'token': 'richmond', 'score': 0.008}]","[{'token': 'london', 'score': 0.81}, {'token': 'winchester', 'score': 0.073}, {'token': 'portsmouth', 'score': 0.019}, {'token': 'southampton', 'score': 0.015}, {'token': 'westminster', 'score': 0.013}, {'token': 'whitehall', 'score': 0.012}, {'token': 'oxford', 'score': 0.008}, {'token': 'manchester', 'score': 0.007}, {'token': 'dublin', 'score': 0.006}, {'token': 'richmond', 'score': 0.005}]"
