,answers,original,t5_0,t5_1,t5_2,t5_3
0,apple,"[{'token': 'it', 'score': 0.311}, {'token': 'ibm', 'score': 0.173}, {'token': 'apple', 'score': 0.106}, {'token': 'microsoft', 'score': 0.055}, {'token': 'dell', 'score': 0.022}, {'token': 'he', 'score': 0.014}, {'token': 'motorola', 'score': 0.01}, {'token': 'intel', 'score': 0.008}, {'token': 'hp', 'score': 0.008}, {'token': 'google', 'score': 0.007}]","[{'token': 'it', 'score': 0.176}, {'token': 'ibm', 'score': 0.174}, {'token': 'apple', 'score': 0.111}, {'token': 'microsoft', 'score': 0.054}, {'token': 'dell', 'score': 0.031}, {'token': 'intel', 'score': 0.016}, {'token': 'motorola', 'score': 0.015}, {'token': 'hp', 'score': 0.01}, {'token': 'nec', 'score': 0.009}, {'token': 'macintosh', 'score': 0.008}]","[{'token': 'apple', 'score': 0.206}, {'token': 'ibm', 'score': 0.166}, {'token': 'microsoft', 'score': 0.109}, {'token': 'computers', 'score': 0.039}, {'token': 'dell', 'score': 0.038}, {'token': 'intel', 'score': 0.021}, {'token': 'google', 'score': 0.021}, {'token': 'macintosh', 'score': 0.019}, {'token': 'america', 'score': 0.015}, {'token': 'pcs', 'score': 0.011}]","[{'token': 'them', 'score': 0.157}, {'token': 'microsoft', 'score': 0.155}, {'token': 'together', 'score': 0.073}, {'token': 'themselves', 'score': 0.032}, {'token': 'companies', 'score': 0.027}, {'token': 'google', 'score': 0.025}, {'token': 'company', 'score': 0.023}, {'token': 'ibm', 'score': 0.022}, {'token': 'it', 'score': 0.019}, {'token': 'motorola', 'score': 0.018}]","[{'token': 'microsoft', 'score': 0.07}, {'token': 'pcs', 'score': 0.068}, {'token': 'america', 'score': 0.041}, {'token': 'jobs', 'score': 0.033}, {'token': 'ibm', 'score': 0.027}, {'token': 'teams', 'score': 0.027}, {'token': 'us', 'score': 0.025}, {'token': 'them', 'score': 0.024}, {'token': 'careers', 'score': 0.024}, {'token': 'companies', 'score': 0.024}]"
1,apple,"[{'token': 'it', 'score': 0.311}, {'token': 'ibm', 'score': 0.173}, {'token': 'apple', 'score': 0.106}, {'token': 'microsoft', 'score': 0.055}, {'token': 'dell', 'score': 0.022}, {'token': 'he', 'score': 0.014}, {'token': 'motorola', 'score': 0.01}, {'token': 'intel', 'score': 0.008}, {'token': 'hp', 'score': 0.008}, {'token': 'google', 'score': 0.007}]","[{'token': 'it', 'score': 0.176}, {'token': 'ibm', 'score': 0.174}, {'token': 'apple', 'score': 0.111}, {'token': 'microsoft', 'score': 0.054}, {'token': 'dell', 'score': 0.031}, {'token': 'intel', 'score': 0.016}, {'token': 'motorola', 'score': 0.015}, {'token': 'hp', 'score': 0.01}, {'token': 'nec', 'score': 0.009}, {'token': 'macintosh', 'score': 0.008}]","[{'token': 'apple', 'score': 0.206}, {'token': 'ibm', 'score': 0.166}, {'token': 'microsoft', 'score': 0.109}, {'token': 'computers', 'score': 0.039}, {'token': 'dell', 'score': 0.038}, {'token': 'intel', 'score': 0.021}, {'token': 'google', 'score': 0.021}, {'token': 'macintosh', 'score': 0.019}, {'token': 'america', 'score': 0.015}, {'token': 'pcs', 'score': 0.011}]","[{'token': 'them', 'score': 0.157}, {'token': 'microsoft', 'score': 0.155}, {'token': 'together', 'score': 0.073}, {'token': 'themselves', 'score': 0.032}, {'token': 'companies', 'score': 0.027}, {'token': 'google', 'score': 0.025}, {'token': 'company', 'score': 0.023}, {'token': 'ibm', 'score': 0.022}, {'token': 'it', 'score': 0.019}, {'token': 'motorola', 'score': 0.018}]","[{'token': 'microsoft', 'score': 0.07}, {'token': 'pcs', 'score': 0.068}, {'token': 'america', 'score': 0.041}, {'token': 'jobs', 'score': 0.033}, {'token': 'ibm', 'score': 0.027}, {'token': 'teams', 'score': 0.027}, {'token': 'us', 'score': 0.025}, {'token': 'them', 'score': 0.024}, {'token': 'careers', 'score': 0.024}, {'token': 'companies', 'score': 0.024}]"
2,microsoft,"[{'token': 'microsoft', 'score': 0.078}, {'token': 'ibm', 'score': 0.071}, {'token': 'apple', 'score': 0.048}, {'token': 'pc', 'score': 0.035}, {'token': 'linux', 'score': 0.024}, {'token': 'intel', 'score': 0.023}, {'token': 'dell', 'score': 0.02}, {'token': 'windows', 'score': 0.019}, {'token': 'gateway', 'score': 0.014}, {'token': 'adobe', 'score': 0.009}]","[{'token': 'microsoft', 'score': 0.121}, {'token': 'ibm', 'score': 0.11}, {'token': 'apple', 'score': 0.068}, {'token': 'intel', 'score': 0.038}, {'token': 'dell', 'score': 0.025}, {'token': 'linux', 'score': 0.022}, {'token': 'windows', 'score': 0.02}, {'token': 'pc', 'score': 0.019}, {'token': 'gateway', 'score': 0.014}, {'token': 'adobe', 'score': 0.012}]","[{'token': 'microsoft', 'score': 0.149}, {'token': 'ibm', 'score': 0.146}, {'token': 'apple', 'score': 0.056}, {'token': 'it', 'score': 0.025}, {'token': 'intel', 'score': 0.023}, {'token': 'windows', 'score': 0.02}, {'token': 'pc', 'score': 0.019}, {'token': 'linux', 'score': 0.015}, {'token': 'dell', 'score': 0.015}, {'token': 'pcs', 'score': 0.011}]","[{'token': 'microsoft', 'score': 0.125}, {'token': 'ibm', 'score': 0.105}, {'token': 'apple', 'score': 0.091}, {'token': 'intel', 'score': 0.048}, {'token': 'dell', 'score': 0.04}, {'token': 'pc', 'score': 0.025}, {'token': 'gateway', 'score': 0.023}, {'token': 'hp', 'score': 0.022}, {'token': 'linux', 'score': 0.016}, {'token': 'windows', 'score': 0.015}]","[{'token': 'ibm', 'score': 0.084}, {'token': 'microsoft', 'score': 0.076}, {'token': 'apple', 'score': 0.039}, {'token': 'intel', 'score': 0.023}, {'token': 'pc', 'score': 0.023}, {'token': 'linux', 'score': 0.021}, {'token': 'dell', 'score': 0.021}, {'token': 'windows', 'score': 0.019}, {'token': 'gateway', 'score': 0.013}, {'token': 'sap', 'score': 0.008}]"
3,microsoft,"[{'token': 'intel', 'score': 0.071}, {'token': 'ibm', 'score': 0.061}, {'token': 'google', 'score': 0.055}, {'token': 'microsoft', 'score': 0.053}, {'token': 'oracle', 'score': 0.035}, {'token': 'cisco', 'score': 0.033}, {'token': 'nokia', 'score': 0.023}, {'token': 'ceo', 'score': 0.018}, {'token': 'siemens', 'score': 0.013}, {'token': 'apple', 'score': 0.012}]","[{'token': 'intel', 'score': 0.079}, {'token': 'microsoft', 'score': 0.055}, {'token': 'google', 'score': 0.052}, {'token': 'ibm', 'score': 0.049}, {'token': 'cisco', 'score': 0.038}, {'token': 'oracle', 'score': 0.037}, {'token': 'nokia', 'score': 0.023}, {'token': 'ceo', 'score': 0.021}, {'token': 'apple', 'score': 0.014}, {'token': 'facebook', 'score': 0.012}]","[{'token': 'microsoft', 'score': 0.045}, {'token': 'intel', 'score': 0.042}, {'token': 'ibm', 'score': 0.036}, {'token': 'company', 'score': 0.034}, {'token': 'ceo', 'score': 0.034}, {'token': 'google', 'score': 0.032}, {'token': 'nokia', 'score': 0.032}, {'token': 'board', 'score': 0.018}, {'token': 'hp', 'score': 0.016}, {'token': 'oracle', 'score': 0.014}]","[{'token': 'microsoft', 'score': 0.053}, {'token': 'intel', 'score': 0.05}, {'token': 'ibm', 'score': 0.045}, {'token': 'google', 'score': 0.026}, {'token': 'siemens', 'score': 0.023}, {'token': 'unesco', 'score': 0.019}, {'token': 'cisco', 'score': 0.019}, {'token': 'nokia', 'score': 0.017}, {'token': 'iec', 'score': 0.013}, {'token': 'unicef', 'score': 0.013}]","[{'token': 'intel', 'score': 0.065}, {'token': 'microsoft', 'score': 0.055}, {'token': 'ibm', 'score': 0.054}, {'token': 'google', 'score': 0.05}, {'token': 'oracle', 'score': 0.042}, {'token': 'ceo', 'score': 0.034}, {'token': 'nokia', 'score': 0.02}, {'token': 'cisco', 'score': 0.018}, {'token': 'apple', 'score': 0.012}, {'token': 'company', 'score': 0.012}]"
4,bbc,"[{'token': 'bbc', 'score': 0.792}, {'token': 'radio', 'score': 0.022}, {'token': 'internet', 'score': 0.022}, {'token': 'television', 'score': 0.014}, {'token': 'network', 'score': 0.013}, {'token': 'channel', 'score': 0.008}, {'token': 'itv', 'score': 0.008}, {'token': 'cbc', 'score': 0.007}, {'token': 'news', 'score': 0.007}, {'token': 'website', 'score': 0.006}]","[{'token': 'internet', 'score': 0.172}, {'token': 'radio', 'score': 0.079}, {'token': 'bbc', 'score': 0.073}, {'token': 'stage', 'score': 0.059}, {'token': 'web', 'score': 0.057}, {'token': 'television', 'score': 0.039}, {'token': 'air', 'score': 0.034}, {'token': 'news', 'score': 0.034}, {'token': 'show', 'score': 0.015}, {'token': 'tv', 'score': 0.011}]","[{'token': 'bbc', 'score': 0.549}, {'token': 'internet', 'score': 0.062}, {'token': 'radio', 'score': 0.044}, {'token': 'network', 'score': 0.037}, {'token': 'cbc', 'score': 0.029}, {'token': 'television', 'score': 0.025}, {'token': 'channel', 'score': 0.019}, {'token': 'cw', 'score': 0.012}, {'token': 'air', 'score': 0.011}, {'token': 'abc', 'score': 0.011}]","[{'token': 'bbc', 'score': 0.314}, {'token': 'network', 'score': 0.103}, {'token': 'channel', 'score': 0.054}, {'token': 'show', 'score': 0.042}, {'token': 'station', 'score': 0.037}, {'token': 'abc', 'score': 0.034}, {'token': 'evening', 'score': 0.034}, {'token': 'cbc', 'score': 0.025}, {'token': 'group', 'score': 0.017}, {'token': 'nation', 'score': 0.015}]","[{'token': 'bbc', 'score': 0.26}, {'token': 'internet', 'score': 0.188}, {'token': 'web', 'score': 0.051}, {'token': 'radio', 'score': 0.034}, {'token': 'television', 'score': 0.032}, {'token': 'stage', 'score': 0.032}, {'token': 'website', 'score': 0.025}, {'token': 'news', 'score': 0.022}, {'token': 'tube', 'score': 0.011}, {'token': 'network', 'score': 0.009}]"
5,bbc,"[{'token': 'bbc', 'score': 0.792}, {'token': 'radio', 'score': 0.022}, {'token': 'internet', 'score': 0.022}, {'token': 'television', 'score': 0.014}, {'token': 'network', 'score': 0.013}, {'token': 'channel', 'score': 0.008}, {'token': 'itv', 'score': 0.008}, {'token': 'cbc', 'score': 0.007}, {'token': 'news', 'score': 0.007}, {'token': 'website', 'score': 0.006}]","[{'token': 'internet', 'score': 0.172}, {'token': 'radio', 'score': 0.079}, {'token': 'bbc', 'score': 0.073}, {'token': 'stage', 'score': 0.059}, {'token': 'web', 'score': 0.057}, {'token': 'television', 'score': 0.039}, {'token': 'air', 'score': 0.034}, {'token': 'news', 'score': 0.034}, {'token': 'show', 'score': 0.015}, {'token': 'tv', 'score': 0.011}]","[{'token': 'bbc', 'score': 0.549}, {'token': 'internet', 'score': 0.062}, {'token': 'radio', 'score': 0.044}, {'token': 'network', 'score': 0.037}, {'token': 'cbc', 'score': 0.029}, {'token': 'television', 'score': 0.025}, {'token': 'channel', 'score': 0.019}, {'token': 'cw', 'score': 0.012}, {'token': 'air', 'score': 0.011}, {'token': 'abc', 'score': 0.011}]","[{'token': 'bbc', 'score': 0.314}, {'token': 'network', 'score': 0.103}, {'token': 'channel', 'score': 0.054}, {'token': 'show', 'score': 0.042}, {'token': 'station', 'score': 0.037}, {'token': 'abc', 'score': 0.034}, {'token': 'evening', 'score': 0.034}, {'token': 'cbc', 'score': 0.025}, {'token': 'group', 'score': 0.017}, {'token': 'nation', 'score': 0.015}]","[{'token': 'bbc', 'score': 0.26}, {'token': 'internet', 'score': 0.188}, {'token': 'web', 'score': 0.051}, {'token': 'radio', 'score': 0.034}, {'token': 'television', 'score': 0.032}, {'token': 'stage', 'score': 0.032}, {'token': 'website', 'score': 0.025}, {'token': 'news', 'score': 0.022}, {'token': 'tube', 'score': 0.011}, {'token': 'network', 'score': 0.009}]"
6,bbc,"[{'token': 'bbc', 'score': 0.792}, {'token': 'radio', 'score': 0.022}, {'token': 'internet', 'score': 0.022}, {'token': 'television', 'score': 0.014}, {'token': 'network', 'score': 0.013}, {'token': 'channel', 'score': 0.008}, {'token': 'itv', 'score': 0.008}, {'token': 'cbc', 'score': 0.007}, {'token': 'news', 'score': 0.007}, {'token': 'website', 'score': 0.006}]","[{'token': 'internet', 'score': 0.172}, {'token': 'radio', 'score': 0.079}, {'token': 'bbc', 'score': 0.073}, {'token': 'stage', 'score': 0.059}, {'token': 'web', 'score': 0.057}, {'token': 'television', 'score': 0.039}, {'token': 'air', 'score': 0.034}, {'token': 'news', 'score': 0.034}, {'token': 'show', 'score': 0.015}, {'token': 'tv', 'score': 0.011}]","[{'token': 'bbc', 'score': 0.549}, {'token': 'internet', 'score': 0.062}, {'token': 'radio', 'score': 0.044}, {'token': 'network', 'score': 0.037}, {'token': 'cbc', 'score': 0.029}, {'token': 'television', 'score': 0.025}, {'token': 'channel', 'score': 0.019}, {'token': 'cw', 'score': 0.012}, {'token': 'air', 'score': 0.011}, {'token': 'abc', 'score': 0.011}]","[{'token': 'bbc', 'score': 0.314}, {'token': 'network', 'score': 0.103}, {'token': 'channel', 'score': 0.054}, {'token': 'show', 'score': 0.042}, {'token': 'station', 'score': 0.037}, {'token': 'abc', 'score': 0.034}, {'token': 'evening', 'score': 0.034}, {'token': 'cbc', 'score': 0.025}, {'token': 'group', 'score': 0.017}, {'token': 'nation', 'score': 0.015}]","[{'token': 'bbc', 'score': 0.26}, {'token': 'internet', 'score': 0.188}, {'token': 'web', 'score': 0.051}, {'token': 'radio', 'score': 0.034}, {'token': 'television', 'score': 0.032}, {'token': 'stage', 'score': 0.032}, {'token': 'website', 'score': 0.025}, {'token': 'news', 'score': 0.022}, {'token': 'tube', 'score': 0.011}, {'token': 'network', 'score': 0.009}]"
7,ibm,"[{'token': 'microsoft', 'score': 0.088}, {'token': 'ibm', 'score': 0.057}, {'token': 'apple', 'score': 0.034}, {'token': 'google', 'score': 0.02}, {'token': 'intel', 'score': 0.018}, {'token': 'mit', 'score': 0.015}, {'token': 'oracle', 'score': 0.014}, {'token': 'adobe', 'score': 0.013}, {'token': 'sony', 'score': 0.011}, {'token': 'linux', 'score': 0.009}]","[{'token': 'microsoft', 'score': 0.099}, {'token': 'ibm', 'score': 0.08}, {'token': 'apple', 'score': 0.043}, {'token': 'intel', 'score': 0.036}, {'token': 'google', 'score': 0.018}, {'token': 'sony', 'score': 0.018}, {'token': 'dell', 'score': 0.017}, {'token': 'amazon', 'score': 0.016}, {'token': 'oracle', 'score': 0.015}, {'token': 'adobe', 'score': 0.014}]","[{'token': 'microsoft', 'score': 0.096}, {'token': 'ibm', 'score': 0.067}, {'token': 'intel', 'score': 0.035}, {'token': 'apple', 'score': 0.034}, {'token': 'mit', 'score': 0.015}, {'token': 'sony', 'score': 0.015}, {'token': 'google', 'score': 0.014}, {'token': 'oracle', 'score': 0.013}, {'token': 'dell', 'score': 0.011}, {'token': 'amazon', 'score': 0.01}]","[{'token': 'microsoft', 'score': 0.092}, {'token': 'ibm', 'score': 0.06}, {'token': 'apple', 'score': 0.038}, {'token': 'intel', 'score': 0.03}, {'token': 'sony', 'score': 0.018}, {'token': 'google', 'score': 0.016}, {'token': 'mit', 'score': 0.014}, {'token': 'dell', 'score': 0.011}, {'token': 'oracle', 'score': 0.011}, {'token': 'amazon', 'score': 0.011}]","[{'token': 'microsoft', 'score': 0.117}, {'token': 'ibm', 'score': 0.09}, {'token': 'apple', 'score': 0.051}, {'token': 'google', 'score': 0.022}, {'token': 'intel', 'score': 0.018}, {'token': 'mit', 'score': 0.018}, {'token': 'oracle', 'score': 0.017}, {'token': 'adobe', 'score': 0.012}, {'token': 'linux', 'score': 0.012}, {'token': 'sap', 'score': 0.011}]"
8,ibm,"[{'token': 'mit', 'score': 0.415}, {'token': 'nasa', 'score': 0.08}, {'token': 'harvard', 'score': 0.035}, {'token': 'ibm', 'score': 0.03}, {'token': 'berkeley', 'score': 0.026}, {'token': 'stanford', 'score': 0.026}, {'token': 'ieee', 'score': 0.018}, {'token': 'iso', 'score': 0.016}, {'token': 'princeton', 'score': 0.015}, {'token': 'purdue', 'score': 0.014}]","[{'token': 'mit', 'score': 0.187}, {'token': 'harvard', 'score': 0.054}, {'token': 'stanford', 'score': 0.032}, {'token': 'ibm', 'score': 0.026}, {'token': 'princeton', 'score': 0.024}, {'token': 'cornell', 'score': 0.023}, {'token': 'cambridge', 'score': 0.023}, {'token': 'nasa', 'score': 0.023}, {'token': 'berkeley', 'score': 0.018}, {'token': 'microsoft', 'score': 0.014}]","[{'token': 'mit', 'score': 0.279}, {'token': 'harvard', 'score': 0.042}, {'token': 'nasa', 'score': 0.033}, {'token': 'stanford', 'score': 0.028}, {'token': 'ibm', 'score': 0.027}, {'token': 'cornell', 'score': 0.019}, {'token': 'cambridge', 'score': 0.018}, {'token': 'berkeley', 'score': 0.014}, {'token': 'princeton', 'score': 0.012}, {'token': 'intel', 'score': 0.012}]","[{'token': 'mit', 'score': 0.381}, {'token': 'nasa', 'score': 0.038}, {'token': 'ibm', 'score': 0.033}, {'token': 'princeton', 'score': 0.031}, {'token': 'stanford', 'score': 0.028}, {'token': 'harvard', 'score': 0.025}, {'token': 'cornell', 'score': 0.018}, {'token': 'berkeley', 'score': 0.017}, {'token': 'microsoft', 'score': 0.016}, {'token': 'iso', 'score': 0.015}]","[{'token': 'he', 'score': 0.264}, {'token': 'they', 'score': 0.109}, {'token': 'it', 'score': 0.073}, {'token': 'she', 'score': 0.034}, {'token': 'we', 'score': 0.034}, {'token': 'ibm', 'score': 0.012}, {'token': 'i', 'score': 0.01}, {'token': 'siemens', 'score': 0.007}, {'token': 'microsoft', 'score': 0.005}, {'token': 'intel', 'score': 0.004}]"
9,ibm,"[{'token': 'data', 'score': 0.058}, {'token': 'new', 'score': 0.033}, {'token': 'advanced', 'score': 0.025}, {'token': 'electronic', 'score': 0.019}, {'token': 'open', 'score': 0.014}, {'token': 'high', 'score': 0.013}, {'token': 'fleet', 'score': 0.013}, {'token': 'global', 'score': 0.013}, {'token': 'project', 'score': 0.012}, {'token': 'digital', 'score': 0.011}]","[{'token': 'data', 'score': 0.06}, {'token': 'new', 'score': 0.043}, {'token': 'advanced', 'score': 0.026}, {'token': 'electronic', 'score': 0.019}, {'token': 'high', 'score': 0.015}, {'token': 'global', 'score': 0.014}, {'token': 'open', 'score': 0.014}, {'token': 'systems', 'score': 0.013}, {'token': 'fleet', 'score': 0.013}, {'token': 'project', 'score': 0.013}]","[{'token': 'data', 'score': 0.055}, {'token': 'new', 'score': 0.046}, {'token': 'advanced', 'score': 0.022}, {'token': 'electronic', 'score': 0.015}, {'token': 'global', 'score': 0.013}, {'token': 'first', 'score': 0.013}, {'token': 'high', 'score': 0.011}, {'token': 'digital', 'score': 0.011}, {'token': 'open', 'score': 0.01}, {'token': 'project', 'score': 0.009}]","[{'token': 'new', 'score': 0.079}, {'token': 'data', 'score': 0.04}, {'token': 'advanced', 'score': 0.021}, {'token': 'fleet', 'score': 0.018}, {'token': 'open', 'score': 0.016}, {'token': 'first', 'score': 0.015}, {'token': 'high', 'score': 0.015}, {'token': 'electronic', 'score': 0.014}, {'token': 'project', 'score': 0.012}, {'token': 'digital', 'score': 0.01}]","[{'token': 'data', 'score': 0.046}, {'token': 'new', 'score': 0.036}, {'token': 'advanced', 'score': 0.027}, {'token': 'electronic', 'score': 0.022}, {'token': 'high', 'score': 0.019}, {'token': 'digital', 'score': 0.012}, {'token': 'global', 'score': 0.012}, {'token': 'fleet', 'score': 0.012}, {'token': 'open', 'score': 0.012}, {'token': 'fast', 'score': 0.012}]"
