,sub_label,template,obj_label,masked_sentence,Parrot_paraphrased_filled_sentence_0,Parrot_paraphrased_filled_sentence_1,Parrot_paraphrased_filled_sentence_2
0,Allan Peiper,[X] was born in [Y] .,Alexandra,"Allan Peiper (born 26 April 1960 in [MASK], Australia) is a former Professional cyclist, who competed in five Tour de France cycle races.",allan peiper born april 26 1960 in Alexandra australia is a former professional cyclist who competed in five tour de [MASK] cycling races,allan peiper born april 26 1960 in Alexandra australia is a former professional cyclist who competed in five tour de [MASK] cycle races,
1,Anthony Barber,[X] was born in [Y] .,Doncaster,"It was won by the Conservative candidate Anthony Barber, who returned after losing his [MASK] constituency in the 1964 General Election.",it was won by conservative candidate anthony barber who returned to the field after losing his constituency of [MASK] in the general election of 1964,it was won by conservative candidate anthony barber who returned after losing his constituency in the april 1964 general election,it was won by the conservative candidate anthony barber who returned to office after losing his [MASK] constituency in the 1964 general election
2,Paul Mounsey,[X] was born in [Y] .,Scotland,NahooToo is the second album by [MASK] musician Paul Mounsey.,NahooToo is the second album by Scotland musician Paul Mounsey.,,
3,Moe Koffman,[X] was born in [Y] .,Toronto,He has performed with many of [MASK]'s foremost musicians including as a longstanding and charter member of Bernie Senensky's Moe Koffman Tribute Band.,he has performed with some of [MASK]'s greatest musicians including as a longtime and charter member of the moe koffman tribute band of bernie senensky,he has played with many of [MASK]'s foremost musicians including as a long-standing and charter member of bernie senensky's moe koffman tribute band,he has performed with many of [MASK]'s foremost musicians including as a longtime and charter member of bernie senensky's moe koffman tribute band
4,Kurt Schwertsik,[X] was born in [Y] .,Vienna,"Kurt Schwertsik (born 25 June 1935, [MASK]) is an Austrian contemporary composer.",kurt schwertsik born june 25 1935 in [MASK] is an austrian contemporary composer,,
5,Claude Arrieu,[X] was born in [Y] .,Paris,"Claude Arrieu (born [MASK], November 30, 1903 - died Paris, March 7, 1990) was a prolific French composer.","Claude Arrieu (born Paris, November 30, 1903 - died Paris, March 7, 1990) was a prolific French composer.",,
6,Ryō Kase,[X] was born in [Y] .,Yokohama,"Ryo Kase (加瀬 亮 Kase Ryō, born November 9, 1974 in [MASK]) is a Japanese actor.","Ryo Kase (加瀬 亮 Kase Ryō, born November 9, 1974 in Yokohama) is a Japanese actor.",,
7,Frans Floris I,[X] was born in [Y] .,Antwerp,"1228 – [MASK], March 26, 1258) ""the guardian""[citation needed] of Holland, son of Floris IV, Count of Holland (1210–1234) and Matilda of Brabant (ca.","1228 – Antwerp, March 26, 1258) ""the guardian""[citation needed] of Holland, son of Floris IV, Count of Holland (1210–1234) and Matilda of Brabant (ca.",,
8,Henry Heras,[X] was born in [Y] .,Barcelona,"Henry Heras (11 September 1888, [MASK] - 14 December 1955, Bombay, India) was a Spanish Jesuit priest, archeologist and historian in India.","Henry Heras (11 September 1888, Barcelona - 14 December 1955, Bombay, India) was a Spanish Jesuit priest, archeologist and historian in India.",,
9,Daniele Franceschini,[X] was born in [Y] .,Rome,Daniele Franceschini (born 13 January 1976 in [MASK]) is an Italian football midfielder.,Daniele Franceschini (born 13 January 1976 in Rome) is an Italian football midfielder.,,
10,Yeung Sum,[X] was born in [Y] .,Guangzhou,"Yeung Sum, SBS, JP (simplified Chinese: 杨森; traditional Chinese: 楊森; pinyin: Yáng Sēn; Jyutping: Joeng4 Sam1; born 22 November 1947 in [MASK], Guangdong with family roots in Zengcheng, Guangdong) is a Hong Kong politician and academic.",,,
11,Sajjad Ali,[X] was born in [Y] .,Lahore,"Other featuring artists in the fourth season included, Bilal Khan, progressive metal band Mizraab, Balouchi folk singer Akhtar Chanal Zahri, pop rock band Jal from [MASK], Kaavish, qawwal group of Fareed Ayaz & Abu Muhammad, Asif Hussain Samraat, Komal Rizvi, Sajjad Ali, Mole, QB and eastern classical Punjabi singer Attaullah Khan Esakhelvi.","Other featuring artists in the fourth season included, Bilal Khan, progressive metal band Mizraab, Balouchi folk singer Akhtar Chanal Zahri, pop rock band Jal from Lahore, Kaavish, qawwal group of Fareed Ayaz & Abu Muhammad, Asif Hussain Samraat, Komal Rizvi, Sajjad Ali, Mole, QB and eastern classical Punjabi singer Attaullah Khan Esakhelvi.",,
12,Giovanni Maria Morandi,[X] was born in [Y] .,Florence,"Giovanni Maria Morandi (30 April 1622 – 18 February 1717) was an Italian painter, mainly active in Rome and his natal city of [MASK], but also Venice.","Giovanni Maria Morandi (30 April 1622 – 18 February 1717) was an Italian painter, mainly active in Rome and his natal city of Florence, but also Venice.",,
13,Brian Boyd,[X] was born in [Y] .,Belfast,"Brian Boyd (born 30 July 1952 in [MASK], Northern Ireland) is known primarily as an expert on the life and works of author Vladimir Nabokov and on literature and evolution.","Brian Boyd (born 30 July 1952 in Belfast, Northern Ireland) is known primarily as an expert on the life and works of author Vladimir Nabokov and on literature and evolution.",,
14,Maurice de Vlaminck,[X] was born in [Y] .,Paris,"In 1949 he visited [MASK] and was influenced by Georges Rouault, Maurice de Vlaminck and Maurice Utrillo.",in 1949 he visited [MASK] and was influenced by georges rouault maurice de vlaminck and maurice utrillo,,
15,Guy Deghy,[X] was born in [Y] .,Budapest,"Guy Deghy (October 11, 1912 – February 25, 1992) in [MASK], Hungary, an actor who appeared largely in British films and television.","Guy Deghy (October 11, 1912 – February 25, 1992) in Budapest, Hungary, an actor who appeared largely in British films and television.",,
16,Ze'ev Jabotinsky,[X] was born in [Y] .,Odessa,"Ze'ev Jabotinsky, MBE (Hebrew: זאב ז'בוטינסקי; born Vladimir Yevgenyevich Zhabotinsky, Russian: Влади́мир Евге́ньевич Жаботи́нский; 18 October 1880, [MASK] – 4 August 1940, New York City), was a Russian Jewish Revisionist Zionist leader, author, poet, orator, soldier and founder of the Jewish Self-Defense Organization in Odessa.",,,
17,John Brumby,[X] was born in [Y] .,Melbourne,"He was born in [MASK], and was a trade union official, small business proprietor and researcher and adviser to the Victorian State Leader of the Opposition, John Brumby, before entering politics.",he was born in [MASK] and was a trade union official small business owner and researcher and adviser to the victorian state leader of opposition john brumby before entering politics,,
18,Pierre Dupont,[X] was born in [Y] .,Lyon,"Pierre Dupont (April 23, 1821 – July 25, 1870), French song-writer, the son of a blacksmith, was born in [MASK].","Pierre Dupont (April 23, 1821 – July 25, 1870), French song-writer, the son of a blacksmith, was born in Lyon.",,
19,Taras Kuzio,[X] was born in [Y] .,Halifax,"Taras Kuzio (born 1958 in [MASK], UK) is an academic and expert in Ukrainian political, economic and security affairs.","Taras Kuzio (born 1958 in Halifax, UK) is an academic and expert in Ukrainian political, economic and security affairs.",,
20,Masako Natsume,[X] was born in [Y] .,Tokyo,"Masako Natsume (夏目 雅子 Natsume Masako, December 17, 1957 - September 11, 1985) (family name: Nishiyama) was a Japanese model and actress from [MASK].","Masako Natsume (夏目 雅子 Natsume Masako, December 17, 1957 - September 11, 1985) (family name: Nishiyama) was a Japanese model and actress from Tokyo.",,
21,Henry Mayhew,[X] was born in [Y] .,London,"Punch, or The [MASK] Charivari was a British weekly magazine of humour and satire established in 1841 by Henry Mayhew and engraver Ebenezer Landells.",punch or the [MASK] charivari was a british weekly magazine for humour and satire founded by henry mayhew and the engraver ebenezer landells in 1841,punch or the [MASK] charivari was a british weekly magazine of humor and satire established by henry mayhew and the engraver ebenezer landells in 1841,punch or the [MASK] charivari was a british weekly magazine of humour and satire published in 1841 by henry mayhew and the engraver ebenezer landells
