,answers,original,t5_0,t5_1,t5_2,t5_3
0,iraq,"[{'token': 'baghdad', 'score': 0.119}, {'token': 'tokyo', 'score': 0.089}, {'token': 'iraq', 'score': 0.051}, {'token': 'thailand', 'score': 0.044}, {'token': 'japan', 'score': 0.043}, {'token': 'istanbul', 'score': 0.04}, {'token': 'paris', 'score': 0.036}, {'token': 'london', 'score': 0.019}, {'token': 'berlin', 'score': 0.019}, {'token': 'turkey', 'score': 0.019}]","[{'token': 'baghdad', 'score': 0.069}, {'token': 'iraq', 'score': 0.049}, {'token': 'afghanistan', 'score': 0.04}, {'token': 'lebanon', 'score': 0.039}, {'token': 'yemen', 'score': 0.033}, {'token': 'syria', 'score': 0.03}, {'token': 'london', 'score': 0.029}, {'token': 'kabul', 'score': 0.027}, {'token': 'egypt', 'score': 0.026}, {'token': 'iran', 'score': 0.024}]","[{'token': 'poland', 'score': 0.059}, {'token': 'moscow', 'score': 0.051}, {'token': 'tokyo', 'score': 0.048}, {'token': 'korea', 'score': 0.036}, {'token': 'seoul', 'score': 0.026}, {'token': 'japan', 'score': 0.024}, {'token': 'germany', 'score': 0.022}, {'token': 'russia', 'score': 0.022}, {'token': 'thailand', 'score': 0.021}, {'token': 'france', 'score': 0.021}]","[{'token': 'syria', 'score': 0.126}, {'token': 'lebanon', 'score': 0.123}, {'token': 'iraq', 'score': 0.1}, {'token': 'baghdad', 'score': 0.081}, {'token': 'beirut', 'score': 0.061}, {'token': 'jordan', 'score': 0.051}, {'token': 'yemen', 'score': 0.046}, {'token': 'egypt', 'score': 0.039}, {'token': 'sudan', 'score': 0.032}, {'token': 'damascus', 'score': 0.031}]","[{'token': 'baghdad', 'score': 0.217}, {'token': 'tokyo', 'score': 0.053}, {'token': 'istanbul', 'score': 0.051}, {'token': 'kuwait', 'score': 0.035}, {'token': 'tehran', 'score': 0.035}, {'token': 'iraq', 'score': 0.025}, {'token': 'japan', 'score': 0.02}, {'token': 'thailand', 'score': 0.018}, {'token': 'cairo', 'score': 0.018}, {'token': 'paris', 'score': 0.017}]"
1,paris,"[{'token': 'paris', 'score': 0.831}, {'token': 'rome', 'score': 0.045}, {'token': 'france', 'score': 0.014}, {'token': 'vienna', 'score': 0.007}, {'token': 'brussels', 'score': 0.007}, {'token': 'lyon', 'score': 0.006}, {'token': 'london', 'score': 0.006}, {'token': 'italy', 'score': 0.005}, {'token': 'florence', 'score': 0.005}, {'token': 'berlin', 'score': 0.005}]","[{'token': 'high', 'score': 0.52}, {'token': 'art', 'score': 0.05}, {'token': 'elementary', 'score': 0.039}, {'token': 'music', 'score': 0.028}, {'token': 'french', 'score': 0.025}, {'token': 'boarding', 'score': 0.025}, {'token': 'paris', 'score': 0.022}, {'token': 'private', 'score': 0.022}, {'token': 'catholic', 'score': 0.011}, {'token': 'military', 'score': 0.009}]","[{'token': 'paris', 'score': 0.908}, {'token': 'rome', 'score': 0.019}, {'token': 'france', 'score': 0.017}, {'token': 'vienna', 'score': 0.011}, {'token': 'lyon', 'score': 0.003}, {'token': 'london', 'score': 0.002}, {'token': 'italy', 'score': 0.002}, {'token': 'brussels', 'score': 0.002}, {'token': 'geneva', 'score': 0.002}, {'token': 'milan', 'score': 0.002}]","[{'token': 'paris', 'score': 0.357}, {'token': 'chicago', 'score': 0.14}, {'token': 'philadelphia', 'score': 0.035}, {'token': 'france', 'score': 0.034}, {'token': 'berlin', 'score': 0.021}, {'token': 'detroit', 'score': 0.019}, {'token': 'montreal', 'score': 0.015}, {'token': 'boston', 'score': 0.012}, {'token': 'london', 'score': 0.012}, {'token': 'brooklyn', 'score': 0.011}]","[{'token': 'paris', 'score': 0.659}, {'token': 'vienna', 'score': 0.085}, {'token': 'france', 'score': 0.034}, {'token': 'warsaw', 'score': 0.017}, {'token': 'london', 'score': 0.015}, {'token': 'berlin', 'score': 0.014}, {'token': 'rome', 'score': 0.014}, {'token': 'brussels', 'score': 0.012}, {'token': 'prague', 'score': 0.011}, {'token': 'geneva', 'score': 0.009}]"
2,baltimore,"[{'token': 'london', 'score': 0.307}, {'token': 'usa', 'score': 0.069}, {'token': 'chicago', 'score': 0.062}, {'token': 'oxford', 'score': 0.034}, {'token': 'toronto', 'score': 0.033}, {'token': 'uk', 'score': 0.033}, {'token': 'california', 'score': 0.031}, {'token': 'ny', 'score': 0.018}, {'token': 'australia', 'score': 0.018}, {'token': 'england', 'score': 0.015}]","[{'token': 'london', 'score': 0.2}, {'token': 'chicago', 'score': 0.094}, {'token': 'usa', 'score': 0.042}, {'token': 'toronto', 'score': 0.038}, {'token': 'california', 'score': 0.031}, {'token': 'paris', 'score': 0.018}, {'token': 'canada', 'score': 0.016}, {'token': 'oxford', 'score': 0.016}, {'token': 'australia', 'score': 0.016}, {'token': 'philadelphia', 'score': 0.014}]","[{'token': 'london', 'score': 0.224}, {'token': 'usa', 'score': 0.147}, {'token': 'chicago', 'score': 0.039}, {'token': 'paris', 'score': 0.033}, {'token': 'uk', 'score': 0.023}, {'token': 'oxford', 'score': 0.02}, {'token': 'amsterdam', 'score': 0.016}, {'token': 'toronto', 'score': 0.016}, {'token': 'inc', 'score': 0.015}, {'token': 'america', 'score': 0.014}]","[{'token': 'london', 'score': 0.167}, {'token': 'published', 'score': 0.062}, {'token': 'chicago', 'score': 0.055}, {'token': 'starting', 'score': 0.054}, {'token': 'usa', 'score': 0.052}, {'token': 'beginning', 'score': 0.042}, {'token': 'uk', 'score': 0.022}, {'token': 'limited', 'score': 0.02}, {'token': 'toronto', 'score': 0.018}, {'token': 'inc', 'score': 0.016}]","[{'token': 'which', 'score': 0.11}, {'token': 'london', 'score': 0.101}, {'token': 'usa', 'score': 0.099}, {'token': 'chicago', 'score': 0.052}, {'token': 'australia', 'score': 0.021}, {'token': 'oxford', 'score': 0.017}, {'token': 'canada', 'score': 0.017}, {'token': 'uk', 'score': 0.014}, {'token': 'toronto', 'score': 0.013}, {'token': 'america', 'score': 0.013}]"
3,leicester,"[{'token': 'chelsea', 'score': 0.21}, {'token': 'london', 'score': 0.162}, {'token': 'nyc', 'score': 0.08}, {'token': 'boston', 'score': 0.068}, {'token': 'manhattan', 'score': 0.065}, {'token': 'montreal', 'score': 0.044}, {'token': 'toronto', 'score': 0.031}, {'token': 'chicago', 'score': 0.025}, {'token': 'queens', 'score': 0.022}, {'token': 'paris', 'score': 0.017}]","[{'token': '1998', 'score': 0.043}, {'token': '2004', 'score': 0.036}, {'token': '2006', 'score': 0.034}, {'token': '1996', 'score': 0.032}, {'token': '2003', 'score': 0.031}, {'token': '2001', 'score': 0.031}, {'token': '1993', 'score': 0.03}, {'token': '1994', 'score': 0.03}, {'token': '1999', 'score': 0.029}, {'token': '1997', 'score': 0.028}]","[{'token': '1970', 'score': 0.042}, {'token': '1985', 'score': 0.037}, {'token': '1969', 'score': 0.036}, {'token': '1976', 'score': 0.031}, {'token': '1977', 'score': 0.03}, {'token': '1993', 'score': 0.029}, {'token': '1994', 'score': 0.027}, {'token': '1999', 'score': 0.027}, {'token': '1988', 'score': 0.025}, {'token': '1980', 'score': 0.024}]","[{'token': '2009', 'score': 0.046}, {'token': '2005', 'score': 0.036}, {'token': '1989', 'score': 0.033}, {'token': '2006', 'score': 0.029}, {'token': '2004', 'score': 0.029}, {'token': '1998', 'score': 0.027}, {'token': '1985', 'score': 0.027}, {'token': '1991', 'score': 0.024}, {'token': '1997', 'score': 0.024}, {'token': '1988', 'score': 0.022}]","[{'token': 'london', 'score': 0.087}, {'token': 'chelsea', 'score': 0.075}, {'token': 'charity', 'score': 0.05}, {'token': 'clash', 'score': 0.027}, {'token': 'holocaust', 'score': 0.012}, {'token': 'southampton', 'score': 0.01}, {'token': 'leeds', 'score': 0.01}, {'token': 'glasgow', 'score': 0.01}, {'token': 'bbc', 'score': 0.01}, {'token': 'berlin', 'score': 0.009}]"
4,athens,"[{'token': 'athens', 'score': 0.907}, {'token': 'national', 'score': 0.023}, {'token': 'imperial', 'score': 0.012}, {'token': 'athenian', 'score': 0.01}, {'token': 'greek', 'score': 0.007}, {'token': 'byzantine', 'score': 0.004}, {'token': 'constantinople', 'score': 0.003}, {'token': 'municipal', 'score': 0.003}, {'token': 'new', 'score': 0.002}, {'token': 'alexandria', 'score': 0.002}]","[{'token': 'athens', 'score': 0.839}, {'token': 'national', 'score': 0.03}, {'token': 'imperial', 'score': 0.021}, {'token': 'athenian', 'score': 0.016}, {'token': 'constantinople', 'score': 0.009}, {'token': 'greek', 'score': 0.009}, {'token': 'byzantine', 'score': 0.007}, {'token': 'municipal', 'score': 0.005}, {'token': 'central', 'score': 0.004}, {'token': 'local', 'score': 0.003}]","[{'token': 'athens', 'score': 0.879}, {'token': 'imperial', 'score': 0.025}, {'token': 'national', 'score': 0.014}, {'token': 'athenian', 'score': 0.012}, {'token': 'constantinople', 'score': 0.006}, {'token': 'greek', 'score': 0.005}, {'token': 'byzantine', 'score': 0.004}, {'token': 'istanbul', 'score': 0.003}, {'token': 'belgrade', 'score': 0.003}, {'token': 'odessa', 'score': 0.002}]","[{'token': 'athens', 'score': 0.83}, {'token': 'imperial', 'score': 0.03}, {'token': 'athenian', 'score': 0.02}, {'token': 'greek', 'score': 0.013}, {'token': 'national', 'score': 0.013}, {'token': 'constantinople', 'score': 0.009}, {'token': 'byzantine', 'score': 0.008}, {'token': 'belgrade', 'score': 0.004}, {'token': 'munich', 'score': 0.004}, {'token': 'odessa', 'score': 0.004}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
5,vienna,"[{'token': 'prague', 'score': 0.511}, {'token': 'vienna', 'score': 0.444}, {'token': 'berlin', 'score': 0.008}, {'token': 'munich', 'score': 0.008}, {'token': 'frankfurt', 'score': 0.005}, {'token': 'leipzig', 'score': 0.003}, {'token': 'pest', 'score': 0.003}, {'token': 'dresden', 'score': 0.001}, {'token': 'cologne', 'score': 0.001}, {'token': 'mannheim', 'score': 0.001}]","[{'token': 'vienna', 'score': 0.946}, {'token': 'graz', 'score': 0.015}, {'token': 'munich', 'score': 0.007}, {'token': 'wien', 'score': 0.005}, {'token': 'prague', 'score': 0.003}, {'token': 'budapest', 'score': 0.003}, {'token': 'berlin', 'score': 0.003}, {'token': 'salzburg', 'score': 0.003}, {'token': 'pest', 'score': 0.002}, {'token': 'innsbruck', 'score': 0.001}]","[{'token': 'vienna', 'score': 0.944}, {'token': 'graz', 'score': 0.008}, {'token': 'munich', 'score': 0.008}, {'token': 'prague', 'score': 0.006}, {'token': 'berlin', 'score': 0.004}, {'token': 'wien', 'score': 0.003}, {'token': 'budapest', 'score': 0.003}, {'token': 'innsbruck', 'score': 0.002}, {'token': 'salzburg', 'score': 0.002}, {'token': 'zurich', 'score': 0.001}]","[{'token': 'vienna', 'score': 0.951}, {'token': 'graz', 'score': 0.008}, {'token': 'munich', 'score': 0.006}, {'token': 'prague', 'score': 0.006}, {'token': 'wien', 'score': 0.003}, {'token': 'berlin', 'score': 0.002}, {'token': 'budapest', 'score': 0.002}, {'token': 'pest', 'score': 0.002}, {'token': 'innsbruck', 'score': 0.002}, {'token': 'salzburg', 'score': 0.002}]","[{'token': 'berlin', 'score': 0.241}, {'token': 'frankfurt', 'score': 0.208}, {'token': 'munich', 'score': 0.085}, {'token': 'leipzig', 'score': 0.072}, {'token': 'vienna', 'score': 0.053}, {'token': 'hamburg', 'score': 0.035}, {'token': 'mannheim', 'score': 0.031}, {'token': 'dusseldorf', 'score': 0.023}, {'token': 'stuttgart', 'score': 0.021}, {'token': 'dresden', 'score': 0.019}]"
6,rome,"[{'token': 'rome', 'score': 0.617}, {'token': 'florence', 'score': 0.311}, {'token': 'venice', 'score': 0.023}, {'token': 'naples', 'score': 0.011}, {'token': 'paris', 'score': 0.008}, {'token': 'siena', 'score': 0.006}, {'token': 'italy', 'score': 0.006}, {'token': 'bologna', 'score': 0.003}, {'token': 'pisa', 'score': 0.002}, {'token': 'sicily', 'score': 0.001}]","[{'token': 'naples', 'score': 0.619}, {'token': 'venice', 'score': 0.062}, {'token': 'milan', 'score': 0.05}, {'token': 'turin', 'score': 0.036}, {'token': 'florence', 'score': 0.034}, {'token': 'genoa', 'score': 0.031}, {'token': 'parma', 'score': 0.028}, {'token': 'bologna', 'score': 0.019}, {'token': 'ferrara', 'score': 0.018}, {'token': 'madrid', 'score': 0.014}]","[{'token': 'naples', 'score': 0.659}, {'token': 'florence', 'score': 0.167}, {'token': 'venice', 'score': 0.063}, {'token': 'italy', 'score': 0.017}, {'token': 'milan', 'score': 0.012}, {'token': 'genoa', 'score': 0.007}, {'token': 'greece', 'score': 0.006}, {'token': 'paris', 'score': 0.006}, {'token': 'athens', 'score': 0.005}, {'token': 'bologna', 'score': 0.004}]","[{'token': 'naples', 'score': 0.616}, {'token': 'venice', 'score': 0.076}, {'token': 'florence', 'score': 0.046}, {'token': 'milan', 'score': 0.041}, {'token': 'turin', 'score': 0.032}, {'token': 'genoa', 'score': 0.025}, {'token': 'bologna', 'score': 0.021}, {'token': 'ferrara', 'score': 0.02}, {'token': 'parma', 'score': 0.018}, {'token': 'madrid', 'score': 0.011}]","[{'token': 'naples', 'score': 0.395}, {'token': 'italy', 'score': 0.095}, {'token': 'milan', 'score': 0.065}, {'token': 'venice', 'score': 0.058}, {'token': 'rome', 'score': 0.049}, {'token': 'florence', 'score': 0.04}, {'token': 'parma', 'score': 0.034}, {'token': 'bologna', 'score': 0.026}, {'token': 'ferrara', 'score': 0.025}, {'token': 'genoa', 'score': 0.024}]"
7,paris,"[{'token': 'paris', 'score': 0.884}, {'token': 'france', 'score': 0.029}, {'token': 'marseille', 'score': 0.013}, {'token': 'nice', 'score': 0.006}, {'token': 'cannes', 'score': 0.005}, {'token': 'toulouse', 'score': 0.004}, {'token': 'lyon', 'score': 0.004}, {'token': 'montreal', 'score': 0.004}, {'token': 'bordeaux', 'score': 0.003}, {'token': 'london', 'score': 0.003}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
8,munich,"[{'token': 'berlin', 'score': 0.42}, {'token': 'munich', 'score': 0.144}, {'token': 'hamburg', 'score': 0.071}, {'token': 'cologne', 'score': 0.042}, {'token': 'stuttgart', 'score': 0.028}, {'token': 'paris', 'score': 0.023}, {'token': 'london', 'score': 0.022}, {'token': 'frankfurt', 'score': 0.018}, {'token': 'heidelberg', 'score': 0.016}, {'token': 'vienna', 'score': 0.016}]","[{'token': 'berlin', 'score': 0.164}, {'token': 'germany', 'score': 0.161}, {'token': 'london', 'score': 0.095}, {'token': 'paris', 'score': 0.075}, {'token': 'england', 'score': 0.045}, {'token': 'munich', 'score': 0.041}, {'token': 'hamburg', 'score': 0.033}, {'token': 'france', 'score': 0.028}, {'token': 'vienna', 'score': 0.024}, {'token': 'frankfurt', 'score': 0.021}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'munich', 'score': 0.374}, {'token': 'paris', 'score': 0.142}, {'token': 'berlin', 'score': 0.09}, {'token': 'london', 'score': 0.049}, {'token': 'vienna', 'score': 0.044}, {'token': 'cologne', 'score': 0.032}, {'token': 'hamburg', 'score': 0.021}, {'token': 'germany', 'score': 0.019}, {'token': 'frankfurt', 'score': 0.018}, {'token': 'dusseldorf', 'score': 0.015}]","[{'token': 'berlin', 'score': 0.144}, {'token': 'munich', 'score': 0.139}, {'token': 'vienna', 'score': 0.092}, {'token': 'hamburg', 'score': 0.053}, {'token': 'london', 'score': 0.043}, {'token': 'cologne', 'score': 0.036}, {'token': 'stuttgart', 'score': 0.033}, {'token': 'paris', 'score': 0.029}, {'token': 'frankfurt', 'score': 0.027}, {'token': 'darmstadt', 'score': 0.021}]"
9,bonn,"[{'token': 'berlin', 'score': 0.305}, {'token': 'heidelberg', 'score': 0.154}, {'token': 'gottingen', 'score': 0.094}, {'token': 'vienna', 'score': 0.063}, {'token': 'halle', 'score': 0.048}, {'token': 'leipzig', 'score': 0.034}, {'token': 'munich', 'score': 0.033}, {'token': 'kiel', 'score': 0.031}, {'token': 'hamburg', 'score': 0.028}, {'token': 'jena', 'score': 0.025}]","[{'token': 'germany', 'score': 0.132}, {'token': 'heidelberg', 'score': 0.084}, {'token': 'german', 'score': 0.048}, {'token': 'astronomer', 'score': 0.047}, {'token': 'prussian', 'score': 0.021}, {'token': 'karl', 'score': 0.019}, {'token': '1862', 'score': 0.016}, {'token': '1861', 'score': 0.012}, {'token': '1834', 'score': 0.01}, {'token': '1886', 'score': 0.01}]","[{'token': 'germany', 'score': 0.085}, {'token': 'heidelberg', 'score': 0.036}, {'token': '1861', 'score': 0.034}, {'token': '1862', 'score': 0.032}, {'token': 'prussian', 'score': 0.031}, {'token': '1863', 'score': 0.028}, {'token': 'german', 'score': 0.02}, {'token': '1834', 'score': 0.016}, {'token': 'astronomer', 'score': 0.015}, {'token': '1846', 'score': 0.013}]","[{'token': 'berlin', 'score': 0.349}, {'token': 'heidelberg', 'score': 0.111}, {'token': 'gottingen', 'score': 0.1}, {'token': 'vienna', 'score': 0.09}, {'token': 'leipzig', 'score': 0.049}, {'token': 'halle', 'score': 0.039}, {'token': 'jena', 'score': 0.033}, {'token': 'bonn', 'score': 0.031}, {'token': 'kiel', 'score': 0.025}, {'token': 'munich', 'score': 0.023}]","[{'token': 'berlin', 'score': 0.374}, {'token': 'heidelberg', 'score': 0.097}, {'token': 'gottingen', 'score': 0.086}, {'token': 'vienna', 'score': 0.08}, {'token': 'leipzig', 'score': 0.059}, {'token': 'halle', 'score': 0.043}, {'token': 'munich', 'score': 0.027}, {'token': 'bonn', 'score': 0.024}, {'token': 'kiel', 'score': 0.021}, {'token': 'hanover', 'score': 0.02}]"
