,answers,original,t5_0,t5_1,t5_2,t5_3
0,baku,"[{'token': 'baku', 'score': 0.998}, {'token': 'tbilisi', 'score': 0.001}, {'token': 'azerbaijan', 'score': 0.0}, {'token': 'caspian', 'score': 0.0}, {'token': 'tehran', 'score': 0.0}, {'token': 'constantinople', 'score': 0.0}, {'token': 'van', 'score': 0.0}, {'token': 'yerevan', 'score': 0.0}, {'token': 'cyrus', 'score': 0.0}, {'token': 'bar', 'score': 0.0}]","[{'token': 'many', 'score': 0.402}, {'token': '300', 'score': 0.044}, {'token': '200', 'score': 0.037}, {'token': '400', 'score': 0.035}, {'token': '150', 'score': 0.035}, {'token': '100', 'score': 0.024}, {'token': '500', 'score': 0.02}, {'token': 'thousands', 'score': 0.016}, {'token': '50', 'score': 0.015}, {'token': '130', 'score': 0.014}]","[{'token': 'many', 'score': 0.298}, {'token': '300', 'score': 0.084}, {'token': '500', 'score': 0.063}, {'token': '400', 'score': 0.052}, {'token': '200', 'score': 0.045}, {'token': 'thousands', 'score': 0.043}, {'token': '150', 'score': 0.035}, {'token': '800', 'score': 0.028}, {'token': '700', 'score': 0.021}, {'token': '600', 'score': 0.016}]","[{'token': 'many', 'score': 0.177}, {'token': '500', 'score': 0.108}, {'token': 'thousands', 'score': 0.08}, {'token': '300', 'score': 0.066}, {'token': '800', 'score': 0.052}, {'token': '400', 'score': 0.049}, {'token': '1500', 'score': 0.044}, {'token': '3000', 'score': 0.041}, {'token': '700', 'score': 0.03}, {'token': 'thousand', 'score': 0.029}]","[{'token': '800', 'score': 0.069}, {'token': '500', 'score': 0.066}, {'token': '300', 'score': 0.06}, {'token': '400', 'score': 0.043}, {'token': '200', 'score': 0.039}, {'token': '700', 'score': 0.037}, {'token': '900', 'score': 0.025}, {'token': '150', 'score': 0.022}, {'token': '350', 'score': 0.02}, {'token': '600', 'score': 0.02}]"
1,brody,"[{'token': 'brody', 'score': 0.996}, {'token': 'the', 'score': 0.001}, {'token': 'kiev', 'score': 0.001}, {'token': 'lviv', 'score': 0.0}, {'token': 'donetsk', 'score': 0.0}, {'token': 'odessa', 'score': 0.0}, {'token': 'bar', 'score': 0.0}, {'token': 'dawson', 'score': 0.0}, {'token': 'minsk', 'score': 0.0}, {'token': 'triangle', 'score': 0.0}]","[{'token': 'kiev', 'score': 0.251}, {'token': 'dunedin', 'score': 0.224}, {'token': 'donetsk', 'score': 0.056}, {'token': 'otago', 'score': 0.041}, {'token': 'minsk', 'score': 0.022}, {'token': 'kyiv', 'score': 0.017}, {'token': 'odessa', 'score': 0.015}, {'token': 'moi', 'score': 0.011}, {'token': 'moscow', 'score': 0.01}, {'token': 'napier', 'score': 0.008}]","[{'token': 'kiev', 'score': 0.205}, {'token': 'odessa', 'score': 0.136}, {'token': 'lviv', 'score': 0.098}, {'token': 'the', 'score': 0.086}, {'token': 'donetsk', 'score': 0.036}, {'token': 'hereford', 'score': 0.028}, {'token': 'ukrainian', 'score': 0.027}, {'token': 'kyiv', 'score': 0.018}, {'token': 'brass', 'score': 0.012}, {'token': 'capital', 'score': 0.01}]","[{'token': 'the', 'score': 0.638}, {'token': 'seattle', 'score': 0.048}, {'token': 'lviv', 'score': 0.013}, {'token': 'kai', 'score': 0.009}, {'token': 'kiev', 'score': 0.009}, {'token': 'kyiv', 'score': 0.009}, {'token': 'a', 'score': 0.008}, {'token': 'washington', 'score': 0.007}, {'token': 'western', 'score': 0.007}, {'token': 'vladimir', 'score': 0.006}]","[{'token': 'kiev', 'score': 0.433}, {'token': 'lviv', 'score': 0.157}, {'token': 'donetsk', 'score': 0.137}, {'token': 'odessa', 'score': 0.109}, {'token': 'ukrainian', 'score': 0.055}, {'token': 'ukraine', 'score': 0.016}, {'token': 'kyiv', 'score': 0.014}, {'token': 'the', 'score': 0.012}, {'token': 'brody', 'score': 0.003}, {'token': 'bender', 'score': 0.002}]"
2,chicago,"[{'token': 'chicago', 'score': 0.404}, {'token': 'it', 'score': 0.202}, {'token': 'aurora', 'score': 0.115}, {'token': 'eagle', 'score': 0.028}, {'token': 'illinois', 'score': 0.02}, {'token': 'phoenix', 'score': 0.013}, {'token': 'cicero', 'score': 0.005}, {'token': 'austin', 'score': 0.004}, {'token': 'lansing', 'score': 0.003}, {'token': 'tulsa', 'score': 0.003}]","[{'token': 'seat', 'score': 0.588}, {'token': 'center', 'score': 0.35}, {'token': 'headquarters', 'score': 0.031}, {'token': 'centre', 'score': 0.011}, {'token': 'capital', 'score': 0.004}, {'token': 'hub', 'score': 0.003}, {'token': 'head', 'score': 0.002}, {'token': 'area', 'score': 0.001}, {'token': 'city', 'score': 0.001}, {'token': 'office', 'score': 0.001}]","[{'token': 'chicago', 'score': 0.884}, {'token': 'it', 'score': 0.049}, {'token': 'helsinki', 'score': 0.022}, {'token': 'decatur', 'score': 0.012}, {'token': 'miami', 'score': 0.002}, {'token': 'milwaukee', 'score': 0.001}, {'token': 'downtown', 'score': 0.001}, {'token': 'tehran', 'score': 0.001}, {'token': 'this', 'score': 0.001}, {'token': 'tampa', 'score': 0.001}]","[{'token': 'bremen', 'score': 0.44}, {'token': 'iowa', 'score': 0.082}, {'token': 'hamburg', 'score': 0.073}, {'token': 'westphalia', 'score': 0.043}, {'token': 'stade', 'score': 0.039}, {'token': 'germany', 'score': 0.035}, {'token': 'north', 'score': 0.017}, {'token': 'minnesota', 'score': 0.016}, {'token': 'hanover', 'score': 0.016}, {'token': 'mecklenburg', 'score': 0.016}]","[{'token': 'chicago', 'score': 0.985}, {'token': 'decatur', 'score': 0.002}, {'token': 'illinois', 'score': 0.001}, {'token': 'elgin', 'score': 0.001}, {'token': 'milwaukee', 'score': 0.001}, {'token': 'batavia', 'score': 0.001}, {'token': 'cicero', 'score': 0.001}, {'token': 'austin', 'score': 0.001}, {'token': 'jacksonville', 'score': 0.0}, {'token': 'minneapolis', 'score': 0.0}]"
3,richmond,"[{'token': 'dunedin', 'score': 0.959}, {'token': 'christchurch', 'score': 0.005}, {'token': 'hamilton', 'score': 0.004}, {'token': 'wellington', 'score': 0.004}, {'token': 'otago', 'score': 0.002}, {'token': 'auckland', 'score': 0.002}, {'token': 'denver', 'score': 0.001}, {'token': 'austin', 'score': 0.001}, {'token': 'toronto', 'score': 0.001}, {'token': 'melbourne', 'score': 0.001}]","[{'token': 'dunedin', 'score': 0.826}, {'token': 'austin', 'score': 0.014}, {'token': 'wellington', 'score': 0.01}, {'token': 'houston', 'score': 0.01}, {'token': 'hamilton', 'score': 0.008}, {'token': 'dallas', 'score': 0.007}, {'token': 'melbourne', 'score': 0.004}, {'token': 'christchurch', 'score': 0.003}, {'token': 'denver', 'score': 0.003}, {'token': 'newton', 'score': 0.003}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'seattle', 'score': 0.99}, {'token': 'tacoma', 'score': 0.003}, {'token': 'honolulu', 'score': 0.001}, {'token': 'vancouver', 'score': 0.001}, {'token': 'spokane', 'score': 0.0}, {'token': 'portland', 'score': 0.0}, {'token': 'olympia', 'score': 0.0}, {'token': 'bellevue', 'score': 0.0}, {'token': 'everett', 'score': 0.0}, {'token': 'washington', 'score': 0.0}]","[{'token': 'eagle', 'score': 0.991}, {'token': 'eagles', 'score': 0.002}, {'token': 'buffalo', 'score': 0.0}, {'token': 'aurora', 'score': 0.0}, {'token': 'apollo', 'score': 0.0}, {'token': 'austin', 'score': 0.0}, {'token': 'tulsa', 'score': 0.0}, {'token': 'pioneer', 'score': 0.0}, {'token': 'parma', 'score': 0.0}, {'token': 'ada', 'score': 0.0}]"
4,auburn,"[{'token': 'albany', 'score': 0.449}, {'token': 'syracuse', 'score': 0.361}, {'token': 'ithaca', 'score': 0.024}, {'token': 'auburn', 'score': 0.022}, {'token': 'rochester', 'score': 0.019}, {'token': 'buffalo', 'score': 0.017}, {'token': 'brooklyn', 'score': 0.014}, {'token': 'ny', 'score': 0.008}, {'token': 'rome', 'score': 0.006}, {'token': 'saratoga', 'score': 0.005}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'acting', 'score': 0.247}, {'token': 'elected', 'score': 0.154}, {'token': 'interim', 'score': 0.053}, {'token': 'additional', 'score': 0.048}, {'token': 'independent', 'score': 0.042}, {'token': 'alternate', 'score': 0.036}, {'token': 'active', 'score': 0.024}, {'token': 'associate', 'score': 0.023}, {'token': 'old', 'score': 0.021}, {'token': 'assistant', 'score': 0.018}]","[{'token': 'albany', 'score': 0.569}, {'token': 'syracuse', 'score': 0.202}, {'token': 'buffalo', 'score': 0.042}, {'token': 'rochester', 'score': 0.033}, {'token': 'brooklyn', 'score': 0.014}, {'token': 'auburn', 'score': 0.012}, {'token': 'rome', 'score': 0.011}, {'token': 'ithaca', 'score': 0.006}, {'token': 'geneva', 'score': 0.006}, {'token': 'batavia', 'score': 0.004}]","[{'token': 'dunedin', 'score': 0.587}, {'token': 'syracuse', 'score': 0.105}, {'token': 'rochester', 'score': 0.028}, {'token': 'albany', 'score': 0.021}, {'token': 'otago', 'score': 0.021}, {'token': 'florida', 'score': 0.019}, {'token': 'vermont', 'score': 0.016}, {'token': 'brooklyn', 'score': 0.014}, {'token': 'ithaca', 'score': 0.014}, {'token': 'retirement', 'score': 0.009}]"
5,windsor,"[{'token': 'sydney', 'score': 0.887}, {'token': 'nsw', 'score': 0.077}, {'token': 'victoria', 'score': 0.009}, {'token': 'queensland', 'score': 0.008}, {'token': 'melbourne', 'score': 0.002}, {'token': 'newcastle', 'score': 0.002}, {'token': 'nelson', 'score': 0.001}, {'token': 'wa', 'score': 0.001}, {'token': 'australia', 'score': 0.001}, {'token': 'washington', 'score': 0.001}]","[{'token': 'sydney', 'score': 0.969}, {'token': 'nsw', 'score': 0.014}, {'token': 'melbourne', 'score': 0.005}, {'token': 'queensland', 'score': 0.001}, {'token': 'newcastle', 'score': 0.001}, {'token': 'victoria', 'score': 0.001}, {'token': 'liverpool', 'score': 0.001}, {'token': 'brisbane', 'score': 0.001}, {'token': 'grafton', 'score': 0.001}, {'token': 'australia', 'score': 0.001}]","[{'token': 'sydney', 'score': 0.862}, {'token': 'nsw', 'score': 0.096}, {'token': 'queensland', 'score': 0.006}, {'token': 'victoria', 'score': 0.003}, {'token': 'parramatta', 'score': 0.003}, {'token': 'newcastle', 'score': 0.003}, {'token': 'grafton', 'score': 0.003}, {'token': 'melbourne', 'score': 0.002}, {'token': 'liverpool', 'score': 0.001}, {'token': 'nelson', 'score': 0.001}]","[{'token': 'sydney', 'score': 0.668}, {'token': 'nsw', 'score': 0.273}, {'token': 'queensland', 'score': 0.042}, {'token': 'victoria', 'score': 0.006}, {'token': 'australia', 'score': 0.006}, {'token': 'melbourne', 'score': 0.0}, {'token': 'wa', 'score': 0.0}, {'token': 'newcastle', 'score': 0.0}, {'token': 'england', 'score': 0.0}, {'token': 'hawke', 'score': 0.0}]","[{'token': 'sydney', 'score': 0.789}, {'token': 'nsw', 'score': 0.112}, {'token': 'victoria', 'score': 0.029}, {'token': 'queensland', 'score': 0.025}, {'token': 'melbourne', 'score': 0.008}, {'token': 'liverpool', 'score': 0.002}, {'token': 'parramatta', 'score': 0.002}, {'token': 'australia', 'score': 0.002}, {'token': 'newcastle', 'score': 0.002}, {'token': 'adelaide', 'score': 0.001}]"
6,strasbourg,"[{'token': 'strasbourg', 'score': 0.287}, {'token': 'alsace', 'score': 0.276}, {'token': 'metz', 'score': 0.131}, {'token': 'paris', 'score': 0.072}, {'token': 'nancy', 'score': 0.042}, {'token': 'martinez', 'score': 0.039}, {'token': 'luxembourg', 'score': 0.027}, {'token': 'france', 'score': 0.019}, {'token': 'lorraine', 'score': 0.017}, {'token': 'cincinnati', 'score': 0.007}]","[{'token': 'metz', 'score': 0.434}, {'token': 'strasbourg', 'score': 0.418}, {'token': 'nancy', 'score': 0.058}, {'token': 'paris', 'score': 0.027}, {'token': 'alsace', 'score': 0.025}, {'token': 'versailles', 'score': 0.012}, {'token': 'sedan', 'score': 0.006}, {'token': 'luxembourg', 'score': 0.005}, {'token': 'dax', 'score': 0.005}, {'token': 'lorraine', 'score': 0.002}]","[{'token': 'alsace', 'score': 0.469}, {'token': 'strasbourg', 'score': 0.448}, {'token': 'paris', 'score': 0.018}, {'token': 'lyon', 'score': 0.017}, {'token': 'geneva', 'score': 0.012}, {'token': 'nancy', 'score': 0.002}, {'token': 'toulouse', 'score': 0.002}, {'token': 'france', 'score': 0.002}, {'token': 'canton', 'score': 0.002}, {'token': 'luxembourg', 'score': 0.002}]","[{'token': 'paris', 'score': 0.437}, {'token': 'strasbourg', 'score': 0.423}, {'token': 'brussels', 'score': 0.107}, {'token': 'vienna', 'score': 0.016}, {'token': 'prague', 'score': 0.003}, {'token': 'lyon', 'score': 0.003}, {'token': 'luxembourg', 'score': 0.002}, {'token': 'rome', 'score': 0.001}, {'token': 'warsaw', 'score': 0.001}, {'token': 'versailles', 'score': 0.001}]","[{'token': 'strasbourg', 'score': 0.721}, {'token': 'alsace', 'score': 0.156}, {'token': 'paris', 'score': 0.058}, {'token': 'metz', 'score': 0.015}, {'token': 'lyon', 'score': 0.01}, {'token': 'nancy', 'score': 0.009}, {'token': 'toulouse', 'score': 0.008}, {'token': 'marseille', 'score': 0.004}, {'token': 'nice', 'score': 0.003}, {'token': 'dax', 'score': 0.002}]"
7,shreveport,"[{'token': 'louisiana', 'score': 0.362}, {'token': 'texas', 'score': 0.168}, {'token': ',', 'score': 0.07}, {'token': 'usa', 'score': 0.057}, {'token': '.', 'score': 0.041}, {'token': 'mississippi', 'score': 0.035}, {'token': 'la', 'score': 0.031}, {'token': 'arkansas', 'score': 0.024}, {'token': '-', 'score': 0.015}, {'token': 'ca', 'score': 0.012}]","[{'token': 'texas', 'score': 0.21}, {'token': 'usa', 'score': 0.168}, {'token': 'south', 'score': 0.101}, {'token': 'louisiana', 'score': 0.082}, {'token': 'alabama', 'score': 0.039}, {'token': 'mississippi', 'score': 0.032}, {'token': 'arkansas', 'score': 0.029}, {'token': 'georgia', 'score': 0.025}, {'token': 'jail', 'score': 0.016}, {'token': 'oklahoma', 'score': 0.012}]","[{'token': ',', 'score': 0.887}, {'token': '.', 'score': 0.015}, {'token': 'here', 'score': 0.015}, {'token': 'usa', 'score': 0.007}, {'token': 'louisiana', 'score': 0.005}, {'token': 'there', 'score': 0.005}, {'token': 'texas', 'score': 0.004}, {'token': ';', 'score': 0.004}, {'token': 'on', 'score': 0.003}, {'token': 'in', 'score': 0.003}]","[{'token': ',', 'score': 0.928}, {'token': '.', 'score': 0.012}, {'token': ';', 'score': 0.007}, {'token': 'texas', 'score': 0.004}, {'token': 'was', 'score': 0.003}, {'token': '-', 'score': 0.003}, {'token': 'is', 'score': 0.003}, {'token': 'louisiana', 'score': 0.002}, {'token': 'usa', 'score': 0.002}, {'token': '...', 'score': 0.002}]","[{'token': ',', 'score': 0.838}, {'token': '.', 'score': 0.049}, {'token': 'usa', 'score': 0.025}, {'token': 'louisiana', 'score': 0.006}, {'token': 'texas', 'score': 0.005}, {'token': 'south', 'score': 0.005}, {'token': 'in', 'score': 0.004}, {'token': ';', 'score': 0.004}, {'token': '-', 'score': 0.003}, {'token': 'on', 'score': 0.003}]"
8,lincoln,"[{'token': 'texas', 'score': 0.163}, {'token': 'california', 'score': 0.075}, {'token': 'chicago', 'score': 0.056}, {'token': 'colorado', 'score': 0.048}, {'token': 'florida', 'score': 0.046}, {'token': 'illinois', 'score': 0.045}, {'token': 'atlanta', 'score': 0.044}, {'token': 'minnesota', 'score': 0.04}, {'token': 'wisconsin', 'score': 0.034}, {'token': 'houston', 'score': 0.03}]","[{'token': 'chicago', 'score': 0.142}, {'token': 'atlanta', 'score': 0.125}, {'token': 'houston', 'score': 0.084}, {'token': 'dallas', 'score': 0.056}, {'token': 'denver', 'score': 0.052}, {'token': 'texas', 'score': 0.038}, {'token': 'california', 'score': 0.031}, {'token': 'boston', 'score': 0.027}, {'token': 'philadelphia', 'score': 0.022}, {'token': 'minnesota', 'score': 0.02}]","[{'token': 'seattle', 'score': 0.72}, {'token': 'it', 'score': 0.157}, {'token': 'olympia', 'score': 0.03}, {'token': 'this', 'score': 0.01}, {'token': 'bellevue', 'score': 0.007}, {'token': 'washington', 'score': 0.006}, {'token': 'tacoma', 'score': 0.006}, {'token': 'everett', 'score': 0.005}, {'token': 'downtown', 'score': 0.004}, {'token': 'shoreline', 'score': 0.003}]","[{'token': 'nebraska', 'score': 0.977}, {'token': 'omaha', 'score': 0.014}, {'token': 'colorado', 'score': 0.002}, {'token': 'lincoln', 'score': 0.001}, {'token': 'oklahoma', 'score': 0.001}, {'token': 'alaska', 'score': 0.001}, {'token': 'texas', 'score': 0.0}, {'token': 'denver', 'score': 0.0}, {'token': 'minnesota', 'score': 0.0}, {'token': 'illinois', 'score': 0.0}]","[{'token': 'nebraska', 'score': 0.869}, {'token': 'california', 'score': 0.076}, {'token': 'omaha', 'score': 0.013}, {'token': 'martinez', 'score': 0.009}, {'token': 'colorado', 'score': 0.006}, {'token': 'nevada', 'score': 0.004}, {'token': 'ohio', 'score': 0.003}, {'token': 'lincoln', 'score': 0.003}, {'token': 'iowa', 'score': 0.002}, {'token': 'kentucky', 'score': 0.002}]"
9,winchester,"[{'token': 'london', 'score': 0.494}, {'token': 'winchester', 'score': 0.269}, {'token': 'portsmouth', 'score': 0.047}, {'token': 'southampton', 'score': 0.039}, {'token': 'oxford', 'score': 0.032}, {'token': 'westminster', 'score': 0.02}, {'token': 'whitehall', 'score': 0.018}, {'token': 'manchester', 'score': 0.014}, {'token': 'cambridge', 'score': 0.008}, {'token': 'richmond', 'score': 0.008}]","[{'token': 'hampshire', 'score': 0.681}, {'token': 'winchester', 'score': 0.127}, {'token': 'southampton', 'score': 0.073}, {'token': 'london', 'score': 0.049}, {'token': 'england', 'score': 0.011}, {'token': 'oxford', 'score': 0.008}, {'token': 'durham', 'score': 0.007}, {'token': 'bristol', 'score': 0.004}, {'token': 'county', 'score': 0.004}, {'token': 'portsmouth', 'score': 0.003}]","[{'token': 'hampshire', 'score': 0.923}, {'token': 'england', 'score': 0.064}, {'token': 'winchester', 'score': 0.006}, {'token': 'southampton', 'score': 0.002}, {'token': 'london', 'score': 0.002}, {'token': 'portsmouth', 'score': 0.001}, {'token': 'somerset', 'score': 0.0}, {'token': 'county', 'score': 0.0}, {'token': 'durham', 'score': 0.0}, {'token': 'lancashire', 'score': 0.0}]","[{'token': 'winchester', 'score': 0.319}, {'token': 'portsmouth', 'score': 0.315}, {'token': 'london', 'score': 0.139}, {'token': 'southampton', 'score': 0.047}, {'token': 'hampshire', 'score': 0.022}, {'token': 'manchester', 'score': 0.021}, {'token': 'cambridge', 'score': 0.014}, {'token': 'westminster', 'score': 0.012}, {'token': 'exeter', 'score': 0.011}, {'token': 'oxford', 'score': 0.011}]","[{'token': 'london', 'score': 0.753}, {'token': 'winchester', 'score': 0.051}, {'token': 'westminster', 'score': 0.046}, {'token': 'oxford', 'score': 0.025}, {'token': 'manchester', 'score': 0.022}, {'token': 'southampton', 'score': 0.016}, {'token': 'portsmouth', 'score': 0.013}, {'token': 'whitehall', 'score': 0.008}, {'token': 'cambridge', 'score': 0.007}, {'token': 'exeter', 'score': 0.004}]"
