,answers,original,t5_0,t5_1,t5_2,t5_3
0,baku,"[{'token': 'baku', 'score': 0.996}, {'token': 'tbilisi', 'score': 0.002}, {'token': 'azerbaijan', 'score': 0.001}, {'token': 'caspian', 'score': 0.001}, {'token': 'ur', 'score': 0.0}, {'token': 'cyrus', 'score': 0.0}, {'token': 'van', 'score': 0.0}, {'token': 'constantinople', 'score': 0.0}, {'token': 'caucasian', 'score': 0.0}, {'token': 'mug', 'score': 0.0}]","[{'token': 'many', 'score': 0.528}, {'token': '300', 'score': 0.035}, {'token': '400', 'score': 0.03}, {'token': '200', 'score': 0.029}, {'token': '150', 'score': 0.029}, {'token': '100', 'score': 0.018}, {'token': '500', 'score': 0.017}, {'token': '50', 'score': 0.014}, {'token': 'thousands', 'score': 0.013}, {'token': '60', 'score': 0.012}]","[{'token': 'many', 'score': 0.443}, {'token': '300', 'score': 0.05}, {'token': '200', 'score': 0.037}, {'token': '150', 'score': 0.033}, {'token': '400', 'score': 0.032}, {'token': 'thousands', 'score': 0.03}, {'token': '500', 'score': 0.026}, {'token': '100', 'score': 0.017}, {'token': '50', 'score': 0.016}, {'token': '60', 'score': 0.013}]","[{'token': 'many', 'score': 0.277}, {'token': '300', 'score': 0.081}, {'token': '500', 'score': 0.08}, {'token': '400', 'score': 0.053}, {'token': 'thousands', 'score': 0.05}, {'token': '800', 'score': 0.037}, {'token': '200', 'score': 0.036}, {'token': '150', 'score': 0.028}, {'token': '1500', 'score': 0.025}, {'token': '700', 'score': 0.024}]","[{'token': '500', 'score': 0.095}, {'token': '800', 'score': 0.088}, {'token': '300', 'score': 0.074}, {'token': '400', 'score': 0.055}, {'token': '700', 'score': 0.042}, {'token': 'many', 'score': 0.04}, {'token': '200', 'score': 0.038}, {'token': '600', 'score': 0.027}, {'token': '900', 'score': 0.027}, {'token': '1500', 'score': 0.025}]"
1,brody,"[{'token': 'brody', 'score': 0.933}, {'token': 'the', 'score': 0.054}, {'token': 'donetsk', 'score': 0.004}, {'token': 'that', 'score': 0.001}, {'token': 'kiev', 'score': 0.001}, {'token': 'lviv', 'score': 0.001}, {'token': 'minsk', 'score': 0.0}, {'token': 'this', 'score': 0.0}, {'token': 'bar', 'score': 0.0}, {'token': 'vladimir', 'score': 0.0}]","[{'token': 'kiev', 'score': 0.325}, {'token': 'odessa', 'score': 0.185}, {'token': 'donetsk', 'score': 0.139}, {'token': 'ukrainian', 'score': 0.056}, {'token': 'kyiv', 'score': 0.053}, {'token': 'lviv', 'score': 0.039}, {'token': 'carpathian', 'score': 0.029}, {'token': 'crimean', 'score': 0.015}, {'token': 'minsk', 'score': 0.014}, {'token': 'southern', 'score': 0.007}]","[{'token': 'kiev', 'score': 0.464}, {'token': 'donetsk', 'score': 0.181}, {'token': 'the', 'score': 0.14}, {'token': 'lviv', 'score': 0.045}, {'token': 'odessa', 'score': 0.027}, {'token': 'ukrainian', 'score': 0.021}, {'token': 'capital', 'score': 0.02}, {'token': 'kyiv', 'score': 0.008}, {'token': 'ukraine', 'score': 0.003}, {'token': '##chuk', 'score': 0.002}]","[{'token': 'the', 'score': 0.458}, {'token': 'odessa', 'score': 0.08}, {'token': 'carpathian', 'score': 0.029}, {'token': 'lviv', 'score': 0.024}, {'token': 'montgomery', 'score': 0.01}, {'token': '""', 'score': 0.01}, {'token': 'a', 'score': 0.008}, {'token': 'western', 'score': 0.005}, {'token': 'lenin', 'score': 0.005}, {'token': 'gora', 'score': 0.005}]","[{'token': 'kiev', 'score': 0.717}, {'token': 'donetsk', 'score': 0.117}, {'token': 'the', 'score': 0.035}, {'token': 'lviv', 'score': 0.026}, {'token': 'ukrainian', 'score': 0.022}, {'token': 'odessa', 'score': 0.02}, {'token': 'kyiv', 'score': 0.015}, {'token': 'ukraine', 'score': 0.006}, {'token': 'that', 'score': 0.005}, {'token': 'capital', 'score': 0.002}]"
2,chicago,"[{'token': 'chicago', 'score': 0.926}, {'token': 'helsinki', 'score': 0.031}, {'token': 'seattle', 'score': 0.004}, {'token': 'decatur', 'score': 0.003}, {'token': 'it', 'score': 0.003}, {'token': 'jakarta', 'score': 0.003}, {'token': 'madison', 'score': 0.001}, {'token': 'milwaukee', 'score': 0.001}, {'token': 'miami', 'score': 0.001}, {'token': 'phoenix', 'score': 0.001}]","[{'token': 'center', 'score': 0.49}, {'token': 'seat', 'score': 0.458}, {'token': 'headquarters', 'score': 0.02}, {'token': 'centre', 'score': 0.017}, {'token': 'capital', 'score': 0.006}, {'token': 'hub', 'score': 0.001}, {'token': 'centers', 'score': 0.001}, {'token': 'head', 'score': 0.001}, {'token': 'city', 'score': 0.001}, {'token': 'unit', 'score': 0.0}]","[{'token': 'chicago', 'score': 0.853}, {'token': 'helsinki', 'score': 0.074}, {'token': 'decatur', 'score': 0.007}, {'token': 'it', 'score': 0.006}, {'token': 'miami', 'score': 0.004}, {'token': 'milwaukee', 'score': 0.003}, {'token': 'batavia', 'score': 0.002}, {'token': 'seattle', 'score': 0.002}, {'token': 'phoenix', 'score': 0.002}, {'token': 'austin', 'score': 0.002}]","[{'token': 'illinois', 'score': 0.492}, {'token': 'wisconsin', 'score': 0.111}, {'token': 'minnesota', 'score': 0.053}, {'token': 'vermont', 'score': 0.046}, {'token': 'florida', 'score': 0.04}, {'token': 'chicago', 'score': 0.022}, {'token': 'massachusetts', 'score': 0.015}, {'token': 'ontario', 'score': 0.011}, {'token': 'michigan', 'score': 0.01}, {'token': 'iowa', 'score': 0.009}]","[{'token': 'chicago', 'score': 0.984}, {'token': 'decatur', 'score': 0.004}, {'token': 'helsinki', 'score': 0.001}, {'token': 'seattle', 'score': 0.001}, {'token': 'appleton', 'score': 0.001}, {'token': 'illinois', 'score': 0.0}, {'token': 'batavia', 'score': 0.0}, {'token': 'austin', 'score': 0.0}, {'token': 'elgin', 'score': 0.0}, {'token': 'cicero', 'score': 0.0}]"
3,richmond,"[{'token': 'martinez', 'score': 0.524}, {'token': 'dallas', 'score': 0.047}, {'token': 'pasadena', 'score': 0.034}, {'token': 'lancaster', 'score': 0.017}, {'token': 'beaumont', 'score': 0.015}, {'token': 'california', 'score': 0.013}, {'token': 'hollywood', 'score': 0.012}, {'token': 'austin', 'score': 0.011}, {'token': 'detroit', 'score': 0.011}, {'token': 'monterey', 'score': 0.009}]","[{'token': 'hereford', 'score': 0.374}, {'token': 'dallas', 'score': 0.163}, {'token': 'houston', 'score': 0.071}, {'token': 'austin', 'score': 0.051}, {'token': 'galveston', 'score': 0.031}, {'token': 'montgomery', 'score': 0.009}, {'token': 'birmingham', 'score': 0.008}, {'token': 'tyler', 'score': 0.008}, {'token': 'marshall', 'score': 0.007}, {'token': 'pasadena', 'score': 0.006}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'dunedin', 'score': 0.147}, {'token': 'austin', 'score': 0.073}, {'token': 'dallas', 'score': 0.066}, {'token': 'eagle', 'score': 0.044}, {'token': 'toronto', 'score': 0.029}, {'token': 'hamilton', 'score': 0.025}, {'token': 'denver', 'score': 0.015}, {'token': 'adelaide', 'score': 0.013}, {'token': 'midland', 'score': 0.013}, {'token': 'parma', 'score': 0.013}]","[{'token': 'eagle', 'score': 0.242}, {'token': 'dunedin', 'score': 0.117}, {'token': 'austin', 'score': 0.025}, {'token': 'hamilton', 'score': 0.015}, {'token': 'aspen', 'score': 0.01}, {'token': 'dallas', 'score': 0.01}, {'token': 'toronto', 'score': 0.008}, {'token': 'parma', 'score': 0.008}, {'token': 'adelaide', 'score': 0.008}, {'token': 'addison', 'score': 0.007}]"
4,auburn,"[{'token': 'albany', 'score': 0.557}, {'token': 'syracuse', 'score': 0.252}, {'token': 'buffalo', 'score': 0.036}, {'token': 'auburn', 'score': 0.035}, {'token': 'rochester', 'score': 0.017}, {'token': 'brooklyn', 'score': 0.008}, {'token': 'ithaca', 'score': 0.008}, {'token': 'rome', 'score': 0.007}, {'token': 'ny', 'score': 0.007}, {'token': 'ontario', 'score': 0.004}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'acting', 'score': 0.257}, {'token': 'elected', 'score': 0.14}, {'token': 'additional', 'score': 0.047}, {'token': 'interim', 'score': 0.045}, {'token': 'illinois', 'score': 0.042}, {'token': 'alternate', 'score': 0.035}, {'token': 'independent', 'score': 0.034}, {'token': 'associate', 'score': 0.022}, {'token': 'active', 'score': 0.02}, {'token': 'old', 'score': 0.016}]","[{'token': 'albany', 'score': 0.732}, {'token': 'syracuse', 'score': 0.08}, {'token': 'buffalo', 'score': 0.047}, {'token': 'rochester', 'score': 0.013}, {'token': 'auburn', 'score': 0.008}, {'token': 'brooklyn', 'score': 0.007}, {'token': 'rome', 'score': 0.006}, {'token': 'ithaca', 'score': 0.006}, {'token': 'geneva', 'score': 0.005}, {'token': 'vermont', 'score': 0.004}]","[{'token': 'albany', 'score': 0.163}, {'token': 'syracuse', 'score': 0.099}, {'token': 'rochester', 'score': 0.06}, {'token': 'florida', 'score': 0.055}, {'token': 'brooklyn', 'score': 0.038}, {'token': 'vermont', 'score': 0.038}, {'token': 'buffalo', 'score': 0.034}, {'token': 'california', 'score': 0.032}, {'token': 'pennsylvania', 'score': 0.025}, {'token': 'maine', 'score': 0.019}]"
5,windsor,"[{'token': 'sydney', 'score': 0.872}, {'token': 'nsw', 'score': 0.095}, {'token': 'victoria', 'score': 0.012}, {'token': 'queensland', 'score': 0.006}, {'token': 'melbourne', 'score': 0.003}, {'token': 'nelson', 'score': 0.001}, {'token': 'newcastle', 'score': 0.001}, {'token': 'hawke', 'score': 0.001}, {'token': 'parramatta', 'score': 0.001}, {'token': 'tasmania', 'score': 0.001}]","[{'token': 'sydney', 'score': 0.956}, {'token': 'nsw', 'score': 0.03}, {'token': 'melbourne', 'score': 0.005}, {'token': 'queensland', 'score': 0.002}, {'token': 'victoria', 'score': 0.002}, {'token': 'australia', 'score': 0.001}, {'token': 'newcastle', 'score': 0.001}, {'token': 'adelaide', 'score': 0.0}, {'token': 'brisbane', 'score': 0.0}, {'token': 'perth', 'score': 0.0}]","[{'token': 'sydney', 'score': 0.831}, {'token': 'nsw', 'score': 0.125}, {'token': 'victoria', 'score': 0.007}, {'token': 'queensland', 'score': 0.005}, {'token': 'newcastle', 'score': 0.004}, {'token': 'melbourne', 'score': 0.003}, {'token': 'hawke', 'score': 0.002}, {'token': 'grafton', 'score': 0.002}, {'token': 'parramatta', 'score': 0.001}, {'token': 'napier', 'score': 0.001}]","[{'token': 'sydney', 'score': 0.469}, {'token': 'nsw', 'score': 0.458}, {'token': 'queensland', 'score': 0.041}, {'token': 'victoria', 'score': 0.018}, {'token': 'australia', 'score': 0.01}, {'token': 'tasmania', 'score': 0.001}, {'token': 'wa', 'score': 0.001}, {'token': 'melbourne', 'score': 0.0}, {'token': 'england', 'score': 0.0}, {'token': 'newcastle', 'score': 0.0}]","[{'token': 'sydney', 'score': 0.854}, {'token': 'nsw', 'score': 0.123}, {'token': 'queensland', 'score': 0.004}, {'token': 'victoria', 'score': 0.002}, {'token': 'newcastle', 'score': 0.002}, {'token': 'grafton', 'score': 0.001}, {'token': 'parramatta', 'score': 0.001}, {'token': 'melbourne', 'score': 0.001}, {'token': 'liverpool', 'score': 0.001}, {'token': 'bathurst', 'score': 0.001}]"
6,strasbourg,"[{'token': 'strasbourg', 'score': 0.894}, {'token': 'alsace', 'score': 0.045}, {'token': 'paris', 'score': 0.04}, {'token': 'metz', 'score': 0.009}, {'token': 'nancy', 'score': 0.003}, {'token': 'luxembourg', 'score': 0.002}, {'token': 'lyon', 'score': 0.002}, {'token': 'brussels', 'score': 0.001}, {'token': 'versailles', 'score': 0.0}, {'token': 'lille', 'score': 0.0}]","[{'token': 'strasbourg', 'score': 0.693}, {'token': 'metz', 'score': 0.203}, {'token': 'paris', 'score': 0.041}, {'token': 'nancy', 'score': 0.026}, {'token': 'alsace', 'score': 0.009}, {'token': 'versailles', 'score': 0.004}, {'token': 'sedan', 'score': 0.004}, {'token': 'lyon', 'score': 0.004}, {'token': 'luxembourg', 'score': 0.003}, {'token': 'dax', 'score': 0.002}]","[{'token': 'strasbourg', 'score': 0.688}, {'token': 'alsace', 'score': 0.266}, {'token': 'lyon', 'score': 0.011}, {'token': 'paris', 'score': 0.009}, {'token': 'geneva', 'score': 0.006}, {'token': 'metz', 'score': 0.003}, {'token': 'nancy', 'score': 0.002}, {'token': 'dax', 'score': 0.001}, {'token': 'luxembourg', 'score': 0.001}, {'token': 'toulouse', 'score': 0.001}]","[{'token': 'strasbourg', 'score': 0.802}, {'token': 'paris', 'score': 0.176}, {'token': 'brussels', 'score': 0.01}, {'token': 'lyon', 'score': 0.005}, {'token': 'luxembourg', 'score': 0.001}, {'token': 'france', 'score': 0.001}, {'token': 'bordeaux', 'score': 0.001}, {'token': 'rouen', 'score': 0.001}, {'token': 'orleans', 'score': 0.0}, {'token': 'nantes', 'score': 0.0}]","[{'token': 'strasbourg', 'score': 0.637}, {'token': 'paris', 'score': 0.144}, {'token': 'lyon', 'score': 0.111}, {'token': 'alsace', 'score': 0.057}, {'token': 'marseille', 'score': 0.009}, {'token': 'toulouse', 'score': 0.006}, {'token': 'metz', 'score': 0.006}, {'token': 'nantes', 'score': 0.005}, {'token': 'bordeaux', 'score': 0.004}, {'token': 'nancy', 'score': 0.003}]"
7,shreveport,"[{'token': 'louisiana', 'score': 0.398}, {'token': 'texas', 'score': 0.117}, {'token': 'usa', 'score': 0.07}, {'token': ',', 'score': 0.067}, {'token': '.', 'score': 0.063}, {'token': '-', 'score': 0.024}, {'token': 'arkansas', 'score': 0.02}, {'token': 'la', 'score': 0.019}, {'token': 'south', 'score': 0.015}, {'token': 'mississippi', 'score': 0.014}]","[{'token': 'texas', 'score': 0.436}, {'token': 'louisiana', 'score': 0.296}, {'token': 'usa', 'score': 0.042}, {'token': 'mississippi', 'score': 0.029}, {'token': 'la', 'score': 0.016}, {'token': 'south', 'score': 0.012}, {'token': 'arkansas', 'score': 0.011}, {'token': 'parish', 'score': 0.011}, {'token': ',', 'score': 0.009}, {'token': 'iowa', 'score': 0.007}]","[{'token': ',', 'score': 0.901}, {'token': 'here', 'score': 0.014}, {'token': '.', 'score': 0.008}, {'token': 'texas', 'score': 0.006}, {'token': 'there', 'score': 0.005}, {'token': 'in', 'score': 0.004}, {'token': 'usa', 'score': 0.004}, {'token': 'louisiana', 'score': 0.003}, {'token': 'south', 'score': 0.003}, {'token': ';', 'score': 0.003}]","[{'token': ',', 'score': 0.975}, {'token': '.', 'score': 0.005}, {'token': ';', 'score': 0.004}, {'token': 'texas', 'score': 0.001}, {'token': '-', 'score': 0.001}, {'token': 'died', 'score': 0.001}, {'token': 'louisiana', 'score': 0.001}, {'token': 'was', 'score': 0.001}, {'token': 'parish', 'score': 0.001}, {'token': ')', 'score': 0.001}]","[{'token': ',', 'score': 0.882}, {'token': '.', 'score': 0.058}, {'token': 'usa', 'score': 0.004}, {'token': ';', 'score': 0.004}, {'token': 'louisiana', 'score': 0.003}, {'token': '-', 'score': 0.003}, {'token': 'died', 'score': 0.003}, {'token': 'texas', 'score': 0.003}, {'token': 'on', 'score': 0.003}, {'token': 'south', 'score': 0.002}]"
8,lincoln,"[{'token': 'nebraska', 'score': 0.993}, {'token': 'omaha', 'score': 0.004}, {'token': 'lincoln', 'score': 0.001}, {'token': 'colorado', 'score': 0.0}, {'token': 'iowa', 'score': 0.0}, {'token': 'california', 'score': 0.0}, {'token': 'ohio', 'score': 0.0}, {'token': 'kentucky', 'score': 0.0}, {'token': 'kansas', 'score': 0.0}, {'token': 'wisconsin', 'score': 0.0}]","[{'token': 'atlanta', 'score': 0.185}, {'token': 'denver', 'score': 0.093}, {'token': 'houston', 'score': 0.075}, {'token': 'texas', 'score': 0.073}, {'token': 'minnesota', 'score': 0.039}, {'token': 'dallas', 'score': 0.035}, {'token': 'colorado', 'score': 0.022}, {'token': 'austin', 'score': 0.021}, {'token': 'utah', 'score': 0.02}, {'token': 'california', 'score': 0.019}]","[{'token': 'stade', 'score': 0.26}, {'token': 'brussels', 'score': 0.202}, {'token': 'bremen', 'score': 0.148}, {'token': 'it', 'score': 0.063}, {'token': 'hamburg', 'score': 0.04}, {'token': 'munster', 'score': 0.04}, {'token': 'antwerp', 'score': 0.023}, {'token': 'hanover', 'score': 0.022}, {'token': 'berlin', 'score': 0.017}, {'token': 'waterloo', 'score': 0.013}]","[{'token': 'california', 'score': 0.41}, {'token': 'chicago', 'score': 0.09}, {'token': 'nebraska', 'score': 0.073}, {'token': 'houston', 'score': 0.042}, {'token': 'florida', 'score': 0.031}, {'token': 'texas', 'score': 0.03}, {'token': 'omaha', 'score': 0.027}, {'token': 'colorado', 'score': 0.027}, {'token': 'washington', 'score': 0.022}, {'token': 'illinois', 'score': 0.018}]","[{'token': 'nebraska', 'score': 0.986}, {'token': 'omaha', 'score': 0.012}, {'token': 'lincoln', 'score': 0.001}, {'token': 'iowa', 'score': 0.0}, {'token': 'crete', 'score': 0.0}, {'token': 'kansas', 'score': 0.0}, {'token': 'colorado', 'score': 0.0}, {'token': 'kentucky', 'score': 0.0}, {'token': 'minnesota', 'score': 0.0}, {'token': 'oklahoma', 'score': 0.0}]"
9,winchester,"[{'token': 'winchester', 'score': 0.581}, {'token': 'london', 'score': 0.139}, {'token': 'southampton', 'score': 0.107}, {'token': 'portsmouth', 'score': 0.085}, {'token': 'westminster', 'score': 0.01}, {'token': 'oxford', 'score': 0.01}, {'token': 'manchester', 'score': 0.009}, {'token': 'richmond', 'score': 0.007}, {'token': 'hampshire', 'score': 0.005}, {'token': 'melbourne', 'score': 0.004}]","[{'token': 'hampshire', 'score': 0.932}, {'token': 'winchester', 'score': 0.033}, {'token': 'southampton', 'score': 0.016}, {'token': 'portsmouth', 'score': 0.002}, {'token': 'london', 'score': 0.002}, {'token': 'county', 'score': 0.002}, {'token': 'england', 'score': 0.002}, {'token': 'sussex', 'score': 0.001}, {'token': 'berkshire', 'score': 0.001}, {'token': 'kent', 'score': 0.001}]","[{'token': 'hampshire', 'score': 0.931}, {'token': 'southampton', 'score': 0.016}, {'token': 'winchester', 'score': 0.014}, {'token': 'portsmouth', 'score': 0.009}, {'token': 'london', 'score': 0.008}, {'token': 'england', 'score': 0.004}, {'token': 'oxford', 'score': 0.002}, {'token': 'manchester', 'score': 0.002}, {'token': 'kent', 'score': 0.002}, {'token': 'lancashire', 'score': 0.002}]","[{'token': 'london', 'score': 0.741}, {'token': 'winchester', 'score': 0.064}, {'token': 'portsmouth', 'score': 0.04}, {'token': 'southampton', 'score': 0.033}, {'token': 'oxford', 'score': 0.032}, {'token': 'westminster', 'score': 0.017}, {'token': 'manchester', 'score': 0.017}, {'token': 'exeter', 'score': 0.006}, {'token': 'cambridge', 'score': 0.005}, {'token': 'bristol', 'score': 0.005}]","[{'token': 'london', 'score': 0.44}, {'token': 'winchester', 'score': 0.142}, {'token': 'portsmouth', 'score': 0.09}, {'token': 'westminster', 'score': 0.058}, {'token': 'oxford', 'score': 0.056}, {'token': 'southampton', 'score': 0.049}, {'token': 'manchester', 'score': 0.017}, {'token': 'cambridge', 'score': 0.016}, {'token': 'exeter', 'score': 0.013}, {'token': 'whitehall', 'score': 0.01}]"
