,sub_label,template,obj_label,masked_sentence
0,Steve Jobs,[X] works for [Y] .,Apple,"[MASK] was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne on April 1, 1976, to develop and sell personal computers."
120,Steve Wozniak,[X] works for [Y] .,Apple,"[MASK] was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne on April 1, 1976, to develop and sell personal computers."
160,Paul Allen,[X] works for [Y] .,Microsoft,"In 1975, Gates and Paul Allen co-founded [MASK], which became the world's largest PC software company."
191,Satya Nadella,[X] works for [Y] .,Microsoft,"He stepped down as Chairman of [MASK] in February 2014, taking on a new post as technology advisor to support newly appointed CEO Satya Nadella."
193,Jeremy Paxman,[X] works for [Y] .,BBC,"The election was broadcast live on the [MASK], and presented by Jeremy Paxman, Andrew Marr, Peter Snow and David Dimbleby."
205,Andrew Marr,[X] works for [Y] .,BBC,"The election was broadcast live on the [MASK], and presented by Jeremy Paxman, Andrew Marr, Peter Snow and David Dimbleby."
218,David Dimbleby,[X] works for [Y] .,BBC,"The election was broadcast live on the [MASK], and presented by Jeremy Paxman, Andrew Marr, Peter Snow and David Dimbleby."
235,Grady Booch,[X] works for [Y] .,IBM,"It was developed by Grady Booch, while at Rational Software (now part of [MASK])."
236,Horst Feistel,[X] works for [Y] .,IBM,"Developed in the early 1970s at [MASK] and based on an earlier design by Horst Feistel, the algorithm was submitted to the National Bureau of Standards (NBS) following the agency's invitation to propose a candidate for the protection of sensitive, unclassified electronic government data."
242,Philip Don Estridge,[X] works for [Y] .,IBM,"It was created by a team of engineers and designers under the direction of Don Estridge of the [MASK] Entry Systems Division in Boca Raton, Florida."
243,Bill Gates,[X] works for [Y] .,Microsoft,"[MASK] was founded by Paul Allen and Bill Gates on April 4, 1975, to develop and sell BASIC interpreters for Altair 8800."
328,Steve Ballmer,[X] works for [Y] .,Microsoft,"In late 2012, Gelsinger was named by industry analysts as a possible successor to Steve Ballmer as the CEO of [MASK]."
349,Abdul Karim,[X] works for [Y] .,Victoria,"Upon his return from India, he also painted (in 1888 and 1889) two portraits of Abdul Karim (the Munshi), [MASK]'s favorite Indian servant."
354,Jonathan King,[X] works for [Y] .,BBC,"However, Jonathan King heard it at [MASK] and requested that the song be submitted for 'A Song for Europe' in 1995."
355,Marissa Mayer,[X] works for [Y] .,Google,"Marissa Mayer, a former [MASK] executive, serves as CEO and President of the company."
359,Dave Hyatt,[X] works for [Y] .,Apple,Mike Pinkerton had been the technical lead of the Camino project since Dave Hyatt moved to the Safari team at [MASK]
363,Jeff Fager,[X] works for [Y] .,CBS,"On November 15, 2011, [MASK] announced the cancellation of The Early Show, and replacement by a new morning program that CBS News chairman Jeff Fager and president David Rhodes stated would ""redefine the morning television landscape."""
