,sub_label,template,obj_label,masked_sentence,filled_sentence,Parrot_paraphrased_filled_sentence,Parrot_paraphrased_filled_sentence_0,Parrot_paraphrased_filled_sentence_1,Parrot_paraphrased_filled_sentence_2
0,John Cage,[X] plays [Y] music .,opera,"Her performance of John Cage's Six Melodies played an inspirational role in Andriessen's [MASK] ""Writing to Vermeer.""","Her performance of John Cage's Six Melodies played an inspirational role in Andriessen's opera ""Writing to Vermeer.""","['Her performance of John Cage\'s Six Melodies played an inspirational role in Andriessen\'s opera ""Writing to Vermeer.""']","Her performance of John Cage's Six Melodies played an inspirational role in Andriessen's [MASK] ""Writing to Vermeer.""",,
1,Herbie Mann,[X] plays [Y] music .,jazz,"Herbert Jay Solomon (April 16, 1930 – July 1, 2003), known by his stage name Herbie Mann, was an American [MASK] flautist and important early practitioner of world music.","Herbert Jay Solomon (April 16, 1930 – July 1, 2003), known by his stage name Herbie Mann, was an American jazz flautist and important early practitioner of world music.",['herbert jay solomon 16 april 1930 1 july 2003 known by his stage name herbie mann was an american jazz flautist and an important early practitioner of world music'],herbert jay solomon 16 april 1930 1 july 2003 known by his stage name herbie mann was an american [MASK] flautist and an important early practitioner of world music,,
2,William Bolcom,[X] plays [Y] music .,opera,McTeague is an American [MASK] composed by William Bolcom with a libretto Arnold Weinstein and Robert Altman.,McTeague is an American opera composed by William Bolcom with a libretto Arnold Weinstein and Robert Altman.,"['mcteague is an american opera written by william bolcom with a libretto by arnold weinstein and robert altman', 'mcteague is an american opera composed by william bolcom with a libretto arnold weinstein and robert altman']",mcteague is an american [MASK] written by william bolcom with a libretto by arnold weinstein and robert altman,mcteague is an american [MASK] composed by william bolcom with a libretto arnold weinstein and robert altman,
3,Original Dixieland Jass Band,[X] plays [Y] music .,jazz,"Christian was replaced by Nick LaRocca, and thus Frank Christian missed his chance to be in the Original Dixieland Jass Band which made the first [MASK] recordings in 1917.","Christian was replaced by Nick LaRocca, and thus Frank Christian missed his chance to be in the Original Dixieland Jass Band which made the first jazz recordings in 1917.","['christian was replaced by nick larocca and so frank christian missed his chance to be in the original dixieland jass band which made the first jazz recording in 1917', 'christian was replaced by nick larocca and thus frank christian missed his chance to be in the original dixieland jass band which made the first jazz recordings in 1917']",christian was replaced by nick larocca and so frank christian missed his chance to be in the original dixieland jass band which made the first [MASK] recording in 1917,christian was replaced by nick larocca and thus frank christian missed his chance to be in the original dixieland jass band which made the first [MASK] recordings in 1917,
4,Jean-Michel Pilc,[X] plays [Y] music .,jazz,"Jean-Michel Pilc (born 1960 in Paris, France) is a self-taught [MASK] pianist currently residing in New York.","Jean-Michel Pilc (born 1960 in Paris, France) is a self-taught jazz pianist currently residing in New York.","['Jean-Michel Pilc (born 1960 in Paris, France) is a self-taught jazz pianist currently residing in New York.']","Jean-Michel Pilc (born 1960 in Paris, France) is a self-taught [MASK] pianist currently residing in New York.",,
5,Giulio Caccini,[X] plays [Y] music .,opera,Euridice is an [MASK] in a prologue and one act by the Italian composer Giulio Caccini.,Euridice is an opera in a prologue and one act by the Italian composer Giulio Caccini.,"['euridice is an opera in a prologue and in an act by the italian composer giulio caccini', 'euridice is an opera in a prologue and an act by the italian composer giulio caccini', 'euridice is an opera in a prologue and one act by the italian composer giulio caccini']",euridice is an [MASK] in a prologue and in an act by the italian composer giulio caccini,euridice is an [MASK] in a prologue and an act by the italian composer giulio caccini,euridice is an [MASK] in a prologue and one act by the italian composer giulio caccini
6,Nicolas Dalayrac,[X] plays [Y] music .,opera,L'amant statue is an [MASK] in one act by composer Nicolas Dalayrac with a French libretto by Fouques Desfontaines.,L'amant statue is an opera in one act by composer Nicolas Dalayrac with a French libretto by Fouques Desfontaines.,"[""l'amant statue is an opera in one act by composer nicolas dalayrac with a french libretto by fouques desfontaines""]",l'amant statue is an [MASK] in one act by composer nicolas dalayrac with a french libretto by fouques desfontaines,,
7,Hamish MacCunn,[X] plays [Y] music .,opera,"Jeanie Deans is an [MASK] in four acts by Hamish MacCunn (1868–1916) set to a libretto by Joseph Bennett which is loosely based on Walter Scott's novel, The Heart of Midlothian and is named after its heroine, Jeanie Deans.","Jeanie Deans is an opera in four acts by Hamish MacCunn (1868–1916) set to a libretto by Joseph Bennett which is loosely based on Walter Scott's novel, The Heart of Midlothian and is named after its heroine, Jeanie Deans.","[""jeanie deans is an opera by hamish maccunn 1868-1916 in four acts with a libretto by joseph bennett loosely based on walter scott's novel the heart of midlothian and named after her heroine jeanie deans"", ""jeanie deans is an opera in four acts by hamish maccunn 18681916 based on a libretto by joseph bennett loosely based on walter scott's novel the heart of midlothian and named after its heroine jeanie deans""]",jeanie deans is an [MASK] by hamish maccunn 1868-1916 in four acts with a libretto by joseph bennett loosely based on walter scott's novel the heart of midlothian and named after her heroine jeanie deans,jeanie deans is an [MASK] in four acts by hamish maccunn 18681916 based on a libretto by joseph bennett loosely based on walter scott's novel the heart of midlothian and named after its heroine jeanie deans,
8,Frank Teschemacher,[X] plays [Y] music .,jazz,"Frank Teschemacher (March 13, 1906 in Kansas City, Missouri – March 1, 1932 in Chicago) was an American [MASK] clarinetist and alto-saxophonist, associated with the ""Austin High"" gang (along with Jimmy McPartland, Bud Freeman and others).","Frank Teschemacher (March 13, 1906 in Kansas City, Missouri – March 1, 1932 in Chicago) was an American jazz clarinetist and alto-saxophonist, associated with the ""Austin High"" gang (along with Jimmy McPartland, Bud Freeman and others).","['Frank Teschemacher (March 13, 1906 in Kansas City, Missouri – March 1, 1932 in Chicago) was an American jazz clarinetist and alto-saxophonist, associated with the ""Austin High"" gang (along with Jimmy McPartland, Bud Freeman and others).']","Frank Teschemacher (March 13, 1906 in Kansas City, Missouri – March 1, 1932 in Chicago) was an American [MASK] clarinetist and alto-saxophonist, associated with the ""Austin High"" gang (along with Jimmy McPartland, Bud Freeman and others).",,
9,Georgie Auld,[X] plays [Y] music .,jazz,"Georgie Auld (May 19, 1919 – January 8, 1990) was a [MASK] tenor saxophonist, clarinetist, and bandleader.","Georgie Auld (May 19, 1919 – January 8, 1990) was a jazz tenor saxophonist, clarinetist, and bandleader.","['Georgie Auld (May 19, 1919 – January 8, 1990) was a jazz tenor saxophonist, clarinetist, and bandleader.']","Georgie Auld (May 19, 1919 – January 8, 1990) was a [MASK] tenor saxophonist, clarinetist, and bandleader.",,
