obj_label,masked_sentence,masked_sentence_roberta
french,Louis Jules Trochu ([lwi ʒyl tʁɔʃy]; 12 March 1815 – 7 October 1896) was a [MASK] military leader and politician.,Louis Jules Trochu ([lwi ʒyl tʁɔʃy]; 12 March 1815 – 7 October 1896) was a <mask> military leader and politician.
french,Louis Jules Trochu ([lwi ʒyl tʁɔʃy]; 12 March 1815 – 7 October 1896) was a [MASK] military leader and politician.,Louis Jules Trochu ([lwi ʒyl tʁɔʃy]; 12 March 1815 – 7 October 1896) was a <mask> military leader and politician.
french,A Castle in Italy ([MASK]: Un château en Italie) is a 2013 French drama film directed by Valeria Bruni Tedeschi.,A Castle in Italy (<mask>: Un château en Italie) is a 2013 French drama film directed by Valeria Bruni Tedeschi.
french,A Castle in Italy (French: Un château en Italie) is a 2013 [MASK] drama film directed by Valeria Bruni Tedeschi.,A Castle in Italy (French: Un château en Italie) is a 2013 <mask> drama film directed by Valeria Bruni Tedeschi.
french,Pierre Joseph Auguste Messmer ([pjɛʁ mɛsmɛʁ]; 20 March 1916 – 29 August 2007) was a [MASK] Gaullist politician.,Pierre Joseph Auguste Messmer ([pjɛʁ mɛsmɛʁ]; 20 March 1916 – 29 August 2007) was a <mask> Gaullist politician.
french,Pierre Joseph Auguste Messmer ([pjɛʁ mɛsmɛʁ]; 20 March 1916 – 29 August 2007) was a [MASK] Gaullist politician.,Pierre Joseph Auguste Messmer ([pjɛʁ mɛsmɛʁ]; 20 March 1916 – 29 August 2007) was a <mask> Gaullist politician.
french,"Among those exposed were several [MASK] government officials, including French Defense Minister Pierre Messmer and Gaston Palewski.","Among those exposed were several <mask> government officials, including French Defense Minister Pierre Messmer and Gaston Palewski."
french,"During the [MASK] legislative elections of 1973, Lecanuet negotiated the withdrawal of candidates with Pierre Messmer to ensure the success of the majority.","During the <mask> legislative elections of 1973, Lecanuet negotiated the withdrawal of candidates with Pierre Messmer to ensure the success of the majority."
french,The Blue Hussar ([MASK]: Le hussard bleu) is a 1950 novel by the French writer Roger Nimier.,The Blue Hussar (<mask>: Le hussard bleu) is a 1950 novel by the French writer Roger Nimier.
french,The Blue Hussar (French: Le hussard bleu) is a 1950 novel by the [MASK] writer Roger Nimier.,The Blue Hussar (French: Le hussard bleu) is a 1950 novel by the <mask> writer Roger Nimier.
