,answers,original,t5_0,t5_1,t5_2,t5_3
0,opera,"[{'token': 'essay', 'score': 0.331}, {'token': 'poem', 'score': 0.195}, {'token': 'book', 'score': 0.079}, {'token': 'article', 'score': 0.031}, {'token': 'play', 'score': 0.024}, {'token': 'film', 'score': 0.021}, {'token': 'piece', 'score': 0.021}, {'token': 'song', 'score': 0.019}, {'token': 'work', 'score': 0.019}, {'token': 'composition', 'score': 0.018}]","[{'token': 'poem', 'score': 0.365}, {'token': 'essay', 'score': 0.266}, {'token': 'book', 'score': 0.1}, {'token': 'song', 'score': 0.042}, {'token': 'article', 'score': 0.042}, {'token': 'piece', 'score': 0.026}, {'token': 'composition', 'score': 0.021}, {'token': 'work', 'score': 0.007}, {'token': 'painting', 'score': 0.007}, {'token': 'film', 'score': 0.005}]","[{'token': 'essay', 'score': 0.641}, {'token': 'book', 'score': 0.074}, {'token': 'poem', 'score': 0.073}, {'token': 'article', 'score': 0.044}, {'token': 'piece', 'score': 0.019}, {'token': 'work', 'score': 0.013}, {'token': 'chapter', 'score': 0.012}, {'token': 'thesis', 'score': 0.012}, {'token': 'song', 'score': 0.005}, {'token': 'dissertation', 'score': 0.005}]","[{'token': 'poem', 'score': 0.142}, {'token': 'essay', 'score': 0.114}, {'token': 'piece', 'score': 0.068}, {'token': 'article', 'score': 0.054}, {'token': 'painting', 'score': 0.041}, {'token': 'film', 'score': 0.035}, {'token': 'book', 'score': 0.027}, {'token': 'play', 'score': 0.026}, {'token': 'work', 'score': 0.025}, {'token': 'episode', 'score': 0.022}]","[{'token': 'piece', 'score': 0.299}, {'token': 'composition', 'score': 0.156}, {'token': 'work', 'score': 0.101}, {'token': 'song', 'score': 0.085}, {'token': 'project', 'score': 0.051}, {'token': 'album', 'score': 0.03}, {'token': 'performance', 'score': 0.03}, {'token': 'poem', 'score': 0.022}, {'token': 'cd', 'score': 0.018}, {'token': 'installation', 'score': 0.014}]"
1,jazz,"[{'token': 'jazz', 'score': 0.985}, {'token': 'classical', 'score': 0.004}, {'token': 'rock', 'score': 0.003}, {'token': 'blues', 'score': 0.002}, {'token': 'concert', 'score': 0.002}, {'token': 'bass', 'score': 0.001}, {'token': 'folk', 'score': 0.0}, {'token': 'soul', 'score': 0.0}, {'token': 'fusion', 'score': 0.0}, {'token': 'electric', 'score': 0.0}]","[{'token': 'jazz', 'score': 0.98}, {'token': 'rock', 'score': 0.007}, {'token': 'blues', 'score': 0.004}, {'token': 'concert', 'score': 0.002}, {'token': 'classical', 'score': 0.002}, {'token': 'electric', 'score': 0.0}, {'token': 'fusion', 'score': 0.0}, {'token': 'swing', 'score': 0.0}, {'token': 'music', 'score': 0.0}, {'token': 'folk', 'score': 0.0}]","[{'token': 'jazz', 'score': 0.943}, {'token': 'classical', 'score': 0.018}, {'token': 'rock', 'score': 0.01}, {'token': 'blues', 'score': 0.005}, {'token': 'concert', 'score': 0.004}, {'token': 'born', 'score': 0.001}, {'token': 'american', 'score': 0.001}, {'token': 'folk', 'score': 0.001}, {'token': 'electric', 'score': 0.001}, {'token': 'modernist', 'score': 0.001}]","[{'token': 'jazz', 'score': 0.785}, {'token': 'blues', 'score': 0.1}, {'token': 'rock', 'score': 0.046}, {'token': 'professional', 'score': 0.023}, {'token': 'session', 'score': 0.009}, {'token': 'soul', 'score': 0.008}, {'token': 'folk', 'score': 0.005}, {'token': 'pop', 'score': 0.005}, {'token': 'studio', 'score': 0.004}, {'token': 'country', 'score': 0.002}]","[{'token': 'jazz', 'score': 0.98}, {'token': 'classical', 'score': 0.006}, {'token': 'rock', 'score': 0.006}, {'token': 'blues', 'score': 0.003}, {'token': 'concert', 'score': 0.001}, {'token': 'fusion', 'score': 0.0}, {'token': 'american', 'score': 0.0}, {'token': 'electric', 'score': 0.0}, {'token': 'bass', 'score': 0.0}, {'token': 'folk', 'score': 0.0}]"
2,opera,"[{'token': 'opera', 'score': 0.683}, {'token': 'musical', 'score': 0.248}, {'token': 'play', 'score': 0.046}, {'token': 'ballet', 'score': 0.014}, {'token': 'drama', 'score': 0.004}, {'token': 'tragedy', 'score': 0.001}, {'token': 'comedy', 'score': 0.0}, {'token': 'song', 'score': 0.0}, {'token': 'story', 'score': 0.0}, {'token': 'libretto', 'score': 0.0}]","[{'token': 'musical', 'score': 0.779}, {'token': 'opera', 'score': 0.156}, {'token': 'play', 'score': 0.019}, {'token': 'film', 'score': 0.016}, {'token': 'ballet', 'score': 0.005}, {'token': 'comedy', 'score': 0.005}, {'token': 'drama', 'score': 0.005}, {'token': 'sitcom', 'score': 0.003}, {'token': 'series', 'score': 0.001}, {'token': 'movie', 'score': 0.001}]","[{'token': 'musical', 'score': 0.105}, {'token': 'composer', 'score': 0.08}, {'token': 'libretto', 'score': 0.066}, {'token': 'playwright', 'score': 0.062}, {'token': 'opera', 'score': 0.04}, {'token': 'modernist', 'score': 0.032}, {'token': 'lyricist', 'score': 0.022}, {'token': 'translation', 'score': 0.018}, {'token': 'poet', 'score': 0.017}, {'token': 'play', 'score': 0.016}]","[{'token': 'musical', 'score': 0.631}, {'token': 'opera', 'score': 0.148}, {'token': 'film', 'score': 0.103}, {'token': 'play', 'score': 0.042}, {'token': 'drama', 'score': 0.024}, {'token': 'movie', 'score': 0.008}, {'token': 'comedy', 'score': 0.007}, {'token': 'ballet', 'score': 0.006}, {'token': 'novel', 'score': 0.003}, {'token': 'tragedy', 'score': 0.003}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
3,jazz,"[{'token': 'commercial', 'score': 0.314}, {'token': 'known', 'score': 0.068}, {'token': 'jazz', 'score': 0.064}, {'token': 'victor', 'score': 0.024}, {'token': 'ever', 'score': 0.023}, {'token': 'cylinder', 'score': 0.019}, {'token': 'hit', 'score': 0.018}, {'token': '78', 'score': 0.016}, {'token': 'lp', 'score': 0.016}, {'token': 'successful', 'score': 0.015}]","[{'token': 'commercial', 'score': 0.199}, {'token': 'jazz', 'score': 0.14}, {'token': 'known', 'score': 0.059}, {'token': 'hit', 'score': 0.044}, {'token': 'blues', 'score': 0.031}, {'token': 'gospel', 'score': 0.015}, {'token': 'cast', 'score': 0.011}, {'token': 'studio', 'score': 0.011}, {'token': 'successful', 'score': 0.01}, {'token': 'victor', 'score': 0.009}]","[{'token': 'together', 'score': 0.345}, {'token': 'commercially', 'score': 0.185}, {'token': 'successfully', 'score': 0.08}, {'token': 'professionally', 'score': 0.061}, {'token': 'records', 'score': 0.034}, {'token': 'live', 'score': 0.034}, {'token': 'publicly', 'score': 0.021}, {'token': 'ever', 'score': 0.014}, {'token': 'again', 'score': 0.013}, {'token': 'there', 'score': 0.009}]","[{'token': 'commercial', 'score': 0.187}, {'token': 'jazz', 'score': 0.103}, {'token': 'known', 'score': 0.094}, {'token': 'hit', 'score': 0.023}, {'token': 'studio', 'score': 0.021}, {'token': 'official', 'score': 0.02}, {'token': 'cast', 'score': 0.017}, {'token': 'surviving', 'score': 0.013}, {'token': 'blues', 'score': 0.012}, {'token': 'released', 'score': 0.012}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
4,jazz,"[{'token': 'french', 'score': 0.398}, {'token': 'jazz', 'score': 0.314}, {'token': 'classical', 'score': 0.154}, {'token': 'concert', 'score': 0.092}, {'token': 'contemporary', 'score': 0.009}, {'token': 'american', 'score': 0.004}, {'token': 'swiss', 'score': 0.004}, {'token': 'solo', 'score': 0.002}, {'token': 'modern', 'score': 0.002}, {'token': 'professional', 'score': 0.001}]","[{'token': 'jazz', 'score': 0.436}, {'token': 'classical', 'score': 0.334}, {'token': 'french', 'score': 0.097}, {'token': 'concert', 'score': 0.086}, {'token': 'solo', 'score': 0.007}, {'token': 'contemporary', 'score': 0.004}, {'token': 'modern', 'score': 0.002}, {'token': 'american', 'score': 0.002}, {'token': 'professional', 'score': 0.002}, {'token': 'swiss', 'score': 0.002}]","[{'token': 'french', 'score': 0.482}, {'token': 'young', 'score': 0.293}, {'token': 'younger', 'score': 0.02}, {'token': 'contemporary', 'score': 0.017}, {'token': 'second', 'score': 0.015}, {'token': 'jazz', 'score': 0.01}, {'token': 'classical', 'score': 0.01}, {'token': 'concert', 'score': 0.009}, {'token': 'new', 'score': 0.008}, {'token': 'swiss', 'score': 0.007}]","[{'token': 'jazz', 'score': 0.731}, {'token': 'concert', 'score': 0.15}, {'token': 'classical', 'score': 0.069}, {'token': 'solo', 'score': 0.018}, {'token': 'session', 'score': 0.005}, {'token': 'modern', 'score': 0.002}, {'token': 'recital', 'score': 0.001}, {'token': 'chamber', 'score': 0.001}, {'token': 'studio', 'score': 0.001}, {'token': 'rock', 'score': 0.001}]","[{'token': 'french', 'score': 0.314}, {'token': 'young', 'score': 0.232}, {'token': 'famous', 'score': 0.154}, {'token': 'jazz', 'score': 0.081}, {'token': 'concert', 'score': 0.019}, {'token': 'classical', 'score': 0.019}, {'token': 'swiss', 'score': 0.01}, {'token': 'parisian', 'score': 0.006}, {'token': 'celebrated', 'score': 0.005}, {'token': 'popular', 'score': 0.005}]"
5,opera,"[{'token': 'opera', 'score': 1.0}, {'token': 'epic', 'score': 0.0}, {'token': 'operatic', 'score': 0.0}, {'token': 'aria', 'score': 0.0}, {'token': 'operas', 'score': 0.0}, {'token': 'tragedy', 'score': 0.0}, {'token': 'overture', 'score': 0.0}, {'token': 'anthem', 'score': 0.0}, {'token': 'drama', 'score': 0.0}, {'token': 'adaptation', 'score': 0.0}]","[{'token': 'opera', 'score': 0.813}, {'token': 'play', 'score': 0.051}, {'token': 'libretto', 'score': 0.035}, {'token': 'tragedy', 'score': 0.032}, {'token': 'drama', 'score': 0.027}, {'token': 'ballet', 'score': 0.017}, {'token': 'musical', 'score': 0.007}, {'token': 'cantata', 'score': 0.003}, {'token': 'comedy', 'score': 0.003}, {'token': 'epic', 'score': 0.002}]","[{'token': 'opera', 'score': 0.611}, {'token': 'libretto', 'score': 0.323}, {'token': 'ballet', 'score': 0.025}, {'token': 'tragedy', 'score': 0.01}, {'token': 'cantata', 'score': 0.006}, {'token': 'drama', 'score': 0.005}, {'token': 'play', 'score': 0.004}, {'token': 'poem', 'score': 0.003}, {'token': 'prologue', 'score': 0.001}, {'token': 'musical', 'score': 0.001}]","[{'token': 'opera', 'score': 0.998}, {'token': 'epic', 'score': 0.001}, {'token': 'entertainment', 'score': 0.0}, {'token': 'adaptation', 'score': 0.0}, {'token': 'aria', 'score': 0.0}, {'token': 'overture', 'score': 0.0}, {'token': 'anthology', 'score': 0.0}, {'token': 'evening', 'score': 0.0}, {'token': 'drama', 'score': 0.0}, {'token': 'episode', 'score': 0.0}]","[{'token': 'opera', 'score': 0.909}, {'token': 'ballet', 'score': 0.023}, {'token': 'libretto', 'score': 0.02}, {'token': 'tragedy', 'score': 0.016}, {'token': 'drama', 'score': 0.012}, {'token': 'play', 'score': 0.01}, {'token': 'cantata', 'score': 0.004}, {'token': 'musical', 'score': 0.002}, {'token': 'comedy', 'score': 0.001}, {'token': 'poem', 'score': 0.001}]"
6,opera,"[{'token': 'opera', 'score': 1.0}, {'token': 'operas', 'score': 0.0}, {'token': 'epic', 'score': 0.0}, {'token': 'operatic', 'score': 0.0}, {'token': 'aria', 'score': 0.0}, {'token': 'anthem', 'score': 0.0}, {'token': 'ballet', 'score': 0.0}, {'token': 'overture', 'score': 0.0}, {'token': 'entertainment', 'score': 0.0}, {'token': 'adaptation', 'score': 0.0}]","[{'token': 'opera', 'score': 0.999}, {'token': 'epic', 'score': 0.001}, {'token': 'adaptation', 'score': 0.0}, {'token': 'drama', 'score': 0.0}, {'token': 'ballet', 'score': 0.0}, {'token': 'tragedy', 'score': 0.0}, {'token': 'overture', 'score': 0.0}, {'token': 'anthem', 'score': 0.0}, {'token': 'operatic', 'score': 0.0}, {'token': 'entertainment', 'score': 0.0}]","[{'token': 'opera', 'score': 0.998}, {'token': 'epic', 'score': 0.001}, {'token': 'overture', 'score': 0.0}, {'token': 'adaptation', 'score': 0.0}, {'token': 'orchestra', 'score': 0.0}, {'token': 'ballet', 'score': 0.0}, {'token': 'anthem', 'score': 0.0}, {'token': 'act', 'score': 0.0}, {'token': 'entertainment', 'score': 0.0}, {'token': 'operatic', 'score': 0.0}]","[{'token': 'opera', 'score': 0.838}, {'token': 'play', 'score': 0.075}, {'token': 'ballet', 'score': 0.019}, {'token': 'comedy', 'score': 0.018}, {'token': 'drama', 'score': 0.014}, {'token': 'tragedy', 'score': 0.01}, {'token': 'musical', 'score': 0.004}, {'token': 'libretto', 'score': 0.003}, {'token': 'piece', 'score': 0.003}, {'token': 'work', 'score': 0.002}]","[{'token': 'opera', 'score': 0.942}, {'token': 'ballet', 'score': 0.018}, {'token': 'play', 'score': 0.014}, {'token': 'comedy', 'score': 0.011}, {'token': 'musical', 'score': 0.005}, {'token': 'drama', 'score': 0.004}, {'token': 'tragedy', 'score': 0.003}, {'token': 'libretto', 'score': 0.001}, {'token': 'vaudeville', 'score': 0.0}, {'token': 'piece', 'score': 0.0}]"
7,opera,"[{'token': 'opera', 'score': 1.0}, {'token': 'operas', 'score': 0.0}, {'token': 'operatic', 'score': 0.0}, {'token': 'epic', 'score': 0.0}, {'token': 'aria', 'score': 0.0}, {'token': 'anthem', 'score': 0.0}, {'token': 'adaptation', 'score': 0.0}, {'token': 'overture', 'score': 0.0}, {'token': 'tragedy', 'score': 0.0}, {'token': 'ballet', 'score': 0.0}]","[{'token': 'opera', 'score': 0.459}, {'token': 'musical', 'score': 0.395}, {'token': 'drama', 'score': 0.052}, {'token': 'play', 'score': 0.047}, {'token': 'ballet', 'score': 0.011}, {'token': 'ballad', 'score': 0.003}, {'token': 'tragedy', 'score': 0.003}, {'token': 'song', 'score': 0.002}, {'token': 'cantata', 'score': 0.002}, {'token': 'novel', 'score': 0.002}]","[{'token': 'play', 'score': 0.91}, {'token': 'opera', 'score': 0.037}, {'token': 'musical', 'score': 0.018}, {'token': 'drama', 'score': 0.016}, {'token': 'comedy', 'score': 0.009}, {'token': 'ballet', 'score': 0.002}, {'token': 'tragedy', 'score': 0.001}, {'token': 'plays', 'score': 0.001}, {'token': 'revue', 'score': 0.001}, {'token': 'show', 'score': 0.001}]","[{'token': 'play', 'score': 0.657}, {'token': 'opera', 'score': 0.211}, {'token': 'musical', 'score': 0.056}, {'token': 'comedy', 'score': 0.032}, {'token': 'drama', 'score': 0.018}, {'token': 'ballet', 'score': 0.011}, {'token': 'tragedy', 'score': 0.004}, {'token': 'piece', 'score': 0.002}, {'token': 'revue', 'score': 0.001}, {'token': 'show', 'score': 0.001}]","[{'token': 'play', 'score': 0.661}, {'token': 'novel', 'score': 0.081}, {'token': 'drama', 'score': 0.046}, {'token': 'comedy', 'score': 0.022}, {'token': 'poem', 'score': 0.018}, {'token': 'tragedy', 'score': 0.013}, {'token': 'masterpiece', 'score': 0.013}, {'token': 'work', 'score': 0.013}, {'token': 'story', 'score': 0.011}, {'token': 'piece', 'score': 0.009}]"
8,jazz,"[{'token': 'jazz', 'score': 0.979}, {'token': 'blues', 'score': 0.007}, {'token': 'bass', 'score': 0.005}, {'token': 'alto', 'score': 0.002}, {'token': 'swing', 'score': 0.001}, {'token': 'tenor', 'score': 0.001}, {'token': 'rhythm', 'score': 0.0}, {'token': 'soul', 'score': 0.0}, {'token': 'pop', 'score': 0.0}, {'token': 'music', 'score': 0.0}]","[{'token': 'jazz', 'score': 0.966}, {'token': 'blues', 'score': 0.016}, {'token': 'alto', 'score': 0.006}, {'token': 'bass', 'score': 0.003}, {'token': 'classical', 'score': 0.001}, {'token': 'swing', 'score': 0.001}, {'token': 'tenor', 'score': 0.001}, {'token': 'professional', 'score': 0.0}, {'token': 'concert', 'score': 0.0}, {'token': 'vaudeville', 'score': 0.0}]","[{'token': 'jazz', 'score': 0.625}, {'token': 'bass', 'score': 0.042}, {'token': 'young', 'score': 0.039}, {'token': 'blues', 'score': 0.032}, {'token': 'swing', 'score': 0.032}, {'token': 'former', 'score': 0.017}, {'token': 'professional', 'score': 0.009}, {'token': 'noted', 'score': 0.008}, {'token': 'talented', 'score': 0.008}, {'token': 'prominent', 'score': 0.008}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'jazz', 'score': 0.969}, {'token': 'bass', 'score': 0.009}, {'token': 'alto', 'score': 0.007}, {'token': 'blues', 'score': 0.004}, {'token': 'classical', 'score': 0.001}, {'token': 'swing', 'score': 0.001}, {'token': 'music', 'score': 0.001}, {'token': 'tenor', 'score': 0.001}, {'token': 'concert', 'score': 0.001}, {'token': 'soul', 'score': 0.0}]"
9,jazz,"[{'token': 'jazz', 'score': 0.7}, {'token': 'canadian', 'score': 0.111}, {'token': 'american', 'score': 0.015}, {'token': 'prominent', 'score': 0.013}, {'token': 'british', 'score': 0.01}, {'token': 'chicago', 'score': 0.01}, {'token': 'french', 'score': 0.009}, {'token': 'noted', 'score': 0.008}, {'token': 'jamaican', 'score': 0.008}, {'token': 'professional', 'score': 0.007}]","[{'token': 'notable', 'score': 0.257}, {'token': 'prominent', 'score': 0.168}, {'token': 'popular', 'score': 0.113}, {'token': 'leading', 'score': 0.088}, {'token': 'noted', 'score': 0.079}, {'token': 'famous', 'score': 0.037}, {'token': 'later', 'score': 0.018}, {'token': 'successful', 'score': 0.013}, {'token': 'major', 'score': 0.013}, {'token': 'fellow', 'score': 0.01}]","[{'token': 'jazz', 'score': 0.386}, {'token': 'canadian', 'score': 0.059}, {'token': 'prominent', 'score': 0.056}, {'token': 'noted', 'score': 0.055}, {'token': 'popular', 'score': 0.04}, {'token': 'leading', 'score': 0.038}, {'token': 'professional', 'score': 0.028}, {'token': 'chicago', 'score': 0.021}, {'token': 'british', 'score': 0.018}, {'token': 'recording', 'score': 0.015}]","[{'token': 'jazz', 'score': 0.587}, {'token': 'canadian', 'score': 0.177}, {'token': 'french', 'score': 0.02}, {'token': 'british', 'score': 0.016}, {'token': 'american', 'score': 0.015}, {'token': 'prominent', 'score': 0.011}, {'token': 'swedish', 'score': 0.009}, {'token': 'dutch', 'score': 0.008}, {'token': 'danish', 'score': 0.008}, {'token': 'chicago', 'score': 0.008}]","[{'token': 'jazz', 'score': 0.29}, {'token': 'noted', 'score': 0.101}, {'token': 'prominent', 'score': 0.063}, {'token': 'professional', 'score': 0.055}, {'token': 'leading', 'score': 0.046}, {'token': 'canadian', 'score': 0.032}, {'token': 'popular', 'score': 0.027}, {'token': 'notable', 'score': 0.025}, {'token': 'chicago', 'score': 0.02}, {'token': 'talented', 'score': 0.014}]"
