,answers,original,t5_0,t5_1,t5_2,t5_3
0,alexandra,"[{'token': 'melbourne', 'score': 0.343}, {'token': 'sydney', 'score': 0.283}, {'token': 'brisbane', 'score': 0.129}, {'token': 'perth', 'score': 0.072}, {'token': 'adelaide', 'score': 0.067}, {'token': 'queensland', 'score': 0.024}, {'token': 'canberra', 'score': 0.023}, {'token': 'victoria', 'score': 0.018}, {'token': 'darwin', 'score': 0.008}, {'token': 'newcastle', 'score': 0.007}]","[{'token': 'france', 'score': 0.998}, {'token': 'yorkshire', 'score': 0.0}, {'token': 'california', 'score': 0.0}, {'token': 'canada', 'score': 0.0}, {'token': 'britain', 'score': 0.0}, {'token': 'paris', 'score': 0.0}, {'token': 'wales', 'score': 0.0}, {'token': 'ski', 'score': 0.0}, {'token': 'europe', 'score': 0.0}, {'token': 'france', 'score': 0.0}]","[{'token': 'france', 'score': 0.998}, {'token': 'california', 'score': 0.0}, {'token': 'paris', 'score': 0.0}, {'token': 'canada', 'score': 0.0}, {'token': 'yorkshire', 'score': 0.0}, {'token': 'britain', 'score': 0.0}, {'token': 'wales', 'score': 0.0}, {'token': 'europe', 'score': 0.0}, {'token': 'ski', 'score': 0.0}, {'token': 'victoria', 'score': 0.0}]","[{'token': 'france', 'score': 0.998}, {'token': 'california', 'score': 0.001}, {'token': 'yorkshire', 'score': 0.0}, {'token': 'canada', 'score': 0.0}, {'token': 'britain', 'score': 0.0}, {'token': 'paris', 'score': 0.0}, {'token': 'wales', 'score': 0.0}, {'token': 'ski', 'score': 0.0}, {'token': 'victoria', 'score': 0.0}, {'token': 'belgium', 'score': 0.0}]","[{'token': 'france', 'score': 0.998}, {'token': 'yorkshire', 'score': 0.0}, {'token': 'canada', 'score': 0.0}, {'token': 'california', 'score': 0.0}, {'token': 'wales', 'score': 0.0}, {'token': 'paris', 'score': 0.0}, {'token': 'britain', 'score': 0.0}, {'token': 'france', 'score': 0.0}, {'token': 'belgium', 'score': 0.0}, {'token': 'diane', 'score': 0.0}]"
1,doncaster,"[{'token': 'previous', 'score': 0.257}, {'token': 'own', 'score': 0.112}, {'token': 'former', 'score': 0.049}, {'token': 'sydney', 'score': 0.046}, {'token': 'last', 'score': 0.034}, {'token': 'london', 'score': 0.027}, {'token': 'original', 'score': 0.024}, {'token': 'home', 'score': 0.022}, {'token': 'melbourne', 'score': 0.016}, {'token': 'old', 'score': 0.015}]","[{'token': 'own', 'score': 0.152}, {'token': 'former', 'score': 0.081}, {'token': 'parliamentary', 'score': 0.038}, {'token': 'previous', 'score': 0.033}, {'token': 'old', 'score': 0.032}, {'token': 'westminster', 'score': 0.026}, {'token': 'local', 'score': 0.022}, {'token': 'plymouth', 'score': 0.022}, {'token': 'home', 'score': 0.019}, {'token': 'jamaica', 'score': 0.017}]","[{'token': 'sydney', 'score': 0.134}, {'token': 'own', 'score': 0.114}, {'token': 'melbourne', 'score': 0.028}, {'token': 'london', 'score': 0.024}, {'token': 'victorian', 'score': 0.02}, {'token': 'brighton', 'score': 0.018}, {'token': 'brisbane', 'score': 0.018}, {'token': 'victoria', 'score': 0.017}, {'token': 'former', 'score': 0.016}, {'token': 'yorkshire', 'score': 0.016}]","[{'token': 'previous', 'score': 0.201}, {'token': 'own', 'score': 0.12}, {'token': 'sydney', 'score': 0.119}, {'token': 'former', 'score': 0.042}, {'token': 'melbourne', 'score': 0.041}, {'token': 'brisbane', 'score': 0.027}, {'token': 'london', 'score': 0.019}, {'token': 'old', 'score': 0.018}, {'token': 'victoria', 'score': 0.015}, {'token': 'victorian', 'score': 0.013}]",
2,scotland,"[{'token': 'australian', 'score': 0.205}, {'token': 'british', 'score': 0.117}, {'token': 'scottish', 'score': 0.079}, {'token': 'english', 'score': 0.068}, {'token': 'american', 'score': 0.067}, {'token': 'the', 'score': 0.058}, {'token': 'welsh', 'score': 0.057}, {'token': 'irish', 'score': 0.039}, {'token': 'canadian', 'score': 0.034}, {'token': 'rock', 'score': 0.024}]","[{'token': 'london', 'score': 0.11}, {'token': 'australia', 'score': 0.058}, {'token': 'sydney', 'score': 0.049}, {'token': 'melbourne', 'score': 0.049}, {'token': 'toronto', 'score': 0.029}, {'token': 'philadelphia', 'score': 0.019}, {'token': 'england', 'score': 0.019}, {'token': 'brooklyn', 'score': 0.019}, {'token': 'chicago', 'score': 0.016}, {'token': 'liverpool', 'score': 0.016}]",,"[{'token': 'australia', 'score': 0.115}, {'token': 'london', 'score': 0.066}, {'token': 'england', 'score': 0.05}, {'token': 'sydney', 'score': 0.045}, {'token': 'melbourne', 'score': 0.044}, {'token': 'liverpool', 'score': 0.034}, {'token': 'scotland', 'score': 0.026}, {'token': 'wales', 'score': 0.022}, {'token': 'ireland', 'score': 0.02}, {'token': 'manchester', 'score': 0.02}]","[{'token': 'london', 'score': 0.129}, {'token': 'manchester', 'score': 0.068}, {'token': 'glasgow', 'score': 0.05}, {'token': 'liverpool', 'score': 0.046}, {'token': 'australia', 'score': 0.032}, {'token': 'scotland', 'score': 0.024}, {'token': 'melbourne', 'score': 0.017}, {'token': 'brighton', 'score': 0.017}, {'token': 'england', 'score': 0.015}, {'token': 'dublin', 'score': 0.015}]"
3,toronto,"[{'token': 'america', 'score': 0.166}, {'token': 'chicago', 'score': 0.073}, {'token': 'jazz', 'score': 0.049}, {'token': 'milwaukee', 'score': 0.041}, {'token': 'california', 'score': 0.041}, {'token': 'miami', 'score': 0.038}, {'token': 'florida', 'score': 0.026}, {'token': 'today', 'score': 0.023}, {'token': 'music', 'score': 0.02}, {'token': 'houston', 'score': 0.017}]","[{'token': 'finland', 'score': 0.046}, {'token': 'chicago', 'score': 0.044}, {'token': 'helsinki', 'score': 0.039}, {'token': 'florida', 'score': 0.027}, {'token': 'sweden', 'score': 0.025}, {'token': 'miami', 'score': 0.02}, {'token': 'europe', 'score': 0.019}, {'token': 'milwaukee', 'score': 0.016}, {'token': 'israel', 'score': 0.016}, {'token': 'japan', 'score': 0.015}]",,"[{'token': 'chicago', 'score': 0.102}, {'token': 'india', 'score': 0.05}, {'token': 'europe', 'score': 0.035}, {'token': 'america', 'score': 0.034}, {'token': 'boston', 'score': 0.033}, {'token': 'jazz', 'score': 0.028}, {'token': 'california', 'score': 0.027}, {'token': 'music', 'score': 0.025}, {'token': 'canada', 'score': 0.023}, {'token': 'philadelphia', 'score': 0.022}]","[{'token': 'today', 'score': 0.18}, {'token': 'britain', 'score': 0.13}, {'token': 'canada', 'score': 0.094}, {'token': 'america', 'score': 0.076}, {'token': 'poland', 'score': 0.067}, {'token': 'england', 'score': 0.057}, {'token': 'europe', 'score': 0.037}, {'token': 'chicago', 'score': 0.027}, {'token': 'london', 'score': 0.023}, {'token': 'toronto', 'score': 0.013}]"
4,vienna,"[{'token': 'vienna', 'score': 0.899}, {'token': 'austria', 'score': 0.029}, {'token': 'munich', 'score': 0.029}, {'token': 'berlin', 'score': 0.013}, {'token': 'prague', 'score': 0.006}, {'token': 'zurich', 'score': 0.004}, {'token': 'cologne', 'score': 0.002}, {'token': 'budapest', 'score': 0.002}, {'token': 'bern', 'score': 0.002}, {'token': 'paris', 'score': 0.002}]","[{'token': 'vienna', 'score': 0.738}, {'token': 'munich', 'score': 0.049}, {'token': 'berlin', 'score': 0.035}, {'token': 'prague', 'score': 0.026}, {'token': 'budapest', 'score': 0.024}, {'token': 'austria', 'score': 0.017}, {'token': 'zurich', 'score': 0.015}, {'token': 'paris', 'score': 0.009}, {'token': 'stockholm', 'score': 0.007}, {'token': 'frankfurt', 'score': 0.007}]","[{'token': 'vienna', 'score': 0.555}, {'token': 'munich', 'score': 0.056}, {'token': 'berlin', 'score': 0.044}, {'token': 'prague', 'score': 0.035}, {'token': 'budapest', 'score': 0.032}, {'token': 'austria', 'score': 0.028}, {'token': 'london', 'score': 0.022}, {'token': 'zurich', 'score': 0.014}, {'token': 'paris', 'score': 0.012}, {'token': 'hamburg', 'score': 0.011}]","[{'token': 'vienna', 'score': 0.777}, {'token': 'munich', 'score': 0.051}, {'token': 'prague', 'score': 0.031}, {'token': 'berlin', 'score': 0.025}, {'token': 'budapest', 'score': 0.021}, {'token': 'austria', 'score': 0.014}, {'token': 'zurich', 'score': 0.012}, {'token': 'paris', 'score': 0.008}, {'token': 'frankfurt', 'score': 0.005}, {'token': 'hamburg', 'score': 0.004}]","[{'token': 'vienna', 'score': 0.498}, {'token': 'munich', 'score': 0.074}, {'token': 'berlin', 'score': 0.066}, {'token': 'prague', 'score': 0.051}, {'token': 'budapest', 'score': 0.038}, {'token': 'stockholm', 'score': 0.029}, {'token': 'zurich', 'score': 0.025}, {'token': 'oslo', 'score': 0.019}, {'token': 'helsinki', 'score': 0.017}, {'token': 'hamburg', 'score': 0.016}]"
5,paris,"[{'token': 'paris', 'score': 0.931}, {'token': 'lyon', 'score': 0.021}, {'token': 'brussels', 'score': 0.007}, {'token': 'france', 'score': 0.004}, {'token': 'nice', 'score': 0.004}, {'token': 'nancy', 'score': 0.003}, {'token': 'cannes', 'score': 0.003}, {'token': 'geneva', 'score': 0.003}, {'token': 'lyons', 'score': 0.003}, {'token': 'london', 'score': 0.002}]","[{'token': 'paris', 'score': 0.724}, {'token': 'lyon', 'score': 0.041}, {'token': 'france', 'score': 0.032}, {'token': 'brussels', 'score': 0.025}, {'token': 'london', 'score': 0.018}, {'token': 'geneva', 'score': 0.013}, {'token': 'montreal', 'score': 0.01}, {'token': 'nice', 'score': 0.009}, {'token': 'rome', 'score': 0.005}, {'token': 'barcelona', 'score': 0.005}]","[{'token': 'paris', 'score': 0.735}, {'token': 'lyon', 'score': 0.047}, {'token': 'france', 'score': 0.036}, {'token': 'brussels', 'score': 0.023}, {'token': 'geneva', 'score': 0.011}, {'token': 'london', 'score': 0.01}, {'token': 'nice', 'score': 0.009}, {'token': 'barcelona', 'score': 0.007}, {'token': 'montreal', 'score': 0.005}, {'token': 'amsterdam', 'score': 0.005}]","[{'token': 'montreal', 'score': 0.24}, {'token': 'quebec', 'score': 0.092}, {'token': 'paris', 'score': 0.041}, {'token': 'london', 'score': 0.027}, {'token': 'ottawa', 'score': 0.02}, {'token': 'manchester', 'score': 0.016}, {'token': 'toronto', 'score': 0.015}, {'token': 'maine', 'score': 0.013}, {'token': 'philadelphia', 'score': 0.013}, {'token': 'french', 'score': 0.012}]","[{'token': 'paris', 'score': 0.744}, {'token': 'here', 'score': 0.042}, {'token': 'there', 'score': 0.027}, {'token': 'in', 'score': 0.017}, {'token': 'brussels', 'score': 0.011}, {'token': 'lyon', 'score': 0.011}, {'token': ',', 'score': 0.011}, {'token': 'geneva', 'score': 0.008}, {'token': ',', 'score': 0.007}, {'token': 'france', 'score': 0.005}]"
6,yokohama,"[{'token': 'tokyo', 'score': 0.703}, {'token': 'osaka', 'score': 0.186}, {'token': 'kyoto', 'score': 0.051}, {'token': 'japan', 'score': 0.023}, {'token': 'hiroshima', 'score': 0.014}, {'token': 'kobe', 'score': 0.013}, {'token': 'okinawa', 'score': 0.001}, {'token': 'shanghai', 'score': 0.001}, {'token': 'london', 'score': 0.001}, {'token': 'beijing', 'score': 0.0}]","[{'token': 'tokyo', 'score': 0.678}, {'token': 'osaka', 'score': 0.173}, {'token': 'japan', 'score': 0.043}, {'token': 'kyoto', 'score': 0.039}, {'token': 'hiroshima', 'score': 0.016}, {'token': 'kobe', 'score': 0.011}, {'token': 'london', 'score': 0.004}, {'token': 'okinawa', 'score': 0.003}, {'token': 'shanghai', 'score': 0.002}, {'token': 'seoul', 'score': 0.002}]","[{'token': 'tokyo', 'score': 0.531}, {'token': 'japan', 'score': 0.117}, {'token': 'osaka', 'score': 0.057}, {'token': 'helsinki', 'score': 0.035}, {'token': 'finland', 'score': 0.034}, {'token': 'kyoto', 'score': 0.025}, {'token': 'seoul', 'score': 0.015}, {'token': 'stockholm', 'score': 0.014}, {'token': 'hiroshima', 'score': 0.009}, {'token': 'sweden', 'score': 0.008}]","[{'token': 'tokyo', 'score': 0.527}, {'token': 'osaka', 'score': 0.218}, {'token': 'kyoto', 'score': 0.044}, {'token': 'japan', 'score': 0.039}, {'token': 'london', 'score': 0.021}, {'token': 'hiroshima', 'score': 0.017}, {'token': 'kobe', 'score': 0.013}, {'token': 'okinawa', 'score': 0.006}, {'token': 'california', 'score': 0.005}, {'token': 'honolulu', 'score': 0.004}]","[{'token': 'tokyo', 'score': 0.53}, {'token': 'osaka', 'score': 0.212}, {'token': 'japan', 'score': 0.075}, {'token': 'kyoto', 'score': 0.044}, {'token': 'hiroshima', 'score': 0.022}, {'token': 'kobe', 'score': 0.017}, {'token': 'london', 'score': 0.01}, {'token': 'okinawa', 'score': 0.008}, {'token': 'chicago', 'score': 0.003}, {'token': 'shanghai', 'score': 0.003}]"
7,antwerp,"[{'token': 'london', 'score': 0.081}, {'token': 'died', 'score': 0.073}, {'token': 'thursday', 'score': 0.04}, {'token': 'died', 'score': 0.027}, {'token': 'wednesday', 'score': 0.026}, {'token': 'kingston', 'score': 0.021}, {'token': 'lisbon', 'score': 0.019}, {'token': 'friday', 'score': 0.018}, {'token': 'amsterdam', 'score': 0.017}, {'token': 'paris', 'score': 0.017}]","[{'token': 'england', 'score': 0.385}, {'token': 'ireland', 'score': 0.074}, {'token': 'london', 'score': 0.068}, {'token': 'scotland', 'score': 0.043}, {'token': 'amsterdam', 'score': 0.036}, {'token': 'france', 'score': 0.036}, {'token': 'holland', 'score': 0.027}, {'token': 'spain', 'score': 0.017}, {'token': 'paris', 'score': 0.016}, {'token': 'rome', 'score': 0.013}]","[{'token': 'holland', 'score': 0.297}, {'token': 'amsterdam', 'score': 0.17}, {'token': 'england', 'score': 0.074}, {'token': 'france', 'score': 0.055}, {'token': 'brussels', 'score': 0.042}, {'token': 'spain', 'score': 0.041}, {'token': 'germany', 'score': 0.039}, {'token': 'denmark', 'score': 0.025}, {'token': 'italy', 'score': 0.016}, {'token': 'rome', 'score': 0.016}]","[{'token': 'amsterdam', 'score': 0.199}, {'token': 'england', 'score': 0.178}, {'token': 'holland', 'score': 0.174}, {'token': 'london', 'score': 0.072}, {'token': 'brussels', 'score': 0.056}, {'token': 'rome', 'score': 0.024}, {'token': 'paris', 'score': 0.017}, {'token': 'france', 'score': 0.015}, {'token': 'denmark', 'score': 0.014}, {'token': 'prague', 'score': 0.014}]",
8,barcelona,"[{'token': 'spain', 'score': 0.297}, {'token': 'madrid', 'score': 0.233}, {'token': 'barcelona', 'score': 0.104}, {'token': 'portugal', 'score': 0.023}, {'token': 'valencia', 'score': 0.023}, {'token': 'london', 'score': 0.019}, {'token': 'india', 'score': 0.017}, {'token': 'lisbon', 'score': 0.016}, {'token': 'mexico', 'score': 0.016}, {'token': 'bombay', 'score': 0.013}]","[{'token': '1888', 'score': 0.04}, {'token': '1890', 'score': 0.038}, {'token': '1889', 'score': 0.037}, {'token': '1900', 'score': 0.032}, {'token': '1880', 'score': 0.031}, {'token': '1899', 'score': 0.029}, {'token': '1898', 'score': 0.029}, {'token': '1904', 'score': 0.027}, {'token': '1910', 'score': 0.026}, {'token': '1903', 'score': 0.025}]","[{'token': 'india', 'score': 0.998}, {'token': 'maharashtra', 'score': 0.001}, {'token': 'bombay', 'score': 0.001}, {'token': 'india', 'score': 0.0}, {'token': 'indian', 'score': 0.0}, {'token': 'gujarat', 'score': 0.0}, {'token': 'california', 'score': 0.0}, {'token': 'england', 'score': 0.0}, {'token': 'indians', 'score': 0.0}, {'token': 'mumbai', 'score': 0.0}]","[{'token': 'london', 'score': 0.186}, {'token': 'paris', 'score': 0.08}, {'token': 'barcelona', 'score': 0.075}, {'token': 'rome', 'score': 0.06}, {'token': 'madrid', 'score': 0.054}, {'token': 'spain', 'score': 0.052}, {'token': 'lisbon', 'score': 0.031}, {'token': 'india', 'score': 0.025}, {'token': 'england', 'score': 0.023}, {'token': 'italy', 'score': 0.023}]","[{'token': 'spain', 'score': 0.575}, {'token': 'madrid', 'score': 0.064}, {'token': 'barcelona', 'score': 0.039}, {'token': 'europe', 'score': 0.035}, {'token': 'rome', 'score': 0.023}, {'token': 'cuba', 'score': 0.017}, {'token': 'france', 'score': 0.016}, {'token': 'peru', 'score': 0.014}, {'token': 'mexico', 'score': 0.014}, {'token': 'portugal', 'score': 0.013}]"
9,rome,"[{'token': 'milan', 'score': 0.549}, {'token': 'rome', 'score': 0.259}, {'token': 'naples', 'score': 0.075}, {'token': 'florence', 'score': 0.037}, {'token': 'venice', 'score': 0.022}, {'token': 'roma', 'score': 0.012}, {'token': 'italy', 'score': 0.008}, {'token': 'madrid', 'score': 0.003}, {'token': 'barcelona', 'score': 0.003}, {'token': 'sicily', 'score': 0.002}]","[{'token': 'milan', 'score': 0.319}, {'token': 'rome', 'score': 0.294}, {'token': 'naples', 'score': 0.062}, {'token': 'florence', 'score': 0.033}, {'token': 'madrid', 'score': 0.028}, {'token': 'barcelona', 'score': 0.024}, {'token': 'venice', 'score': 0.022}, {'token': 'italy', 'score': 0.018}, {'token': 'paris', 'score': 0.015}, {'token': 'london', 'score': 0.011}]","[{'token': 'milan', 'score': 0.268}, {'token': 'rome', 'score': 0.179}, {'token': 'naples', 'score': 0.046}, {'token': 'florence', 'score': 0.026}, {'token': 'italy', 'score': 0.025}, {'token': 'venice', 'score': 0.024}, {'token': 'madrid', 'score': 0.023}, {'token': 'barcelona', 'score': 0.02}, {'token': 'paris', 'score': 0.018}, {'token': 'london', 'score': 0.016}]","[{'token': 'milan', 'score': 0.41}, {'token': 'rome', 'score': 0.269}, {'token': 'naples', 'score': 0.067}, {'token': 'italy', 'score': 0.034}, {'token': 'florence', 'score': 0.023}, {'token': 'venice', 'score': 0.022}, {'token': 'london', 'score': 0.012}, {'token': 'madrid', 'score': 0.01}, {'token': 'barcelona', 'score': 0.009}, {'token': 'sicily', 'score': 0.008}]","[{'token': 'milan', 'score': 0.399}, {'token': 'rome', 'score': 0.17}, {'token': 'naples', 'score': 0.074}, {'token': 'florence', 'score': 0.036}, {'token': 'barcelona', 'score': 0.021}, {'token': 'venice', 'score': 0.02}, {'token': 'madrid', 'score': 0.02}, {'token': 'italy', 'score': 0.018}, {'token': 'london', 'score': 0.015}, {'token': 'manchester', 'score': 0.01}]"
