pred,obj_label,masked_sentence
IsA,factories,Some buildiings are [MASK].
IsA,device,A laser is a [MASK] which creates coherent light.
IsA,manmade,Computers are [MASK].
IsA,desire,An urge is the strong [MASK] of something.
IsA,virtue,Truth is a [MASK].
IsA,subject,Geometry is a [MASK] studied in school.
IsA,tool,A hacksaw is a type of [MASK].
IsA,monopoly,Linux has the effect of challenging the Microsoft [MASK].
IsA,organization,Corporation is a type of business [MASK].
IsA,gas,Butane is a kind of [MASK].
IsA,insect,A housefly is a [MASK].
IsA,computer,IBM is a type of [MASK].
IsA,stupids,Humans are [MASK].
IsA,constant,Time is a type of [MASK].
IsA,plant,Ginseng is a [MASK].
IsA,country,Moldavia is a kind of [MASK].
IsA,plant,Rhododendron is a [MASK].
IsA,radiation,Sunbeams can contain ultraviolet [MASK].
IsA,area,A window is an [MASK] that displays information on a desktop.
IsA,combustion,"To understand the event ""Mary lit a candle."", it is important to know that [MASK] creates fire."
IsA,instrument,A recorder is a [MASK].
IsA,crop,Cotton is a type of picking [MASK].
IsA,sensation,Pressure is a kind of [MASK].
IsA,vegetable,Corn is a type of [MASK] yellow.
IsA,annuals,Some flowers are [MASK].
IsA,disaster,A bushfire is a [MASK].
IsA,animals,Ostriches are [MASK].
IsA,condiment,Pepper is a type of [MASK].
IsA,artifact,A ship is an [MASK].
IsA,weapon,Caltrops are an [MASK].
IsA,object,A wheel is a [MASK].
IsA,animals,"Swamps are full of all types of [MASK], including snakes."
IsA,infinity,Ω is a kind of [MASK].
IsA,person,An actress is a kind of [MASK].
IsA,falcon,A peregrine is a type of [MASK].
IsA,object,A shoelace is a kind of [MASK].
IsA,State,A nickname for Idaho is Gem [MASK].
IsA,monotheistic,Some religions are [MASK].
IsA,religion,Buddhism is the [MASK] founded by the Buddha.
IsA,pigment,Hemoglobin is a [MASK].
IsA,plastic,Polyethylene is a [MASK].
IsA,fruit,"The statement ""Watermelon is a delicious, red [MASK] with a thick green rind"" is true because Because water's heat capacity is large, it doesn't change temperature much upon absorbing large amounts of heat energy  ."
IsA,country,Mongolia is a [MASK] located in Asia.
IsA,barrier,Door is a type of [MASK].
IsA,refuse,You are likely to find [MASK] in a garbage can.
IsA,containers,Dishes are [MASK] which hold cooked food.
IsA,company,Motorola is a [MASK].
IsA,discs,Saucers are [MASK].
IsA,Fight,[MASK] is a type of row.
IsA,person,The Pope is a kind of a [MASK].
IsA,bathroom,"Some people use the words ""[MASK]"" and ""restroom"" as synonyms."
IsA,college,MIT is a kind of [MASK].
IsA,commodities,Textiles are [MASK].
IsA,weapon,Cannon is a type of [MASK].
IsA,horn,Trumpet is [MASK] instrument.
IsA,astronomer,Kepler was an [MASK].
IsA,state,Mississippi is both a river and a [MASK].
IsA,computer,You are likely to find a document folder in the desktop of a [MASK].
IsA,Car,[MASK] is related to bus.
IsA,dwelling,Castle is a type of [MASK].
IsA,person,An illegal alien is a kind of [MASK].
IsA,device,A thermometer is a [MASK] used to measure temperature.
IsA,time,Week is a type of [MASK] unit.
IsA,decoys,People can hunt ducks with [MASK].
IsA,book,Novel is a type of [MASK].
IsA,house,"To understand the event ""Susan cleaned her room."", it is important to know that a room is a part of a flat or a [MASK]."
IsA,math,Topology is a kind of [MASK].
IsA,bird,Bulbul is a [MASK].
IsA,furniture,Similarity between a display cabinet and a stool: both are items of [MASK].
IsA,also,Manatees are [MASK] called sea cows.
IsA,person,Champion is a type of winning [MASK].
IsA,stone,A meteorite is a [MASK] that comes from outer space.
IsA,firefighter,"In the event ""Colby's Dad was a fireman.  Colby wanted to grow up to be just like him."", something that changed was Colby probably mentally rehearsed being a [MASK]. ."
IsA,beverage,Pepsi is a [MASK].
IsA,rount,The world is [MASK].
IsA,abnormal,A pathology is something [MASK].
IsA,flamable,Turpentine is [MASK].
IsA,art,Acting is an [MASK].
IsA,secrets,Passwords are [MASK].
IsA,medium,Language is communication [MASK].
IsA,behaviour,Procrastination is a type of [MASK].
IsA,president,Bush is american [MASK].
IsA,human,"Another way to say ""a person wants to go on a nice vacation."" is ""nice vacations are desirable to [MASK] beings""."
IsA,on,"The fact ""Something you find at the MIT Media Lab is chairs"" is illustrated with the story:1. Zak went to the MIT Media Lab2. Zak wanted to sit down3. Zak sat [MASK] a chair that was there."
IsA,stone,Agate is a precious [MASK].
IsA,persons,"To understand the event ""It is Tim's birthday.  Tim received many presents."", it is important to know that People give presents to the [MASK] they love."
IsA,Honda,[MASK] accord is a popular type of cars.
IsA,aeroplane,A bomber is a type of [MASK].
IsA,stable,LINUX is [MASK].
IsA,device,A telescope is a optical [MASK] that makes faraway objects appear closer and larger.
IsA,politicians,Ministers are [MASK].
IsA,island,Bahrain is an [MASK] in the persian gulf.
IsA,exercising,"To understand the event ""Colby was seven years old.  Colby pretended he had big muscles."", it is important to know that people get larger than average muscles by [MASK] them."
IsA,building,A [MASK] is for shelter from the elements.
IsA,stick,A batten is a [MASK] that is put into a sail.
IsA,book,A catalog is a kind of [MASK].
IsA,human,"Perl is a scripting language, with which you can teach the computer to do anything that a [MASK] can do.  This frees the humans from the boring, repetitive tasks, allowing them to focus on creative work.  But your manager doesn't want you to be creative, because he wants to fuck your coworker and is afraid of your relationship with her, even though you're both engaged to be married to different people -- you have a great WORKING relationship, and he wants to destroy that because he's a virgin.  Or bisexual.  Or jealous of (both of) your higher intelligence."
IsA,substances,Drugs are [MASK] used in the treatment of illness.
IsA,abbreviation,An aconym is an [MASK] using the first letter of each abbriviated words.
IsA,element,Fire is a type of old [MASK].
IsA,figure,A parallelogram is a type of geometric [MASK].
IsA,Continent,[MASK] is related to eurasia.
IsA,place,"The statement ""You are likely to find a swamp in florida"" is true because Most of Florida is not far above sea level, and the water has no [MASK] to drain off to."
IsA,being,"Situation: Whenyou hear a story in qhich one person is a victim and the other is a villain, you're [MASK] invited into a triangle."
IsA,bird,A ostrich is a [MASK] that doesn't fly.
IsA,body,A mummy is a preserved dead [MASK].
IsA,information,Memories are [MASK].
IsA,salesman,A telemarketer is a [MASK].
IsA,spice,Salt is a type of [MASK].
IsA,mammals,Anteaters are [MASK].
IsA,bipedal,Humans have evolved to be [MASK] .
IsA,issue,Genocide is a type of [MASK].
IsA,halogen,Fluorine is a [MASK].
IsA,stone,Alabaster is a [MASK].
IsA,warplane,Picture description: A large [MASK]. Looks like a US bomber.
IsA,element,Uranium is the heaviest [MASK] found in more than trace amounts in nature.
IsA,experience,You would lose consciousness because you want to not [MASK] something painful.
IsA,whale,A beluga is a type of [MASK].
IsA,sailboat,Yacht is a type of fancy [MASK].
IsA,animal,An orca is an [MASK].
IsA,caverns,Sinkholes are [MASK].
IsA,religious,"The statement ""muslim people celebrate ramadan"" helps answer the question ""What [MASK] holidays do Muslims observe?""."
IsA,valve,A faucet is for operating a water [MASK].
IsA,animals,Lizards are small [MASK].
IsA,Cars,[MASK] in which the roof can be opened and closed are called convertibles.
IsA,light,Laser is a type of [MASK].
IsA,plant,Holmstrup arborvitae is a [MASK].
IsA,hobby,Jogging is a [MASK].
IsA,tradesman,A brickmason is a type of [MASK].
IsA,wore,A sweater is something you [MASK].
IsA,one,Rio de Janeiro is [MASK] of the brazilian states.
IsA,plants,Lilacs are [MASK].
IsA,omnivorous,Pigs are [MASK].
IsA,sexually,A necrophiliac is [MASK] aroused by dead bodies.
IsA,human,The Iraqi [MASK] rights minister complained about prisoner mistreatment to an Australian lawyer.
IsA,pictures,"The statement ""A camera can take [MASK]."" is true because Cameras record still images."
IsA,decision,"If before you bring in a verdict you are deliberating, then afterwards you have mad a [MASK]."
IsA,Appliance,[MASK] is oven blender.
IsA,Wheel,[MASK] is car tire.
IsA,pansies,The british are [MASK].
IsA,pokémon,Jigglypuff is a kind of [MASK].
IsA,chemical,"PNA is peptide nucleic acid, a [MASK] similar to DNA or RNA but differing in the composition of its ""backbone"" ."
IsA,liars,Some people are very good at being [MASK].
IsA,rule,A curfew is a type of [MASK].
IsA,flower,Iris is a type of spring [MASK].
IsA,years,Century is a type of [MASK] is.
IsA,food,Slug is a kind of [MASK].
IsA,conductor,Brass is a [MASK].
IsA,horse,A chesterfield is a [MASK].
IsA,commode,A toilet is a kind of [MASK].
IsA,opening,A bridge arch has an [MASK] under it.
IsA,vasodilator,Nitroglycerin is a [MASK].
IsA,container,A decanter is a [MASK].
IsA,unsanitary,Some toilets are [MASK].
IsA,dog,Groenendael is a [MASK].
IsA,lobbyist,Jose is a [MASK].
IsA,instrument,"The statement ""Bob Dylan plays the guitar"" helps answer the question ""What [MASK] does Bob Dylan play?""."
IsA,amphibians,Frogs and toads are [MASK].
IsA,Ceremony,[MASK] is ancient ritual.
IsA,building,"To understand the event ""Pat is a teacher.  Pat works in a school [MASK]."", it is important to know that pat got good education."
IsA,instrument,A bronchoscope is an [MASK] used in hospitals.
IsA,flatbread,Hardtack is a type of [MASK].
IsA,tubers,Some vegetables are [MASK].
IsA,corporation,Microsoft is a greedy [MASK] that sells shoddy products.
IsA,fish,A dolphin is a kind of [MASK].
IsA,food,A pickle is a kind of [MASK].
IsA,feeling,Sometimes diminishing your own hunger causes a satiated [MASK].
IsA,element,A helium baloon floats because helium is an [MASK] that's lighter than air.
IsA,bugs,Lice has [MASK] nits.
IsA,plant,Bamboo is a [MASK].
IsA,country,"Another way to say ""In Japan, people speak Japanese"" is ""language names are taken from the [MASK]""."
IsA,documents,Newspapers are [MASK].
IsA,fruit,A fig is a [MASK].
IsA,phone,Cellphone is a kind of [MASK].
IsA,gasoline,Oil is related to petrol [MASK].
IsA,city,Harare is a [MASK] in Zimbabwe.
IsA,circles,Dishes are [MASK].
IsA,process,Infinitesimal is a [MASK].
IsA,swamps,Some ponds are [MASK].
IsA,medicine,Penicillin is a type of [MASK].
IsA,jprime,Ford is [MASK].
IsA,passageway,Door is wall [MASK].
IsA,ball,"To understand the event ""Joe broke his hockey stick."", it is important to know that Joe was probably using it to hit a [MASK] or puck."
IsA,tool,A planer is a type of [MASK].
IsA,generally,A carnival is [MASK] viewed as fun.
IsA,company,Toyota are a [MASK] that makes cars.
IsA,dish,A teacup is a [MASK].
IsA,pediatrician,Janice was a [MASK].
IsA,energy,Sunlight can be converted into [MASK].
IsA,adjective,Hot is an [MASK].
IsA,insects,"To understand the event ""The catepillar turned into a butterfly."", it is important to know that Caterpillars and Butterflies are [MASK]."
IsA,opinion,Bigotry is a type of [MASK].
