,sub_label,template,obj_label,masked_sentence,T5_paraphrased_filled_sentence_0,T5_paraphrased_filled_sentence_1,T5_paraphrased_filled_sentence_2,T5_paraphrased_filled_sentence_3
0,Allan Peiper,[X] was born in [Y] .,Alexandra,"Allan Peiper (born 26 April 1960 in [MASK], Australia) is a former Professional cyclist, who competed in five Tour de France cycle races.","Allan Peiper, a professional cyclist from Alexandra, Australia, was born on April 26, 1960, and has participated in five Tour de [MASK] cycle races.","Formerly a Professional cyclist, Allan Peiper (born April 26, 1960 in Alexandra, Australia) participated in five Tour de [MASK] cycle races.","Allan Peiper, who was born in Alexandra, Australia on April 26, 1960, has competed in five Tour de [MASK] cycle races and is a former professional cyclist.","A former professional cyclist, Allan Peiper, was born in Alexandra, Australia on 26 April 1960 and has competed for five Tour de [MASK] cycles."
1,Anthony Barber,[X] was born in [Y] .,Doncaster,"It was won by the Conservative candidate Anthony Barber, who returned after losing his [MASK] constituency in the 1964 General Election.","After losing his [MASK] constituency in the 1964 General Election, Anthony Barber, a Conservative candidate, won it.","Anthony Barber, the Conservative candidate who lost his [MASK] constituency in the 1964 General Election, won it.","The Conservative candidate Anthony Barber, who had lost his [MASK] constituency in the 1964 General Election, won it.","Following his defeat in the 1964 General Election, Anthony Barber of the Conservative Party won the election."
2,Paul Mounsey,[X] was born in [Y] .,Scotland,NahooToo is the second album by [MASK] musician Paul Mounsey.,"Paul Mounsey, a musician from [MASK], has released his second album, NahooToo.","The second album of Paul Mounsey's Scottish band, NahooToo, is released.","NahooToo is the second album of Paul Mounsey, a musician hailing from [MASK].",[MASK]'s Paul Mounsey has released his second album Nahoon to the beat of.
3,Moe Koffman,[X] was born in [Y] .,Toronto,He has performed with many of [MASK]'s foremost musicians including as a longstanding and charter member of Bernie Senensky's Moe Koffman Tribute Band.,"Among the prominent musicians in [MASK], he has been a member of Bernie Senensky's Moe Koffman Tribute Band for many years.","As a member of Bernie Senensky's Moe Koffman Tribute Band, he has been involved in the music industry for many years.","He has collaborated with a number of prominent musicians in [MASK], including being formally affiliated with Bernie Senensky's Moe Koffman Tribute Band.","Many of [MASK]'s top musicians have collaborated with him, and he has been a member of Bernie Senensky'S Moe Koffman Tribute Band for an extended period."
4,Kurt Schwertsik,[X] was born in [Y] .,Vienna,"Kurt Schwertsik (born 25 June 1935, [MASK]) is an Austrian contemporary composer.","The Austrian contemporary composer Kurt Schwertsik was born in [MASK] on June 25, 1935.","Kurt Schwertsik, an Austrian composer born in [MASK] on June 25, 1935, is recognized as a contemporary.","An Austrian composer of the modern era, Kurt Schwertsik was born in [MASK] on June 25, 1935.","A contemporary composer of Austrian origin, Kurt Schwertsik was born in [MASK] on June 25, 1935."
5,Claude Arrieu,[X] was born in [Y] .,Paris,"Claude Arrieu (born [MASK], November 30, 1903 - died Paris, March 7, 1990) was a prolific French composer.","Claude Arrieu, who was born in [MASK] on November 30, 1903 and passed away on March 7, 1990, is known for his prolific work as a French composer.","The French composer Claude Arrieu, who was born in [MASK] on November 30, 1903 and passed away on March 7, 1990, is known for his prolific work.","[MASK] native Claude Arrieu (born November 30, 1903 - died March 7, 1990) was one of the most prolific French composers.","A prolific French composer, Claude Arrieu (born [MASK] on November 30, 1903 until his death on March 7, 1990) is well-known."
6,Ryō Kase,[X] was born in [Y] .,Yokohama,"Ryo Kase (加瀬 亮 Kase Ryō, born November 9, 1974 in [MASK]) is a Japanese actor.","Born in [MASK] on November 9, 1974, Ryo Kase is a Japanese actor.","The actor Ryo Kase, born in [MASK] on November 9, 1974, is known as ""Kase Ry.""","Ryo Kase, born in [MASK] on November 9, 1974, is a Japanese actor.","Born on November 9, 1974 in [MASK], Ryo Kase (; Kasein Ry) is a Japanese actor."
7,Frans Floris I,[X] was born in [Y] .,Antwerp,"1228 – [MASK], March 26, 1258) ""the guardian""[citation needed] of Holland, son of Floris IV, Count of Holland (1210–1234) and Matilda of Brabant (ca.","Holland, the son of Floris IV, Count of Holland (1210–1234) and Matilda (ca.), was known as ""the guardian"" during the years 1228 to March 26, 1258, in [MASK].","""The protector"" was the name given to Holland, who was also the daughter of Floris IV, Count of Holland (120-1210) and Matilda of Brabant (ca.) during the period of 1228 to March 26, 1258 in [MASK].","During the years 1228 to March 26, 1248, in [MASK], Holland, who was the son of Floris IV, Count of Holland (120-1210) and Matilda of Brabant (ca.), was designated as ""the guardian.""","The guardian of Holland, who was the son and daughter of Floris IV, Count of Netherlands, and Matilda of Brabant, was mentioned in court from 1228 to March 26, 1258, under the title ""Guardians."""
8,Henry Heras,[X] was born in [Y] .,Barcelona,"Henry Heras (11 September 1888, [MASK] - 14 December 1955, Bombay, India) was a Spanish Jesuit priest, archeologist and historian in India.","In Barcelona, Henry Heras was a Spanish Jesuit priest, archeologist, and historian who lived from [MASK] until his death in 1955.","A Spanish Jesuit priest, archeologist, and historian from Barcelona lived in Bombay, [MASK], before his death in 1955.","Henry Heras, a Spanish Jesuit priest, archeologist, and historian in Barcelona, passed away on September 11, 1888, in [MASK] before his death in Bombay.","During his time in [MASK], Henry Heras worked as a Spanish Jesuit priest and archeologist before becoming renowned in the field of history."
9,Daniele Franceschini,[X] was born in [Y] .,Rome,Daniele Franceschini (born 13 January 1976 in [MASK]) is an Italian football midfielder.,"Daniele Franceschini, an Italian football midfielder, was born in [MASK] on 13 January 1976.",The Italian football midfielder Daniele Franceschini was born in [MASK] on 13 January 1976.,"Born in [MASK] on January 13, 1976, Daniele Franceschini is an Italian football midfielder.","An Italian football player, Daniele Franceschini, was born in [MASK] on January 13, 1976, and is known for his exceptional abilities as a midfielder."
