,sub_label,template,obj_label,masked_sentence
0,Allan Peiper,[X] was born in [Y] .,Alexandra,"Allan Peiper (born 26 April 1960 in [MASK], Australia) is a former Professional cyclist, who competed in five Tour de France cycle races."
2,Anthony Barber,[X] was born in [Y] .,Doncaster,"It was won by the Conservative candidate Anthony Barber, who returned after losing his [MASK] constituency in the 1964 General Election."
3,Paul Mounsey,[X] was born in [Y] .,Scotland,NahooToo is the second album by [MASK] musician Paul Mounsey.
7,Moe Koffman,[X] was born in [Y] .,Toronto,He has performed with many of [MASK]'s foremost musicians including as a longstanding and charter member of Bernie Senensky's Moe Koffman Tribute Band.
8,Kurt Schwertsik,[X] was born in [Y] .,Vienna,"Kurt Schwertsik (born 25 June 1935, [MASK]) is an Austrian contemporary composer."
10,Claude Arrieu,[X] was born in [Y] .,Paris,"Claude Arrieu (born [MASK], November 30, 1903 - died Paris, March 7, 1990) was a prolific French composer."
14,Ryō Kase,[X] was born in [Y] .,Yokohama,"Ryo Kase (加瀬 亮 Kase Ryō, born November 9, 1974 in [MASK]) is a Japanese actor."
16,Frans Floris I,[X] was born in [Y] .,Antwerp,"1228 – [MASK], March 26, 1258) ""the guardian""[citation needed] of Holland, son of Floris IV, Count of Holland (1210–1234) and Matilda of Brabant (ca."
19,Henry Heras,[X] was born in [Y] .,Barcelona,"Henry Heras (11 September 1888, [MASK] - 14 December 1955, Bombay, India) was a Spanish Jesuit priest, archeologist and historian in India."
21,Daniele Franceschini,[X] was born in [Y] .,Rome,Daniele Franceschini (born 13 January 1976 in [MASK]) is an Italian football midfielder.
23,Yeung Sum,[X] was born in [Y] .,Guangzhou,"Yeung Sum, SBS, JP (simplified Chinese: 杨森; traditional Chinese: 楊森; pinyin: Yáng Sēn; Jyutping: Joeng4 Sam1; born 22 November 1947 in [MASK], Guangdong with family roots in Zengcheng, Guangdong) is a Hong Kong politician and academic."
25,Sajjad Ali,[X] was born in [Y] .,Lahore,"Other featuring artists in the fourth season included, Bilal Khan, progressive metal band Mizraab, Balouchi folk singer Akhtar Chanal Zahri, pop rock band Jal from [MASK], Kaavish, qawwal group of Fareed Ayaz & Abu Muhammad, Asif Hussain Samraat, Komal Rizvi, Sajjad Ali, Mole, QB and eastern classical Punjabi singer Attaullah Khan Esakhelvi."
28,Giovanni Maria Morandi,[X] was born in [Y] .,Florence,"Giovanni Maria Morandi (30 April 1622 – 18 February 1717) was an Italian painter, mainly active in Rome and his natal city of [MASK], but also Venice."
31,Brian Boyd,[X] was born in [Y] .,Belfast,"Brian Boyd (born 30 July 1952 in [MASK], Northern Ireland) is known primarily as an expert on the life and works of author Vladimir Nabokov and on literature and evolution."
33,Maurice de Vlaminck,[X] was born in [Y] .,Paris,"In 1949 he visited [MASK] and was influenced by Georges Rouault, Maurice de Vlaminck and Maurice Utrillo."
36,Guy Deghy,[X] was born in [Y] .,Budapest,"Guy Deghy (October 11, 1912 – February 25, 1992) in [MASK], Hungary, an actor who appeared largely in British films and television."
38,Ze'ev Jabotinsky,[X] was born in [Y] .,Odessa,"Ze'ev Jabotinsky, MBE (Hebrew: זאב ז'בוטינסקי; born Vladimir Yevgenyevich Zhabotinsky, Russian: Влади́мир Евге́ньевич Жаботи́нский; 18 October 1880, [MASK] – 4 August 1940, New York City), was a Russian Jewish Revisionist Zionist leader, author, poet, orator, soldier and founder of the Jewish Self-Defense Organization in Odessa."
42,John Brumby,[X] was born in [Y] .,Melbourne,"He was born in [MASK], and was a trade union official, small business proprietor and researcher and adviser to the Victorian State Leader of the Opposition, John Brumby, before entering politics."
44,Pierre Dupont,[X] was born in [Y] .,Lyon,"Pierre Dupont (April 23, 1821 – July 25, 1870), French song-writer, the son of a blacksmith, was born in [MASK]."
47,Taras Kuzio,[X] was born in [Y] .,Halifax,"Taras Kuzio (born 1958 in [MASK], UK) is an academic and expert in Ukrainian political, economic and security affairs."
49,Masako Natsume,[X] was born in [Y] .,Tokyo,"Masako Natsume (夏目 雅子 Natsume Masako, December 17, 1957 - September 11, 1985) (family name: Nishiyama) was a Japanese model and actress from [MASK]."
52,Henry Mayhew,[X] was born in [Y] .,London,"Punch, or The [MASK] Charivari was a British weekly magazine of humour and satire established in 1841 by Henry Mayhew and engraver Ebenezer Landells."
68,Henri Bourassa,[X] was born in [Y] .,Montreal,"Terminus Henri-Bourassa Nord is located at 10765, rue Lajeunesse north of Henri Bourassa Blvd in [MASK] just south of the Viau bridge."
69,Fergus McMaster,[X] was born in [Y] .,Queensland,"Qantas was founded in Winton, Queensland on 16 November 1920 as [MASK] and Northern Territory Aerial Services Limited by Paul McGinness, Hudson Fysh, Fergus McMaster and Arthur Baird."
70,Natalie Lowe,[X] was born in [Y] .,Sydney,"Natalie Lowe (born 15 August 1980), is a professional dancer from [MASK] who has ballroom dancing expertise."
72,Ilari Sahamies,[X] was born in [Y] .,Helsinki,"Ilari Sahamies (born 1983 in [MASK], Finland), also known as Ziigmund, is a Finnish professional poker player."
75,Charles Holmes,[X] was born in [Y] .,Preston,"Sir Charles John Holmes, KCVO (11 November 1868, [MASK] – 7 December 1936, Kensington, London) was a British painter, art historian and museum director."
77,Rob Lee,[X] was born in [Y] .,London,Sir Robert Lee (died 22 December 1605) was an English merchant who was Lord Mayor of [MASK] in 1602.
80,Nam June Paik,[X] was born in [Y] .,Seoul,"Paik followed up the piece in 1986 with ""Bye Bye Kipling"", a satellite installation linking New York, [MASK], and Tokyo."
81,Hiroshi Takemura,[X] was born in [Y] .,Tokyo,"Hiroshi Takemura (竹村 拓 Takemura Hiroshi, born on October 24, 1953 in [MASK], Japan) is a Japanese voice actor."
83,Cedric Boswell,[X] was born in [Y] .,Detroit,"Cedric Boswell (born July 21, 1969 in [MASK]) is a professional heavyweight boxer from the United States."
85,Sirindhorn,[X] was born in [Y] .,Bangkok,He currently holds an Australian Research Council Discovery Grant for the project “Critical Thought in Thailand After Marxism” and is consultant for the “Cultural Pluralism and Sexual Diversity in Thailand” project at the Princess Maha Chakri Sirindhorn Anthropology Centre in [MASK].
89,Susette LaFlesche Tibbles,[X] was born in [Y] .,Nebraska,"Susette La Flesche, (later Susette LaFlesche Tibbles) also called Inshata Theumba (Bright Eyes) (1854 – 1903), was a well-known Native American writer, lecturer, interpreter and artist of the Omaha tribe in [MASK]."
92,Charles II of Spain,[X] was born in [Y] .,Madrid,"He is known to have been working as the organist of El Pilar in Zaragoza in around 1676; he was later employed in the chapel of Carlos II in [MASK], where he died."
99,Gerard Lee,[X] was born in [Y] .,Melbourne,"Gerard Lee (born 1951 in [MASK]) is an Australian novelist, screenwriter and director."
101,Eddie Creatchman,[X] was born in [Y] .,Montreal,"Eddie Creatchman (February 27, 1928 - March 9, 1994) was a Canadian wrestler-turned-manager who is perhaps most famous for his time in Gino Brito's [MASK] based promotion, International Wrestling, where he was known as Eddie ""The Brain"" Creatchman, hated manager of wrestlers such as The Sheik, The Great Samu and Steve Strong."
104,Giovanni Sgambati,[X] was born in [Y] .,Rome,She was born in Vercelli and studied piano with Giovanni Sgambati and composition with Alessandro Parisotti at the Conservatory in [MASK].
108,Michael Maleinos,[X] was born in [Y] .,Constantinople,"Born in Trebizond and patronized by Michael Maleinos, he studied at [MASK] and became famous there as Abraham, a fervent preacher who held great authority with Michael's nephew, Nicephorus Phocas."
109,John Addington Symonds,[X] was born in [Y] .,Bristol,"Dame Katharine Furse, GBE, RRC (née Symonds; 23 November 1875, [MASK] – 25 November 1952, London), founder of the English Voluntary Aid Detachment (VAD) force, was the daughter of the poet and critic John Addington Symonds and Janet Catherine North."
110,John McAllion,[X] was born in [Y] .,Glasgow,"John McAllion (born 13 February 1948, [MASK]) is a campaigner for the Scottish Socialist Party, as well as former Labour Party Member of Parliament (MP), Member of the Scottish Parliament (MSP), and convenor of Tayside Regional Council."
112,Rodel Mayol,[X] was born in [Y] .,Cebu,"Rodel Bryan Generalao Mayol (born August 9, 1981 in Mandaue City, [MASK], Philippines), more commonly known as just Rodel Mayol, is a Filipino professional boxer and the former WBC Light Flyweight World Champion."
114,Alla Pavlova,[X] was born in [Y] .,Ukraine,"Alla Pavlova (Russian: Алла Павлова, born July 13, 1952 in [MASK]) is a Russian composer of Ukrainian origin, best known for her symphonic work."
