,sub_label,template,obj_label,masked_sentence
0,Herbie Mann,[X] plays [Y] music .,jazz,"Herbert Jay Solomon (April 16, 1930 – July 1, 2003), known by his stage name Herbie Mann, was an American [MASK] flautist and important early practitioner of world music."
1,Herbie Mann,[X] plays [Y] music .,jazz,"Herbert Jay Solomon (April 16, 1930 – July 1, 2003), known by his stage name Herbie Mann, was an American [MASK] flautist and important early practitioner of world music."
2,William Bolcom,[X] plays [Y] music .,opera,McTeague is an American [MASK] composed by William Bolcom with a libretto Arnold Weinstein and Robert Altman.
3,William Bolcom,[X] plays [Y] music .,opera,"The label has also recorded Mohammed Fairouz's first [MASK], Sumeida's Song as well as operas by William Bolcom, Allen Shawn, Tod Machover and John Musto."
4,Original Dixieland Jass Band,[X] plays [Y] music .,jazz,"Christian was replaced by Nick LaRocca, and thus Frank Christian missed his chance to be in the Original Dixieland Jass Band which made the first [MASK] recordings in 1917."
5,Original Dixieland Jass Band,[X] plays [Y] music .,jazz,"Edwin Branford ""Eddie"" Edwards (May 22, 1891 – April 9, 1963) was an early [MASK] trombonist, best known for his pioneering recordings with the Original Dixieland Jass Band."
6,Jean-Michel Pilc,[X] plays [Y] music .,jazz,"Jean-Michel Pilc (born 1960 in Paris, France) is a self-taught [MASK] pianist currently residing in New York."
7,Jean-Michel Pilc,[X] plays [Y] music .,jazz,"Jean-Michel Pilc (born 1960 in Paris, France) is a self-taught [MASK] pianist currently residing in New York."
8,Giulio Caccini,[X] plays [Y] music .,opera,Euridice is an [MASK] in a prologue and one act by the Italian composer Giulio Caccini.
9,Giulio Caccini,[X] plays [Y] music .,opera,"In his work, Monteverdi incorporates the ""speech-song"" or recitative first used in Jacopo Peri's [MASK] Dafne and Giulio Caccini's Euridice, both direct precursors of L'Orfeo, and adds solo arias, duets, ensembles, dances and instrumental interludes."
10,Nicolas Dalayrac,[X] plays [Y] music .,opera,L'amant statue is an [MASK] in one act by composer Nicolas Dalayrac with a French libretto by Fouques Desfontaines.
