obj_label,masked_sentence,masked_sentence_roberta
alberta,"[MASK]'s capital Edmonton is near the geographic centre of the province and is the primary supply and service hub for Canada's crude oil, oil sands (Athabasca oil sands) and other northern resource industries.","<mask>'s capital Edmonton is near the geographic centre of the province and is the primary supply and service hub for Canada's crude oil, oil sands (Athabasca oil sands) and other northern resource industries."
alberta,"This is a list of the tallest buildings in Edmonton, the capital city of the province of [MASK] in Canada.","This is a list of the tallest buildings in Edmonton, the capital city of the province of <mask> in Canada."
alberta,"His honors include induction into the City of Edmonton Hall of Fame, the Queen Elizabeth II Golden Jubilee Medal, the Queen Elizabeth II Diamond Jubilee Medal for distinguished service to Canadian choral music, induction into the [MASK] Order of Excellence, induction as a Fellow of the Royal Society of Canada and being named to the Order of Canada.","His honors include induction into the City of Edmonton Hall of Fame, the Queen Elizabeth II Golden Jubilee Medal, the Queen Elizabeth II Diamond Jubilee Medal for distinguished service to Canadian choral music, induction into the <mask> Order of Excellence, induction as a Fellow of the Royal Society of Canada and being named to the Order of Canada."
alberta,"It is located in the province of [MASK], north of Banff National Park and west of Edmonton.","It is located in the province of <mask>, north of Banff National Park and west of Edmonton."
alberta,"This makes Lethbridge the largest [MASK] market without a hot adult contemporary radio station, having overtaken from Edmonton in February 2010, virtually the same time when CKNO-FM signed on the air.","This makes Lethbridge the largest <mask> market without a hot adult contemporary radio station, having overtaken from Edmonton in February 2010, virtually the same time when CKNO-FM signed on the air."
alberta,"100 by [MASK], is a freeway in east Edmonton, Alberta, Canada.","100 by <mask>, is a freeway in east Edmonton, Alberta, Canada."
alberta,"He was born in 1914 in Winnipeg, but grew up in Edmonton and graduated from law from the University of [MASK].","He was born in 1914 in Winnipeg, but grew up in Edmonton and graduated from law from the University of <mask>."
alberta,"Northlands Park is the ""[MASK] A circuit"" horse racing track at Northlands in Edmonton, Alberta.","Northlands Park is the ""<mask> A circuit"" horse racing track at Northlands in Edmonton, Alberta."
alberta,"The Edmonton, Dunvegan and British Columbia Railway (ED&BC) was an early pioneer railway in northwestern [MASK], designed to open up the Peace River district.","The Edmonton, Dunvegan and British Columbia Railway (ED&BC) was an early pioneer railway in northwestern <mask>, designed to open up the Peace River district."
alberta,"Diduck was born in Edmonton, Alberta, but grew up in Sherwood Park, [MASK] and now resides in Texas.","Diduck was born in Edmonton, Alberta, but grew up in Sherwood Park, <mask> and now resides in Texas."
alberta,"The section west of Edmonton is labelled 16A:14 and 16A:16 on [MASK] maps, but is better known as Parkland Highway and Stony Plain Road.","The section west of Edmonton is labelled 16A:14 and 16A:16 on <mask> maps, but is better known as Parkland Highway and Stony Plain Road."
alberta,"The diocesan boundaries are: on the south, the border between [MASK] and the United States; on the east, the Alberta-Saskatchewan border; on the west, the Alberta-British Columbia border and on the north, an uneven east-west line drawn across the province just north of Lacombe forms the northern boundary of the Diocese of Calgary and the southern boundary of the Diocese of Edmonton.","The diocesan boundaries are: on the south, the border between <mask> and the United States; on the east, the Alberta-Saskatchewan border; on the west, the Alberta-British Columbia border and on the north, an uneven east-west line drawn across the province just north of Lacombe forms the northern boundary of the Diocese of Calgary and the southern boundary of the Diocese of Edmonton."
alberta,During his service in Edmonton he was elected president of the [MASK] Legislature Press Gallery.,During his service in Edmonton he was elected president of the <mask> Legislature Press Gallery.
alberta,Clark lived in [MASK] for two decades and attended Edmonton's University of Alberta.,Clark lived in <mask> for two decades and attended Edmonton's University of Alberta.
alberta,Clark lived in Alberta for two decades and attended Edmonton's University of [MASK].,Clark lived in Alberta for two decades and attended Edmonton's University of <mask>.
alberta,From there she moved to Edmonton [MASK] and was Artistic Director of Rapid Fire Theatre from 1991 - 1996.,From there she moved to Edmonton <mask> and was Artistic Director of Rapid Fire Theatre from 1991 - 1996.
alberta,"The [MASK] Poetry Yearbook was an annual publication of entries into a poetry contest administered by the Canadian Authors Association, Edmonton, Alberta branch.","The <mask> Poetry Yearbook was an annual publication of entries into a poetry contest administered by the Canadian Authors Association, Edmonton, Alberta branch."
alberta,"[MASK] Scouten, secretary of the Edmonton branch of the Canadian Author's Association for many years, started the Alberta Poetry Year Book in 1930.","<mask> Scouten, secretary of the Edmonton branch of the Canadian Author's Association for many years, started the Alberta Poetry Year Book in 1930."
alberta,"Alberta Scouten, secretary of the Edmonton branch of the Canadian Author's Association for many years, started the [MASK] Poetry Year Book in 1930.","Alberta Scouten, secretary of the Edmonton branch of the Canadian Author's Association for many years, started the <mask> Poetry Year Book in 1930."
alberta,"Langkow was born in Sherwood Park, [MASK], but grew up in Edmonton, Alberta.","Langkow was born in Sherwood Park, <mask>, but grew up in Edmonton, Alberta."
alberta,"She held the [MASK] provincial record in the 400-metre individual medley for 30 years, before it was broken in December 2008 by a 16-year-old Edmonton high school student.","She held the <mask> provincial record in the 400-metre individual medley for 30 years, before it was broken in December 2008 by a 16-year-old Edmonton high school student."
alberta,The Roman Catholic Archdiocese of Edmonton (Latin: Archidioecesis Edmontonensis) is a Roman Catholic archdiocese in the Province of [MASK].,The Roman Catholic Archdiocese of Edmonton (Latin: Archidioecesis Edmontonensis) is a Roman Catholic archdiocese in the Province of <mask>.
alberta,The Ukrainian Catholic Eparchy of Edmonton is a Ukrainian Catholic diocese that governs parishes in the Canadian province of [MASK].,The Ukrainian Catholic Eparchy of Edmonton is a Ukrainian Catholic diocese that governs parishes in the Canadian province of <mask>.
alberta,"The network consists of six owned-and-operated (O&O) television stations located in the metropolitan areas of Toronto, Montreal, Winnipeg, Calgary, Edmonton, and Vancouver, a cable-only service that serves the province of Saskatchewan, and three independently owned affiliates serving smaller cities in [MASK] and British Columbia.","The network consists of six owned-and-operated (O&O) television stations located in the metropolitan areas of Toronto, Montreal, Winnipeg, Calgary, Edmonton, and Vancouver, a cable-only service that serves the province of Saskatchewan, and three independently owned affiliates serving smaller cities in <mask> and British Columbia."
alberta,"Calgarians' bruised feelings were not salved when the government located the University of [MASK], a project dear to the Premier's heart, in his hometown of Strathcona, just across the North Saskatchewan River from Edmonton.","Calgarians' bruised feelings were not salved when the government located the University of <mask>, a project dear to the Premier's heart, in his hometown of Strathcona, just across the North Saskatchewan River from Edmonton."
alberta,"A University of [MASK] library, an Edmonton elementary school, and Jasper National Park's Mount Rutherford are named in his honour.","A University of <mask> library, an Edmonton elementary school, and Jasper National Park's Mount Rutherford are named in his honour."
alberta,"The University of [MASK] (also known as U of A and UAlberta) is a public research university located in Edmonton, Alberta, Canada.","The University of <mask> (also known as U of A and UAlberta) is a public research university located in Edmonton, Alberta, Canada."
