,answers,original,t5_0,t5_1,t5_2,t5_3
0,iraq,"[{'token': 'tokyo', 'score': 0.243}, {'token': 'london', 'score': 0.206}, {'token': 'baghdad', 'score': 0.194}, {'token': 'japan', 'score': 0.098}, {'token': 'iraq', 'score': 0.034}, {'token': 'paris', 'score': 0.01}, {'token': 'bangkok', 'score': 0.008}, {'token': 'kuwait', 'score': 0.008}, {'token': 'osaka', 'score': 0.007}, {'token': 'mosul', 'score': 0.007}]","[{'token': 'iraq', 'score': 0.145}, {'token': 'baghdad', 'score': 0.132}, {'token': 'london', 'score': 0.113}, {'token': 'afghanistan', 'score': 0.064}, {'token': 'pakistan', 'score': 0.041}, {'token': 'syria', 'score': 0.04}, {'token': 'kuwait', 'score': 0.029}, {'token': 'mosul', 'score': 0.022}, {'token': 'somalia', 'score': 0.02}, {'token': 'yemen', 'score': 0.02}]","[{'token': 'japan', 'score': 0.708}, {'token': 'tokyo', 'score': 0.135}, {'token': 'okinawa', 'score': 0.018}, {'token': 'kyoto', 'score': 0.014}, {'token': 'osaka', 'score': 0.013}, {'token': 'china', 'score': 0.011}, {'token': 'hiroshima', 'score': 0.011}, {'token': 'taiwan', 'score': 0.01}, {'token': 'italy', 'score': 0.006}, {'token': 'finland', 'score': 0.004}]","[{'token': 'baghdad', 'score': 0.366}, {'token': 'iraq', 'score': 0.233}, {'token': 'afghanistan', 'score': 0.076}, {'token': 'mosul', 'score': 0.045}, {'token': 'pakistan', 'score': 0.037}, {'token': 'syria', 'score': 0.017}, {'token': 'kabul', 'score': 0.015}, {'token': 'kuwait', 'score': 0.013}, {'token': 'karachi', 'score': 0.012}, {'token': 'libya', 'score': 0.012}]","[{'token': 'baghdad', 'score': 0.469}, {'token': 'iraq', 'score': 0.085}, {'token': 'paris', 'score': 0.041}, {'token': 'london', 'score': 0.033}, {'token': 'france', 'score': 0.032}, {'token': 'kuwait', 'score': 0.029}, {'token': 'japan', 'score': 0.018}, {'token': 'mosul', 'score': 0.016}, {'token': 'germany', 'score': 0.015}, {'token': 'prison', 'score': 0.012}]"
1,paris,"[{'token': 'paris', 'score': 0.619}, {'token': 'france', 'score': 0.056}, {'token': 'warsaw', 'score': 0.053}, {'token': 'berlin', 'score': 0.026}, {'token': 'vienna', 'score': 0.019}, {'token': 'rome', 'score': 0.017}, {'token': 'prague', 'score': 0.017}, {'token': 'brussels', 'score': 0.017}, {'token': 'germany', 'score': 0.01}, {'token': 'geneva', 'score': 0.01}]","[{'token': 'boarding', 'score': 0.126}, {'token': 'high', 'score': 0.115}, {'token': 'private', 'score': 0.066}, {'token': 'grammar', 'score': 0.053}, {'token': 'elementary', 'score': 0.05}, {'token': 'jesuit', 'score': 0.041}, {'token': 'medical', 'score': 0.037}, {'token': 'secondary', 'score': 0.03}, {'token': 'primary', 'score': 0.028}, {'token': 'public', 'score': 0.026}]","[{'token': 'paris', 'score': 0.674}, {'token': 'france', 'score': 0.086}, {'token': 'berlin', 'score': 0.019}, {'token': 'rome', 'score': 0.018}, {'token': 'vienna', 'score': 0.017}, {'token': 'brussels', 'score': 0.016}, {'token': 'prague', 'score': 0.012}, {'token': 'london', 'score': 0.011}, {'token': 'warsaw', 'score': 0.011}, {'token': 'germany', 'score': 0.011}]","[{'token': 'chicago', 'score': 0.488}, {'token': 'philadelphia', 'score': 0.033}, {'token': 'cincinnati', 'score': 0.025}, {'token': 'brooklyn', 'score': 0.025}, {'token': 'detroit', 'score': 0.022}, {'token': 'baltimore', 'score': 0.021}, {'token': 'indiana', 'score': 0.021}, {'token': 'illinois', 'score': 0.017}, {'token': 'harlem', 'score': 0.017}, {'token': 'boston', 'score': 0.016}]","[{'token': 'vienna', 'score': 0.639}, {'token': 'paris', 'score': 0.091}, {'token': 'prague', 'score': 0.071}, {'token': 'berlin', 'score': 0.026}, {'token': 'munich', 'score': 0.026}, {'token': 'austria', 'score': 0.018}, {'token': 'brussels', 'score': 0.009}, {'token': 'zurich', 'score': 0.009}, {'token': 'switzerland', 'score': 0.008}, {'token': 'rome', 'score': 0.008}]"
2,baltimore,"[{'token': 'london', 'score': 0.303}, {'token': 'paris', 'score': 0.252}, {'token': 'france', 'score': 0.024}, {'token': 'inc', 'score': 0.023}, {'token': 'berlin', 'score': 0.015}, {'token': 'uk', 'score': 0.014}, {'token': 'amsterdam', 'score': 0.014}, {'token': 'chicago', 'score': 0.013}, {'token': 'dublin', 'score': 0.012}, {'token': 'switzerland', 'score': 0.011}]","[{'token': 'london', 'score': 0.529}, {'token': 'paris', 'score': 0.076}, {'token': 'oxford', 'score': 0.042}, {'token': 'uk', 'score': 0.039}, {'token': 'cambridge', 'score': 0.017}, {'token': 'amsterdam', 'score': 0.015}, {'token': 'england', 'score': 0.015}, {'token': 'chicago', 'score': 0.013}, {'token': 'boston', 'score': 0.012}, {'token': 'dublin', 'score': 0.012}]","[{'token': 'paris', 'score': 0.303}, {'token': 'london', 'score': 0.28}, {'token': 'france', 'score': 0.037}, {'token': 'uk', 'score': 0.023}, {'token': 'amsterdam', 'score': 0.014}, {'token': 'montreal', 'score': 0.012}, {'token': 'usa', 'score': 0.011}, {'token': 'dublin', 'score': 0.01}, {'token': 'toronto', 'score': 0.009}, {'token': 'boston', 'score': 0.009}]","[{'token': 'london', 'score': 0.665}, {'token': 'uk', 'score': 0.029}, {'token': 'england', 'score': 0.02}, {'token': 'oxford', 'score': 0.015}, {'token': 'paris', 'score': 0.013}, {'token': 'usa', 'score': 0.013}, {'token': 'chicago', 'score': 0.01}, {'token': 'dublin', 'score': 0.01}, {'token': 'toronto', 'score': 0.009}, {'token': 'philadelphia', 'score': 0.009}]","[{'token': 'london', 'score': 0.296}, {'token': 'warsaw', 'score': 0.103}, {'token': 'which', 'score': 0.081}, {'token': 'poland', 'score': 0.05}, {'token': 'uk', 'score': 0.036}, {'token': 'berlin', 'score': 0.024}, {'token': 'chicago', 'score': 0.018}, {'token': 'ny', 'score': 0.016}, {'token': 'paris', 'score': 0.014}, {'token': 'germany', 'score': 0.011}]"
3,leicester,"[{'token': 'london', 'score': 0.176}, {'token': 'boston', 'score': 0.081}, {'token': 'philadelphia', 'score': 0.051}, {'token': 'chicago', 'score': 0.04}, {'token': 'manhattan', 'score': 0.026}, {'token': 'toronto', 'score': 0.026}, {'token': 'montreal', 'score': 0.021}, {'token': 'brooklyn', 'score': 0.02}, {'token': 'vienna', 'score': 0.018}, {'token': 'houston', 'score': 0.018}]","[{'token': '2006', 'score': 0.035}, {'token': '2005', 'score': 0.034}, {'token': '2009', 'score': 0.033}, {'token': '2008', 'score': 0.03}, {'token': '2012', 'score': 0.029}, {'token': '2013', 'score': 0.028}, {'token': '1990', 'score': 0.027}, {'token': '2011', 'score': 0.027}, {'token': 'order', 'score': 0.026}, {'token': '2002', 'score': 0.026}]","[{'token': '2006', 'score': 0.053}, {'token': '1999', 'score': 0.047}, {'token': '2014', 'score': 0.043}, {'token': 'recent', 'score': 0.041}, {'token': '2003', 'score': 0.039}, {'token': '2010', 'score': 0.036}, {'token': '2009', 'score': 0.036}, {'token': '2008', 'score': 0.033}, {'token': '2004', 'score': 0.031}, {'token': '2012', 'score': 0.031}]","[{'token': 'recent', 'score': 0.212}, {'token': 'special', 'score': 0.13}, {'token': 'private', 'score': 0.058}, {'token': 'paris', 'score': 0.042}, {'token': 'surprise', 'score': 0.027}, {'token': 'free', 'score': 0.021}, {'token': 'london', 'score': 0.019}, {'token': '2016', 'score': 0.017}, {'token': 'live', 'score': 0.017}, {'token': 'tribute', 'score': 0.016}]","[{'token': 'private', 'score': 0.371}, {'token': 'special', 'score': 0.148}, {'token': 'small', 'score': 0.103}, {'token': 'short', 'score': 0.032}, {'token': 'free', 'score': 0.023}, {'token': 'public', 'score': 0.018}, {'token': 'memorial', 'score': 0.015}, {'token': 'brief', 'score': 0.015}, {'token': 'surprise', 'score': 0.014}, {'token': 'live', 'score': 0.011}]"
4,athens,"[{'token': 'paris', 'score': 0.69}, {'token': 'national', 'score': 0.063}, {'token': 'athens', 'score': 0.056}, {'token': 'central', 'score': 0.044}, {'token': 'london', 'score': 0.019}, {'token': 'high', 'score': 0.015}, {'token': 'kiev', 'score': 0.014}, {'token': 'royal', 'score': 0.011}, {'token': 'french', 'score': 0.008}, {'token': 'brussels', 'score': 0.007}]","[{'token': 'london', 'score': 0.639}, {'token': 'central', 'score': 0.131}, {'token': 'chelsea', 'score': 0.052}, {'token': 'royal', 'score': 0.029}, {'token': 'bristol', 'score': 0.012}, {'token': 'athens', 'score': 0.01}, {'token': 'national', 'score': 0.01}, {'token': 'manchester', 'score': 0.007}, {'token': 'westminster', 'score': 0.007}, {'token': 'liverpool', 'score': 0.006}]","[{'token': 'paris', 'score': 0.518}, {'token': 'athens', 'score': 0.156}, {'token': 'central', 'score': 0.077}, {'token': 'national', 'score': 0.061}, {'token': 'kiev', 'score': 0.023}, {'token': 'high', 'score': 0.02}, {'token': 'london', 'score': 0.016}, {'token': 'french', 'score': 0.007}, {'token': 'royal', 'score': 0.007}, {'token': 'brussels', 'score': 0.007}]","[{'token': 'paris', 'score': 0.738}, {'token': 'national', 'score': 0.072}, {'token': 'central', 'score': 0.044}, {'token': 'high', 'score': 0.028}, {'token': 'french', 'score': 0.021}, {'token': 'athens', 'score': 0.007}, {'token': 'royal', 'score': 0.007}, {'token': 'london', 'score': 0.005}, {'token': 'brussels', 'score': 0.004}, {'token': 'american', 'score': 0.004}]",
5,vienna,"[{'token': 'vienna', 'score': 0.871}, {'token': 'prague', 'score': 0.071}, {'token': 'berlin', 'score': 0.018}, {'token': 'munich', 'score': 0.014}, {'token': 'zurich', 'score': 0.006}, {'token': 'bern', 'score': 0.004}, {'token': 'frankfurt', 'score': 0.004}, {'token': 'budapest', 'score': 0.003}, {'token': 'dresden', 'score': 0.002}, {'token': 'cologne', 'score': 0.001}]","[{'token': 'vienna', 'score': 0.918}, {'token': 'prague', 'score': 0.018}, {'token': 'berlin', 'score': 0.015}, {'token': 'munich', 'score': 0.01}, {'token': 'warsaw', 'score': 0.009}, {'token': 'budapest', 'score': 0.005}, {'token': 'dresden', 'score': 0.003}, {'token': 'jerusalem', 'score': 0.003}, {'token': 'austria', 'score': 0.002}, {'token': 'zurich', 'score': 0.002}]","[{'token': 'vienna', 'score': 0.791}, {'token': 'paris', 'score': 0.071}, {'token': 'berlin', 'score': 0.029}, {'token': 'prague', 'score': 0.024}, {'token': 'munich', 'score': 0.018}, {'token': 'budapest', 'score': 0.01}, {'token': 'jerusalem', 'score': 0.006}, {'token': 'zurich', 'score': 0.004}, {'token': 'london', 'score': 0.004}, {'token': 'brussels', 'score': 0.003}]","[{'token': 'vienna', 'score': 0.858}, {'token': 'berlin', 'score': 0.038}, {'token': 'munich', 'score': 0.018}, {'token': 'frankfurt', 'score': 0.018}, {'token': 'prague', 'score': 0.013}, {'token': 'which', 'score': 0.01}, {'token': 'dresden', 'score': 0.005}, {'token': 'zurich', 'score': 0.003}, {'token': 'cologne', 'score': 0.002}, {'token': 'bern', 'score': 0.002}]","[{'token': 'berlin', 'score': 0.428}, {'token': 'vienna', 'score': 0.095}, {'token': 'munich', 'score': 0.09}, {'token': 'hamburg', 'score': 0.081}, {'token': 'frankfurt', 'score': 0.072}, {'token': 'london', 'score': 0.07}, {'token': 'dresden', 'score': 0.032}, {'token': 'cologne', 'score': 0.027}, {'token': 'prague', 'score': 0.022}, {'token': 'zurich', 'score': 0.019}]"
6,rome,"[{'token': 'florence', 'score': 0.462}, {'token': 'rome', 'score': 0.317}, {'token': 'naples', 'score': 0.087}, {'token': 'venice', 'score': 0.07}, {'token': 'italy', 'score': 0.028}, {'token': 'sicily', 'score': 0.01}, {'token': 'paris', 'score': 0.006}, {'token': 'milan', 'score': 0.003}, {'token': 'spain', 'score': 0.002}, {'token': 'jerusalem', 'score': 0.002}]","[{'token': 'florence', 'score': 0.277}, {'token': 'venice', 'score': 0.262}, {'token': 'naples', 'score': 0.182}, {'token': 'milan', 'score': 0.065}, {'token': 'sicily', 'score': 0.034}, {'token': 'paris', 'score': 0.024}, {'token': 'spain', 'score': 0.018}, {'token': 'italy', 'score': 0.016}, {'token': 'madrid', 'score': 0.01}, {'token': 'rome', 'score': 0.009}]","[{'token': 'florence', 'score': 0.329}, {'token': 'naples', 'score': 0.262}, {'token': 'venice', 'score': 0.14}, {'token': 'sicily', 'score': 0.03}, {'token': 'milan', 'score': 0.029}, {'token': 'italy', 'score': 0.025}, {'token': 'constantinople', 'score': 0.022}, {'token': 'paris', 'score': 0.021}, {'token': 'malta', 'score': 0.016}, {'token': 'jerusalem', 'score': 0.014}]","[{'token': 'florence', 'score': 0.428}, {'token': 'venice', 'score': 0.292}, {'token': 'naples', 'score': 0.127}, {'token': 'milan', 'score': 0.037}, {'token': 'paris', 'score': 0.018}, {'token': 'sicily', 'score': 0.015}, {'token': 'italy', 'score': 0.011}, {'token': 'rome', 'score': 0.01}, {'token': 'spain', 'score': 0.005}, {'token': 'athens', 'score': 0.004}]","[{'token': 'florence', 'score': 0.352}, {'token': 'italy', 'score': 0.166}, {'token': 'rome', 'score': 0.103}, {'token': 'venice', 'score': 0.092}, {'token': 'naples', 'score': 0.052}, {'token': 'milan', 'score': 0.031}, {'token': 'spain', 'score': 0.01}, {'token': 'vienna', 'score': 0.008}, {'token': 'europe', 'score': 0.007}, {'token': 'egypt', 'score': 0.006}]"
7,paris,"[{'token': 'paris', 'score': 0.676}, {'token': 'france', 'score': 0.16}, {'token': 'lyon', 'score': 0.019}, {'token': 'chicago', 'score': 0.017}, {'token': 'london', 'score': 0.016}, {'token': 'nice', 'score': 0.007}, {'token': 'rome', 'score': 0.005}, {'token': 'monaco', 'score': 0.005}, {'token': 'brussels', 'score': 0.004}, {'token': 'french', 'score': 0.003}]",,,,
8,munich,"[{'token': 'berlin', 'score': 0.7}, {'token': 'hamburg', 'score': 0.049}, {'token': 'chicago', 'score': 0.047}, {'token': 'munich', 'score': 0.047}, {'token': 'london', 'score': 0.019}, {'token': 'vienna', 'score': 0.015}, {'token': 'cologne', 'score': 0.012}, {'token': 'frankfurt', 'score': 0.012}, {'token': 'germany', 'score': 0.011}, {'token': 'paris', 'score': 0.009}]","[{'token': 'paris', 'score': 0.207}, {'token': 'london', 'score': 0.083}, {'token': 'berlin', 'score': 0.06}, {'token': 'france', 'score': 0.05}, {'token': 'vienna', 'score': 0.043}, {'token': 'switzerland', 'score': 0.039}, {'token': 'rome', 'score': 0.035}, {'token': 'italy', 'score': 0.025}, {'token': 'england', 'score': 0.023}, {'token': 'america', 'score': 0.019}]",,"[{'token': 'paris', 'score': 0.24}, {'token': 'london', 'score': 0.103}, {'token': 'berlin', 'score': 0.086}, {'token': 'vienna', 'score': 0.076}, {'token': 'munich', 'score': 0.048}, {'token': 'hamburg', 'score': 0.037}, {'token': 'rome', 'score': 0.037}, {'token': 'switzerland', 'score': 0.021}, {'token': 'zurich', 'score': 0.018}, {'token': 'france', 'score': 0.017}]","[{'token': 'munich', 'score': 0.381}, {'token': 'berlin', 'score': 0.138}, {'token': 'vienna', 'score': 0.098}, {'token': 'london', 'score': 0.079}, {'token': 'hamburg', 'score': 0.054}, {'token': 'zurich', 'score': 0.019}, {'token': 'frankfurt', 'score': 0.018}, {'token': 'paris', 'score': 0.016}, {'token': 'cologne', 'score': 0.016}, {'token': 'germany', 'score': 0.015}]"
9,bonn,"[{'token': 'germany', 'score': 0.94}, {'token': 'german', 'score': 0.022}, {'token': 'france', 'score': 0.011}, {'token': 'england', 'score': 0.002}, {'token': 'usa', 'score': 0.002}, {'token': 'italy', 'score': 0.002}, {'token': 'paris', 'score': 0.002}, {'token': 'london', 'score': 0.001}, {'token': 'indiana', 'score': 0.001}, {'token': 'russia', 'score': 0.001}]","[{'token': 'pictured', 'score': 0.096}, {'token': 'germany', 'score': 0.066}, {'token': 'german', 'score': 0.048}, {'token': 'right', 'score': 0.044}, {'token': 'below', 'score': 0.028}, {'token': 'usa', 'score': 0.027}, {'token': 'photo', 'score': 0.017}, {'token': 'above', 'score': 0.017}, {'token': 'ger', 'score': 0.01}, {'token': 'ra', 'score': 0.009}]","[{'token': 'germany', 'score': 0.083}, {'token': 'pictured', 'score': 0.051}, {'token': 'german', 'score': 0.051}, {'token': 'right', 'score': 0.027}, {'token': 'photo', 'score': 0.021}, {'token': 'below', 'score': 0.014}, {'token': 'ii', 'score': 0.01}, {'token': 'iii', 'score': 0.01}, {'token': 'above', 'score': 0.01}, {'token': 'usa', 'score': 0.01}]","[{'token': 'london', 'score': 0.188}, {'token': 'bern', 'score': 0.187}, {'token': 'germany', 'score': 0.169}, {'token': 'paris', 'score': 0.154}, {'token': 'chicago', 'score': 0.019}, {'token': 'france', 'score': 0.016}, {'token': 'boston', 'score': 0.013}, {'token': 'berlin', 'score': 0.013}, {'token': 'moscow', 'score': 0.013}, {'token': 'york', 'score': 0.011}]","[{'token': 'germany', 'score': 0.234}, {'token': 'paris', 'score': 0.171}, {'token': 'bern', 'score': 0.161}, {'token': 'london', 'score': 0.15}, {'token': 'france', 'score': 0.026}, {'token': 'chicago', 'score': 0.017}, {'token': 'moscow', 'score': 0.012}, {'token': 'york', 'score': 0.011}, {'token': 'berlin', 'score': 0.009}, {'token': 'boston', 'score': 0.009}]"
