,answers,original,parrot_0,parrot_1,parrot_2
0,apple,"[{'token': 'it', 'score': 0.557}, {'token': 'apple', 'score': 0.148}, {'token': 'dell', 'score': 0.059}, {'token': 'ibm', 'score': 0.052}, {'token': 'hp', 'score': 0.052}, {'token': 'microsoft', 'score': 0.028}, {'token': 'dec', 'score': 0.013}, {'token': 'atari', 'score': 0.011}, {'token': 'intel', 'score': 0.01}, {'token': 'nec', 'score': 0.004}, {'token': 'commodore', 'score': 0.003}, {'token': 'software', 'score': 0.002}, {'token': 'parc', 'score': 0.002}, {'token': 'ti', 'score': 0.002}, {'token': 'motorola', 'score': 0.002}]","[{'token': 'atari', 'score': 0.204}, {'token': 'microsoft', 'score': 0.149}, {'token': 'ibm', 'score': 0.129}, {'token': 'apple', 'score': 0.059}, {'token': 'dell', 'score': 0.044}, {'token': 'hp', 'score': 0.034}, {'token': 'commodore', 'score': 0.017}, {'token': 'software', 'score': 0.016}, {'token': 'nec', 'score': 0.013}, {'token': 'motorola', 'score': 0.013}, {'token': 'intel', 'score': 0.012}, {'token': 'parc', 'score': 0.012}, {'token': 'sony', 'score': 0.01}, {'token': 'pc', 'score': 0.009}, {'token': 'ti', 'score': 0.008}]","[{'token': 'it', 'score': 0.796}, {'token': 'apple', 'score': 0.033}, {'token': 'hp', 'score': 0.023}, {'token': 'microsoft', 'score': 0.022}, {'token': 'dell', 'score': 0.013}, {'token': 'ibm', 'score': 0.012}, {'token': 'dec', 'score': 0.004}, {'token': 'software', 'score': 0.003}, {'token': 'intel', 'score': 0.003}, {'token': 'oracle', 'score': 0.002}, {'token': 'ti', 'score': 0.002}, {'token': 'atari', 'score': 0.002}, {'token': 'pc', 'score': 0.002}, {'token': 'nec', 'score': 0.002}, {'token': 'canonical', 'score': 0.002}]","[{'token': 'it', 'score': 0.808}, {'token': 'apple', 'score': 0.045}, {'token': 'hp', 'score': 0.02}, {'token': 'microsoft', 'score': 0.019}, {'token': 'dell', 'score': 0.016}, {'token': 'ibm', 'score': 0.014}, {'token': 'software', 'score': 0.003}, {'token': 'dec', 'score': 0.003}, {'token': 'intel', 'score': 0.002}, {'token': 'atari', 'score': 0.002}, {'token': 'ti', 'score': 0.002}, {'token': 'pc', 'score': 0.002}, {'token': 'nec', 'score': 0.002}, {'token': 'canonical', 'score': 0.002}, {'token': 'oracle', 'score': 0.001}]"
1,apple,"[{'token': 'it', 'score': 0.557}, {'token': 'apple', 'score': 0.148}, {'token': 'dell', 'score': 0.059}, {'token': 'ibm', 'score': 0.052}, {'token': 'hp', 'score': 0.052}, {'token': 'microsoft', 'score': 0.028}, {'token': 'dec', 'score': 0.013}, {'token': 'atari', 'score': 0.011}, {'token': 'intel', 'score': 0.01}, {'token': 'nec', 'score': 0.004}, {'token': 'commodore', 'score': 0.003}, {'token': 'software', 'score': 0.002}, {'token': 'parc', 'score': 0.002}, {'token': 'ti', 'score': 0.002}, {'token': 'motorola', 'score': 0.002}]","[{'token': 'it', 'score': 0.77}, {'token': 'apple', 'score': 0.048}, {'token': 'hp', 'score': 0.029}, {'token': 'microsoft', 'score': 0.026}, {'token': 'dell', 'score': 0.019}, {'token': 'ibm', 'score': 0.016}, {'token': 'dec', 'score': 0.004}, {'token': 'intel', 'score': 0.003}, {'token': 'software', 'score': 0.003}, {'token': 'ti', 'score': 0.002}, {'token': 'canonical', 'score': 0.002}, {'token': 'atari', 'score': 0.002}, {'token': 'nec', 'score': 0.002}, {'token': 'oracle', 'score': 0.002}, {'token': 'pc', 'score': 0.002}]","[{'token': 'it', 'score': 0.831}, {'token': ',', 'score': 0.015}, {'token': 'microsoft', 'score': 0.004}, {'token': 'apple', 'score': 0.003}, {'token': 'ibm', 'score': 0.003}, {'token': 'he', 'score': 0.002}, {'token': 'they', 'score': 0.002}, {'token': 'software', 'score': 0.002}, {'token': 'hp', 'score': 0.002}, {'token': 'ti', 'score': 0.001}, {'token': 'company', 'score': 0.001}, {'token': 'nec', 'score': 0.001}, {'token': 'arm', 'score': 0.001}, {'token': 'atari', 'score': 0.001}, {'token': 'idea', 'score': 0.001}]","[{'token': 'it', 'score': 0.848}, {'token': 'apple', 'score': 0.022}, {'token': 'hp', 'score': 0.015}, {'token': 'dell', 'score': 0.014}, {'token': 'microsoft', 'score': 0.012}, {'token': 'ibm', 'score': 0.009}, {'token': 'dec', 'score': 0.003}, {'token': 'software', 'score': 0.003}, {'token': 'nec', 'score': 0.002}, {'token': 'pc', 'score': 0.002}, {'token': 'ti', 'score': 0.001}, {'token': 'atari', 'score': 0.001}, {'token': 'they', 'score': 0.001}, {'token': 'intel', 'score': 0.001}, {'token': 'canonical', 'score': 0.001}]"
2,microsoft,"[{'token': 'microsoft', 'score': 0.454}, {'token': 'ibm', 'score': 0.37}, {'token': 'atari', 'score': 0.05}, {'token': 'apple', 'score': 0.027}, {'token': 'canonical', 'score': 0.01}, {'token': 'intel', 'score': 0.009}, {'token': 'oracle', 'score': 0.009}, {'token': 'dell', 'score': 0.007}, {'token': 'oclc', 'score': 0.004}, {'token': 'sri', 'score': 0.004}, {'token': 'software', 'score': 0.003}, {'token': 'hp', 'score': 0.003}, {'token': 'lotus', 'score': 0.003}, {'token': 'commodore', 'score': 0.002}, {'token': 'parc', 'score': 0.002}]","[{'token': 'atari', 'score': 0.3}, {'token': 'microsoft', 'score': 0.27}, {'token': 'ibm', 'score': 0.075}, {'token': 'apple', 'score': 0.042}, {'token': 'oracle', 'score': 0.035}, {'token': ',', 'score': 0.018}, {'token': 'canonical', 'score': 0.016}, {'token': 'oclc', 'score': 0.013}, {'token': 'intel', 'score': 0.013}, {'token': 'software', 'score': 0.012}, {'token': 'google', 'score': 0.008}, {'token': 'lotus', 'score': 0.006}, {'token': 'sri', 'score': 0.006}, {'token': 'mit', 'score': 0.006}, {'token': 'parc', 'score': 0.005}]","[{'token': 'microsoft', 'score': 0.44}, {'token': 'ibm', 'score': 0.134}, {'token': 'canonical', 'score': 0.051}, {'token': 'atari', 'score': 0.047}, {'token': 'apple', 'score': 0.028}, {'token': 'parallels', 'score': 0.025}, {'token': 'intel', 'score': 0.022}, {'token': 'lotus', 'score': 0.017}, {'token': 'oracle', 'score': 0.016}, {'token': 'parc', 'score': 0.011}, {'token': 'dell', 'score': 0.009}, {'token': 'rational', 'score': 0.007}, {'token': 'mit', 'score': 0.006}, {'token': 'sri', 'score': 0.006}, {'token': 'oclc', 'score': 0.006}]","[{'token': 'atari', 'score': 0.294}, {'token': 'microsoft', 'score': 0.202}, {'token': 'ibm', 'score': 0.047}, {'token': 'apple', 'score': 0.036}, {'token': 'oracle', 'score': 0.031}, {'token': 'canonical', 'score': 0.021}, {'token': 'lotus', 'score': 0.014}, {'token': ',', 'score': 0.014}, {'token': 'software', 'score': 0.013}, {'token': 'intel', 'score': 0.011}, {'token': 'parallels', 'score': 0.01}, {'token': 'parc', 'score': 0.009}, {'token': 'oclc', 'score': 0.008}, {'token': 'alias', 'score': 0.008}, {'token': 'google', 'score': 0.007}]"
3,microsoft,"[{'token': 'google', 'score': 0.232}, {'token': 'microsoft', 'score': 0.124}, {'token': 'facebook', 'score': 0.07}, {'token': 'nokia', 'score': 0.025}, {'token': 'oracle', 'score': 0.019}, {'token': 'yahoo', 'score': 0.017}, {'token': 'forbes', 'score': 0.016}, {'token': 'boeing', 'score': 0.015}, {'token': 'twitter', 'score': 0.015}, {'token': 'intel', 'score': 0.014}, {'token': 'airbus', 'score': 0.014}, {'token': 'bt', 'score': 0.011}, {'token': 'amazon', 'score': 0.01}, {'token': 'hp', 'score': 0.01}, {'token': 'disney', 'score': 0.01}]","[{'token': 'google', 'score': 0.152}, {'token': 'microsoft', 'score': 0.127}, {'token': 'facebook', 'score': 0.037}, {'token': 'nokia', 'score': 0.03}, {'token': 'oracle', 'score': 0.028}, {'token': 'intel', 'score': 0.018}, {'token': 'hp', 'score': 0.011}, {'token': 'yahoo', 'score': 0.01}, {'token': 'ceo', 'score': 0.01}, {'token': 'bt', 'score': 0.01}, {'token': 'boeing', 'score': 0.009}, {'token': 'twitter', 'score': 0.009}, {'token': 'disney', 'score': 0.008}, {'token': 'airbus', 'score': 0.008}, {'token': 'bp', 'score': 0.008}]","[{'token': 'google', 'score': 0.17}, {'token': 'microsoft', 'score': 0.113}, {'token': 'facebook', 'score': 0.048}, {'token': 'nokia', 'score': 0.023}, {'token': 'disney', 'score': 0.019}, {'token': 'hp', 'score': 0.017}, {'token': 'oracle', 'score': 0.017}, {'token': 'yahoo', 'score': 0.013}, {'token': 'intel', 'score': 0.013}, {'token': 'forbes', 'score': 0.013}, {'token': 'boeing', 'score': 0.011}, {'token': 'twitter', 'score': 0.009}, {'token': 'amazon', 'score': 0.009}, {'token': 'ceo', 'score': 0.009}, {'token': 'bt', 'score': 0.008}]","[{'token': 'google', 'score': 0.215}, {'token': 'microsoft', 'score': 0.122}, {'token': 'facebook', 'score': 0.042}, {'token': 'nokia', 'score': 0.039}, {'token': 'oracle', 'score': 0.02}, {'token': 'intel', 'score': 0.016}, {'token': 'hp', 'score': 0.015}, {'token': 'boeing', 'score': 0.013}, {'token': 'disney', 'score': 0.012}, {'token': 'ceo', 'score': 0.011}, {'token': 'yahoo', 'score': 0.011}, {'token': 'airbus', 'score': 0.011}, {'token': 'sap', 'score': 0.009}, {'token': 'bt', 'score': 0.009}, {'token': 'forbes', 'score': 0.008}]"
4,bbc,"[{'token': 'bbc', 'score': 0.987}, {'token': 'internet', 'score': 0.004}, {'token': 'abc', 'score': 0.002}, {'token': 'itv', 'score': 0.002}, {'token': 'website', 'score': 0.001}, {'token': 'programme', 'score': 0.001}, {'token': 'television', 'score': 0.001}, {'token': 'channel', 'score': 0.001}, {'token': 'network', 'score': 0.0}, {'token': 'radio', 'score': 0.0}, {'token': 'rt', 'score': 0.0}, {'token': 'web', 'score': 0.0}, {'token': 'station', 'score': 0.0}, {'token': 'tube', 'score': 0.0}, {'token': 'uk', 'score': 0.0}]",,,
5,bbc,"[{'token': 'bbc', 'score': 0.987}, {'token': 'internet', 'score': 0.004}, {'token': 'abc', 'score': 0.002}, {'token': 'itv', 'score': 0.002}, {'token': 'website', 'score': 0.001}, {'token': 'programme', 'score': 0.001}, {'token': 'television', 'score': 0.001}, {'token': 'channel', 'score': 0.001}, {'token': 'network', 'score': 0.0}, {'token': 'radio', 'score': 0.0}, {'token': 'rt', 'score': 0.0}, {'token': 'web', 'score': 0.0}, {'token': 'station', 'score': 0.0}, {'token': 'tube', 'score': 0.0}, {'token': 'uk', 'score': 0.0}]",,,
6,bbc,"[{'token': 'bbc', 'score': 0.987}, {'token': 'internet', 'score': 0.004}, {'token': 'abc', 'score': 0.002}, {'token': 'itv', 'score': 0.002}, {'token': 'website', 'score': 0.001}, {'token': 'programme', 'score': 0.001}, {'token': 'television', 'score': 0.001}, {'token': 'channel', 'score': 0.001}, {'token': 'network', 'score': 0.0}, {'token': 'radio', 'score': 0.0}, {'token': 'rt', 'score': 0.0}, {'token': 'web', 'score': 0.0}, {'token': 'station', 'score': 0.0}, {'token': 'tube', 'score': 0.0}, {'token': 'uk', 'score': 0.0}]","[{'token': 'bbc', 'score': 0.956}, {'token': 'internet', 'score': 0.011}, {'token': 'website', 'score': 0.006}, {'token': 'itv', 'score': 0.005}, {'token': 'programme', 'score': 0.004}, {'token': 'abc', 'score': 0.003}, {'token': 'channel', 'score': 0.002}, {'token': 'web', 'score': 0.001}, {'token': 'rt', 'score': 0.001}, {'token': 'network', 'score': 0.001}, {'token': 'station', 'score': 0.001}, {'token': 'television', 'score': 0.001}, {'token': 'radio', 'score': 0.001}, {'token': 'tube', 'score': 0.001}, {'token': 'm1', 'score': 0.001}]",,
7,ibm,"[{'token': 'google', 'score': 0.284}, {'token': 'microsoft', 'score': 0.253}, {'token': 'oracle', 'score': 0.173}, {'token': 'ibm', 'score': 0.065}, {'token': 'intel', 'score': 0.058}, {'token': 'facebook', 'score': 0.012}, {'token': 'amazon', 'score': 0.011}, {'token': 'apple', 'score': 0.011}, {'token': 'canonical', 'score': 0.008}, {'token': 'epic', 'score': 0.007}, {'token': 'oclc', 'score': 0.006}, {'token': 'dell', 'score': 0.005}, {'token': 'irrational', 'score': 0.005}, {'token': 'rational', 'score': 0.004}, {'token': 'valve', 'score': 0.004}]","[{'token': '.', 'score': 0.915}, {'token': ';', 'score': 0.067}, {'token': '?', 'score': 0.009}, {'token': '!', 'score': 0.004}, {'token': '|', 'score': 0.002}, {'token': '।', 'score': 0.0}, {'token': '...', 'score': 0.0}, {'token': 'ibm', 'score': 0.0}, {'token': 'the', 'score': 0.0}, {'token': 'microsoft', 'score': 0.0}, {'token': 'inc', 'score': 0.0}, {'token': 'yahoo', 'score': 0.0}, {'token': 'amazon', 'score': 0.0}, {'token': 'it', 'score': 0.0}, {'token': '[unk]', 'score': 0.0}]","[{'token': '.', 'score': 0.914}, {'token': ';', 'score': 0.074}, {'token': '?', 'score': 0.006}, {'token': '!', 'score': 0.003}, {'token': '|', 'score': 0.001}, {'token': '।', 'score': 0.0}, {'token': '...', 'score': 0.0}, {'token': 'ibm', 'score': 0.0}, {'token': 'the', 'score': 0.0}, {'token': 'microsoft', 'score': 0.0}, {'token': 'amazon', 'score': 0.0}, {'token': '##¦', 'score': 0.0}, {'token': '[unk]', 'score': 0.0}, {'token': 'yahoo', 'score': 0.0}, {'token': 'its', 'score': 0.0}]","[{'token': '.', 'score': 0.852}, {'token': ';', 'score': 0.123}, {'token': '?', 'score': 0.014}, {'token': '!', 'score': 0.005}, {'token': '|', 'score': 0.004}, {'token': '।', 'score': 0.0}, {'token': '...', 'score': 0.0}, {'token': 'the', 'score': 0.0}, {'token': 'ibm', 'score': 0.0}, {'token': 'amazon', 'score': 0.0}, {'token': '[unk]', 'score': 0.0}, {'token': 'yahoo', 'score': 0.0}, {'token': 'inc', 'score': 0.0}, {'token': 'its', 'score': 0.0}, {'token': 'microsoft', 'score': 0.0}]"
8,ibm,"[{'token': 'ibm', 'score': 0.48}, {'token': 'mit', 'score': 0.3}, {'token': 'stanford', 'score': 0.023}, {'token': 'intel', 'score': 0.018}, {'token': 'ucla', 'score': 0.016}, {'token': 'nasa', 'score': 0.013}, {'token': 'sri', 'score': 0.012}, {'token': 'siemens', 'score': 0.011}, {'token': 'google', 'score': 0.008}, {'token': 'motorola', 'score': 0.008}, {'token': 'harvard', 'score': 0.007}, {'token': 'microsoft', 'score': 0.005}, {'token': 'dec', 'score': 0.005}, {'token': 'berkeley', 'score': 0.004}, {'token': 'apple', 'score': 0.004}]","[{'token': 'ibm', 'score': 0.538}, {'token': 'nasa', 'score': 0.124}, {'token': 'mit', 'score': 0.049}, {'token': 'unesco', 'score': 0.039}, {'token': 'siemens', 'score': 0.024}, {'token': 'intel', 'score': 0.021}, {'token': 'apple', 'score': 0.02}, {'token': 'nsa', 'score': 0.015}, {'token': 'nato', 'score': 0.012}, {'token': 'sri', 'score': 0.008}, {'token': 'esa', 'score': 0.007}, {'token': 'boeing', 'score': 0.007}, {'token': 'google', 'score': 0.006}, {'token': 'philips', 'score': 0.005}, {'token': 'dupont', 'score': 0.005}]","[{'token': 'ibm', 'score': 0.525}, {'token': 'nsa', 'score': 0.072}, {'token': 'apple', 'score': 0.051}, {'token': 'nasa', 'score': 0.035}, {'token': 'microsoft', 'score': 0.026}, {'token': 'mit', 'score': 0.021}, {'token': 'intel', 'score': 0.017}, {'token': 'sri', 'score': 0.016}, {'token': 'siemens', 'score': 0.014}, {'token': 'unesco', 'score': 0.013}, {'token': 'dod', 'score': 0.012}, {'token': 'dec', 'score': 0.012}, {'token': 'motorola', 'score': 0.01}, {'token': 'nato', 'score': 0.008}, {'token': 'google', 'score': 0.006}]","[{'token': 'ibm', 'score': 0.475}, {'token': 'mit', 'score': 0.146}, {'token': 'siemens', 'score': 0.056}, {'token': 'intel', 'score': 0.021}, {'token': 'philips', 'score': 0.02}, {'token': 'unesco', 'score': 0.013}, {'token': 'motorola', 'score': 0.01}, {'token': 'ucla', 'score': 0.009}, {'token': 'google', 'score': 0.008}, {'token': 'stanford', 'score': 0.007}, {'token': 'nasa', 'score': 0.006}, {'token': 'harvard', 'score': 0.004}, {'token': 'dec', 'score': 0.004}, {'token': 'nokia', 'score': 0.004}, {'token': 'volkswagen', 'score': 0.004}]"
9,ibm,"[{'token': 'automated', 'score': 0.092}, {'token': 'advanced', 'score': 0.06}, {'token': 'air', 'score': 0.05}, {'token': 'forward', 'score': 0.033}, {'token': 'aircraft', 'score': 0.022}, {'token': 'port', 'score': 0.021}, {'token': 'vehicle', 'score': 0.021}, {'token': 'automatic', 'score': 0.02}, {'token': 'electronic', 'score': 0.019}, {'token': 'ship', 'score': 0.017}, {'token': 'combat', 'score': 0.017}, {'token': 'special', 'score': 0.015}, {'token': 'internal', 'score': 0.014}, {'token': 'rapid', 'score': 0.013}, {'token': 'fire', 'score': 0.012}]","[{'token': 'nasa', 'score': 0.244}, {'token': 'lockheed', 'score': 0.148}, {'token': 'ibm', 'score': 0.074}, {'token': 'boeing', 'score': 0.064}, {'token': 'chrysler', 'score': 0.055}, {'token': 'ge', 'score': 0.03}, {'token': 'mit', 'score': 0.027}, {'token': 'colt', 'score': 0.024}, {'token': 'ford', 'score': 0.023}, {'token': 'gm', 'score': 0.017}, {'token': 'rca', 'score': 0.012}, {'token': 'dupont', 'score': 0.011}, {'token': 'bell', 'score': 0.01}, {'token': 'rockwell', 'score': 0.01}, {'token': 'intel', 'score': 0.006}]","[{'token': 'the', 'score': 0.96}, {'token': 'naval', 'score': 0.003}, {'token': 'port', 'score': 0.002}, {'token': 'federal', 'score': 0.001}, {'token': 'nasa', 'score': 0.001}, {'token': 'marine', 'score': 0.001}, {'token': 'defense', 'score': 0.001}, {'token': 'security', 'score': 0.001}, {'token': 'an', 'score': 0.001}, {'token': 'automated', 'score': 0.001}, {'token': 'their', 'score': 0.001}, {'token': 'lock', 'score': 0.001}, {'token': 'its', 'score': 0.001}, {'token': 'customs', 'score': 0.001}, {'token': 'highway', 'score': 0.0}]","[{'token': 'the', 'score': 0.973}, {'token': 'naval', 'score': 0.004}, {'token': 'their', 'score': 0.003}, {'token': 'its', 'score': 0.001}, {'token': 'nasa', 'score': 0.001}, {'token': 'an', 'score': 0.001}, {'token': 'ford', 'score': 0.001}, {'token': 'his', 'score': 0.001}, {'token': 'navy', 'score': 0.0}, {'token': 'marine', 'score': 0.0}, {'token': 'military', 'score': 0.0}, {'token': 'army', 'score': 0.0}, {'token': 'defense', 'score': 0.0}, {'token': 'toyota', 'score': 0.0}, {'token': 'port', 'score': 0.0}]"
